dep(sent-2, Congress-1)
nn(Whitten-19, Appropriations-15)
nn(Whitten-19, Committee-16)
nn(Whitten-19, Chairman-17)
nn(Whitten-19, Jamie-18)
pobj(between-13, Whitten-19)
punct(D.-21, -LRB--20)
appos(Whitten-19, D.-21)
punct(D.-21, ,-22)
dep(D.-21, Miss-23)
punct(Miss-23, .-24)
punct(D.-21, -RRB--25)
cc(Whitten-19, and-26)
nn(Bumpers-29, Sen.-27)
nn(Bumpers-29, Dale-28)
conj(Whitten-19, Bumpers-29)
punct(D.-31, -LRB--30)
appos(Bumpers-29, D.-31)
punct(D.-31, ,-32)
dep(D.-31, Ark-33)
punct(Ark-33, .-34)
punct(D.-31, -RRB--35)
prep(scheduled-10, in-36)
det(effort-38, an-37)
pobj(in-36, effort-38)
aux(end-40, to-39)
vmod(effort-38, end-40)
det(dispute-42, a-41)
dobj(end-40, dispute-42)
dep(delayed-48, which-43)
prep(delayed-48, for-44)
num(weeks-46, two-45)
pobj(for-44, weeks-46)
aux(delayed-48, has-47)
dep(dispute-42, delayed-48)
dobj(delayed-48, action-49)
prep(action-49, on-50)
det(bill-57, an-51)
dep($-53, estimated-52)
amod(bill-57, $-53)
number(billion-55, 44-54)
num($-53, billion-55)
nn(bill-57, agriculture-56)
pobj(on-50, bill-57)
punct(scheduled-10, .-58)

det(conference-3, A-1)
amod(conference-3, House-Senate-2)
nsubj(reached-4, conference-3)
root(ROOT-0, reached-4)
dep(reached-4, agreement-5)
tmod(reached-4, Oct.-6)
num(Oct.-6, 5-7)
prep(reached-4, on-8)
advmod(all-10, virtually-9)
amod(provisions-12, all-10)
amod(provisions-12, major-11)
pobj(on-8, provisions-12)
prep(provisions-12, of-13)
det(bill-15, the-14)
pobj(of-13, bill-15)
punct(reached-4, ,-16)
cc(reached-4, but-17)
amod(settlement-19, final-18)
nsubjpass(stalled-22, settlement-19)
aux(stalled-22, has-20)
auxpass(stalled-22, been-21)
conj(reached-4, stalled-22)
advmod(of-24, because-23)
prep(stalled-22, of-24)
pobj(of-24, differences-25)
prep(differences-25, between-26)
det(men-29, the-27)
num(men-29, two-28)
pobj(between-26, men-29)
prep(differences-25, over-30)
det(fate-32, the-31)
pobj(over-30, fate-32)
prep(fate-32, of-33)
det(program-37, a-34)
amod(program-37, modest-35)
amod(program-37, Arkansas-based-36)
pobj(of-33, program-37)
aux(provide-39, to-38)
vmod(program-37, provide-39)
amod(information-41, technical-40)
dobj(provide-39, information-41)
prep(provide-39, to-42)
pobj(to-42, farmers-43)
dep(farmers-43, seeking-44)
aux(reduce-46, to-45)
xcomp(seeking-44, reduce-46)
poss(dependence-48, their-47)
dobj(reduce-46, dependence-48)
prep(dependence-48, on-49)
nn(fertilizers-51, chemical-50)
pobj(on-49, fertilizers-51)
cc(fertilizers-51, and-52)
conj(fertilizers-51, pesticides-53)
punct(reached-4, .-54)

det(program-2, The-1)
poss(sponsors-5, program-2)
possessive(program-2, 's-3)
amod(sponsors-5, nonprofit-4)
nsubj(received-6, sponsors-5)
root(ROOT-0, received-6)
dobj(received-6, $-7)
num($-7, 900,000-8)
prep(received-6, in-9)
amod(1989-11, fiscal-10)
pobj(in-9, 1989-11)
prep(received-6, through-12)
det(grant-16, an-13)
nn(grant-16, Extension-14)
nn(grant-16, Service-15)
pobj(through-12, grant-16)
punct(received-6, ,-17)
cc(received-6, but-18)
nn(Whitten-20, Mr.-19)
nsubj(been-22, Whitten-20)
aux(been-22, has-21)
conj(received-6, been-22)
dep(been-22, adamant-23)
prep(been-22, in-24)
pcomp(in-24, insisting-25)
mark(cut-30, that-26)
det(program-28, the-27)
nsubjpass(cut-30, program-28)
auxpass(cut-30, be-29)
ccomp(insisting-25, cut-30)
prep(cut-30, in-31)
dep(in-31, 1990-32)
punct(received-6, .-33)

det(Mississippian-3, The-1)
amod(Mississippian-3, 79-year-old-2)
nsubj(takes-4, Mississippian-3)
root(ROOT-0, takes-4)
det(view-10, a-5)
dep(orthodox-7, more-6)
amod(view-10, orthodox-7)
punct(view-10, ,-8)
amod(view-10, entrenched-9)
dobj(takes-4, view-10)
prep(view-10, of-11)
nn(policy-13, agriculture-12)
pobj(of-11, policy-13)
prep(view-10, than-14)
pobj(than-14, those-15)
prep(those-15, in-16)
det(movement-18, the-17)
pobj(in-16, movement-18)
aux(reduce-20, to-19)
vmod(movement-18, reduce-20)
nn(use-22, chemical-21)
dobj(reduce-20, use-22)
punct(takes-4, ,-23)
cc(takes-4, but-24)
prep(believed-34, as-25)
det(master-27, a-26)
pobj(as-25, master-27)
prep(master-27, of-28)
amod(politics-30, pork-barrel-29)
pobj(of-28, politics-30)
punct(believed-34, ,-31)
dep(believed-34, he-32)
auxpass(believed-34, is-33)
conj(takes-4, believed-34)
aux(annoyed-37, to-35)
auxpass(annoyed-37, be-36)
xcomp(believed-34, annoyed-37)
advmod(well-39, as-38)
advmod(annoyed-37, well-39)
mark(moved-43, that-40)
det(project-42, the-41)
nsubj(moved-43, project-42)
ccomp(annoyed-37, moved-43)
prep(moved-43, to-44)
dep(to-44, Arkansas-45)
prep(moved-43, from-46)
det(center-49, a-47)
nn(center-49, Tennessee-48)
pobj(from-46, center-49)
prep(center-49, near-50)
pobj(near-50, Memphis-51)
cc(Memphis-51, and-52)
det(border-56, the-53)
amod(border-56, northern-54)
nn(border-56, Mississippi-55)
conj(Memphis-51, border-56)
punct(takes-4, .-57)

nn(Klatman-3, Michael-1)
nn(Klatman-3, F.-2)
nsubjpass(named-16, Klatman-3)
punct(Klatman-3, ,-4)
appos(Klatman-3, director-5)
prep(director-5, of-6)
amod(relations-9, corporate-7)
amod(relations-9, public-8)
pobj(of-6, relations-9)
prep(relations-9, at-10)
nn(Corp.-13, Data-11)
nn(Corp.-13, General-12)
pobj(at-10, Corp.-13)
punct(Klatman-3, ,-14)
auxpass(named-16, was-15)
root(ROOT-0, named-16)
prep(named-16, to-17)
det(position-20, the-18)
amod(position-20, new-19)
pobj(to-17, position-20)
prep(position-20, of-21)
nn(president-23, vice-22)
pobj(of-21, president-23)
punct(president-23, ,-24)
amod(communications-26, corporate-25)
appos(president-23, communications-26)
punct(president-23, ,-27)
prep(president-23, of-28)
det(maker-30, this-29)
pobj(of-28, maker-30)
prep(maker-30, of-31)
nn(equipment-34, data-32)
nn(equipment-34, storage-33)
pobj(of-31, equipment-34)
punct(named-16, .-35)

nn(PLC-3, B.A.T-1)
nn(PLC-3, Industries-2)
nsubj(delay-5, PLC-3)
aux(delay-5, may-4)
ccomp(said-39, delay-5)
dobj(delay-5, aspects-6)
prep(aspects-6, of-7)
poss(plan-11, its-8)
amod(plan-11, defensive-9)
nn(plan-11, restructuring-10)
pobj(of-7, plan-11)
punct(including-13, ---12)
prep(aspects-6, including-13)
det(sale-15, the-14)
pobj(including-13, sale-15)
prep(sale-15, of-16)
poss(Avenue-20, its-17)
nn(Avenue-20, Saks-18)
nn(Avenue-20, Fifth-19)
pobj(of-16, Avenue-20)
cc(Avenue-20, and-21)
nn(units-24, Marshall-22)
nn(units-24, Field-23)
conj(Avenue-20, units-24)
punct(including-13, ---25)
prep(delay-5, in-26)
det(wake-28, the-27)
pobj(in-26, wake-28)
prep(wake-28, of-29)
det(upheaval-32, the-30)
amod(upheaval-32, current-31)
pobj(of-29, upheaval-32)
prep(upheaval-32, in-33)
amod(markets-35, financial-34)
pobj(in-33, markets-35)
punct(said-39, ,-36)
nn(officials-38, company-37)
nsubj(said-39, officials-38)
root(ROOT-0, said-39)
punct(said-39, .-40)

det(conglomerate-3, The-1)
amod(conglomerate-3, British-2)
nsubj(intends-31, conglomerate-3)
punct(intends-31, ,-4)
vmod(intends-31, planning-5)
poss(restructuring-9, its-6)
amod(restructuring-9, own-7)
amod(restructuring-9, defensive-8)
dobj(planning-5, restructuring-9)
aux(fight-11, to-10)
vmod(planning-5, fight-11)
dep(fight-11, off-12)
det(bid-23, a-13)
number(billion-16, #-14)
number(billion-16, 13.35-15)
num(bid-23, billion-16)
punct($-18, -LRB--17)
dep(bid-23, $-18)
number(billion-20, 21.03-19)
num($-18, billion-20)
punct($-18, -RRB--21)
nn(bid-23, takeover-22)
dobj(fight-11, bid-23)
prep(bid-23, by-24)
amod(Goldsmith-29, Anglo-French-25)
nn(Goldsmith-29, financier-26)
nn(Goldsmith-29, Sir-27)
nn(Goldsmith-29, James-28)
pobj(by-24, Goldsmith-29)
punct(intends-31, ,-30)
root(ROOT-0, intends-31)
aux(press-33, to-32)
xcomp(intends-31, press-33)
advmod(press-33, ahead-34)
prep(press-33, with-35)
det(vote-39, an-36)
amod(vote-39, extraordinary-37)
nn(vote-39, shareholder-38)
pobj(with-35, vote-39)
dep(press-33, today-40)
aux(clear-42, to-41)
xcomp(press-33, clear-42)
det(way-44, the-43)
dobj(clear-42, way-44)
prep(clear-42, for-45)
poss(measures-48, its-46)
amod(measures-48, value-boosting-47)
pobj(for-45, measures-48)
punct(intends-31, .-49)

dep(increased-27, If-1)
dep(If-1, anything-2)
punct(increased-27, ,-3)
det(gyrations-5, the-4)
nsubj(increased-27, gyrations-5)
prep(gyrations-5, in-6)
nn(markets-9, world-7)
nn(markets-9, stock-8)
pobj(in-6, markets-9)
punct(in-12, ---10)
cc(in-12, and-11)
dep(in-6, in-12)
poss(price-16, B.A.T-13)
possessive(B.A.T-13, 's-14)
nn(price-16, share-15)
pobj(in-12, price-16)
punct(in-12, ---17)
prep(gyrations-5, since-18)
amod(Friday-20, last-19)
poss(sell-off-25, Friday-20)
possessive(Friday-20, 's-21)
amod(sell-off-25, sharp-22)
nn(sell-off-25, Wall-23)
nn(sell-off-25, Street-24)
pobj(since-18, sell-off-25)
aux(increased-27, have-26)
ccomp(said-43, increased-27)
det(likelihood-29, the-28)
dobj(increased-27, likelihood-29)
prep(likelihood-29, of-30)
nn(approval-32, shareholder-31)
pobj(of-30, approval-32)
prep(approval-32, for-33)
det(restructuring-35, the-34)
pobj(for-33, restructuring-35)
punct(said-43, ,-36)
nsubj(said-43, analysts-37)
cc(analysts-37, and-38)
amod(holders-42, several-39)
amod(holders-42, big-40)
amod(holders-42, institutional-41)
conj(analysts-37, holders-42)
root(ROOT-0, said-43)
punct(said-43, .-44)

punct(said-13, ``-1)
ccomp(said-13, Thank-2)
dep(Thank-2, God-3)
dep(have-5, we-4)
ccomp(Thank-2, have-5)
det(deal-7, some-6)
dobj(have-5, deal-7)
prep(have-5, on-8)
det(table-10, the-9)
pobj(on-8, table-10)
punct(said-13, ,-11)
punct(said-13, ''-12)
root(ROOT-0, said-13)
nn(Gilchrist-15, Stewart-14)
nsubj(said-13, Gilchrist-15)
punct(Gilchrist-15, ,-16)
det(director-18, a-17)
appos(Gilchrist-15, director-18)
prep(director-18, at-19)
nn(Managers-23, Scottish-20)
nn(Managers-23, Amicable-21)
nn(Managers-23, Investment-22)
pobj(at-19, Managers-23)
punct(Managers-23, ,-24)
dobj(vote-28, which-25)
dep(Managers-23, intends-26)
aux(vote-28, to-27)
xcomp(intends-26, vote-28)
poss(stake-33, its-29)
quantmod(1-31, roughly-30)
dep(%-32, 1-31)
dep(stake-33, %-32)
dobj(vote-28, stake-33)
prep(vote-28, in-34)
pobj(in-34, favor-35)
prep(favor-35, of-36)
det(restructuring-38, the-37)
pobj(of-36, restructuring-38)
punct(said-13, .-39)

nsubj(been-5, Investors-1)
prep(Investors-1, in-2)
dep(in-2, B.A.T-3)
aux(been-5, have-4)
root(ROOT-0, been-5)
prep(been-5, on-6)
det(coaster-9, a-7)
nn(coaster-9, roller-8)
pobj(on-6, coaster-9)
punct(been-5, .-10)

dep(chip-8, B.A.T-1)
aux(chip-8, has-2)
cop(chip-8, been-3)
poss(chip-8, London-4)
possessive(London-4, 's-5)
amod(chip-8, best-performing-6)
amod(chip-8, blue-7)
root(ROOT-0, chip-8)
prep(chip-8, over-9)
det(months-13, the-10)
amod(months-13, past-11)
num(months-13, six-12)
pobj(over-9, months-13)
punct(chip-8, ,-14)
advmod(chip-8, up-15)
num(%-17, 40-16)
pobj(up-15, %-17)
prep(up-15, against-18)
det(rise-22, a-19)
number(%-21, 4-20)
amod(rise-22, %-21)
pobj(against-18, rise-22)
prep(rise-22, in-23)
det(Index-28, the-24)
nn(Index-28, Financial-25)
nn(Index-28, Times-26)
nn(Index-28, 100-Share-27)
pobj(in-23, Index-28)
punct(chip-8, .-29)

cc(hit-8, But-1)
det(week-3, this-2)
nsubjpass(hit-8, week-3)
punct(hit-8, ,-4)
dep(hit-8, B.A.T-5)
aux(hit-8, has-6)
auxpass(hit-8, been-7)
root(ROOT-0, hit-8)
advmod(hit-8, harder-9)
prep(harder-9, than-10)
amod(stocks-14, other-11)
amod(stocks-14, big-12)
nn(stocks-14, U.K.-13)
pobj(than-10, stocks-14)
punct(by-17, ---15)
advmod(by-17, first-16)
dep(hit-8, by-17)
det(gyrations-20, the-18)
nn(gyrations-20, market-19)
pobj(by-17, gyrations-20)
punct(by-17, ,-21)
advmod(by-23, then-22)
prep(by-17, by-23)
poss(earthquake-28, Tuesday-24)
possessive(Tuesday-24, 's-25)
nn(earthquake-28, San-26)
nn(earthquake-28, Francisco-27)
pobj(by-23, earthquake-28)
punct(earthquake-28, ,-29)
dep(leave-32, which-30)
aux(leave-32, could-31)
dep(earthquake-28, leave-32)
poss(unit-39, B.A.T-33)
possessive(B.A.T-33, 's-34)
nn(unit-39, Farmers-35)
nn(unit-39, Group-36)
nn(unit-39, Inc.-37)
