advmod(comes-3, When-1)
pobj(of-10, investor-13)
poss(goal-15, whose-14)
nsubj(is-16, goal-15)
rcmod(investor-13, is-16)
aux(nothing-19, to-17)
cop(nothing-19, be-18)
xcomp(is-16, nothing-19)
amod(nothing-19, more-20)
prep(more-20, than-21)
dep(than-21, average-22)
punct(fund-6, .-23)

nn(Capital-2, Westridge-1)
poss(trading-5, Capital-2)
possessive(Capital-2, 's-3)
amod(trading-5, frenetic-4)
nsubj(reflects-6, trading-5)
root(ROOT-0, reflects-6)
det(changes-8, the-7)
dobj(reflects-6, changes-8)
vmod(changes-8, sweeping-9)
prep(sweeping-9, through-10)
det(world-14, the-11)
advmod(sleepy-13, previously-12)
amod(world-14, sleepy-13)
pobj(through-10, world-14)
prep(world-14, of-15)
dep(of-15, indexing-16)
punct(reflects-6, .-17)

dep(involved-7, Indexing-1)
prep(involved-7, for-2)
det(part-5, the-3)
amod(part-5, most-4)
pobj(for-2, part-5)
aux(involved-7, has-6)
root(ROOT-0, involved-7)
advmod(buying-9, simply-8)
ccomp(involved-7, buying-9)
cc(buying-9, and-10)
advmod(holding-12, then-11)
conj(buying-9, holding-12)
dobj(buying-9, stocks-13)
prep(stocks-13, in-14)
det(mix-17, the-15)
amod(mix-17, correct-16)
pobj(in-14, mix-17)
aux(mirror-19, to-18)
xcomp(involved-7, mirror-19)
det(barometer-23, a-20)
nn(barometer-23, stock-21)
nn(barometer-23, market-22)
dobj(mirror-19, barometer-23)
punct(barometer-23, ,-24)
mwe(as-26, such-25)
prep(barometer-23, as-26)
nn(index-32, Standard-27)
cc(index-32, &-28)
conj(index-32, Poor-29)
possessive(Poor-29, 's-30)
amod(index-32, 500-stock-31)
pobj(as-26, index-32)
punct(barometer-23, ,-33)
cc(mirror-19, and-34)
conj(mirror-19, match-35)
poss(performance-37, its-36)
dobj(match-35, performance-37)
punct(involved-7, .-38)

amod(investors-2, Institutional-1)
nsubj(poured-4, investors-2)
aux(poured-4, have-3)
root(ROOT-0, poured-4)
dobj(poured-4, $-5)
number(billion-7, 210-6)
num($-5, billion-7)
prep(poured-4, into-8)
nn(indexing-12, stock-9)
cc(stock-9, and-10)
conj(stock-9, bond-11)
pobj(into-8, indexing-12)
prep(poured-4, as-13)
det(form-18, a-14)
amod(form-18, cheap-15)
cc(cheap-15, and-16)
conj(cheap-15, easy-17)
pobj(as-13, form-18)
prep(form-18, of-19)
nn(management-21, investment-20)
pobj(of-19, management-21)
dep(promises-23, that-22)
dep(form-18, promises-23)
aux(post-25, to-24)
xcomp(promises-23, post-25)
amod(returns-28, average-26)
nn(returns-28, market-27)
dobj(post-25, returns-28)
punct(poured-4, .-29)

det(investors-3, These-1)
amod(investors-3, big-2)
nsubj(flocked-5, investors-3)
aux(flocked-5, have-4)
root(ROOT-0, flocked-5)
prep(flocked-5, to-6)
dep(to-6, indexing-7)
mark(able-18, because-8)
advmod(few-10, relatively-9)
amod(pickers-15, few-10)
punct(pickers-15, ``-11)
amod(pickers-15, active-12)
punct(pickers-15, ''-13)
nn(pickers-15, stock-14)
nsubj(able-18, pickers-15)
aux(able-18, have-16)
cop(able-18, been-17)
advcl(flocked-5, able-18)
aux(match-21, to-19)
advmod(match-21, consistently-20)
xcomp(able-18, match-21)
det(returns-23, the-22)
dobj(match-21, returns-23)
prep(returns-23, of-24)
det(S&P-26, the-25)
pobj(of-24, S&P-26)
num(S&P-26, 500-27)
cc(S&P-26, or-28)
amod(bellwethers-30, other-29)
conj(S&P-26, bellwethers-30)
punct(match-21, ,-31)
advmod(less-33, much-32)
advmod(beat-34, less-33)
dep(match-21, beat-34)
dep(beat-34, it-35)
punct(flocked-5, .-36)

cc(run-8, And-1)
det(fees-3, the-2)
nsubj(run-8, fees-3)
dep(pay-5, investors-4)
rcmod(fees-3, pay-5)
prep(pay-5, for-6)
dep(for-6, indexing-7)
root(ROOT-0, run-8)
det(pennies-11, a-9)
amod(pennies-11, few-10)
dobj(run-8, pennies-11)
prep(pennies-11, for-12)
det($-14, each-13)
pobj(for-12, $-14)
num($-14, 100-15)
prep($-14, of-16)
dep(of-16, assets-17)
punct(pennies-11, ---18)
det(fraction-20, a-19)
dep(pennies-11, fraction-20)
prep(fraction-20, of-21)
det(cost-23, the-22)
pobj(of-21, cost-23)
prep(cost-23, of-24)
amod(managers-26, active-25)
pobj(of-24, managers-26)
punct(run-8, .-27)

dep('s-2, That-1)
root(ROOT-0, 's-2)
mark(do-5, because-3)
dep(do-5, computers-4)
advcl('s-2, do-5)
dobj(do-5, most-6)
prep(most-6, of-7)
det(work-9, the-8)
pobj(of-7, work-9)
punct('s-2, ,-10)
cc('s-2, and-11)
amod(activity-14, low-12)
nn(activity-14, trading-13)
nsubj(keeps-15, activity-14)
conj('s-2, keeps-15)
det(lid-17, a-16)
dobj(keeps-15, lid-17)
prep(keeps-15, on-18)
nn(costs-20, commission-19)
pobj(on-18, costs-20)
punct('s-2, .-21)

cc(moving-6, But-1)
dep(moving-6, today-2)
punct(moving-6, ,-3)
dep(moving-6, indexing-4)
aux(moving-6, is-5)
root(ROOT-0, moving-6)
prep(moving-6, from-7)
det(strategy-11, a-8)
nn(strategy-11, passive-9)
nn(strategy-11, investment-10)
pobj(from-7, strategy-11)
prep(moving-6, to-12)
det(active-15, an-13)
advmod(active-15, increasingly-14)
pobj(to-12, active-15)
num(active-15, one-16)
punct(moving-6, .-17)

mark(satisfied-7, Because-1)
amod(managers-3, index-fund-2)
nsubjpass(satisfied-7, managers-3)
auxpass(satisfied-7, are-4)
neg(longer-6, no-5)
advmod(satisfied-7, longer-6)
advcl(developed-15, satisfied-7)
prep(satisfied-7, with-8)
advmod(being-10, merely-9)
pcomp(with-8, being-10)
dep(being-10, average-11)
punct(developed-15, ,-12)
dep(developed-15, they-13)
aux(developed-15, have-14)
root(ROOT-0, developed-15)
punct(strategies-20, ``-16)
amod(strategies-20, enhanced-17)
punct(strategies-20, ''-18)
nn(strategies-20, indexing-19)
dobj(developed-15, strategies-20)
dobj(outperform-25, that-21)
auxpass(intended-23, are-22)
dep(strategies-20, intended-23)
aux(outperform-25, to-24)
xcomp(intended-23, outperform-25)
det(market-27, the-26)
iobj(outperform-25, market-27)
advmod(as-30, as-28)
advmod(as-30, much-29)
quantmod(three-31, as-30)
num(points-33, three-31)
nn(points-33, percentage-32)
dobj(outperform-25, points-33)
punct(developed-15, .-34)

punct(says-29, ``-1)
dep(concept-10, Indexing-2)
aux(concept-10, has-3)
cop(concept-10, been-4)
det(concept-10, the-5)
advmod(successful-8, most-6)
amod(successful-8, single-7)
amod(concept-10, successful-8)
nn(concept-10, investment-9)
ccomp(says-29, concept-10)
prep(concept-10, in-11)
det(decade-14, the-12)
amod(decade-14, last-13)
pobj(in-11, decade-14)
punct(concept-10, ,-15)
cc(concept-10, but-16)
det(money-19, the-17)
nn(money-19, index-18)
nsubj(sitting-25, money-19)
aux(sitting-25, has-20)
aux(sitting-25, been-21)
advmod(sitting-25, just-22)
dep(of-24, sort-23)
advmod(sitting-25, of-24)
conj(concept-10, sitting-25)
advmod(sitting-25, there-26)
punct(says-29, ,-27)
punct(says-29, ''-28)
root(ROOT-0, says-29)
nn(Lynn-32, Seth-30)
nn(Lynn-32, M.-31)
nsubj(says-29, Lynn-32)
punct(Lynn-32, ,-33)
appos(Lynn-32, president-34)
prep(president-34, of-35)
nn(Inc.-39, Axe-36)
nn(Inc.-39, Core-37)
nn(Inc.-39, Investors-38)
pobj(of-35, Inc.-39)
punct(Inc.-39, ,-40)
det(indexer-42, an-41)
appos(Inc.-39, indexer-42)
vmod(indexer-42, based-43)
prep(based-43, in-44)
nn(N.Y-47, Tarrytown-45)
punct(N.Y-47, ,-46)
pobj(in-44, N.Y-47)
punct(says-29, .-48)

punct(is-5, ``-1)
advmod(is-5, Now-2)
det(interest-4, the-3)
nsubj(is-5, interest-4)
root(ROOT-0, is-5)
prep(is-5, in-6)
nsubj(do-11, what-7)
advmod(what-7, else-8)
aux(do-11, can-9)
dep(do-11, I-10)
dep(in-6, do-11)
prep(do-11, with-12)
det(money-14, that-13)
pobj(with-12, money-14)
punct(is-5, .-15)
punct(is-5, ''-16)

prep(built-11, Among-1)
det(strategies-5, the-2)
amod(strategies-5, souped-up-3)
nn(strategies-5, indexing-4)
pobj(Among-1, strategies-5)
punct(built-11, :-6)
amod(portfolios-8, Indexed-7)
nsubjpass(built-11, portfolios-8)
aux(built-11, can-9)
auxpass(built-11, be-10)
root(ROOT-0, built-11)
prep(built-11, around-12)
pobj(around-12, thousands-13)
prep(thousands-13, of-14)
dep(of-14, stocks-15)
punct(thousands-13, ,-16)
cc(thousands-13, or-17)
advmod(dozen-21, just-18)
det(dozen-21, a-19)
amod(dozen-21, few-20)
conj(thousands-13, dozen-21)
punct(built-11, ,-22)
advmod(than-24, rather-23)
prep(built-11, than-24)
auxpass(restricted-26, being-25)
pcomp(than-24, restricted-26)
prep(restricted-26, to-27)
det(companies-31, the-28)
nn(companies-31, S&P-29)
num(companies-31, 500-30)
pobj(to-27, companies-31)
punct(built-11, .-32)

dep(ignore-3, They-1)
aux(ignore-3, can-2)
root(ROOT-0, ignore-3)
det(stocks-7, the-4)
nn(stocks-7, S&P-5)
num(stocks-7, 500-6)
dobj(ignore-3, stocks-7)
advmod(ignore-3, altogether-8)
cc(ignore-3, and-9)
conj(ignore-3, focus-10)
prep(focus-10, on-11)
amod(types-13, particular-12)
pobj(on-11, types-13)
prep(types-13, of-14)
dep(of-14, stocks-15)
punct(types-13, ,-16)
mwe(as-18, such-17)
prep(types-13, as-18)
amod(companies-20, smaller-19)
pobj(as-18, companies-20)
punct(companies-20, ,-21)
det(dividends-25, those-22)
amod(dividends-25, paying-23)
amod(dividends-25, high-24)
conj(companies-20, dividends-25)
cc(companies-20, or-26)
conj(companies-20, companies-27)
prep(companies-27, in-28)
det(industry-31, a-29)
amod(industry-31, particular-30)
pobj(in-28, industry-31)
punct(industry-31, ,-32)
conj(industry-31, state-33)
cc(industry-31, or-34)
conj(industry-31, country-35)
punct(ignore-3, .-36)

prep(trade-12, With-1)
poss(techniques-7, today-2)
possessive(today-2, 's-3)
amod(techniques-7, computer-driven-4)
nn(techniques-7, program-5)
nn(techniques-7, trading-6)
pobj(With-1, techniques-7)
punct(trade-12, ,-8)
nn(funds-10, index-9)
nsubj(trade-12, funds-10)
aux(trade-12, can-11)
root(ROOT-0, trade-12)
advmod(trade-12, back-13)
cc(back-13, and-14)
conj(back-13, forth-15)
prep(trade-12, between-16)
amod(futures-18, stock-index-17)
pobj(between-16, futures-18)
cc(futures-18, and-19)
det(stocks-22, the-20)
amod(stocks-22, actual-21)
conj(futures-18, stocks-22)
vmod(stocks-22, making-23)
dep(making-23, up-24)
dep(making-23, indexes-25)
mwe(as-27, such-26)
prep(stocks-22, as-27)
det(S&P-29, the-28)
pobj(as-27, S&P-29)
num(S&P-29, 500-30)
punct(trade-12, .-31)

nsubj(make-5, Futures-1)
cc(Futures-1, and-2)
conj(Futures-1, options-3)
advmod(make-5, also-4)
root(ROOT-0, make-5)
dep(build-9, it-6)
dep(build-9, possible-7)
aux(build-9, to-8)
dep(make-5, build-9)
punct(funds-14, ``-10)
amod(funds-14, synthetic-11)
punct(funds-14, ''-12)
nn(funds-14, index-13)
dobj(build-9, funds-14)
dep(own-19, that-15)
aux(own-19, do-16)
neg(own-19, n't-17)
advmod(own-19, actually-18)
dep(funds-14, own-19)
det(share-22, a-20)
amod(share-22, single-21)
dobj(own-19, share-22)
prep(share-22, of-23)
dep(of-23, stock-24)
punct(own-19, ,-25)
cc(own-19, but-26)
aux(produce-28, can-27)
conj(own-19, produce-28)
dobj(produce-28, returns-29)
dep(match-31, that-30)
ccomp(returns-29, match-31)
cc(match-31, or-32)
conj(match-31, exceed-33)
det(market-37, the-34)
amod(market-37, broad-35)
nn(market-37, stock-36)
dobj(match-31, market-37)
punct(make-5, .-38)

num(reason-2, One-1)
nsubj(is-6, reason-2)
prep(reason-2, for-3)
det(hybrids-5, these-4)
pobj(for-3, hybrids-5)
root(ROOT-0, is-6)
mark(slowing-13, that-7)
poss(growth-11, indexing-8)
possessive(indexing-8, 's-9)
amod(growth-11, rapid-10)
nsubj(slowing-13, growth-11)
aux(slowing-13, is-12)
ccomp(is-6, slowing-13)
punct(slowing-13, ,-14)
advmod(for-16, particularly-15)
prep(slowing-13, for-16)
det(funds-22, those-17)
punct(funds-22, ``-18)
dep(vanilla-20, plain-19)
amod(funds-22, vanilla-20)
punct(funds-22, ''-21)
pobj(for-16, funds-22)
dep(mirror-24, that-23)
dep(funds-22, mirror-24)
det(S&P-26, the-25)
dobj(mirror-24, S&P-26)
num(S&P-26, 500-27)
punct(is-6, .-28)

punct(says-22, ``-1)
dep(is-3, There-2)
ccomp(says-22, is-3)
neg(is-3, n't-4)
det(boatload-6, a-5)
dep(is-3, boatload-6)
punct(boatload-6, -LCB--7)
prep(boatload-6, of-8)
amod(investors-10, big-9)
pobj(of-8, investors-10)
punct(boatload-6, -RCB--11)
advmod(there-13, out-12)
advmod(is-3, there-13)
advmod(waiting-15, still-14)
xcomp(is-3, waiting-15)
aux(get-17, to-16)
xcomp(waiting-15, get-17)
prep(get-17, into-18)
dep(into-18, indexing-19)
punct(says-22, ,-20)
punct(says-22, ''-21)
root(ROOT-0, says-22)
nn(Kartalia-25, P.-23)
nn(Kartalia-25, James-24)
nsubj(says-22, Kartalia-25)
punct(Kartalia-25, ,-26)
nn(president-28, vice-27)
appos(Kartalia-25, president-28)
prep(president-28, of-29)
nn(Co.-33, ANB-30)
nn(Co.-33, Investment-31)
nn(Co.-33, Management-32)
nn(Chicago-35, Co.-33)
punct(Chicago-35, ,-34)
pobj(of-29, Chicago-35)
punct(Chicago-35, ,-36)
dep(offers-38, which-37)
dep(Chicago-35, offers-38)
preconj(indexing-40, both-39)
dobj(offers-38, indexing-40)
cc(indexing-40, and-41)
amod(services-44, active-42)
nn(services-44, management-43)
conj(indexing-40, services-44)
punct(says-22, .-45)

punct(hold-15, -LRB--1)
prep(hold-15, After-2)
pcomp(After-2, tripling-3)
prep(tripling-3, in-4)
dep(in-4, size-5)
prep(tripling-3, in-6)
det(years-10, the-7)
amod(years-10, past-8)
num(years-10, five-9)
pobj(in-6, years-10)
punct(hold-15, ,-11)
nn(funds-13, index-12)
nsubj(hold-15, funds-13)
advmod(hold-15, now-14)
root(ROOT-0, hold-15)
quantmod(20-17, about-16)
num(%-18, 20-17)
dobj(hold-15, %-18)
prep(%-18, of-19)
det(stock-21, the-20)
pobj(of-19, stock-21)
vmod(stock-21, owned-22)
prep(owned-22, by-23)
nn(funds-25, pension-24)
pobj(by-23, funds-25)
punct(hold-15, .-26)
punct(hold-15, -RRB--27)

det(problem-3, A-1)
amod(problem-3, further-2)
nsubj(profits-6, problem-3)
cop(profits-6, is-4)
amod(profits-6, razor-thin-5)
root(ROOT-0, profits-6)
punct(profits-6, .-7)

amod(funds-2, Plain-vanilla-1)
nsubj(become-4, funds-2)
aux(become-4, have-3)
root(ROOT-0, become-4)
advmod(commonplace-6, so-5)
acomp(become-4, commonplace-6)
mark(plunged-13, that-7)
nsubj(plunged-13, fees-8)
dep(charge-11, they-9)
aux(charge-11, can-10)
ccomp(fees-8, charge-11)
aux(plunged-13, have-12)
ccomp(commonplace-6, plunged-13)
prep(plunged-13, to-14)
advmod(nothing-16, almost-15)
pobj(to-14, nothing-16)
punct(plunged-13, ,-17)
cc(plunged-13, and-18)
prep(that-24, in-19)
det(cases-21, some-20)
pobj(in-19, cases-21)
cop(that-24, are-22)
advmod(that-24, just-23)
conj(plunged-13, that-24)
punct(become-4, .-25)

aux(land-2, To-1)
advcl(throw-15, land-2)
dobj(land-2, customers-3)
prep(customers-3, for-4)
poss(business-9, their-5)
amod(business-9, well-paying-6)
nn(business-9, stock-7)
amod(business-9, custodial-8)
pobj(for-4, business-9)
punct(throw-15, ,-10)
amod(banks-12, big-11)
nsubj(throw-15, banks-12)
advmod(throw-15, sometimes-13)
aux(throw-15, will-14)
root(ROOT-0, throw-15)
dep(throw-15, in-16)
amod(services-19, basic-17)
nn(services-19, indexing-18)
dobj(throw-15, services-19)
prep(services-19, for-20)
dep(for-20, free-21)
punct(throw-15, .-22)

punct(says-16, ``-1)
dep('s-3, It-2)
ccomp(says-16, 's-3)
prep('s-3, like-4)
pcomp(like-4, getting-5)
det(toaster-8, a-6)
amod(toaster-8, free-7)
dobj(getting-5, toaster-8)
advmod(open-11, when-9)
dep(open-11, you-10)
dep(getting-5, open-11)
det(account-13, an-12)
dobj(open-11, account-13)
punct(says-16, ,-14)
punct(says-16, ''-15)
root(ROOT-0, says-16)
nn(Core-18, Axe-17)
poss(Lynn-21, Core-18)
possessive(Core-18, 's-19)
nn(Lynn-21, Mr.-20)
nsubj(says-16, Lynn-21)
punct(says-16, .-22)

prep(looking-8, As-1)
det(result-3, a-2)
pobj(As-1, result-3)
punct(looking-8, ,-4)
dep(looking-8, indexers-5)
aux(looking-8, have-6)
aux(looking-8, been-7)
root(ROOT-0, looking-8)
prep(looking-8, for-9)
pobj(for-9, ways-10)
aux(give-12, to-11)
vmod(ways-10, give-12)
dep(give-12, investors-13)
dobj(give-12, something-14)
amod(something-14, more-15)
prep(more-15, than-16)
det(average-18, the-17)
pobj(than-16, average-18)
prep(give-12, for-19)
poss(money-21, their-20)
pobj(for-19, money-21)
punct(looking-8, .-22)

cc(been-4, And-1)
dep(been-4, many-2)
aux(been-4, have-3)
root(ROOT-0, been-4)
dep(been-4, successful-5)
punct(been-4, ,-6)
prep(been-4, as-7)
pcomp(as-7, in-8)
det(case-10, the-9)
pobj(in-8, case-10)
prep(case-10, of-11)
det(fund-14, the-12)
nn(fund-14, index-13)
pobj(of-11, fund-14)
vmod(fund-14, operated-15)
prep(operated-15, by-16)
nn(Capital-19, hyper-trader-17)
nn(Capital-19, Westridge-18)
pobj(by-16, Capital-19)
punct(been-4, .-20)

nn(Capital-2, Westridge-1)
nsubj(used-4, Capital-2)
aux(used-4, has-3)
root(ROOT-0, used-4)
amod(techniques-7, enhanced-5)
nn(techniques-7, indexing-6)
dobj(used-4, techniques-7)
aux(beat-9, to-8)
vmod(used-4, beat-9)
det(S&P-11, the-10)
poss(returns-14, S&P-11)
num(S&P-11, 500-12)
possessive(S&P-11, 's-13)
dobj(beat-9, returns-14)
prep(beat-9, by-15)
number(3-18, 2.5-16)
dep(3-18, to-17)
num(points-20, 3-18)
nn(points-20, percentage-19)
pobj(by-15, points-20)
prep(beat-9, over-21)
det(years-25, the-22)
amod(years-25, past-23)
num(years-25, four-24)
pobj(over-21, years-25)
punct(beat-9, ,-26)
prep(beat-9, with-27)
det(level-31, the-28)
amod(level-31, same-29)
nn(level-31, risk-30)
pobj(with-27, level-31)
prep(level-31, as-32)
pcomp(as-32, holding-33)
det(stocks-37, the-34)
nn(stocks-37, S&P-35)
num(stocks-37, 500-36)
dobj(holding-33, stocks-37)
punct(used-4, ,-38)
prep(used-4, according-39)
pcomp(according-39, to-40)
nn(Carder-42, James-41)
pobj(to-40, Carder-42)
punct(Carder-42, ,-43)
det(firm-45, the-44)
poss(president-47, firm-45)
possessive(firm-45, 's-46)
appos(Carder-42, president-47)
punct(used-4, .-48)

dep(vary-2, Strategies-1)
root(ROOT-0, vary-2)
prep(vary-2, for-3)
nn(Capital-5, Westridge-4)
pobj(for-3, Capital-5)
punct(Capital-5, ,-6)
dep(has-8, which-7)
dep(Capital-5, has-8)
dobj(has-8, $-9)
number(million-11, 300-10)
num($-9, million-11)
prep($-9, under-12)
dep(under-12, management-13)
punct(vary-2, .-14)

det(firm-2, The-1)
nsubj(buys-4, firm-2)
advmod(buys-4, sometimes-3)
root(ROOT-0, buys-4)
nn(futures-7, S&P-5)
num(futures-7, 500-6)
dobj(buys-4, futures-7)
advmod(selling-11, when-8)
dep(selling-11, they-9)
aux(selling-11, are-10)
dep(buys-4, selling-11)
prep(selling-11, at-12)
det(discount-14, a-13)
pobj(at-12, discount-14)
prep(discount-14, to-15)
det(stocks-18, the-16)
amod(stocks-18, actual-17)
pobj(to-15, stocks-18)
punct(buys-4, ,-19)
cc(buys-4, and-20)
aux(switch-22, will-21)
conj(buys-4, switch-22)
advmod(switch-22, back-23)
cc(back-23, and-24)
conj(back-23, forth-25)
prep(switch-22, between-26)
pobj(between-26, stocks-27)
cc(stocks-27, and-28)
amod(futures-30, stock-index-29)
conj(stocks-27, futures-30)
aux(take-32, to-31)
xcomp(switch-22, take-32)
dep(take-32, advantages-33)
prep(take-32, of-34)
det(discrepencies-38, any-35)
amod(discrepencies-38, momentary-36)
nn(discrepencies-38, price-37)
pobj(of-34, discrepencies-38)
punct(buys-4, .-39)

nn(Carder-2, Mr.-1)
nsubj(goes-4, Carder-2)
advmod(goes-4, also-3)
root(ROOT-0, goes-4)
prep(goes-4, through-5)
pobj(through-5, periods-6)
advmod(buys-9, when-7)
dep(buys-9, he-8)
ccomp(periods-6, buys-9)
dep(buys-9, stocks-10)
prep(buys-9, in-11)
pobj(in-11, conjunction-12)
prep(conjunction-12, with-13)
dep(with-13, options-14)
aux(boost-16, to-15)
xcomp(buys-9, boost-16)
dep(boost-16, returns-17)
cc(boost-16, and-18)
conj(boost-16, protect-19)
prep(protect-19, against-20)
dep(against-20, declines-21)
punct(goes-4, .-22)

cc(buys-7, And-1)
prep(buys-7, in-2)
det(months-4, some-3)
pobj(in-2, months-4)
punct(buys-7, ,-5)
dep(buys-7, he-6)
root(ROOT-0, buys-7)
amod(futures-9, stock-index-8)
dobj(buys-7, futures-9)
cc(futures-9, and-10)
neg(stocks-12, not-11)
conj(futures-9, stocks-12)
advmod(stocks-12, at-13)
pobj(at-13, all-14)
punct(buys-7, .-15)

punct(adds-22, ``-1)
prep(short-term-10, By-2)
poss(nature-4, their-3)
pobj(By-2, nature-4)
punct(short-term-10, ,-5)
poss(trades-7, our-6)
nsubj(short-term-10, trades-7)
cop(short-term-10, are-8)
advmod(short-term-10, very-9)
ccomp(adds-22, short-term-10)
cc(short-term-10, and-11)
aux(short-term-10, are-12)
dep(short-term-10, going-13)
aux(create-15, to-14)
xcomp(going-13, create-15)
amod(turnover-17, high-16)
dobj(create-15, turnover-17)
punct(adds-22, ,-18)
punct(adds-22, ''-19)
nn(Carder-21, Mr.-20)
nsubj(adds-22, Carder-21)
root(ROOT-0, adds-22)
punct(adds-22, .-23)

punct(for-8, ``-1)
det(turnover-4, The-2)
dep(turnover-4, more-3)
dep(for-8, turnover-4)
punct(for-8, ,-5)
det(for-8, the-6)
dep(for-8, better-7)
root(ROOT-0, for-8)
poss(clients-10, our-9)
pobj(for-8, clients-10)
punct(for-8, .-11)
punct(for-8, ''-12)

amod(Co.-5, Big-1)
nn(Co.-5, indexer-2)
nn(Co.-5, Bankers-3)
nn(Co.-5, Trust-4)
nsubj(uses-7, Co.-5)
advmod(uses-7, also-6)
root(ROOT-0, uses-7)
dep(uses-7, futures-8)
prep(uses-7, in-9)
det(strategy-11, a-10)
pobj(in-9, strategy-11)
mark(added-16, that-12)
prep(added-16, on-13)
dep(on-13, average-14)
aux(added-16, has-15)
dep(strategy-11, added-16)
num(point-19, one-17)
nn(point-19, percentage-18)
dobj(added-16, point-19)
prep(added-16, to-20)
poss(fund-23, its-21)
amod(fund-23, enhanced-22)
poss(returns-25, fund-23)
possessive(fund-23, 's-24)
pobj(to-20, returns-25)
punct(uses-7, .-26)

nn(Allen-3, J.-1)
nn(Allen-3, Thomas-2)
nsubj(agrees-13, Allen-3)
punct(Allen-3, ,-4)
appos(Allen-3, president-5)
prep(president-5, of-6)
amod(Inc.-11, Pittsburgh-based-7)
nn(Inc.-11, Advanced-8)
nn(Inc.-11, Investment-9)
nn(Inc.-11, Management-10)
pobj(of-6, Inc.-11)
punct(Allen-3, ,-12)
root(ROOT-0, agrees-13)
nsubj(idea-18, it-14)
cop(idea-18, 's-15)
det(idea-18, a-16)
amod(idea-18, good-17)
ccomp(agrees-13, idea-18)
aux(jump-20, to-19)
vmod(idea-18, jump-20)
prep(jump-20, between-21)
det(stocks-25, the-22)
nn(stocks-25, S&P-23)
num(stocks-25, 500-24)
pobj(between-21, stocks-25)
cc(stocks-25, and-26)
conj(stocks-25, futures-27)
punct(agrees-13, .-28)

punct(says-22, ``-1)
dep(buying-4, You-2)
aux(buying-4, 're-3)
ccomp(says-22, buying-4)
det(S&P-6, the-5)
dobj(buying-4, S&P-6)
punct(buying-4, ,-7)
cc(buying-4, and-8)
dep(want-11, you-9)
advmod(want-11, always-10)
conj(buying-4, want-11)
aux(hold-13, to-12)
xcomp(want-11, hold-13)
det(form-16, the-14)
amod(form-16, cheapest-15)
dobj(hold-13, form-16)
prep(form-16, of-17)
dep(of-17, it-18)
punct(says-22, ,-19)
punct(says-22, ''-20)
dep(says-22, he-21)
root(ROOT-0, says-22)
punct(says-22, .-23)

cc(make-4, But-1)
det(indexers-3, some-2)
nsubj(make-4, indexers-3)
root(ROOT-0, make-4)
amod(use-8, little-5)
cc(little-5, or-6)
conj(little-5, no-7)
dobj(make-4, use-8)
prep(use-8, of-9)
dep(of-9, futures-10)
punct(make-4, ,-11)
vmod(make-4, saying-12)
mark(present-16, that-13)
det(instruments-15, these-14)
