nn(Cos.-4, Marsh-1)
nn(Smith-24, A.J.C.-23)
nsubj(said-22, Smith-24)
punct(Smith-24, ,-25)
poss(president-30, Marsh-26)
cc(Marsh-26, &-27)
conj(Marsh-26, McLennan-28)
possessive(Marsh-26, 's-29)
appos(Smith-24, president-30)
punct(Smith-24, ,-31)
prep(said-22, at-32)
det(conference-36, a-33)
nn(conference-36, London-34)
nn(conference-36, news-35)
pobj(at-32, conference-36)
dep(said-22, yesterday-37)
punct(said-22, .-38)

dep(speculated-2, Analysts-1)
root(ROOT-0, speculated-2)
mark(spend-8, that-3)
nsubj(spend-8, Marsh-4)
cc(Marsh-4, &-5)
conj(Marsh-4, McLennan-6)
aux(spend-8, would-7)
ccomp(speculated-2, spend-8)
prep(spend-8, between-9)
number(million-11, 250-10)
num(marks-12, million-11)
pobj(between-9, marks-12)
punct($-14, -LRB--13)
dep(marks-12, $-14)
number(million-16, 136.4-15)
num($-14, million-16)
punct($-14, -RRB--17)
cc(marks-12, and-18)
number(million-20, 350-19)
num(marks-21, million-20)
conj(marks-12, marks-21)
prep(spend-8, for-22)
det(rest-24, the-23)
pobj(for-22, rest-24)
prep(rest-24, of-25)
pobj(of-25, Gradmann-26)
cc(Gradmann-26, &-27)
conj(Gradmann-26, Holler-28)
punct(spend-8, ,-29)
cc(spend-8, or-30)
quantmod(times-35, roughly-31)
number(times-35, 25-32)
dep(times-35, to-33)
number(times-35, 30-34)
num(earnings-41, times-35)
det(firm-38, the-36)
amod(firm-38, private-37)
poss(earnings-41, firm-38)
possessive(firm-38, 's-39)
amod(earnings-41, estimated-40)
conj(spend-8, earnings-41)
punct(speculated-2, .-42)

punct(said-21, ``-1)
dep(paying-4, This-2)
aux(paying-4, is-3)
ccomp(said-21, paying-4)
det(price-7, a-5)
amod(price-7, big-6)
dobj(paying-4, price-7)
aux(maintain-9, to-8)
vmod(paying-4, maintain-9)
poss(virility-11, their-10)
dobj(maintain-9, virility-11)
prep(virility-11, as-12)
det(world-14, the-13)
poss(broker-18, world-14)
possessive(world-14, 's-15)
amod(broker-18, leading-16)
nn(broker-18, insurance-17)
pobj(as-12, broker-18)
punct(said-21, ,-19)
punct(said-21, ''-20)
root(ROOT-0, said-21)
nn(Olsen-23, Philip-22)
nsubj(said-21, Olsen-23)
punct(Olsen-23, ,-24)
det(analyst-26, an-25)
appos(Olsen-23, analyst-26)
prep(analyst-26, at-27)
pobj(at-27, Kitcat-28)
cc(Kitcat-28, &-29)
conj(Kitcat-28, Aitken-30)
punct(Kitcat-28, ,-31)
det(firm-35, a-32)
nn(firm-35, U.K.-33)
nn(firm-35, brokerage-34)
appos(Kitcat-28, firm-35)
punct(said-21, .-36)

advmod(year-3, Earlier-1)
det(year-3, this-2)
tmod(agreed-10, year-3)
punct(agreed-10, ,-4)
nn(Co.-9, New-5)
nn(Co.-9, York-6)
nn(Co.-9, Life-7)
nn(Co.-9, Insurance-8)
nsubj(agreed-10, Co.-9)
root(ROOT-0, agreed-10)
aux(acquire-12, to-11)
xcomp(agreed-10, acquire-12)
nn(Ltd.-15, Windsor-13)
nn(Ltd.-15, Group-14)
dobj(acquire-12, Ltd.-15)
punct(agreed-10, ,-16)
det(step-19, a-17)
amod(step-19, first-18)
dobj(agreed-10, step-19)
prep(step-19, toward-20)
pcomp(toward-20, establishing-21)
det(presence-23, a-22)
dobj(establishing-21, presence-23)
prep(establishing-21, in-24)
det(market-27, the-25)
amod(market-27, European-26)
pobj(in-24, market-27)
advmod(establishing-21, ahead-28)
prep(ahead-28, of-29)
dep(of-29, 1992-30)
punct(agreed-10, .-31)

cc(rushed-7, But-1)
amod(insurers-4, most-2)
nn(insurers-4, U.S.-3)
nsubj(rushed-7, insurers-4)
aux(rushed-7, have-5)
neg(rushed-7, n't-6)
root(ROOT-0, rushed-7)
aux(change-9, to-8)
xcomp(rushed-7, change-9)
det(way-11, the-10)
dobj(change-9, way-11)
dep(do-13, they-12)
rcmod(way-11, do-13)
dep(do-13, business-14)
prep(do-13, in-15)
dep(in-15, Europe-16)
mark(believe-19, because-17)
dep(believe-19, they-18)
advcl(rushed-7, believe-19)
det(market-22, the-20)
amod(market-22, European-21)
nsubjpass(dominated-26, market-22)
aux(dominated-26, will-23)
advmod(dominated-26, still-24)
auxpass(dominated-26, be-25)
ccomp(believe-19, dominated-26)
prep(dominated-26, by-27)
det(handful-29, a-28)
pobj(by-27, handful-29)
prep(handful-29, of-30)
amod(companies-32, domestic-31)
pobj(of-30, companies-32)
punct(rushed-7, .-33)

prep(gain-10, Under-1)
det(combination-4, the-2)
amod(combination-4, proposed-3)
pobj(Under-1, combination-4)
punct(gain-10, ,-5)
nsubj(gain-10, Marsh-6)
cc(Marsh-6, &-7)
conj(Marsh-6, McLennan-8)
aux(gain-10, would-9)
root(ROOT-0, gain-10)
det(stake-13, a-11)
nn(stake-13, majority-12)
dobj(gain-10, stake-13)
prep(stake-13, in-14)
pobj(in-14, Gradmann-15)
cc(Gradmann-15, &-16)
conj(Gradmann-15, Holler-17)
dep(increase-20, that-18)
aux(increase-20, would-19)
dep(stake-13, increase-20)
prep(increase-20, over-21)
dep(over-21, time-22)
prep(increase-20, to-23)
det(rest-25, the-24)
pobj(to-23, rest-25)
prep(rest-25, of-26)
det(%-30, the-27)
amod(%-30, remaining-28)
num(%-30, 85-29)
pobj(of-26, %-30)
punct(gain-10, .-31)

det(partners-5, The-1)
num(partners-5, three-2)
amod(partners-5, managing-3)
amod(partners-5, general-4)
nsubj(receive-7, partners-5)
aux(receive-7, would-6)
ccomp(said-19, receive-7)
det(number-12, a-8)
punct(number-12, ``-9)
amod(number-12, significant-10)
punct(number-12, ''-11)
dobj(receive-7, number-12)
prep(number-12, of-13)
nn(shares-17, Marsh-14)
cc(Marsh-14, &-15)
conj(Marsh-14, McLennan-16)
pobj(of-13, shares-17)
punct(said-19, ,-18)
root(ROOT-0, said-19)
nn(Kiep-22, Walther-20)
nn(Kiep-22, L.-21)
nsubj(said-19, Kiep-22)
punct(Kiep-22, ,-23)
det(partner-25, a-24)
appos(Kiep-22, partner-25)
dep(join-29, who-26)
aux(join-29, would-27)
advmod(join-29, also-28)
dep(partner-25, join-29)
poss(board-34, Marsh-30)
cc(Marsh-30, &-31)
conj(Marsh-30, McLennan-32)
possessive(Marsh-30, 's-33)
dobj(join-29, board-34)
punct(said-19, .-35)

nn(Kiep-2, Mr.-1)
nsubj(said-3, Kiep-2)
root(ROOT-0, said-3)
dep(sought-5, he-4)
ccomp(said-3, sought-5)
det(combination-7, the-6)
dobj(sought-5, combination-7)
mark(becoming-17, because-8)
punct(becoming-17, ``-9)
predet(clients-13, all-10)
poss(clients-13, our-11)
amod(clients-13, large-12)
nsubj(becoming-17, clients-13)
prep(clients-13, in-14)
dep(in-14, Germany-15)
aux(becoming-17, are-16)
advcl(sought-5, becoming-17)
nn(companies-19, European-18)
xcomp(becoming-17, companies-19)
cc(companies-19, or-20)
amod(companies-22, multinational-21)
conj(companies-19, companies-22)
cc(becoming-17, and-23)
dep(expect-25, they-24)
conj(becoming-17, expect-25)
det(broker-28, an-26)
nn(broker-28, insurance-27)
dobj(expect-25, broker-28)
punct(serve-31, ''-29)
aux(serve-31, to-30)
xcomp(expect-25, serve-31)
dep(serve-31, them-32)
advmod(well-34, as-33)
advmod(serve-31, well-34)
prep(serve-31, in-35)
dep(in-35, Paris-36)
prep(serve-31, as-37)
pcomp(as-37, in-38)
dep(in-38, Germany-39)
punct(said-3, .-40)

nn(Garcia-3, Beatrice-1)
nn(Garcia-3, E.-2)
nsubj(contributed-6, Garcia-3)
prep(Garcia-3, in-4)
dep(in-4, Philadelphia-5)
root(ROOT-0, contributed-6)
prep(contributed-6, to-7)
det(article-9, this-8)
pobj(to-7, article-9)
punct(contributed-6, .-10)

root(ROOT-0, WASHINGTON-1)
punct(WASHINGTON-1, ---2)

nn(Corp.-3, United-1)
nn(Corp.-3, Technologies-2)
nsubj(won-4, Corp.-3)
root(ROOT-0, won-4)
det(contract-10, an-5)
amod(contract-10, $-6)
number(million-8, 18-7)
num($-6, million-8)
nn(contract-10, Army-9)
dobj(won-4, contract-10)
prep(contract-10, for-11)
nn(modifications-13, helicopter-12)
pobj(for-11, modifications-13)
cc(modifications-13, and-14)
amod(parts-16, spare-15)
conj(modifications-13, parts-16)
punct(won-4, .-17)

det(company-2, The-1)
nsubj(modify-4, company-2)
aux(modify-4, will-3)
root(ROOT-0, modify-4)
num(helicopter-9, one-5)
nn(helicopter-9, UH-60A-6)
nn(helicopter-9, Blackhawk-7)
nn(helicopter-9, transport-8)
dobj(modify-4, helicopter-9)
prep(modify-4, to-10)
det(configuration-14, the-11)
nn(configuration-14, prototype-12)
nn(configuration-14, MH-60K-13)
pobj(to-10, configuration-14)
prep(modify-4, for-15)
pobj(for-15, use-16)
prep(use-16, by-17)
amod(forces-20, military-18)
amod(forces-20, special-19)
pobj(by-17, forces-20)
punct(modify-4, .-21)

nn(Inc.-3, Ingalls-1)
nn(Inc.-3, Shipbuilding-2)
nsubjpass(given-13, Inc.-3)
punct(Inc.-3, ,-4)
det(division-6, a-5)
appos(Inc.-3, division-6)
prep(division-6, of-7)
nn(Inc.-10, Litton-8)
nn(Inc.-10, Industries-9)
pobj(of-7, Inc.-10)
punct(Inc.-3, ,-11)
auxpass(given-13, was-12)
root(ROOT-0, given-13)
det(extension-18, a-14)
amod(extension-18, $-15)
number(million-17, 15.5-16)
num($-15, million-17)
dobj(given-13, extension-18)
prep(extension-18, on-19)
det(contract-21, a-20)
pobj(on-19, contract-21)
prep(contract-21, for-22)
nn(services-24, shipyard-23)
pobj(for-22, services-24)
punct(given-13, .-25)

nn(Co.-3, Furukawa-1)
nn(Co.-3, Electric-2)
nsubj(said-4, Co.-3)
root(ROOT-0, said-4)
dep(plans-6, it-5)
ccomp(said-4, plans-6)
aux(increase-8, to-7)
xcomp(plans-6, increase-8)
dobj(increase-8, production-9)
prep(production-9, of-10)
nn(devices-13, computer-11)
nn(devices-13, memory-12)
pobj(of-10, devices-13)
prep(increase-8, on-14)
det(scale-17, a-15)
amod(scale-17, large-16)
pobj(on-14, scale-17)
prep(increase-8, in-18)
det(U.S.-20, the-19)
pobj(in-18, U.S.-20)
cc(U.S.-20, and-21)
conj(U.S.-20, Japan-22)
punct(said-4, .-23)

prep(purchased-17, As-1)
pobj(As-1, part-2)
prep(part-2, of-3)
det(move-5, the-4)
pobj(of-3, move-5)
punct(purchased-17, ,-6)
poss(company-10, its-7)
amod(company-10, affiliated-8)
nn(company-10, U.S.-9)
nsubj(purchased-17, company-10)
punct(company-10, ,-11)
nn(Corp.-15, International-12)
nn(Corp.-15, Components-13)
nn(Corp.-15, Technology-14)
appos(company-10, Corp.-15)
punct(company-10, ,-16)
root(ROOT-0, purchased-17)
det(plant-20, a-18)
amod(plant-20, Mexican-19)
dobj(purchased-17, plant-20)
advmod(belonging-22, formerly-21)
vmod(plant-20, belonging-22)
prep(belonging-22, to-23)
nn(Inc-27, KSI-24)
nn(Inc-27, Disc-25)
nn(Inc-27, Products-26)
pobj(to-23, Inc-27)
punct(purchased-17, .-28)

det(price-2, The-1)
nsubjpass(disclosed-5, price-2)
auxpass(disclosed-5, was-3)
neg(disclosed-5, n't-4)
root(ROOT-0, disclosed-5)
punct(disclosed-5, .-6)

advmod(said-11, Together-1)
prep(Together-1, with-2)
num(plants-5, two-3)
amod(plants-5, existing-4)
pobj(with-2, plants-5)
prep(plants-5, in-6)
det(U.S.-8, the-7)
pobj(in-6, U.S.-8)
punct(said-11, ,-9)
dep(said-11, Furukawa-10)
root(ROOT-0, said-11)
dep(expand-14, it-12)
aux(expand-14, will-13)
ccomp(said-11, expand-14)
poss(production-19, its-15)
amod(production-19, current-16)
amod(production-19, local-17)
amod(production-19, monthly-18)
dobj(expand-14, production-19)
prep(production-19, of-20)
nn(disks-22, memory-21)
pobj(of-20, disks-22)
prep(expand-14, to-23)
number(million-25, 1.4-24)
num(sheets-26, million-25)
pobj(to-23, sheets-26)
prep(expand-14, from-27)
dep(from-27, 800,000-28)
punct(said-11, .-29)

prep(said-5, In-1)
dep(In-1, Japan-2)
punct(said-5, ,-3)
dep(said-5, Furukawa-4)
root(ROOT-0, said-5)
dep(raise-8, it-6)
aux(raise-8, will-7)
ccomp(said-5, raise-8)
dep(raise-8, production-9)
prep(raise-8, at-10)
det(plant-12, a-11)
pobj(at-10, plant-12)
prep(plant-12, outside-13)
dep(outside-13, Tokyo-14)
prep(raise-8, to-15)
num(sheets-17, 300,000-16)
pobj(to-15, sheets-17)
amod(sheets-17, monthly-18)
prep(raise-8, from-19)
dep(from-19, 100,000-20)
punct(said-5, .-21)

dep(said-2, Furukawa-1)
root(ROOT-0, said-2)
det(market-5, the-3)
nn(market-5, U.S.-4)
nsubj(strengthening-7, market-5)
aux(strengthening-7, is-6)
ccomp(said-2, strengthening-7)
advmod(gains-12, as-8)
amod(technology-11, related-9)
nn(technology-11, computer-10)
nsubj(gains-12, technology-11)
ccomp(strengthening-7, gains-12)
prep(gains-12, in-13)
pobj(in-13, sophistication-14)
cc(sophistication-14, and-15)
conj(sophistication-14, quality-16)
punct(said-2, .-17)

nn(Corp.-2, PRIMERICA-1)
nsubj(raised-7, Corp.-2)
punct(Corp.-2, ,-3)
nn(York-5, New-4)
appos(Corp.-2, York-5)
punct(Corp.-2, ,-6)
root(ROOT-0, raised-7)
poss(%-11, its-8)
amod(%-11, quarterly-9)
num(%-11, 14-10)
dobj(raised-7, %-11)
prep(raised-7, to-12)
num(cents-14, eight-13)
pobj(to-12, cents-14)
det(share-16, a-15)
dep(cents-14, share-16)
punct(raised-7, ,-17)
prep(raised-7, from-18)
num(cents-20, seven-19)
pobj(from-18, cents-20)
punct(raised-7, ,-21)
dep(raised-7, payable-22)
tmod(payable-22, Nov.-23)
num(Nov.-23, 24-24)
prep(payable-22, to-25)
pobj(to-25, stock-26)
prep(stock-26, of-27)
dep(of-27, record-28)
dep(stock-26, Nov.-29)
num(Nov.-29, 6-30)
punct(raised-7, .-31)

det(company-4, The-1)
amod(company-4, financial-2)
nn(company-4, services-3)
nsubj(noted-14, company-4)
punct(company-4, ,-5)
dep(has-7, which-6)
dep(company-4, has-7)
quantmod(million-10, about-8)
number(million-10, 98.8-9)
num(shares-11, million-10)
dobj(has-7, shares-11)
amod(shares-11, outstanding-12)
punct(company-4, ,-13)
root(ROOT-0, noted-14)
poss(confidence-18, its-15)
punct(confidence-18, ``-16)
amod(confidence-18, continued-17)
dobj(noted-14, confidence-18)
prep(confidence-18, in-19)
det(strength-22, the-20)
amod(strength-22, ongoing-21)
pobj(in-19, strength-22)
prep(strength-22, of-23)
det(operations-25, the-24)
pobj(of-23, operations-25)
punct(noted-14, .-26)

nn(Corp.-3, Compaq-1)
nn(Corp.-3, Computer-2)
nsubj(said-4, Corp.-3)
root(ROOT-0, said-4)
mark(rose-9, that-5)
poss(income-8, its-6)
nn(income-8, net-7)
nsubj(rose-9, income-8)
ccomp(said-4, rose-9)
num(%-11, 51-10)
dobj(rose-9, %-11)
prep(rose-9, in-12)
det(quarter-15, the-13)
amod(quarter-15, third-14)
pobj(in-12, quarter-15)
punct(rose-9, ,-16)
dep(rose-9, bolstered-17)
prep(bolstered-17, by-18)
amod(gains-20, unusual-19)
pobj(by-18, gains-20)
prep(gains-20, from-21)
poss(investment-23, its-22)
pobj(from-21, investment-23)
prep(investment-23, in-24)
det(maker-27, a-25)
nn(maker-27, disk-drive-26)
pobj(in-24, maker-27)
cc(bolstered-17, and-28)
conj(bolstered-17, reflecting-29)
amod(growth-31, continued-30)
dobj(reflecting-29, growth-31)
prep(growth-31, in-32)
poss(operations-35, its-33)
amod(operations-35, European-34)
pobj(in-32, operations-35)
punct(said-4, .-36)

det(maker-3, The-1)
nn(maker-3, computer-2)
nsubj(said-4, maker-3)
root(ROOT-0, said-4)
dep(jumped-6, net-5)
ccomp(said-4, jumped-6)
prep(jumped-6, to-7)
pobj(to-7, $-8)
number(million-10, 87-9)
num($-8, million-10)
punct($-8, ,-11)
cc($-8, or-12)
conj($-8, $-13)
num($-13, 2.02-14)
det(share-16, a-15)
dep($-13, share-16)
punct($-8, ,-17)
prep(jumped-6, from-18)
pobj(from-18, $-19)
number(million-21, 58-20)
num($-19, million-21)
punct($-19, ,-22)
cc($-19, or-23)
conj($-19, $-24)
num($-24, 1.40-25)
det(share-27, a-26)
dep($-24, share-27)
punct($-19, ,-28)
det(year-30, a-29)
npadvmod(earlier-31, year-30)
advmod(from-18, earlier-31)
punct(said-4, .-32)

dep(increased-2, Sales-1)
root(ROOT-0, increased-2)
num(%-4, 36-3)
dobj(increased-2, %-4)
prep(increased-2, to-5)
pobj(to-5, $-6)
number(million-8, 683-7)
num($-6, million-8)
prep(increased-2, from-9)
pobj(from-9, $-10)
number(million-12, 502-11)
num($-10, million-12)
punct(increased-2, .-13)

det(quarter-3, The-1)
amod(quarter-3, latest-2)
poss(results-5, quarter-3)
possessive(quarter-3, 's-4)
nsubj(included-9, results-5)
punct(included-9, ,-6)
advmod(included-9, however-7)
punct(included-9, ,-8)
root(ROOT-0, included-9)
det(gain-12, a-10)
nn(gain-12, pretax-11)
dobj(included-9, gain-12)
prep(gain-12, of-13)
pobj(of-13, $-14)
number(million-16, 13.7-15)
num($-14, million-16)
punct($-14, ,-17)
cc($-14, or-18)
num(cents-20, 20-19)
conj($-14, cents-20)
det(share-22, a-21)
dep(cents-20, share-22)
punct($-14, ,-23)
prep(gain-12, in-24)
det(value-27, the-25)
amod(value-27, carrying-26)
pobj(in-24, value-27)
prep(value-27, of-28)
det(company-30, the-29)
poss(investment-32, company-30)
possessive(company-30, 's-31)
pobj(of-28, investment-32)
prep(investment-32, in-33)
nn(Inc.-36, Conner-34)
nn(Inc.-36, Peripherals-35)
pobj(in-33, Inc.-36)
cc(gain-12, and-37)
det(gain-42, a-38)
amod(gain-42, $-39)
number(million-41, 7.6-40)
num($-39, million-41)
conj(gain-12, gain-42)
punct(gain-42, ,-43)
cc(gain-42, or-44)
num(cents-46, 11-45)
conj(gain-42, cents-46)
det(share-48, a-47)
dep(cents-46, share-48)
punct(gain-42, ,-49)
prep(gain-42, from-50)
det(sale-52, the-51)
pobj(from-50, sale-52)
prep(sale-52, of-53)
number(million-55, one-54)
num(shares-57, million-55)
nn(shares-57, Conner-56)
pobj(of-53, shares-57)
punct(included-9, .-58)

nsubj($-7, Net-1)
prep(Net-1, for-2)
det(months-5, the-3)
num(months-5, nine-4)
pobj(for-2, months-5)
cop($-7, was-6)
root(ROOT-0, $-7)
number(million-9, 254-8)
num($-7, million-9)
punct($-7, ,-10)
cc($-7, or-11)
conj($-7, $-12)
num($-12, 5.94-13)
det(share-15, a-14)
dep($-12, share-15)
punct($-7, ,-16)
advmod($-7, up-17)
num(%-19, 56-18)
pobj(up-17, %-19)
prep(up-17, from-20)
pobj(from-20, $-21)
number(million-23, 163-22)
num($-21, million-23)
punct($-21, ,-24)
cc($-21, or-25)
conj($-21, $-26)
num($-26, 4.06-27)
det(share-29, a-28)
dep($-26, share-29)
punct($-21, ,-30)
det(year-32, a-31)
npadvmod(earlier-33, year-32)
advmod(from-20, earlier-33)
punct($-7, .-34)

dep(rose-2, Sales-1)
root(ROOT-0, rose-2)
num(%-4, 50-3)
dobj(rose-2, %-4)
prep(rose-2, to-5)
pobj(to-5, $-6)
number(billion-8, 2.1-7)
num($-6, billion-8)
prep(rose-2, from-9)
pobj(from-9, $-10)
number(billion-12, 1.4-11)
num($-10, billion-12)
punct(rose-2, .-13)

nsubj(included-8, Net-1)
prep(Net-1, for-2)
det(months-6, the-3)
amod(months-6, year-earlier-4)
num(months-6, nine-5)
pobj(for-2, months-6)
advmod(included-8, also-7)
root(ROOT-0, included-8)
det(gain-10, a-9)
dobj(included-8, gain-10)
prep(gain-10, of-11)
pobj(of-11, $-12)
number(million-14, 9.7-13)
num($-12, million-14)
punct($-12, ,-15)
cc($-12, or-16)
num(cents-18, 15-17)
conj($-12, cents-18)
det(share-20, a-19)
dep(cents-18, share-20)
punct($-12, ,-21)
prep(gain-10, in-22)
det(value-25, the-23)
amod(value-25, carrying-24)
pobj(in-22, value-25)
prep(value-25, of-26)
det(investment-29, the-27)
nn(investment-29, Conner-28)
pobj(of-26, investment-29)
punct(included-8, .-30)

nn(Swavely-2, Michael-1)
nsubj(attributed-12, Swavely-2)
punct(Swavely-2, ,-3)
appos(Swavely-2, president-4)
prep(president-4, of-5)
poss(division-10, Compaq-6)
possessive(Compaq-6, 's-7)
nn(division-10, North-8)
nn(division-10, America-9)
pobj(of-5, division-10)
punct(Swavely-2, ,-11)
root(ROOT-0, attributed-12)
det(company-14, the-13)
poss(performance-17, company-14)
possessive(company-14, 's-15)
nn(performance-17, third-quarter-16)
dobj(attributed-12, performance-17)
prep(attributed-12, to-18)
amod(increases-20, continued-19)
pobj(to-18, increases-20)
prep(increases-20, in-21)
amod(sales-23, international-22)
pobj(in-21, sales-23)
punct(sales-23, ,-24)
dep(accounted-26, which-25)
dep(sales-23, accounted-26)
prep(accounted-26, for-27)
num(%-29, 43-28)
pobj(for-27, %-29)
prep(%-29, of-30)
det(company-32, the-31)
poss(sales-34, company-32)
possessive(company-32, 's-33)
pobj(of-30, sales-34)
punct(%-29, ,-35)
det(increase-39, a-36)
number(%-38, 74-37)
amod(increase-39, %-38)
appos(%-29, increase-39)
prep(increase-39, from-40)
det(year-42, a-41)
npadvmod(earlier-43, year-42)
pcomp(from-40, earlier-43)
punct(attributed-12, .-44)

punct(said-32, ``-1)
prep(surprised-12, Over-2)
det(couple-5, the-3)
amod(couple-5, next-4)
pobj(Over-2, couple-5)
prep(couple-5, of-6)
dep(of-6, years-7)
dep(surprised-12, we-8)
aux(surprised-12, would-9)
neg(surprised-12, not-10)
auxpass(surprised-12, be-11)
ccomp(said-32, surprised-12)
aux(see-14, to-13)
xcomp(surprised-12, see-14)
nsubj(represent-21, Europe-15)
cc(Europe-15, and-16)
amod(sales-19, international-17)
punct(sales-19, -LCB--18)
conj(Europe-15, sales-19)
punct(sales-19, -RCB--20)
ccomp(see-14, represent-21)
num(%-23, 50-22)
dobj(represent-21, %-23)
prep(%-23, of-24)
det(company-26, the-25)
poss(revenues-28, company-26)
possessive(company-26, 's-27)
pobj(of-24, revenues-28)
punct(said-32, ,-29)
punct(said-32, ''-30)
dep(said-32, he-31)
root(ROOT-0, said-32)
punct(said-32, .-33)

prep(purchased-7, During-1)
det(quarter-4, the-2)
amod(quarter-4, third-3)
pobj(During-1, quarter-4)
punct(purchased-7, ,-5)
dep(purchased-7, Compaq-6)
root(ROOT-0, purchased-7)
det(facility-13, a-8)
amod(facility-13, former-9)
nn(facility-13, Wang-10)
nn(facility-13, Laboratories-11)
amod(facility-13, manufacturing-12)
dobj(purchased-7, facility-13)
prep(facility-13, in-14)
nn(Scotland-17, Stirling-15)
punct(Scotland-17, ,-16)
pobj(in-14, Scotland-17)
punct(Scotland-17, ,-18)
dep(used-22, which-19)
aux(used-22, will-20)
auxpass(used-22, be-21)
dep(facility-13, used-22)
prep(used-22, for-23)
amod(service-25, international-24)
pobj(for-23, service-25)
cc(service-25, and-26)
nn(operations-28, repair-27)
conj(service-25, operations-28)
punct(purchased-7, .-29)

nn(Swavely-2, Mr.-1)
nsubj(said-3, Swavely-2)
root(ROOT-0, said-3)
det(space-6, the-4)
amod(space-6, new-5)
nsubj(allow-8, space-6)
aux(allow-8, will-7)
