advmod(Monday-7, No-1)
conj(BankAmerica-10, Morris-19)
cc(BankAmerica-10, and-20)
nn(Group-23, Pacific-21)
nn(Group-23, Telesis-22)
conj(BankAmerica-10, Group-23)
punct(stocks-4, ---24)
root(ROOT-0, stopped-25)
dep(stopped-25, trading-26)
cc(stopped-25, and-27)
neg(resumed-29, never-28)
conj(stopped-25, resumed-29)
punct(stopped-25, .-30)

det(finger-pointing-2, The-1)
nsubj(begun-5, finger-pointing-2)
dep(begun-5, has-3)
advmod(begun-5, already-4)
root(ROOT-0, begun-5)
punct(begun-5, .-6)

punct(was-5, ``-1)
det(market-4, The-2)
nn(market-4, equity-3)
nsubj(was-5, market-4)
root(ROOT-0, was-5)
dep(was-5, illiquid-6)
punct(was-5, .-7)

advmod(again-2, Once-1)
advmod(able-9, again-2)
punct(able-9, -LCB--3)
det(specialists-5, the-4)
nsubj(able-9, specialists-5)
punct(able-9, -RCB--6)
cop(able-9, were-7)
neg(able-9, not-8)
ccomp(said-25, able-9)
aux(handle-11, to-10)
xcomp(able-9, handle-11)
det(imbalances-13, the-12)
dobj(handle-11, imbalances-13)
prep(imbalances-13, on-14)
det(floor-16, the-15)
pobj(on-14, floor-16)
prep(floor-16, of-17)
det(Exchange-22, the-18)
nn(Exchange-22, New-19)
nn(Exchange-22, York-20)
nn(Exchange-22, Stock-21)
pobj(of-17, Exchange-22)
punct(said-25, ,-23)
punct(said-25, ''-24)
root(ROOT-0, said-25)
nn(Pedersen-27, Christopher-26)
nsubj(said-25, Pedersen-27)
punct(Pedersen-27, ,-28)
amod(president-31, senior-29)
nn(president-31, vice-30)
appos(Pedersen-27, president-31)
prep(president-31, at-32)
nn(Corp-35, Twenty-First-33)
nn(Corp-35, Securities-34)
pobj(at-32, Corp-35)
punct(said-25, .-36)

root(ROOT-0, Countered-1)
nn(Maguire-3, James-2)
nsubj(Countered-1, Maguire-3)
punct(Maguire-3, ,-4)
appos(Maguire-3, chairman-5)
prep(chairman-5, of-6)
nn(Inc.-10, specialists-7)
nn(Inc.-10, Henderson-8)
nn(Inc.-10, Brothers-9)
pobj(of-6, Inc.-10)
punct(Countered-1, :-11)
punct(Countered-1, ``-12)
nsubj(is-14, It-13)
ccomp(Countered-1, is-14)
dep(is-14, easy-15)
aux(say-17, to-16)
xcomp(is-14, say-17)
det(specialist-19, the-18)
nsubj(doing-22, specialist-19)
aux(doing-22, is-20)
neg(doing-22, n't-21)
ccomp(say-17, doing-22)
poss(job-24, his-23)
dobj(doing-22, job-24)
punct(Countered-1, .-25)

advmod(is-4, When-1)
det(dollar-3, the-2)
nsubj(is-4, dollar-3)
advcl(stop-14, is-4)
prep(is-4, in-5)
det(free-fall-7, a-6)
pobj(in-5, free-fall-7)
punct(stop-14, ,-8)
advmod(banks-11, even-9)
amod(banks-11, central-10)
nsubj(stop-14, banks-11)
aux(stop-14, ca-12)
neg(stop-14, n't-13)
root(ROOT-0, stop-14)
dep(stop-14, it-15)
punct(stop-14, .-16)

dep(calling-3, Speculators-1)
aux(calling-3, are-2)
root(ROOT-0, calling-3)
prep(calling-3, for-4)
det(degree-6, a-5)
pobj(for-4, degree-6)
prep(degree-6, of-7)
dep(of-7, liquidity-8)
dep(is-10, that-9)
dep(degree-6, is-10)
neg(is-10, not-11)
advmod(is-10, there-12)
prep(is-10, in-13)
det(market-15, the-14)
pobj(in-13, market-15)
punct(calling-3, .-16)
punct(calling-3, ''-17)

amod(managers-3, Many-1)
nn(managers-3, money-2)
nsubj(left-9, managers-3)
cc(managers-3, and-4)
det(traders-6, some-5)
conj(managers-3, traders-6)
aux(left-9, had-7)
advmod(left-9, already-8)
root(ROOT-0, left-9)
poss(offices-11, their-10)
dep(left-9, offices-11)
advmod(afternoon-14, early-12)
nn(afternoon-14, Friday-13)
dobj(left-9, afternoon-14)
prep(left-9, on-15)
det(day-19, a-16)
amod(day-19, warm-17)
nn(day-19, autumn-18)
pobj(on-15, day-19)
punct(left-9, ---20)
mark(quiet-27, because-21)
det(market-24, the-22)
nn(market-24, stock-23)
nsubj(quiet-27, market-24)
cop(quiet-27, was-25)
advmod(quiet-27, so-26)
advcl(left-9, quiet-27)
punct(left-9, .-28)

advmod(surrendered-15, Then-1)
prep(surrendered-15, in-2)
det(plunge-5, a-3)
nn(plunge-5, lightning-4)
pobj(in-2, plunge-5)
punct(surrendered-15, ,-6)
det(industrials-10, the-7)
nn(industrials-10, Dow-8)
nn(industrials-10, Jones-9)
nsubj(surrendered-15, industrials-10)
prep(surrendered-15, in-11)
quantmod(an-13, barely-12)
num(hour-14, an-13)
pobj(in-11, hour-14)
root(ROOT-0, surrendered-15)
quantmod(a-17, about-16)
num(third-18, a-17)
dobj(surrendered-15, third-18)
prep(third-18, of-19)
poss(gains-21, their-20)
pobj(of-19, gains-21)
det(year-23, this-22)
dep(gains-21, year-23)
punct(surrendered-15, ,-24)
vmod(surrendered-15, chalking-25)
dep(chalking-25, up-26)
det(loss-34, a-27)
amod(loss-34, 190.58-point-28)
punct(190.58-point-28, ,-29)
cc(190.58-point-28, or-30)
number(%-32, 6.9-31)
conj(190.58-point-28, %-32)
punct(190.58-point-28, ,-33)
dobj(chalking-25, loss-34)
prep(loss-34, on-35)
det(day-37, the-36)
pobj(on-35, day-37)
prep(chalking-25, in-38)
amod(volume-41, gargantuan-39)
nn(volume-41, trading-40)
pobj(in-38, volume-41)
punct(surrendered-15, .-42)

amod(trading-2, Final-hour-1)
nsubj(accelerated-3, trading-2)
root(ROOT-0, accelerated-3)
prep(accelerated-3, to-4)
number(million-6, 108.1-5)
num(shares-7, million-6)
pobj(to-4, shares-7)
punct(shares-7, ,-8)
det(record-10, a-9)
appos(shares-7, record-10)
prep(record-10, for-11)
det(Board-14, the-12)
nn(Board-14, Big-13)
pobj(for-11, Board-14)
punct(accelerated-3, .-15)

prep(traded-12, At-1)
det(end-3, the-2)
pobj(At-1, end-3)
prep(end-3, of-4)
det(day-6, the-5)
pobj(of-4, day-6)
punct(traded-12, ,-7)
number(million-9, 251.2-8)
num(shares-10, million-9)
nsubjpass(traded-12, shares-10)
auxpass(traded-12, were-11)
root(ROOT-0, traded-12)
punct(traded-12, .-13)

det(industrials-4, The-1)
nn(industrials-4, Dow-2)
nn(industrials-4, Jones-3)
nsubj(closed-5, industrials-4)
root(ROOT-0, closed-5)
prep(closed-5, at-6)
dep(at-6, 2569.26-7)
punct(closed-5, .-8)

det(Dow-2, The-1)
poss(decline-4, Dow-2)
possessive(Dow-2, 's-3)
nsubj(second-6, decline-4)
cop(second-6, was-5)
root(ROOT-0, second-6)
prep(second-6, in-7)
nn(terms-9, point-8)
pobj(in-7, terms-9)
advmod(to-11, only-10)
prep(second-6, to-11)
det(crash-16, the-12)
amod(crash-16, 508-point-13)
nn(crash-16, Black-14)
nn(crash-16, Monday-15)
pobj(to-11, crash-16)
dep(occurred-18, that-17)
dep(crash-16, occurred-18)
tmod(occurred-18, Oct.-19)
num(Oct.-19, 19-20)
punct(Oct.-19, ,-21)
num(Oct.-19, 1987-22)
punct(second-6, .-23)

prep(12th-worst-13, In-1)
nn(terms-3, percentage-2)
pobj(In-1, terms-3)
punct(12th-worst-13, ,-4)
advmod(12th-worst-13, however-5)
punct(12th-worst-13, ,-6)
det(Dow-8, the-7)
poss(dive-10, Dow-8)
possessive(Dow-8, 's-9)
nsubj(12th-worst-13, dive-10)
cop(12th-worst-13, was-11)
det(12th-worst-13, the-12)
root(ROOT-0, 12th-worst-13)
advmod(12th-worst-13, ever-14)
cc(12th-worst-13, and-15)
det(sharpest-17, the-16)
conj(12th-worst-13, sharpest-17)
prep(sharpest-17, since-18)
det(market-20, the-19)
nsubj(fell-21, market-20)
pcomp(since-18, fell-21)
dobj(fell-21, 156.83-22)
punct(156.83-22, ,-23)
cc(156.83-22, or-24)
num(%-26, 8-25)
conj(156.83-22, %-26)
punct(fell-21, ,-27)
det(week-29, a-28)
npadvmod(after-30, week-29)
prep(fell-21, after-30)
nn(Monday-32, Black-31)
pobj(after-30, Monday-32)
punct(12th-worst-13, .-33)

det(Dow-2, The-1)
nsubj(fell-3, Dow-2)
root(ROOT-0, fell-3)
num(%-5, 22.6-4)
dobj(fell-3, %-5)
prep(fell-3, on-6)
nn(Monday-8, Black-7)
pobj(on-6, Monday-8)
punct(fell-3, .-9)

nsubj(active-13, Shares-1)
prep(Shares-1, of-2)
pobj(of-2, UAL-3)
punct(UAL-3, ,-4)
det(parent-6, the-5)
dep(UAL-3, parent-6)
prep(parent-6, of-7)
nn(Airlines-9, United-8)
pobj(of-7, Airlines-9)
punct(UAL-3, ,-10)
cop(active-13, were-11)
advmod(active-13, extremely-12)
root(ROOT-0, active-13)
det(day-15, all-14)
tmod(active-13, day-15)
dep(active-13, Friday-16)
punct(active-13, ,-17)
xcomp(active-13, reacting-18)
prep(reacting-18, to-19)
pobj(to-19, news-20)
cc(news-20, and-21)
conj(news-20, rumors-22)
prep(news-20, about-23)
det(buy-out-29, the-24)
amod(buy-out-29, proposed-25)
amod(buy-out-29, $-26)
number(billion-28, 6.79-27)
num($-26, billion-28)
pobj(about-23, buy-out-29)
prep(buy-out-29, of-30)
det(airline-32, the-31)
pobj(of-30, airline-32)
prep(buy-out-29, by-33)
det(group-36, an-34)
amod(group-36, employee-management-35)
pobj(by-33, group-36)
punct(active-13, .-37)

nn(Street-2, Wall-1)
poss(arbitragers-10, Street-2)
possessive(Street-2, 's-3)
amod(speculators-5, takeover-stock-4)
conj(arbitragers-10, speculators-5)
punct(arbitragers-10, ,-6)
cc(arbitragers-10, or-7)
punct(arbitragers-10, ``-8)
nn(arbitragers-10, risk-9)
nsubj(placed-14, arbitragers-10)
punct(arbitragers-10, ,-11)
punct(arbitragers-10, ''-12)
aux(placed-14, had-13)
root(ROOT-0, placed-14)
advmod(large-16, unusually-15)
amod(bets-17, large-16)
dobj(placed-14, bets-17)
mark(would-21, that-18)
det(takeover-20, a-19)
nsubj(would-21, takeover-20)
ccomp(bets-17, would-21)
dep(would-21, succeed-22)
cc(would-21, and-23)
nn(stock-25, UAL-24)
nsubj(would-26, stock-25)
conj(would-21, would-26)
dep(would-26, rise-27)
punct(placed-14, .-28)

dep(came-6, At-1)
num(EDT-4, 2:43-2)
advmod(EDT-4, p.m.-3)
pobj(At-1, EDT-4)
punct(came-6, ,-5)
dep(halting-15, came-6)
det(news-9, the-7)
amod(news-9, sickening-8)
nsubj(came-6, news-9)
punct(halting-15, :-10)
det(Board-13, The-11)
nn(Board-13, Big-12)
nsubj(halting-15, Board-13)
aux(halting-15, was-14)
root(ROOT-0, halting-15)
dobj(halting-15, trading-16)
prep(trading-16, in-17)
dep(in-17, UAL-18)
punct(halting-15, ,-19)
punct(halting-15, ``-20)
prep(halting-15, pending-21)
dep(pending-21, news-22)
punct(halting-15, .-23)
punct(halting-15, ''-24)

prep(braced-15, On-1)
det(floor-4, the-2)
nn(floor-4, exchange-3)
pobj(On-1, floor-4)
punct(braced-15, ,-5)
punct(braced-15, ``-6)
advmod(soon-8, as-7)
advmod(braced-15, soon-8)
mark(stopped-11, as-9)
dep(stopped-11, UAL-10)
advcl(soon-8, stopped-11)
dep(stopped-11, trading-12)
punct(braced-15, ,-13)
dep(braced-15, we-14)
ccomp(said-21, braced-15)
prep(braced-15, for-16)
det(panic-18, a-17)
pobj(for-16, panic-18)
punct(said-21, ,-19)
punct(said-21, ''-20)
root(ROOT-0, said-21)
num(trader-25, one-22)
amod(trader-25, top-23)
nn(trader-25, floor-24)
nsubj(said-21, trader-25)
punct(said-21, .-26)

amod(traders-2, Several-1)
nsubjpass(seen-5, traders-2)
aux(seen-5, could-3)
auxpass(seen-5, be-4)
root(ROOT-0, seen-5)
xcomp(seen-5, shaking-6)
poss(heads-8, their-7)
dobj(shaking-6, heads-8)
advmod(flashed-12, when-9)
det(news-11, the-10)
nsubj(flashed-12, news-11)
ccomp(seen-5, flashed-12)
punct(seen-5, .-13)

prep(nervous-8, For-1)
dep(For-1, weeks-2)
punct(nervous-8, ,-3)
det(market-5, the-4)
nsubj(nervous-8, market-5)
aux(nervous-8, had-6)
cop(nervous-8, been-7)
root(ROOT-0, nervous-8)
prep(nervous-8, about-9)
dep(about-9, takeovers-10)
punct(nervous-8, ,-11)
mark(spurred-18, after-12)
nn(Corp.-14, Campeau-13)
poss(crunch-17, Corp.-14)
possessive(Corp.-14, 's-15)
nn(crunch-17, cash-16)
nsubj(spurred-18, crunch-17)
advcl(nervous-8, spurred-18)
dobj(spurred-18, concern-19)
prep(concern-19, about-20)
det(prospects-22, the-21)
pobj(about-20, prospects-22)
prep(prospects-22, for-23)
amod(takeovers-27, future-24)
advmod(leveraged-26, highly-25)
amod(takeovers-27, leveraged-26)
pobj(for-23, takeovers-27)
punct(nervous-8, .-28)

cc(came-9, And-1)
num(minutes-3, 10-2)
npadvmod(after-4, minutes-3)
dep(came-9, after-4)
det(halt-8, the-5)
nn(halt-8, UAL-6)
nn(halt-8, trading-7)
pobj(after-4, halt-8)
root(ROOT-0, came-9)
nsubj(came-9, news-10)
mark(get-17, that-11)
det(group-14, the-12)
nn(group-14, UAL-13)
nsubj(get-17, group-14)
aux(get-17, could-15)
neg(get-17, n't-16)
ccomp(news-10, get-17)
dobj(get-17, financing-18)
prep(financing-18, for-19)
poss(bid-21, its-20)
pobj(for-19, bid-21)
punct(came-9, .-22)

prep(was-7, At-1)
det(point-3, this-2)
pobj(At-1, point-3)
punct(was-7, ,-4)
det(Dow-6, the-5)
nsubj(was-7, Dow-6)
root(ROOT-0, was-7)
advmod(was-7, down-8)
quantmod(35-10, about-9)
num(points-11, 35-10)
pobj(down-8, points-11)
punct(was-7, .-12)

det(market-2, The-1)
root(ROOT-0, market-2)
dep(market-2, crumbled-3)
punct(market-2, .-4)

dep(dump-4, Arbitragers-1)
aux(dump-4, could-2)
neg(dump-4, n't-3)
root(ROOT-0, dump-4)
poss(stock-7, their-5)
nn(stock-7, UAL-6)
dobj(dump-4, stock-7)
punct(dump-4, ---8)
cc(dump-4, but-9)
dep(rid-11, they-10)
conj(dump-4, rid-11)
dep(rid-11, themselves-12)
prep(rid-11, of-13)
advmod(every-15, nearly-14)
amod(stock-19, every-15)
punct(stock-19, ``-16)
nn(stock-19, rumor-17)
punct(stock-19, ''-18)
pobj(of-13, stock-19)
dep(had-21, they-20)
rcmod(stock-19, had-21)
punct(dump-4, .-22)

prep(caused-6, For-1)
dep(For-1, example-2)
punct(caused-6, ,-3)
poss(selling-5, their-4)
nsubj(caused-6, selling-5)
root(ROOT-0, caused-6)
nn(halts-8, trading-7)
dobj(caused-6, halts-8)
aux(declared-11, to-9)
auxpass(declared-11, be-10)
xcomp(caused-6, declared-11)
prep(declared-11, in-12)
nn(Group-14, USAir-13)
pobj(in-12, Group-14)
punct(Group-14, ,-15)
dep(closed-17, which-16)
dep(Group-14, closed-17)
advmod(closed-17, down-18)
number(7/8-20, 3-19)
dep(down-18, 7/8-20)
prep(down-18, to-21)
number(1/2-23, 41-22)
dep(to-21, 1/2-23)
punct(Group-14, ,-24)
nn(Lines-27, Delta-25)
nn(Lines-27, Air-26)
conj(Group-14, Lines-27)
punct(Lines-27, ,-28)
dep(fell-30, which-29)
dep(Lines-27, fell-30)
number(3/4-32, 7-31)
dep(fell-30, 3/4-32)
prep(fell-30, to-33)
number(1/4-35, 69-34)
dep(to-33, 1/4-35)
punct(Group-14, ,-36)
cc(Group-14, and-37)
nn(Industries-39, Philips-38)
conj(Group-14, Industries-39)
punct(Industries-39, ,-40)
dep(sank-42, which-41)
dep(Industries-39, sank-42)
dep(sank-42, 3-43)
prep(sank-42, to-44)
number(1/2-46, 21-45)
dep(to-44, 1/2-46)
punct(caused-6, .-47)

det(stocks-2, These-1)
root(ROOT-0, stocks-2)
advmod(stocks-2, eventually-3)
dep(stocks-2, reopened-4)
punct(stocks-2, .-5)

cc(began-7, But-1)
mark(spread-4, as-2)
dep(spread-4, panic-3)
advcl(began-7, spread-4)
punct(began-7, ,-5)
dep(began-7, speculators-6)
root(ROOT-0, began-7)
aux(sell-9, to-8)
xcomp(began-7, sell-9)
amod(stocks-11, blue-chip-10)
dobj(sell-9, stocks-11)
mwe(as-13, such-12)
prep(stocks-11, as-13)
nn(Morris-15, Philip-14)
pobj(as-13, Morris-15)
cc(Morris-15, and-16)
nn(Machines-19, International-17)
nn(Machines-19, Business-18)
conj(Morris-15, Machines-19)
aux(offset-21, to-20)
vmod(sell-9, offset-21)
poss(losses-23, their-22)
dobj(offset-21, losses-23)
punct(began-7, .-24)

advmod(halted-4, When-1)
nsubjpass(halted-4, trading-2)
auxpass(halted-4, was-3)
advcl(trading-12, halted-4)
prep(halted-4, in-5)
nn(Morris-7, Philip-6)
pobj(in-5, Morris-7)
punct(trading-12, ,-8)
det(stock-10, the-9)
nsubj(trading-12, stock-10)
aux(trading-12, was-11)
root(ROOT-0, trading-12)
prep(trading-12, at-13)
dep(at-13, 41-14)
punct(trading-12, ,-15)
advmod(trading-12, down-16)
number(3/8-18, 3-17)
dep(down-16, 3/8-18)
punct(trading-12, ,-19)
mark(closed-22, while-20)
dep(closed-22, IBM-21)
advcl(trading-12, closed-22)
number(5/8-24, 5-23)
dep(lower-25, 5/8-24)
advmod(closed-22, lower-25)
prep(closed-22, at-26)
dep(at-26, 102-27)
punct(trading-12, .-28)

dep(snowballed-2, Selling-1)
root(ROOT-0, snowballed-2)
mwe(of-4, because-3)
prep(snowballed-2, of-4)
pobj(of-4, waves-5)
prep(waves-5, of-6)
amod(orders-11, automatic-7)
punct(orders-11, ``-8)
amod(orders-11, stop-loss-9)
punct(orders-11, ''-10)
pobj(of-6, orders-11)
punct(orders-11, ,-12)
dep(triggered-15, which-13)
auxpass(triggered-15, are-14)
dep(orders-11, triggered-15)
prep(triggered-15, by-16)
dep(by-16, computer-17)
advmod(fall-20, when-18)
dep(fall-20, prices-19)
ccomp(triggered-15, fall-20)
prep(fall-20, to-21)
amod(levels-23, certain-22)
pobj(to-21, levels-23)
punct(snowballed-2, .-24)

nsubj(came-7, Most-1)
prep(Most-1, of-2)
det(pressure-6, the-3)
nn(pressure-6, stock-4)
nn(pressure-6, selling-5)
pobj(of-2, pressure-6)
root(ROOT-0, came-7)
prep(came-7, from-8)
nn(professionals-11, Wall-9)
nn(professionals-11, Street-10)
pobj(from-8, professionals-11)
punct(professionals-11, ,-12)
prep(professionals-11, including-13)
amod(traders-16, computer-guided-14)
nn(traders-16, program-15)
pobj(including-13, traders-16)
punct(came-7, .-17)

dep(said-2, Traders-1)
root(ROOT-0, said-2)
nsubj(sat-15, most-3)
prep(most-3, of-4)
poss(investors-8, their-5)
amod(investors-8, major-6)
amod(investors-8, institutional-7)
pobj(of-4, investors-8)
punct(sat-15, ,-9)
prep(sat-15, on-10)
det(hand-13, the-11)
amod(hand-13, other-12)
pobj(on-10, hand-13)
punct(sat-15, ,-14)
ccomp(said-2, sat-15)
advmod(sat-15, tight-16)
punct(said-2, .-17)

advmod(took-15, Now-1)
punct(took-15, ,-2)
prep(took-15, at-3)
dep(at-3, 3:07-4)
punct(took-15, ,-5)
nsubj(took-15, one-6)
prep(one-6, of-7)
det(market-9, the-8)
poss(reforms-13, market-9)
possessive(market-9, 's-10)
amod(reforms-13, post-crash-11)
punct(reforms-13, ``-12)
pobj(of-7, reforms-13)
punct(reforms-13, ''-14)
root(ROOT-0, took-15)
dep(took-15, hold-16)
mark(plunged-24, as-17)
det(contract-22, the-18)
nn(contract-22, S&P-19)
num(contract-22, 500-20)
nn(contract-22, futures-21)
nsubj(plunged-24, contract-22)
aux(plunged-24, had-23)
advcl(took-15, plunged-24)
num(points-26, 12-25)
dobj(plunged-24, points-26)
punct(points-26, ,-27)
amod(points-26, equivalent-28)
prep(equivalent-28, to-29)
quantmod(100-point-32, around-30)
quantmod(100-point-32, a-31)
num(drop-33, 100-point-32)
pobj(to-29, drop-33)
prep(drop-33, in-34)
det(industrials-37, the-35)
nn(industrials-37, Dow-36)
pobj(in-34, industrials-37)
punct(took-15, .-38)

prep(halted-18, Under-1)
det(agreement-3, an-2)
pobj(Under-1, agreement-3)
vmod(agreement-3, signed-4)
prep(signed-4, by-5)
det(Board-8, the-6)
nn(Board-8, Big-7)
pobj(by-5, Board-8)
cc(Board-8, and-9)
det(Exchange-13, the-10)
nn(Exchange-13, Chicago-11)
nn(Exchange-13, Mercantile-12)
conj(Board-8, Exchange-13)
punct(halted-18, ,-14)
dep(halted-18, trading-15)
auxpass(halted-18, was-16)
advmod(halted-18, temporarily-17)
root(ROOT-0, halted-18)
prep(halted-18, in-19)
dep(in-19, Chicago-20)
punct(halted-18, .-21)

prep(continued-16, After-1)
det(halt-4, the-2)
nn(halt-4, trading-3)
pobj(After-1, halt-4)
prep(halt-4, in-5)
det(pit-9, the-6)
nn(pit-9, S&P-7)
num(pit-9, 500-8)
pobj(in-5, pit-9)
prep(pit-9, in-10)
dep(in-10, Chicago-11)
punct(continued-16, ,-12)
nsubj(continued-16, waves-13)
prep(waves-13, of-14)
dep(of-14, selling-15)
root(ROOT-0, continued-16)
aux(hit-18, to-17)
xcomp(continued-16, hit-18)
dobj(hit-18, stocks-19)
npadvmod(stocks-19, themselves-20)
prep(hit-18, on-21)
det(Board-24, the-22)
nn(Board-24, Big-23)
pobj(on-21, Board-24)
punct(continued-16, ,-25)
cc(continued-16, and-26)
dep(continued-28, specialists-27)
conj(continued-16, continued-28)
aux(notch-30, to-29)
xcomp(continued-28, notch-30)
dep(notch-30, prices-31)
dep(notch-30, down-32)
punct(continued-16, .-33)

prep(ripped-13, As-1)
det(result-3, a-2)
pobj(As-1, result-3)
punct(ripped-13, ,-4)
det(link-6, the-5)
nsubj(ripped-13, link-6)
prep(link-6, between-7)
det(futures-9, the-8)
pobj(between-7, futures-9)
cc(futures-9, and-10)
nn(markets-12, stock-11)
conj(futures-9, markets-12)
root(ROOT-0, ripped-13)
advmod(ripped-13, apart-14)
punct(ripped-13, .-15)

prep(afraid-24, Without-1)
det(guidepost-3, the-2)
pobj(Without-1, guidepost-3)
prep(guidepost-3, of-4)
amod(futures-6, stock-index-5)
pobj(of-4, futures-6)
punct(futures-6, ---7)
det(barometer-9, the-8)
dep(futures-6, barometer-9)
prep(barometer-9, of-10)
advmod(think-13, where-11)
dep(think-13, traders-12)
pcomp(of-10, think-13)
det(market-17, the-14)
amod(market-17, overall-15)
nn(market-17, stock-16)
nsubjpass(headed-19, market-17)
auxpass(headed-19, is-18)
ccomp(think-13, headed-19)
punct(futures-6, ---20)
amod(traders-22, many-21)
nsubj(afraid-24, traders-22)
cop(afraid-24, were-23)
root(ROOT-0, afraid-24)
aux(trust-26, to-25)
