aux(suggesting-8, Is-1)
prep(began-6, with-9)
det(partnership-11, a-10)
pobj(with-9, partnership-11)
prep(partnership-11, between-12)
det(communists-14, the-13)
pobj(between-12, communists-14)
cc(communists-14, and-15)
det(number-17, a-16)
conj(communists-14, number-17)
prep(number-17, of-18)
amod(parties-22, smaller-19)
punct(parties-22, ,-20)
amod(parties-22, non-communist-21)
pobj(of-18, parties-22)
punct(began-6, .-23)

dep(complicates-2, What-1)
csubj(is-7, complicates-2)
det(scene-4, the-3)
dobj(complicates-2, scene-4)
prep(scene-4, in-5)
dep(in-5, Cambodia-6)
root(ROOT-0, is-7)
mark(is-12, that-8)
det(regime-11, the-9)
amod(regime-11, current-10)
nsubj(is-12, regime-11)
ccomp(is-7, is-12)
advmod(is-12, already-13)
dep(is-12, communist-14)
punct(is-12, ,-15)
dep(are-17, as-16)
advcl(is-12, are-17)
poss(overseers-20, its-18)
amod(overseers-20, Vietnamese-19)
nsubj(are-17, overseers-20)
advmod(in-22, back-21)
prep(overseers-20, in-22)
dep(in-22, Hanoi-23)
punct(is-12, ,-24)
dep(are-26, as-25)
advcl(is-12, are-26)
det(Rouge-29, the-27)
nn(Rouge-29, Khmer-28)
nsubj(are-26, Rouge-29)
punct(Rouge-29, ---30)
dep(strongest-34, who-31)
cop(strongest-34, are-32)
det(strongest-34, the-33)
dep(Rouge-29, strongest-34)
prep(strongest-34, of-35)
det(groups-39, the-36)
num(groups-39, three-37)
nn(groups-39, guerrilla-38)
pobj(of-35, groups-39)
punct(is-7, .-40)

nsubj(clear-4, It-1)
cop(clear-4, 's-2)
neg(clear-4, not-3)
root(ROOT-0, clear-4)
det(crew-6, which-5)
nsubj(prevail-10, crew-6)
prep(crew-6, of-7)
dep(of-7, communists-8)
aux(prevail-10, might-9)
ccomp(clear-4, prevail-10)
prep(prevail-10, in-11)
det(government-14, a-12)
nn(government-14, coalition-13)
pobj(in-11, government-14)
punct(clear-4, ,-15)
cc(clear-4, but-16)
det(bet-20, the-17)
num(bet-20, one-18)
amod(bet-20, good-19)
nsubj(is-21, bet-20)
conj(clear-4, is-21)
mark(would-25, that-22)
det(non-communists-24, the-23)
nsubj(would-25, non-communists-24)
ccomp(is-21, would-25)
dep(would-25, disappear-26)
punct(clear-4, .-27)

dep(leave-3, That-1)
aux(leave-3, would-2)
root(ROOT-0, leave-3)
nn(Sen-5, Hun-4)
dobj(leave-3, Sen-5)
cc(Sen-5, and-6)
det(Rouge-9, the-7)
nn(Rouge-9, Khmer-8)
conj(Sen-5, Rouge-9)
punct(leave-3, .-10)

det(regime-4, The-1)
nn(regime-4, Hun-2)
nn(regime-4, Sen-3)
nsubj(sent-6, regime-4)
aux(sent-6, has-5)
root(ROOT-0, sent-6)
dobj(sent-6, thousands-7)
prep(thousands-7, of-8)
amod(laborers-10, conscript-9)
pobj(of-8, laborers-10)
aux(die-12, to-11)
xcomp(sent-6, die-12)
prep(die-12, of-13)
pobj(of-13, malaria-14)
cc(malaria-14, and-15)
conj(malaria-14, malnourishment-16)
mark(building-18, while-17)
advcl(die-12, building-18)
poss(equivalent-21, Cambodia-19)
possessive(Cambodia-19, 's-20)
dobj(building-18, equivalent-21)
prep(equivalent-21, of-22)
det(Wall-25, the-23)
nn(Wall-25, Berlin-24)
pobj(of-22, Wall-25)
prep(building-18, near-26)
det(border-29, the-27)
nn(border-29, Thai-28)
pobj(near-26, border-29)
punct(sent-6, .-30)

det(Rouge-3, The-1)
nn(Rouge-3, Khmer-2)
nsubj(carry-7, Rouge-3)
punct(carry-7, ,-4)
advmod(carry-7, however-5)
punct(carry-7, ,-6)
root(ROOT-0, carry-7)
det(record-10, an-8)
amod(record-10, unsurpassed-9)
dobj(carry-7, record-10)
prep(record-10, for-11)
amod(tyranny-13, Cambodian-12)
pobj(for-11, tyranny-13)
punct(carry-7, .-14)

det(utopians-2, These-1)
nsubj(caused-3, utopians-2)
root(ROOT-0, caused-3)
det(deaths-5, the-4)
dobj(caused-3, deaths-5)
punct(by-7, ---6)
prep(deaths-5, by-7)
pobj(by-7, starvation-8)
punct(starvation-8, ,-9)
conj(starvation-8, disease-10)
cc(starvation-8, or-11)
conj(starvation-8, execution-12)
punct(by-7, ---13)
prep(deaths-5, of-14)
advmod(over-16, well-15)
quantmod(million-18, over-16)
number(million-18, one-17)
num(Cambodians-19, million-18)
pobj(of-14, Cambodians-19)
punct(caused-3, .-20)

det(horror-3, The-1)
amod(horror-3, Cambodian-2)
nsubj(bad-6, horror-3)
cop(bad-6, was-4)
advmod(bad-6, so-5)
root(ROOT-0, bad-6)
mark(form-16, that-7)
det(occupation-10, the-8)
amod(occupation-10, Vietnamese-9)
nsubj(form-16, occupation-10)
prep(occupation-10, in-11)
dep(in-11, 1978-12)
cop(form-16, was-13)
det(form-16, a-14)
amod(form-16, perverse-15)
ccomp(bad-6, form-16)
prep(form-16, of-17)
dep(of-17, relief-18)
punct(bad-6, .-19)

det(world-2, The-1)
nsubj(want-4, world-2)
aux(want-4, might-3)
root(ROOT-0, want-4)
aux(believe-6, to-5)
xcomp(want-4, believe-6)
mark(guys-17, that-7)
det(Rouge-10, the-8)
nn(Rouge-10, Khmer-9)
nsubj(guys-17, Rouge-10)
aux(guys-17, ca-11)
neg(guys-17, n't-12)
advmod(guys-17, still-13)
cop(guys-17, be-14)
amod(guys-17, such-15)
amod(guys-17, bad-16)
ccomp(believe-6, guys-17)
punct(want-4, ,-18)
advmod(reluctant-27, just-19)
mark(reluctant-27, as-20)
prep(reluctant-27, in-21)
det(1970s-24, the-22)
amod(1970s-24, late-23)
pobj(in-21, 1970s-24)
dep(reluctant-27, it-25)
cop(reluctant-27, was-26)
advcl(want-4, reluctant-27)
aux(credit-29, to-28)
xcomp(reluctant-27, credit-29)
det(reports-31, the-30)
dobj(credit-29, reports-31)
prep(reports-31, of-32)
pobj(of-32, genocide-33)
advmod(taking-35, then-34)
dep(genocide-33, taking-35)
dep(taking-35, place-36)
punct(want-4, .-37)

cc(is-3, But-1)
dep(is-3, there-2)
root(ROOT-0, is-3)
neg(evidence-6, no-4)
amod(evidence-6, solid-5)
dep(is-3, evidence-6)
mark(changed-12, that-7)
det(Rouge-10, the-8)
nn(Rouge-10, Khmer-9)
nsubj(changed-12, Rouge-10)
dep(changed-12, have-11)
ccomp(evidence-6, changed-12)
punct(is-3, .-13)

nsubj(say-7, Some-1)
prep(Some-1, of-2)
poss(sources-4, our-3)
pobj(of-2, sources-4)
prep(sources-4, in-5)
dep(in-5, Thailand-6)
root(ROOT-0, say-7)
det(leader-13, the-8)
amod(leader-13, notorious-9)
amod(leader-13, old-10)
nn(leader-13, Khmer-11)
nn(leader-13, Rouge-12)
nsubjpass(holed-20, leader-13)
punct(leader-13, ,-14)
nn(Pot-16, Pol-15)
appos(leader-13, Pot-16)
punct(leader-13, ,-17)
aux(holed-20, has-18)
auxpass(holed-20, been-19)
ccomp(say-7, holed-20)
dep(holed-20, up-21)
det(summer-23, this-22)
tmod(holed-20, summer-23)
prep(holed-20, in-24)
nn(camps-27, Khmer-25)
nn(camps-27, Rouge-26)
pobj(in-24, camps-27)
prep(camps-27, near-28)
det(border-31, the-29)
amod(border-31, Thai-Cambodian-30)
pobj(near-28, border-31)
punct(say-7, .-32)

dep('s-3, So-1)
nsubj('s-3, it-2)
root(ROOT-0, 's-3)
dep('s-3, difficult-4)
aux(swallow-6, to-5)
xcomp('s-3, swallow-6)
det(notion-8, the-7)
dobj(swallow-6, notion-8)
mark(willing-13, that-9)
nn(Baker-11, Mr.-10)
nsubj(willing-13, Baker-11)
cop(willing-13, is-12)
ccomp(notion-8, willing-13)
aux(accept-15, to-14)
xcomp(willing-13, accept-15)
dobj(accept-15, conditions-16)
dep(help-19, that-17)
aux(help-19, would-18)
ccomp(conditions-16, help-19)
det(Rouge-22, the-20)
nn(Rouge-22, Khmer-21)
nsubj(set-23, Rouge-22)
ccomp(help-19, set-23)
dep(set-23, up-24)
dep(set-23, shop-25)
advmod(set-23, again-26)
prep(set-23, in-27)
nn(Penh-29, Phnom-28)
pobj(in-27, Penh-29)
punct('s-3, .-30)

dep(backs-5, True-1)
punct(backs-5, ,-2)
nn(Sihanouk-4, Prince-3)
nsubj(backs-5, Sihanouk-4)
root(ROOT-0, backs-5)
det(idea-7, the-6)
dobj(backs-5, idea-7)
prep(idea-7, of-8)
predet(coalition-11, such-9)
det(coalition-11, a-10)
pobj(of-8, coalition-11)
punct(backs-5, ,-12)
advmod(for-15, at-13)
pobj(at-13, least-14)
prep(backs-5, for-15)
det(week-17, this-16)
pobj(for-15, week-17)
punct(backs-5, .-18)

cc(backed-5, But-1)
nn(Sihanouk-3, Prince-2)
nsubj(backed-5, Sihanouk-3)
aux(backed-5, has-4)
root(ROOT-0, backed-5)
det(sorts-7, all-6)
dobj(backed-5, sorts-7)
prep(sorts-7, of-8)
dep(of-8, ideas-9)
prep(backed-5, over-10)
det(years-12, the-11)
pobj(over-10, years-12)
punct(backed-5, ,-13)
cc(backed-5, and-14)
conj(backed-5, done-15)
advmod(better-17, rather-16)
advmod(done-15, better-17)
prep(better-17, by-18)
dep(by-18, himself-19)
prep(better-17, than-20)
pcomp(than-20, by-21)
dep(by-21, Cambodia-22)
punct(backed-5, .-23)

cc(worry-5, Nor-1)
aux(worry-5, should-2)
det(U.S.-4, the-3)
nsubj(worry-5, U.S.-4)
root(ROOT-0, worry-5)
advmod(worry-5, much-6)
prep(worry-5, about-7)
pcomp(about-7, offending-8)
dobj(offending-8, China-9)
punct(China-9, ,-10)
dep(aids-13, which-11)
advmod(aids-13, still-12)
dep(China-9, aids-13)
det(Rouge-16, the-14)
nn(Rouge-16, Khmer-15)
dobj(aids-13, Rouge-16)
punct(worry-5, .-17)

dep(time-3, It-1)
cop(time-3, 's-2)
root(ROOT-0, time-3)
det(Department-6, the-4)
nn(Department-6, State-5)
nsubj(recognized-7, Department-6)
ccomp(time-3, recognized-7)
mark(play-12, that-8)
dep(play-12, China-9)
aux(play-12, does-10)
neg(play-12, not-11)
ccomp(recognized-7, play-12)
prep(play-12, by-13)
poss(rules-16, gentlemen-14)
possessive(gentlemen-14, 's-15)
pobj(by-13, rules-16)
punct(time-3, .-17)

mark(lend-5, For-1)
det(U.S.-3, the-2)
nsubj(lend-5, U.S.-3)
aux(lend-5, to-4)
csubj(disturb-22, lend-5)
advmod(support-9, even-6)
det(support-9, the-7)
amod(support-9, slightest-8)
dobj(lend-5, support-9)
prep(lend-5, to-10)
det(killers-14, the-11)
advmod(infamous-13, most-12)
amod(killers-14, infamous-13)
pobj(to-10, killers-14)
prep(killers-14, on-15)
poss(scene-19, Indochina-16)
possessive(Indochina-16, 's-17)
amod(scene-19, bleak-18)
pobj(on-15, scene-19)
aux(disturb-22, could-20)
advmod(disturb-22, only-21)
root(ROOT-0, disturb-22)
poss(allies-25, America-23)
possessive(America-23, 's-24)
dobj(disturb-22, allies-25)
advmod(allies-25, elsewhere-26)
punct(disturb-22, .-27)

nsubj(rational-5, It-1)
aux(rational-5, would-2)
cop(rational-5, be-3)
advmod(rational-5, entirely-4)
root(ROOT-0, rational-5)
mark(conclude-18, for-6)
nn(insurgents-8, communist-7)
nsubj(conclude-18, insurgents-8)
prep(insurgents-8, in-9)
pobj(in-9, countries-10)
mwe(as-12, such-11)
prep(countries-10, as-12)
det(Philippines-14, the-13)
pobj(as-12, Philippines-14)
cc(Philippines-14, or-15)
conj(Philippines-14, Peru-16)
aux(conclude-18, to-17)
advcl(rational-5, conclude-18)
det(following-20, the-19)
dobj(conclude-18, following-20)
punct(following-20, :-21)
dep(following-20, Fight-22)
advmod(enough-24, viciously-23)
advmod(Fight-22, enough-24)
cc(Fight-22, and-25)
det(U.S.-27, the-26)
nsubj(help-37, U.S.-27)
punct(help-37, ,-28)
prep(help-37, under-29)
det(banner-31, the-30)
pobj(under-29, banner-31)
prep(banner-31, of-32)
dep(of-32, pragmatism-33)
punct(help-37, ,-34)
aux(help-37, might-35)
advmod(help-37, eventually-36)
conj(Fight-22, help-37)
ccomp(help-37, negotiate-38)
poss(way-40, your-39)
dobj(negotiate-38, way-40)
prep(way-40, to-41)
dep(to-41, victory-42)
punct(rational-5, .-43)

nn(diplomacy-2, U.S.-1)
nsubj(done-4, diplomacy-2)
aux(done-4, has-3)
root(ROOT-0, done-4)
dep(done-4, it-5)
dep(done-4, before-6)
punct(done-4, ,-7)
cc(done-4, and-8)
dep(do-12, it-9)
aux(do-12, will-10)
advmod(do-12, likely-11)
conj(done-4, do-12)
dep(do-12, it-13)
advmod(do-12, again-14)
punct(done-4, .-15)

det(administration-2, The-1)
nsubj(tangoed-7, administration-2)
cc(administration-2, and-3)
conj(administration-2, Congress-4)
aux(tangoed-7, have-5)
advmod(tangoed-7, lately-6)
root(ROOT-0, tangoed-7)
prep(tangoed-7, around-8)
det(idea-10, the-9)
pobj(around-8, idea-10)
prep(idea-10, of-11)
pcomp(of-11, sending-12)
amod(aid-14, military-13)
dobj(sending-12, aid-14)
prep(sending-12, to-15)
poss(non-communists-18, Cambodia-16)
possessive(Cambodia-16, 's-17)
pobj(to-15, non-communists-18)
punct(tangoed-7, .-19)

cc(put-20, But-1)
advmod(put-20, now-2)
det(possibility-4, the-3)
nsubj(put-20, possibility-4)
prep(possibility-4, of-5)
punct(movement-8, ``-6)
amod(movement-8, diplomatic-7)
pobj(of-5, movement-8)
punct(movement-8, ''-9)
punct(withdrawal-13, -LRB--10)
poss(withdrawal-13, Vietnam-11)
possessive(Vietnam-11, 's-12)
dep(movement-8, withdrawal-13)
punct(withdrawal-13, ,-14)
det(initiative-17, the-15)
nn(initiative-17, Baker-16)
appos(withdrawal-13, initiative-17)
punct(withdrawal-13, -RRB--18)
aux(put-20, has-19)
root(ROOT-0, put-20)
det(plan-22, that-21)
dobj(put-20, plan-22)
prep(put-20, on-23)
dep(on-23, hold-24)
punct(put-20, ,-25)
prep(put-20, with-26)
det(proviso-28, the-27)
pobj(with-26, proviso-28)
mark(rearm-40, that-29)
mark(got-33, if-30)
det(going-32, the-31)
nsubj(got-33, going-32)
advcl(rearm-40, got-33)
dep(got-33, rough-34)
punct(rearm-40, ,-35)
det(U.S.-37, the-36)
nsubj(rearm-40, U.S.-37)
aux(rearm-40, would-38)
advmod(rearm-40, then-39)
ccomp(proviso-28, rearm-40)
det(opposition-42, the-41)
dobj(rearm-40, opposition-42)
punct(put-20, .-43)

dep(timidity-3, Why-1)
det(timidity-3, the-2)
root(ROOT-0, timidity-3)
punct(timidity-3, ?-4)

prep(weighted-10, At-1)
det(least-4, the-2)
advmod(least-4, very-3)
pobj(At-1, least-4)
punct(weighted-10, ,-5)
det(odds-7, the-6)
nsubjpass(weighted-10, odds-7)
auxpass(weighted-10, are-8)
advmod(weighted-10, heavily-9)
root(ROOT-0, weighted-10)
prep(weighted-10, against-11)
det(prospects-13, the-12)
pobj(against-11, prospects-13)
prep(prospects-13, of-14)
pcomp(of-14, preventing-15)
det(Rouge-18, the-16)
nn(Rouge-18, Khmer-17)
dobj(preventing-15, Rouge-18)
cc(Rouge-18, and-19)
poss(communists-22, Cambodia-20)
possessive(Cambodia-20, 's-21)
conj(Rouge-18, communists-22)
prep(preventing-15, from-23)
advmod(moving-25, ultimately-24)
pcomp(from-23, moving-25)
prep(moving-25, against-26)
poss(opponents-28, their-27)
pobj(against-26, opponents-28)
punct(weighted-10, .-29)

advmod(comes-4, When-1)
det(day-3, that-2)
nsubj(comes-4, day-3)
advcl(awful-10, comes-4)
punct(awful-10, ,-5)
nsubj(awful-10, it-6)
aux(awful-10, would-7)
cop(awful-10, be-8)
advmod(awful-10, particularly-9)
root(ROOT-0, awful-10)
aux(know-12, to-11)
xcomp(awful-10, know-12)
mark(sat-17, that-13)
det(States-16, the-14)
nn(States-16, United-15)
nsubj(sat-17, States-16)
ccomp(know-12, sat-17)
prep(sat-17, on-18)
amod(aid-20, military-19)
pobj(on-18, aid-20)
cc(sat-17, and-21)
conj(sat-17, deprived-22)
det(people-24, these-23)
dobj(deprived-22, people-24)
prep(deprived-22, of-25)
det(means-27, the-26)
pobj(of-25, means-27)
aux(settle-29, to-28)
vmod(means-27, settle-29)
poss(fate-31, their-30)
dobj(settle-29, fate-31)
prep(settle-29, with-32)
advmod(honor-37, at-33)
pobj(at-33, least-34)
det(honor-37, a-35)
amod(honor-37, little-36)
pobj(with-32, honor-37)
punct(awful-10, .-38)

nn(Harris-3, Michael-1)
nn(Harris-3, F.-2)
nsubjpass(named-8, Harris-3)
punct(Harris-3, ,-4)
num(Harris-3, 53-5)
punct(Harris-3, ,-6)
auxpass(named-8, was-7)
root(ROOT-0, named-8)
amod(president-11, executive-9)
nn(president-11, vice-10)
xcomp(named-8, president-11)
punct(president-11, ,-12)
nn(America-14, North-13)
appos(president-11, America-14)
punct(president-11, ,-15)
prep(president-11, for-16)
det(Times-19, the-17)
nn(Times-19, Financial-18)
pobj(for-16, Times-19)
punct(Times-19, ,-20)
det(newspaper-23, the-21)
nn(newspaper-23, business-22)
appos(Times-19, newspaper-23)
vmod(newspaper-23, published-24)
prep(published-24, by-25)
det(company-27, this-26)
pobj(by-25, company-27)
dep(has-30, that-28)
advmod(has-30, also-29)
dep(company-27, has-30)
dobj(has-30, interests-31)
prep(interests-31, in-32)
nn(publishing-34, book-33)
pobj(in-32, publishing-34)
punct(publishing-34, ,-35)
amod(china-37, fine-36)
conj(publishing-34, china-37)
punct(publishing-34, ,-38)
nn(services-40, oil-39)
conj(publishing-34, services-40)
cc(publishing-34, and-41)
nn(banking-43, investment-42)
conj(publishing-34, banking-43)
punct(named-8, .-44)

nn(Harris-2, Mr.-1)
nsubj(president-6, Harris-2)
aux(president-6, had-3)
cop(president-6, been-4)
nn(president-6, vice-5)
root(ROOT-0, president-6)
prep(president-6, for-7)
det(newspaper-9, the-8)
poss(advertising-11, newspaper-9)
possessive(newspaper-9, 's-10)
pobj(for-7, advertising-11)
prep(advertising-11, in-12)
nn(York-14, New-13)
pobj(in-12, York-14)
punct(president-6, .-15)

dep(takes-2, He-1)
root(ROOT-0, takes-2)
amod(responsibility-4, additional-3)
dobj(takes-2, responsibility-4)
prep(responsibility-4, for-5)
nn(sales-7, newspaper-6)
pobj(for-5, sales-7)
cc(sales-7, and-8)
conj(sales-7, distribution-9)
prep(distribution-9, of-10)
det(Times-13, the-11)
nn(Times-13, Financial-12)
pobj(of-10, Times-13)
prep(sales-7, in-14)
nn(America-16, North-15)
pobj(in-14, America-16)
punct(takes-2, .-17)

nn(Allen-3, Laurance-1)
nn(Allen-3, V.-2)
nsubj(resigned-15, Allen-3)
punct(Allen-3, ,-4)
num(Allen-3, 44-5)
punct(Allen-3, ,-6)
dep(director-10, who-7)
aux(director-10, had-8)
cop(director-10, been-9)
dep(Allen-3, director-10)
prep(director-10, for-11)
nn(America-13, North-12)
pobj(for-11, America-13)
punct(Allen-3, ,-14)
root(ROOT-0, resigned-15)
aux(pursue-17, to-16)
xcomp(resigned-15, pursue-17)
amod(interests-20, other-18)
nn(interests-20, business-19)
dobj(pursue-17, interests-20)
cc(pursue-17, and-21)
conj(pursue-17, do-22)
det(consulting-24, some-23)
dobj(do-22, consulting-24)
punct(resigned-15, .-25)

nn(Inc.-4, Cipher-1)
nn(Inc.-4, Data-2)
nn(Inc.-4, Products-3)
nsubj(posted-5, Inc.-4)
root(ROOT-0, posted-5)
det(loss-8, a-6)
amod(loss-8, net-7)
dobj(posted-5, loss-8)
prep(loss-8, of-9)
pobj(of-9, $-10)
number(million-12, 14.2-11)
num($-10, million-12)
punct($-10, ,-13)
cc($-10, or-14)
num(cents-16, 97-15)
conj($-10, cents-16)
det(share-18, a-17)
dep(cents-16, share-18)
punct($-10, ,-19)
prep(loss-8, for-20)
poss(quarter-24, its-21)
amod(quarter-24, fiscal-22)
amod(quarter-24, first-23)
pobj(for-20, quarter-24)
punct(loss-8, ,-25)
prep(loss-8, compared-26)
pcomp(compared-26, with-27)
amod(income-29, net-28)
pobj(with-27, income-29)
prep(income-29, of-30)
