poss(production-3, Japan-1)
cc(units-16, or-18)
num(%-20, 88-19)
conj(units-16, %-20)
punct(accounted-3, .-21)

amod(output-2, Minicar-1)
nsubj(tripled-5, output-2)
dep(than-4, more-3)
advmod(tripled-5, than-4)
root(ROOT-0, tripled-5)
punct(tripled-5, .-6)

dep(produced-2, Manufacturers-1)
root(ROOT-0, produced-2)
dobj(produced-2, 46,835-3)
prep(46,835-3, of-4)
det(vehicles-6, the-5)
pobj(of-4, vehicles-6)
punct(vehicles-6, ---7)
dep(have-9, which-8)
dep(vehicles-6, have-9)
dobj(have-9, engines-10)
prep(engines-10, of-11)
num(centimeters-14, 500-12)
amod(centimeters-14, cubic-13)
pobj(of-11, centimeters-14)
cc(centimeters-14, or-15)
conj(centimeters-14, less-16)
punct(vehicles-6, ---17)
det(increase-19, an-18)
dep(46,835-3, increase-19)
prep(increase-19, of-20)
num(units-22, 31,777-21)
pobj(of-20, units-22)
punct(produced-2, .-23)

amod(production-3, Total-1)
nn(production-3, truck-2)
nsubj(fell-4, production-3)
root(ROOT-0, fell-4)
num(%-6, 22-5)
dobj(fell-4, %-6)
prep(fell-4, from-7)
det(year-9, a-8)
npadvmod(earlier-10, year-9)
pcomp(from-7, earlier-10)
prep(fell-4, to-11)
num(units-13, 315,546-12)
pobj(to-11, units-13)
punct(fell-4, .-14)

nn(production-2, Minitruck-1)
nsubj(fell-3, production-2)
root(ROOT-0, fell-3)
num(%-5, 13-4)
dobj(fell-3, %-5)
prep(fell-3, to-6)
num(units-8, 94,243-7)
pobj(to-6, units-8)
punct(fell-3, .-9)

nn(production-2, Bus-1)
nsubj(slipped-4, production-2)
advmod(slipped-4, also-3)
root(ROOT-0, slipped-4)
punct(slipped-4, ,-5)
prep(slipped-4, by-6)
num(%-8, 49-7)
pobj(by-6, %-8)
prep(slipped-4, from-9)
det(year-11, a-10)
npadvmod(earlier-12, year-11)
pcomp(from-9, earlier-12)
prep(slipped-4, to-13)
num(units-15, 2,936-14)
pobj(to-13, units-15)
punct(slipped-4, .-16)

det(spokesman-3, The-1)
nn(spokesman-3, association-2)
nsubj(said-4, spokesman-3)
root(ROOT-0, said-4)
nn(production-6, bus-5)
nsubj(declined-8, production-6)
aux(declined-8, has-7)
ccomp(said-4, declined-8)
prep(declined-8, since-9)
dep(since-9, January-10)
punct(said-4, ,-11)
cc(said-4, but-12)
aux(offer-15, could-13)
neg(offer-15, n't-14)
conj(said-4, offer-15)
det(explanation-17, an-16)
dobj(offer-15, explanation-17)
prep(offer-15, for-18)
det(fall-20, the-19)
pobj(for-18, fall-20)
punct(said-4, .-21)

nn(production-2, Auto-1)
nsubj(totaled-17, production-2)
prep(production-2, for-3)
det(half-6, the-4)
amod(half-6, first-5)
pobj(for-3, half-6)
prep(half-6, of-7)
det(year-10, the-8)
amod(year-10, fiscal-9)
pobj(of-7, year-10)
punct(year-10, ,-11)
dep(began-13, which-12)
dep(year-10, began-13)
prep(began-13, in-14)
dep(in-14, August-15)
punct(year-10, ,-16)
ccomp(said-23, totaled-17)
num(units-19, 6,379,884-18)
dobj(totaled-17, units-19)
punct(said-23, ,-20)
det(association-22, the-21)
nsubj(said-23, association-22)
root(ROOT-0, said-23)
punct(said-23, .-24)

amod(production-2, Half-year-1)
nsubj(was-3, production-2)
root(ROOT-0, was-3)
advmod(was-3, up-4)
num(%-6, 3.4-5)
pobj(up-4, %-6)
prep(was-3, compared-7)
pcomp(compared-7, with-8)
det(period-11, the-9)
amod(period-11, same-10)
pobj(with-8, period-11)
det(year-13, a-12)
npadvmod(earlier-14, year-13)
advmod(period-11, earlier-14)
punct(was-3, .-15)

nsubj(gyrated-8, Stock-1)
prep(Stock-1, of-2)
nn(parent-5, United-3)
nn(parent-5, Airlines-4)
pobj(of-2, parent-5)
nn(Corp.-7, UAL-6)
dep(parent-5, Corp.-7)
root(ROOT-0, gyrated-8)
advmod(gyrated-8, wildly-9)
dep(gyrated-8, yesterday-10)
prep(gyrated-8, amid-11)
pobj(amid-11, speculation-12)
mark(challenge-19, that-13)
nn(investors-17, one-14)
cc(one-14, or-15)
conj(one-14, more-16)
nsubj(challenge-19, investors-17)
aux(challenge-19, may-18)
ccomp(speculation-12, challenge-19)
det(board-22, the-20)
nn(board-22, UAL-21)
poss(decision-24, board-22)
possessive(board-22, 's-23)
dobj(challenge-19, decision-24)
aux(remain-26, to-25)
vmod(decision-24, remain-26)
dep(remain-26, independent-27)
advmod(of-29, instead-28)
prep(remain-26, of-29)
pcomp(of-29, pursuing-30)
det(buy-out-32, a-31)
dobj(pursuing-30, buy-out-32)
cc(buy-out-32, or-33)
amod(transaction-35, other-34)
conj(buy-out-32, transaction-35)
punct(gyrated-8, .-36)

det(board-2, The-1)
poss(decision-4, board-2)
possessive(board-2, 's-3)
nsubj(prompted-14, decision-4)
punct(decision-4, ,-5)
vmod(decision-4, announced-6)
mark(closed-10, after-7)
det(market-9, the-8)
nsubj(closed-10, market-9)
advcl(announced-6, closed-10)
dep(closed-10, Monday-11)
punct(decision-4, ,-12)
advmod(prompted-14, initially-13)
root(ROOT-0, prompted-14)
det(sell-off-17, a-15)
amod(sell-off-17, severe-16)
dobj(prompted-14, sell-off-17)
prep(sell-off-17, in-18)
nn(shares-20, UAL-19)
pobj(in-18, shares-20)
punct(shares-20, ,-21)
dep(traded-25, which-22)
prep(traded-25, at-23)
dep(at-23, midday-24)
dep(shares-20, traded-25)
advmod(low-27, as-26)
advmod(traded-25, low-27)
prep(low-27, as-28)
pobj(as-28, $-29)
num($-29, 145-30)
det(share-32, a-31)
dep($-29, share-32)
punct(traded-25, ,-33)
advmod(traded-25, down-34)
pobj(down-34, $-35)
num($-35, 33-36)
det(share-38, a-37)
dep($-35, share-38)
punct(traded-25, ,-39)
prep(traded-25, in-40)
amod(trading-42, composite-41)
pobj(in-40, trading-42)
prep(trading-42, on-43)
det(Exchange-48, the-44)
nn(Exchange-48, New-45)
nn(Exchange-48, York-46)
nn(Exchange-48, Stock-47)
pobj(on-43, Exchange-48)
punct(prompted-14, .-49)

det(bloodbath-3, The-1)
amod(bloodbath-3, deepening-2)
nsubj(triggered-23, bloodbath-3)
prep(bloodbath-3, for-4)
amod(traders-6, takeover-stock-5)
pobj(for-4, traders-6)
punct(traders-6, ,-7)
dep(seen-12, who-8)
advmod(seen-12, by-9)
advmod(by-9, then-10)
aux(seen-12, had-11)
dep(traders-6, seen-12)
nn(stock-14, UAL-13)
nsubj(tumble-15, stock-14)
ccomp(seen-12, tumble-15)
num(%-17, 49-16)
dobj(tumble-15, %-17)
prep(tumble-15, since-18)
pobj(since-18, Oct.-19)
num(Oct.-19, 12-20)
punct(traders-6, ,-21)
advmod(triggered-23, also-22)
root(ROOT-0, triggered-23)
det(sell-off-26, a-24)
amod(sell-off-26, marketwide-25)
dobj(triggered-23, sell-off-26)
dep(sent-28, that-27)
dep(sell-off-26, sent-28)
det(Average-33, the-29)
nn(Average-33, Dow-30)
nn(Average-33, Jones-31)
nn(Average-33, Industrial-32)
dep(sent-28, Average-33)
advmod(Average-33, down-34)
advmod(than-36, more-35)
quantmod(80-37, than-36)
num(points-38, 80-37)
pobj(down-34, points-38)
prep(sent-28, at-39)
pobj(at-39, 10:40-40)
advmod(10:40-40, a.m-41)
punct(triggered-23, .-42)

cc(took-22, But-1)
advmod(took-22, then-2)
dep(concentrated-5, steady-3)
punct(concentrated-5, ,-4)
amod(buying-6, concentrated-5)
nsubj(took-22, buying-6)
prep(buying-6, by-7)
pobj(by-7, Bear-8)
punct(Bear-8, ,-9)
conj(Bear-8, Stearns-10)
cc(Bear-8, &-11)
conj(Bear-8, Co.-12)
punct(Bear-8, ,-13)
dep(buys-16, which-14)
advmod(buys-16, frequently-15)
dep(Bear-8, buys-16)
dep(buys-16, stock-17)
prep(buys-16, for-18)
amod(raiders-20, corporate-19)
pobj(for-18, raiders-20)
punct(Bear-8, ,-21)
root(ROOT-0, took-22)
dep(took-22, hold-23)
cc(took-22, and-24)
conj(took-22, steadied-25)
det(fall-27, the-26)
dobj(steadied-25, fall-27)
prep(fall-27, in-28)
dep(in-28, UAL-29)
punct(took-22, ,-30)
dep(buoyed-33, which-31)
advmod(buoyed-33, eventually-32)
ccomp(took-22, buoyed-33)
det(market-36, the-34)
amod(market-36, entire-35)
dobj(buoyed-33, market-36)
punct(took-22, .-37)

det(average-3, The-1)
amod(average-3, industrial-2)
nsubj(closed-4, average-3)
root(ROOT-0, closed-4)
advmod(closed-4, down-5)
quantmod(3.69-7, only-6)
num(points-8, 3.69-7)
pobj(down-5, points-8)
prep(closed-4, at-9)
dep(at-9, 2659.22-10)
punct(closed-4, .-11)

advmod(triggered-29, Late-1)
prep(Late-1, in-2)
det(afternoon-4, the-3)
pobj(in-2, afternoon-4)
punct(triggered-29, ,-5)
amod(purchases-8, several-6)
amod(purchases-8, big-7)
nsubj(triggered-29, purchases-8)
prep(purchases-8, by-9)
nn(Stearns-12, Bear-10)
punct(Stearns-12, ,-11)
pobj(by-9, Stearns-12)
punct(purchases-8, ,-13)
advmod(block-16, particularly-14)
det(block-16, a-15)
appos(purchases-8, block-16)
prep(block-16, of-17)
num(shares-19, 200,000-18)
pobj(of-17, shares-19)
prep(block-16, at-20)
num(p.m.-22, 2:43-21)
pobj(at-20, p.m.-22)
prep(block-16, at-23)
pobj(at-23, $-24)
num($-24, 150-25)
det(share-27, a-26)
dep($-24, share-27)
punct(purchases-8, ,-28)
root(ROOT-0, triggered-29)
det(spree-32, a-30)
amod(spree-32, buying-31)
dobj(triggered-29, spree-32)
dep(took-34, that-33)
dep(spree-32, took-34)
dep(up-36, UAL-35)
dep(took-34, up-36)
advmod(than-38, more-37)
quantmod(18-39, than-38)
num(points-40, 18-39)
pobj(up-36, points-40)
prep(took-34, in-41)
det(hour-44, the-42)
amod(hour-44, final-43)
pobj(in-41, hour-44)
prep(hour-44, of-45)
dep(of-45, trading-46)
punct(triggered-29, .-47)

nn(stock-2, UAL-1)
nsubj(closed-3, stock-2)
root(ROOT-0, closed-3)
prep(closed-3, at-4)
pobj(at-4, $-5)
num($-5, 170-6)
det(share-8, a-7)
dep($-5, share-8)
punct(closed-3, ,-9)
advmod(closed-3, down-10)
pobj(down-10, $-11)
num($-11, 8.375-12)
punct(closed-3, .-13)

dep(shares-7, Volume-1)
cop(shares-7, was-2)
det(shares-7, a-3)
amod(shares-7, tumultuous-4)
number(million-6, 4.9-5)
num(shares-7, million-6)
root(ROOT-0, shares-7)
punct(shares-7, ,-8)
cc(shares-7, or-9)
num(%-11, 22-10)
conj(shares-7, %-11)
prep(%-11, of-12)
det(shares-17, the-13)
number(million-15, 21.8-14)
num(shares-17, million-15)
nn(shares-17, UAL-16)
pobj(of-12, shares-17)
amod(shares-17, outstanding-18)
punct(shares-7, .-19)

dep(estimated-2, Traders-1)
root(ROOT-0, estimated-2)
mark(bought-7, that-3)
nn(Stearns-6, Bear-4)
punct(Stearns-6, ,-5)
nsubj(bought-7, Stearns-6)
ccomp(estimated-2, bought-7)
mwe(than-9, more-8)
quantmod(million-11, than-9)
number(million-11, 1-10)
num(shares-12, million-11)
dobj(bought-7, shares-12)
punct(estimated-2, .-13)

det(buyers-6, The-1)
num(buyers-6, two-2)
advmod(frequently-4, most-3)
advmod(rumored-5, frequently-4)
amod(buyers-6, rumored-5)
nsubj(Partners-16, buyers-6)
punct(buyers-6, ,-7)
dep(of-9, neither-8)
nsubj(would-11, of-9)
dep(of-9, whom-10)
rcmod(buyers-6, would-11)
dep(would-11, comment-12)
punct(buyers-6, ,-13)
cop(Partners-16, were-14)
nn(Partners-16, Coniston-15)
root(ROOT-0, Partners-16)
punct(Partners-16, ,-17)
dep(battled-19, which-18)
dep(Partners-16, battled-19)
det(board-22, the-20)
nn(board-22, UAL-21)
dobj(battled-19, board-22)
prep(battled-19, in-23)
dep(in-23, 1987-24)
punct(Partners-16, ,-25)
cc(Partners-16, and-26)
nn(developer-31, New-27)
nn(developer-31, York-28)
amod(developer-31, real-29)
nn(developer-31, estate-30)
conj(Partners-16, developer-31)
nn(Trump-33, Donald-32)
dep(developer-31, Trump-33)
punct(developer-31, ,-34)
dep(made-37, who-35)
advmod(made-37, recently-36)
dep(developer-31, made-37)
cc(made-37, and-38)
conj(made-37, withdrew-39)
det(offer-41, an-40)
dobj(made-37, offer-41)
prep(offer-41, for-42)
nn(parent-45, American-43)
nn(parent-45, Airlines-44)
pobj(for-42, parent-45)
nn(Corp-47, AMR-46)
dep(parent-45, Corp-47)
punct(Partners-16, .-48)

advmod(said-8, However-1)
punct(said-8, ,-2)
num(person-4, one-3)
nsubj(said-8, person-4)
amod(person-4, familiar-5)
prep(familiar-5, with-6)
dep(with-6, UAL-7)
root(ROOT-0, said-8)
det(signs-10, the-9)
nsubj(pointed-11, signs-10)
ccomp(said-8, pointed-11)
prep(pointed-11, to-12)
dep(to-12, Coniston-13)
mark(asked-19, because-14)
nn(Trump-16, Mr.-15)
nsubj(asked-19, Trump-16)
aux(asked-19, has-17)
neg(asked-19, n't-18)
advcl(pointed-11, asked-19)
prep(asked-19, for-20)
pobj(for-20, permission-21)
aux(buy-23, to-22)
vmod(permission-21, buy-23)
quantmod($-26, more-24)
quantmod($-26, than-25)
dobj(buy-23, $-26)
number(million-28, 15-27)
num($-26, million-28)
prep($-26, of-29)
dep(of-29, stock-30)
prep(asked-19, under-31)
amod(rules-34, federal-32)
amod(rules-34, antitrust-33)
pobj(under-31, rules-34)
punct(said-8, .-35)

amod(traders-2, Takeover-stock-1)
nsubj(remained-13, traders-2)
punct(traders-2, ,-3)
vmod(traders-2, stung-4)
prep(stung-4, by-5)
poss(losses-8, their-6)
amod(losses-8, huge-7)
pobj(by-5, losses-8)
prep(losses-8, in-9)
nn(stock-11, UAL-10)
pobj(in-9, stock-11)
punct(traders-2, ,-12)
root(ROOT-0, remained-13)
acomp(remained-13, eager-14)
prep(eager-14, for-15)
det(action-17, some-16)
pobj(for-15, action-17)
prep(action-17, by-18)
det(catalyst-21, an-19)
amod(catalyst-21, outside-20)
pobj(by-18, catalyst-21)
prep(remained-13, following-22)
det(collapse-24, the-23)
pobj(following-22, collapse-24)
dep(collapse-24, Oct.-25)
num(Oct.-25, 13-26)
prep(collapse-24, of-27)
det(buy-out-36, a-28)
amod(buy-out-36, $-29)
dep($-29, 300-a-share-30)
punct($-29, ,-31)
dep($-29, $-32)
number(billion-34, 6.79-33)
num($-32, billion-34)
nn(buy-out-36, labor-management-35)
pobj(of-27, buy-out-36)
punct(remained-13, .-37)

poss(hope-2, Their-1)
nsubj(was-3, hope-2)
root(ROOT-0, was-3)
mark(seek-8, that-4)
det(catalyst-6, the-5)
nsubj(seek-8, catalyst-6)
aux(seek-8, would-7)
ccomp(was-3, seek-8)
aux(oust-10, to-9)
xcomp(seek-8, oust-10)
det(board-12, the-11)
dobj(oust-10, board-12)
prep(seek-8, in-13)
det(solicitation-15, a-14)
pobj(in-13, solicitation-15)
prep(solicitation-15, of-16)
nn(consents-18, shareholder-17)
pobj(of-16, consents-18)
punct(was-3, .-19)

nn(Investments-4, Baker-1)
punct(Investments-4, ,-2)
appos(Investments-4, Nye-3)
nsubj(comment-18, Investments-4)
punct(Investments-4, ,-5)
det(trader-10, a-6)
nn(trader-10, New-7)
nn(trader-10, York-8)
amod(trader-10, takeover-stock-9)
appos(Investments-4, trader-10)
dep(owns-12, that-11)
dep(trader-10, owns-12)
nn(stock-14, UAL-13)
dobj(owns-12, stock-14)
punct(Investments-4, ,-15)
aux(comment-18, would-16)
neg(comment-18, n't-17)
root(ROOT-0, comment-18)
prep(comment-18, on-19)
pobj(on-19, reports-20)
det(firm-22, the-21)
nsubj(considering-24, firm-22)
aux(considering-24, is-23)
ccomp(reports-20, considering-24)
vmod(considering-24, seeking-25)
predet(vote-29, such-26)
det(vote-29, a-27)
nn(vote-29, shareholder-28)
dobj(seeking-25, vote-29)
punct(comment-18, .-30)

cc(said-5, But-1)
nn(Nye-4, partner-2)
nn(Nye-4, Richard-3)
nsubj(said-5, Nye-4)
root(ROOT-0, said-5)
punct(said-5, ,-6)
punct(said-5, ``-7)
dep(transaction-14, This-8)
cop(transaction-14, is-9)
det(transaction-14, the-10)
advmod(extraordinary-12, most-11)
amod(transaction-14, extraordinary-12)
amod(transaction-14, failed-13)
ccomp(said-5, transaction-14)
dep(seen-17, I-15)
aux(seen-17, 've-16)
rcmod(transaction-14, seen-17)
prep(seen-17, in-18)
num(years-20, 25-19)
pobj(in-18, years-20)
prep(years-20, in-21)
det(business-23, this-22)
pobj(in-21, business-23)
punct(said-5, .-24)

nsubj(make-3, It-1)
aux(make-3, would-2)
root(ROOT-0, make-3)
dep(make-3, sense-4)
mark(do-8, for-5)
dep(do-8, somebody-6)
aux(do-8, to-7)
advcl(make-3, do-8)
dep(do-8, it-9)
punct(make-3, .-10)

dep(seen-4, I-1)
aux(seen-4, have-2)
neg(seen-4, never-3)
root(ROOT-0, seen-4)
det(case-6, a-5)
dobj(seen-4, case-6)
prep(case-6, of-7)
pobj(of-7, incompetence-8)
dep(incompetence-8, shared-9)
prep(shared-9, by-10)
advmod(participants-13, so-11)
amod(participants-13, many-12)
pobj(by-10, participants-13)
punct(seen-4, .-14)
punct(seen-4, ''-15)

prep(waged-7, In-1)
dep(In-1, 1986-2)
punct(waged-7, ,-3)
nn(Nye-6, Baker-4)
punct(Nye-6, ,-5)
nsubj(waged-7, Nye-6)
root(ROOT-0, waged-7)
det(fight-10, a-8)
nn(fight-10, proxy-9)
dobj(waged-7, fight-10)
prep(fight-10, for-11)
pobj(for-11, control-12)
prep(control-12, of-13)
nn(Inc.-16, Leaseway-14)
nn(Inc.-16, Transportation-15)
pobj(of-13, Inc.-16)
dep(led-19, that-17)
advmod(led-19, ultimately-18)
dep(fight-10, led-19)
prep(led-19, to-20)
nsubj(sold-24, Leaseway-21)
possessive(Leaseway-21, 's-22)
dep(sold-24, being-23)
pcomp(to-20, sold-24)
punct(waged-7, .-25)

det(traders-2, Some-1)
nsubj(pointed-3, traders-2)
root(ROOT-0, pointed-3)
advmod(pointed-3, hopefully-4)
prep(pointed-3, to-5)
amod(estimates-7, earlier-6)
pobj(to-5, estimates-7)
prep(estimates-7, by-8)
poss(adviser-12, UAL-9)
possessive(UAL-9, 's-10)
nn(adviser-12, investment-11)
pobj(by-8, adviser-12)
punct(adviser-12, ,-13)
nn(Corp.-16, First-14)
nn(Corp.-16, Boston-15)
appos(adviser-12, Corp.-16)
punct(adviser-12, ,-17)
mark(yield-21, that-18)
dep(yield-21, recapitalizations-19)
aux(yield-21, could-20)
dep(estimates-7, yield-21)
dep($-25, $-22)
number($-25, 245-23)
dep($-25, to-24)
dobj(yield-21, $-25)
num($-25, 280-26)
det(share-28, a-27)
dep($-25, share-28)
punct(pointed-3, .-29)

cc(require-4, But-1)
dep(require-4, those-2)
aux(require-4, would-3)
root(ROOT-0, require-4)
poss(cooperation-7, pilots-5)
possessive(pilots-5, '-6)
dobj(require-4, cooperation-7)
punct(require-4, .-8)

det(investor-2, Any-1)
nsubj(deal-17, investor-2)
dep(acquires-4, who-3)
dep(investor-2, acquires-4)
nn(stock-6, UAL-5)
dobj(acquires-4, stock-6)
prep(acquires-4, in-7)
det(attempt-9, an-8)
pobj(in-7, attempt-9)
aux(force-11, to-10)
vmod(attempt-9, force-11)
det(buy-out-13, a-12)
dobj(force-11, buy-out-13)
cc(buy-out-13, or-14)
conj(buy-out-13, recapitalization-15)
aux(deal-17, must-16)
root(ROOT-0, deal-17)
prep(deal-17, with-18)
poss(unions-22, United-19)
possessive(United-19, 's-20)
amod(unions-22, contentious-21)
pobj(with-18, unions-22)
punct(deal-17, .-23)

det(pilots-2, The-1)
nsubj(working-4, pilots-2)
aux(working-4, are-3)
root(ROOT-0, working-4)
prep(working-4, under-5)
det(contract-8, an-6)
amod(contract-8, expired-7)
pobj(under-5, contract-8)
punct(working-4, ,-9)
cc(working-4, and-10)
det(contract-13, the-11)
nn(contract-13, machinists-12)
nsubj(expires-14, contract-13)
conj(working-4, expires-14)
amod(month-16, next-15)
tmod(expires-14, month-16)
punct(working-4, .-17)

dep(gives-2, That-1)
root(ROOT-0, gives-2)
dep(gives-2, them-3)
amod(leverage-5, enormous-4)
dobj(gives-2, leverage-5)
punct(leverage-5, ,-6)
prep(leverage-5, including-7)
det(threat-9, the-8)
pobj(including-7, threat-9)
prep(threat-9, of-10)
det(strike-12, a-11)
pobj(of-10, strike-12)
aux(block-14, to-13)
vmod(strike-12, block-14)
det(attempt-19, any-15)
nn(attempt-19, buy-out-16)
cc(buy-out-16, or-17)
conj(buy-out-16, recapitalization-18)
dobj(block-14, attempt-19)
dep(oppose-21, they-20)
rcmod(attempt-19, oppose-21)
punct(gives-2, .-22)

advmod(seek-8, However-1)
punct(seek-8, ,-2)
det(catalyst-4, a-3)
nsubj(seek-8, catalyst-4)
prep(catalyst-4, like-5)
dep(like-5, Coniston-6)
aux(seek-8, could-7)
root(ROOT-0, seek-8)
nn(support-10, shareholder-9)
dobj(seek-8, support-10)
prep(support-10, for-11)
det(sale-13, a-12)
pobj(for-11, sale-13)
prep(sale-13, to-14)
det(group-17, a-15)
nn(group-17, labor-management-16)
pobj(to-14, group-17)
prep(sale-13, at-18)
det(price-21, the-19)
amod(price-21, last-20)
pobj(at-18, price-21)
vmod(price-21, discussed-22)
prep(discussed-22, by-23)
det(group-25, that-24)
pobj(by-23, group-25)
prep(seek-8, before-26)
det(meeting-29, the-27)
