amod(members-2, Influential-1)
dep(said-22, he-21)
root(ROOT-0, said-22)
punct(said-22, .-23)

det(language-3, The-1)
amod(language-3, complicated-2)
nsubj(muddied-10, language-3)
prep(language-3, in-4)
det(law-8, the-5)
amod(law-8, huge-6)
amod(law-8, new-7)
pobj(in-4, law-8)
aux(muddied-10, has-9)
root(ROOT-0, muddied-10)
det(fight-12, the-11)
dobj(muddied-10, fight-12)
punct(muddied-10, .-13)

det(law-2, The-1)
nsubj(allow-4, law-2)
aux(allow-4, does-3)
root(ROOT-0, allow-4)
det(RTC-6, the-5)
dobj(allow-4, RTC-6)
aux(borrow-8, to-7)
xcomp(allow-4, borrow-8)
prep(borrow-8, from-9)
det(Treasury-11, the-10)
pobj(from-9, Treasury-11)
quantmod($-14, up-12)
dep($-14, to-13)
dobj(borrow-8, $-14)
number(billion-16, 5-15)
num($-14, billion-16)
prep(borrow-8, at-17)
det(time-19, any-18)
pobj(at-17, time-19)
punct(allow-4, .-20)

advmod(says-4, Moreover-1)
punct(says-4, ,-2)
dep(says-4, it-3)
root(ROOT-0, says-4)
det(RTC-6, the-5)
poss(obligations-9, RTC-6)
possessive(RTC-6, 's-7)
amod(obligations-9, total-8)
nsubj(exceed-12, obligations-9)
aux(exceed-12, may-10)
neg(exceed-12, not-11)
ccomp(says-4, exceed-12)
dobj(exceed-12, $-13)
number(billion-15, 50-14)
num($-13, billion-15)
punct(says-4, ,-16)
cc(says-4, but-17)
det(figure-19, that-18)
nsubjpass(derived-21, figure-19)
auxpass(derived-21, is-20)
conj(says-4, derived-21)
prep(derived-21, after-22)
pcomp(after-22, including-23)
dobj(including-23, notes-24)
cc(notes-24, and-25)
amod(debt-27, other-26)
conj(notes-24, debt-27)
punct(including-23, ,-28)
cc(including-23, and-29)
conj(including-23, subtracting-30)
prep(subtracting-30, from-31)
dep(from-31, it-32)
det(value-35, the-33)
nn(value-35, market-34)
dobj(subtracting-30, value-35)
prep(value-35, of-36)
det(assets-38, the-37)
pobj(of-36, assets-38)
det(RTC-40, the-39)
nsubj(holds-41, RTC-40)
rcmod(assets-38, holds-41)
punct(says-4, .-42)

cc(anticipate-5, But-1)
dep(anticipate-5, Congress-2)
aux(anticipate-5, did-3)
neg(anticipate-5, n't-4)
ccomp(say-12, anticipate-5)
cc(anticipate-5, or-6)
conj(anticipate-5, intend-7)
amod(debt-10, more-8)
amod(debt-10, public-9)
dobj(anticipate-5, debt-10)
punct(say-12, ,-11)
root(ROOT-0, say-12)
nsubj(say-12, opponents-13)
prep(opponents-13, of-14)
det(RTC-16, the-15)
poss(plan-19, RTC-16)
possessive(RTC-16, 's-17)
amod(plan-19, working-capital-18)
pobj(of-14, plan-19)
punct(say-12, ,-20)
cc(say-12, and-21)
nn(Schumer-24, Rep.-22)
nn(Schumer-24, Charles-23)
nsubj(said-31, Schumer-24)
punct(N.Y-28, -LRB--25)
dep(N.Y-28, D.-26)
punct(N.Y-28, ,-27)
appos(Schumer-24, N.Y-28)
punct(N.Y-28, .-29)
punct(N.Y-28, -RRB--30)
conj(say-12, said-31)
det(Board-35, the-32)
nn(Board-35, RTC-33)
nn(Board-35, Oversight-34)
nsubj(remiss-38, Board-35)
aux(remiss-38, has-36)
cop(remiss-38, been-37)
ccomp(said-31, remiss-38)
prep(remiss-38, in-39)
neg(keeping-41, not-40)
pcomp(in-39, keeping-41)
dep(informed-43, Congress-42)
dep(keeping-41, informed-43)
punct(say-12, .-44)

punct(said-26, ``-1)
det(secrecy-3, That-2)
nsubj(leads-4, secrecy-3)
ccomp(said-26, leads-4)
prep(leads-4, to-5)
det(proposal-7, a-6)
pobj(to-5, proposal-7)
prep(proposal-7, like-8)
det(one-10, the-9)
pobj(like-8, one-10)
prep(one-10, from-11)
pobj(from-11, Ways-12)
cc(Ways-12, and-13)
conj(Ways-12, Means-14)
punct(one-10, ,-15)
dep(seems-17, which-16)
dep(one-10, seems-17)
prep(seems-17, to-18)
dep(to-18, me-19)
dep(of-21, sort-20)
advmod(draconian-22, of-21)
acomp(seems-17, draconian-22)
punct(said-26, ,-23)
punct(said-26, ''-24)
dep(said-26, he-25)
root(ROOT-0, said-26)
punct(said-26, .-27)

punct(going-5, ``-1)
det(RTC-3, The-2)
nsubj(going-5, RTC-3)
aux(going-5, is-4)
root(ROOT-0, going-5)
aux(have-7, to-6)
xcomp(going-5, have-7)
aux(pay-9, to-8)
xcomp(have-7, pay-9)
det(price-11, a-10)
dobj(pay-9, price-11)
prep(price-11, of-12)
amod(consultation-14, prior-13)
pobj(of-12, consultation-14)
prep(consultation-14, on-15)
det(Hill-17, the-16)
pobj(on-15, Hill-17)
mark(want-20, if-18)
dep(want-20, they-19)
advcl(going-5, want-20)
det(kind-22, that-21)
dobj(want-20, kind-22)
prep(kind-22, of-23)
dep(of-23, flexibility-24)
punct(going-5, .-25)
punct(going-5, ''-26)

det(Committee-5, The-1)
nn(Committee-5, Ways-2)
cc(Ways-2, and-3)
conj(Ways-2, Means-4)
nsubj(hold-7, Committee-5)
aux(hold-7, will-6)
root(ROOT-0, hold-7)
det(hearing-9, a-8)
dobj(hold-7, hearing-9)
prep(hearing-9, on-10)
det(bill-12, the-11)
pobj(on-10, bill-12)
amod(Tuesday-14, next-13)
tmod(hold-7, Tuesday-14)
punct(hold-7, .-15)

dep(about-3, We-1)
aux(about-3, 're-2)
root(ROOT-0, about-3)
aux(see-5, to-4)
xcomp(about-3, see-5)
mark(works-8, if-6)
dep(works-8, advertising-7)
advcl(see-5, works-8)
punct(about-3, .-9)

advmod(rolling-24, Hard-1)
prep(Hard-1, on-2)
det(heels-4, the-3)
pobj(on-2, heels-4)
prep(heels-4, of-5)
poss(plunge-10, Friday-6)
possessive(Friday-6, 's-7)
amod(plunge-10, 190-point-8)
nn(plunge-10, stock-market-9)
pobj(of-5, plunge-10)
cc(plunge-10, and-11)
det(uncertainty-13, the-12)
conj(plunge-10, uncertainty-13)
dep(followed-16, that-14)
dep(followed-16, 's-15)
dep(uncertainty-13, followed-16)
punct(rolling-24, ,-17)
det(firms-22, a-18)
amod(firms-22, few-19)
amod(firms-22, big-20)
nn(firms-22, brokerage-21)
nsubj(rolling-24, firms-22)
aux(rolling-24, are-23)
root(ROOT-0, rolling-24)
dep(rolling-24, out-25)
amod(ads-27, new-26)
dobj(rolling-24, ads-27)
vmod(ads-27, trumpeting-28)
det(message-31, a-29)
amod(message-31, familiar-30)
dobj(trumpeting-28, message-31)
punct(message-31, :-32)
dep(message-31, Keep-33)
dep(Keep-33, on-34)
dep(Keep-33, investing-35)
punct(Keep-33, ,-36)
det(market-38, the-37)
nsubj(fine-41, market-38)
cop(fine-41, 's-39)
advmod(fine-41, just-40)
parataxis(Keep-33, fine-41)
punct(rolling-24, .-42)

poss(mission-2, Their-1)
nsubj(is-3, mission-2)
root(ROOT-0, is-3)
aux(keep-5, to-4)
xcomp(is-3, keep-5)
dep(keep-5, clients-6)
prep(keep-5, from-7)
pcomp(from-7, fleeing-8)
det(market-10, the-9)
dobj(fleeing-8, market-10)
punct(fleeing-8, ,-11)
mark(did-15, as-12)
amod(investors-14, individual-13)
nsubj(did-15, investors-14)
advcl(fleeing-8, did-15)
prep(did-15, in-16)
dep(in-16, droves-17)
prep(did-15, after-18)
det(crash-20, the-19)
pobj(after-18, crash-20)
prep(crash-20, in-21)
dep(in-21, October-22)

advmod(days-2, Just-1)
npadvmod(after-3, days-2)
prep(rushed-11, after-3)
det(crash-6, the-4)
num(crash-6, 1987-5)
pobj(after-3, crash-6)
punct(rushed-11, ,-7)
amod(firms-10, major-8)
nn(firms-10, brokerage-9)
nsubj(rushed-11, firms-10)
root(ROOT-0, rushed-11)
dep(rushed-11, out-12)
dep(rushed-11, ads-13)
aux(calm-15, to-14)
xcomp(rushed-11, calm-15)
dep(calm-15, investors-16)
punct(rushed-11, .-17)

det(time-2, This-1)
nsubj(moving-7, time-2)
dep(time-2, around-3)
punct(moving-7, ,-4)
dep(moving-7, they-5)
aux(moving-7, 're-6)
root(ROOT-0, moving-7)
advmod(faster-9, even-8)
advmod(moving-7, faster-9)
punct(moving-7, .-10)

nn(Inc.-2, PaineWebber-1)
nsubj(filmed-3, Inc.-2)
root(ROOT-0, filmed-3)
det(commercial-7, a-4)
amod(commercial-7, new-5)
nn(commercial-7, television-6)
dobj(filmed-3, commercial-7)
prep(filmed-3, at-8)
num(EDT-11, 4-9)
nn(EDT-11, p.m.-10)
pobj(at-8, EDT-11)
dep(filmed-3, yesterday-12)
cc(filmed-3, and-13)
conj(filmed-3, had-14)
dep(had-14, it-15)
prep(had-14, on-16)
det(air-18, the-17)
pobj(on-16, air-18)
prep(had-14, by-19)
amod(night-21, last-20)
pobj(by-19, night-21)
punct(filmed-3, .-22)

nn(Investments-2, Fidelity-1)
nsubj(placed-3, Investments-2)
root(ROOT-0, placed-3)
amod(ads-5, new-4)
dobj(placed-3, ads-5)
prep(placed-3, in-6)
dep(in-6, newspapers-7)
dep(placed-3, yesterday-8)
punct(placed-3, ,-9)
cc(placed-3, and-10)
conj(placed-3, wrote-11)
det(ad-14, another-12)
amod(ad-14, new-13)
dobj(wrote-11, ad-14)
vmod(ad-14, appearing-15)
dep(appearing-15, today-16)
punct(placed-3, .-17)

nn(Inc.-4, Shearson-1)
nn(Inc.-4, Lehman-2)
nn(Inc.-4, Hutton-3)
nsubj(written-10, Inc.-4)
prep(written-10, by-5)
nn(afternoon-7, yesterday-6)
pobj(by-5, afternoon-7)
aux(written-10, had-8)
advmod(written-10, already-9)
root(ROOT-0, written-10)
amod(ads-13, new-11)
nn(ads-13, TV-12)
dobj(written-10, ads-13)
punct(written-10, .-14)

dep(considered-2, It-1)
root(ROOT-0, considered-2)
xcomp(considered-2, running-3)
dep(running-3, them-4)
prep(running-3, during-5)
nn(night-7, tomorrow-6)
poss(broadcast-11, night-7)
possessive(night-7, 's-8)
nn(broadcast-11, World-9)
nn(broadcast-11, Series-10)
pobj(during-5, broadcast-11)
cc(considered-2, but-12)
conj(considered-2, decided-13)
neg(to-15, not-14)
xcomp(decided-13, to-15)
advmod(recovered-19, when-16)
det(market-18, the-17)
nsubj(recovered-19, market-18)
ccomp(decided-13, recovered-19)
dep(recovered-19, yesterday-20)
punct(considered-2, .-21)

amod(firms-3, Other-1)
nn(firms-3, brokerage-2)
nsubj(plotting-12, firms-3)
punct(firms-3, ,-4)
prep(firms-3, including-5)
nn(Lynch-7, Merrill-6)
pobj(including-5, Lynch-7)
cc(Lynch-7, &-8)
conj(Lynch-7, Co.-9)
punct(firms-3, ,-10)
aux(plotting-12, were-11)
root(ROOT-0, plotting-12)
dep(plotting-12, out-13)
amod(strategies-17, potential-14)
amod(strategies-17, new-15)
nn(strategies-17, ad-16)
dobj(plotting-12, strategies-17)
punct(plotting-12, .-18)

det(firms-3, The-1)
nn(firms-3, brokerage-2)
nsubj(learned-4, firms-3)
root(ROOT-0, learned-4)
det(lesson-6, a-5)
iobj(learned-4, lesson-6)
det(time-9, the-7)
amod(time-9, last-8)
dobj(learned-4, time-9)
dep(time-9, around-10)
punct(time-9, ,-11)
advmod(flooded-15, when-12)
amod(investors-14, frightened-13)
nsubj(flooded-15, investors-14)
dep(time-9, flooded-15)
det(lines-18, the-16)
nn(lines-18, phone-17)
dobj(flooded-15, lines-18)
cc(flooded-15, and-19)
conj(flooded-15, fled-20)
det(market-22, the-21)
dobj(fled-20, market-22)
prep(fled-20, in-23)
det(panic-25, a-24)
pobj(in-23, panic-25)
punct(learned-4, .-26)

det(time-2, This-1)
nsubj(were-6, time-2)
punct(were-6, ,-3)
det(firms-5, the-4)
nsubj(were-6, firms-5)
root(ROOT-0, were-6)
dep(were-6, ready-7)
punct(were-6, .-8)

dep(prepared-6, Fidelity-1)
punct(prepared-6, ,-2)
prep(prepared-6, for-3)
dep(for-3, example-4)
punct(prepared-6, ,-5)
root(ROOT-0, prepared-6)
dep(prepared-6, ads-7)
amod(months-9, several-8)
npadvmod(ago-10, months-9)
advmod(prepared-6, ago-10)
prep(prepared-6, in-11)
pobj(in-11, case-12)
prep(case-12, of-13)
det(plunge-16, a-14)
nn(plunge-16, market-15)
pobj(of-13, plunge-16)
punct(prepared-6, .-17)

advmod(went-4, When-1)
det(market-3, the-2)
nsubj(went-4, market-3)
advcl(ordered-15, went-4)
prep(went-4, into-5)
poss(fall-8, its-6)
amod(fall-8, free-7)
pobj(into-5, fall-8)
nn(afternoon-10, Friday-9)
dobj(went-4, afternoon-10)
punct(ordered-15, ,-11)
det(firm-14, the-12)
nn(firm-14, investment-13)
nsubj(ordered-15, firm-14)
root(ROOT-0, ordered-15)
amod(pages-17, full-16)
dobj(ordered-15, pages-17)
prep(pages-17, in-18)
det(editions-21, the-19)
nn(editions-21, Monday-20)
pobj(in-18, editions-21)
prep(editions-21, of-22)
quantmod(dozen-25, half-23)
quantmod(dozen-25, a-24)
num(newspapers-26, dozen-25)
pobj(of-22, newspapers-26)
punct(ordered-15, .-27)

det(ads-2, The-1)
nsubj(touted-3, ads-2)
root(ROOT-0, touted-3)
poss(800-number-7, Fidelity-4)
possessive(Fidelity-4, 's-5)
amod(800-number-7, automated-6)
dobj(touted-3, 800-number-7)
prep(touted-3, beneath-8)
det(headline-11, the-9)
amod(headline-11, huge-10)
pobj(beneath-8, headline-11)
punct(headline-11, ,-12)
punct(headline-11, ``-13)
dep(Ready-16, Fidelity-14)
cop(Ready-16, Is-15)
dep(headline-11, Ready-16)
prep(Ready-16, For-17)
poss(Call-19, Your-18)
pobj(For-17, Call-19)
punct(touted-3, .-20)
punct(touted-3, ''-21)

det(spokesman-3, A-1)
nn(spokesman-3, Fidelity-2)
nsubj(says-4, spokesman-3)
root(ROOT-0, says-4)
det(800-line-6, the-5)
nsubj(received-21, 800-line-6)
punct(800-line-6, ,-7)
dep(was-10, which-8)
advmod(was-10, already-9)
dep(800-line-6, was-10)
dep(was-10, operating-11)
cc(was-10, but-12)
dep(know-18, which-13)
amod(clients-15, many-14)
nsubj(know-18, clients-15)
aux(know-18, did-16)
neg(know-18, n't-17)
conj(was-10, know-18)
prep(know-18, about-19)
punct(800-line-6, ,-20)
ccomp(says-4, received-21)
quantmod(double-23, about-22)
num(volume-26, double-23)
det(volume-26, the-24)
amod(volume-26, usual-25)
dobj(received-21, volume-26)
prep(volume-26, of-27)
dep(of-27, calls-28)
prep(received-21, over-29)
det(weekend-31, the-30)
pobj(over-29, weekend-31)
punct(says-4, .-32)

punct(says-20, ``-1)
det(lot-3, A-2)
nsubj(comes-7, lot-3)
prep(lot-3, of-4)
nn(confidence-6, investor-5)
pobj(of-4, confidence-6)
ccomp(says-20, comes-7)
prep(comes-7, from-8)
det(fact-10, the-9)
pobj(from-8, fact-10)
mark(speak-14, that-11)
dep(speak-14, they-12)
aux(speak-14, can-13)
ccomp(fact-10, speak-14)
prep(speak-14, to-15)
dep(to-15, us-16)
punct(says-20, ,-17)
punct(says-20, ''-18)
dep(says-20, he-19)
root(ROOT-0, says-20)
punct(says-20, .-21)

punct(crucial-8, ``-1)
aux(maintain-3, To-2)
csubj(crucial-8, maintain-3)
det(dialogue-5, that-4)
dobj(maintain-3, dialogue-5)
cop(crucial-8, is-6)
advmod(crucial-8, absolutely-7)
root(ROOT-0, crucial-8)
punct(crucial-8, .-9)

dep(late-6, It-1)
aux(late-6, would-2)
aux(late-6, have-3)
cop(late-6, been-4)
advmod(late-6, too-5)
root(ROOT-0, late-6)
aux(think-8, to-7)
ccomp(late-6, think-8)
prep(think-8, about-9)
prep(late-6, on-10)
dep(on-10, Friday-11)
punct(late-6, .-12)

dep(had-2, We-1)
root(ROOT-0, had-2)
aux(think-4, to-3)
xcomp(had-2, think-4)
prep(think-4, about-5)
dep(about-5, it-6)
advmod(think-4, ahead-7)
prep(ahead-7, of-8)
dep(of-8, time-9)
punct(had-2, .-10)
punct(had-2, ''-11)

poss(ad-4, Today-1)
possessive(Today-1, 's-2)
nn(ad-4, Fidelity-3)
nsubj(goes-5, ad-4)
root(ROOT-0, goes-5)
det(step-7, a-6)
dobj(goes-5, step-7)
advmod(step-7, further-8)
punct(goes-5, ,-9)
vmod(goes-5, encouraging-10)
dep(stay-13, investors-11)
aux(stay-13, to-12)
ccomp(encouraging-10, stay-13)
prep(stay-13, in-14)
det(market-16, the-15)
pobj(in-14, market-16)
cc(stay-13, or-17)
advmod(plunge-20, even-18)
aux(plunge-20, to-19)
conj(stay-13, plunge-20)
dep(plunge-20, in-21)
prep(plunge-20, with-22)
dep(with-22, Fidelity-23)
punct(goes-5, .-24)

prep(counsels-9, Underneath-1)
det(headline-3, the-2)
nn(Diversification-5, headline-3)
punct(Diversification-5, ``-4)
pobj(Underneath-1, Diversification-5)
punct(counsels-9, ,-6)
punct(counsels-9, ''-7)
dep(counsels-9, it-8)
root(ROOT-0, counsels-9)
punct(counsels-9, ,-10)
punct(counsels-9, ``-11)
prep(need-23, Based-12)
pcomp(Based-12, on-13)
det(events-15, the-14)
pobj(on-13, events-15)
prep(events-15, of-16)
det(week-19, the-17)
amod(week-19, past-18)
pobj(of-16, week-19)
punct(need-23, ,-20)
det(investors-22, all-21)
nsubj(need-23, investors-22)
ccomp(counsels-9, need-23)
aux(know-25, to-24)
xcomp(need-23, know-25)
poss(portfolios-27, their-26)
