nsubj(continue-15, Efforts-1)
auxpass(expected-31, been-30)
root(ROOT-0, expected-31)
aux(give-33, to-32)
xcomp(expected-31, give-33)
det(contract-35, the-34)
iobj(give-33, contract-35)
amod(approval-37, conditional-36)
dobj(give-33, approval-37)
amod(week-39, last-38)
tmod(give-33, week-39)
punct(expected-31, .-40)

cc(said-5, But-1)
dep(said-5, regulators-2)
det(week-4, this-3)
nsubj(said-5, week-4)
root(ROOT-0, said-5)
nn(officials-7, futures-exchange-6)
nsubj(have-9, officials-7)
advmod(have-9, still-8)
ccomp(said-5, have-9)
det(way-11, a-10)
dobj(have-9, way-11)
aux(go-13, to-12)
vmod(way-11, go-13)
mark(answer-16, before-14)
dep(answer-16, they-15)
advcl(have-9, answer-16)
predet(questions-21, all-17)
det(questions-21, the-18)
amod(questions-21, remaining-19)
amod(questions-21, detailed-20)
dobj(answer-16, questions-21)
prep(questions-21, about-22)
det(contract-24, the-23)
pobj(about-22, contract-24)
punct(said-5, .-25)

det(exchange-2, The-1)
nsubj(forecast-4, exchange-2)
aux(forecast-4, had-3)
root(ROOT-0, forecast-4)
mark(begin-9, that-5)
det(contract-7, the-6)
nsubj(begin-9, contract-7)
aux(begin-9, would-8)
ccomp(forecast-4, begin-9)
dep(begin-9, trading-10)
prep(begin-9, by-11)
dep(by-11, December-12)
punct(forecast-4, .-13)

cc(say-5, But-1)
nn(regulators-3, securities-2)
nsubj(say-5, regulators-3)
advmod(say-5, now-4)
root(ROOT-0, say-5)
advmod(say-5, privately-6)
mark(likely-11, that-7)
dep(likely-11, it-8)
cop(likely-11, is-9)
neg(likely-11, n't-10)
ccomp(say-5, likely-11)
xcomp(likely-11, to-12)
dep(to-12, start-13)
prep(likely-11, until-14)
det(quarter-17, the-15)
amod(quarter-17, first-16)
pobj(until-14, quarter-17)
prep(quarter-17, of-18)
amod(year-20, next-19)
pobj(of-18, year-20)
punct(say-5, .-21)

nsubj(consider-9, Analysts-1)
cc(Analysts-1, and-2)
amod(officials-4, financial-3)
conj(Analysts-1, officials-4)
prep(Analysts-1, in-5)
det(colony-8, the-6)
amod(colony-8, British-7)
pobj(in-5, colony-8)
root(ROOT-0, consider-9)
det(contract-12, the-10)
amod(contract-12, new-11)
nsubj(essential-13, contract-12)
xcomp(consider-9, essential-13)
prep(essential-13, to-14)
det(revival-16, the-15)
pobj(to-14, revival-16)
prep(revival-16, of-17)
det(Exchange-22, the-18)
nn(Exchange-22, Hong-19)
nn(Exchange-22, Kong-20)
nn(Exchange-22, Futures-21)
pobj(of-17, Exchange-22)
punct(Exchange-22, ,-23)
dep(recovered-28, which-24)
aux(recovered-28, has-25)
neg(recovered-28, never-26)
advmod(recovered-28, fully-27)
dep(Exchange-22, recovered-28)
prep(recovered-28, from-29)
det(crash-33, the-30)
nn(crash-33, October-31)
num(crash-33, 1987-32)
pobj(from-29, crash-33)
punct(consider-9, .-34)

dep(believe-2, Many-1)
root(ROOT-0, believe-2)
mark(will-22, that-3)
prep(will-22, without-4)
det(exchange-8, a-5)
amod(exchange-8, healthy-6)
nn(exchange-8, futures-7)
pobj(without-4, exchange-8)
punct(will-22, ,-9)
nn(Kong-11, Hong-10)
poss(aspirations-13, Kong-11)
possessive(Kong-11, 's-12)
nsubj(will-22, aspirations-13)
aux(recognized-16, to-14)
auxpass(recognized-16, be-15)
vmod(aspirations-13, recognized-16)
prep(recognized-16, as-17)
det(center-21, an-18)
amod(center-21, international-19)
amod(center-21, financial-20)
pobj(as-17, center-21)
ccomp(believe-2, will-22)
dep(will-22, suffer-23)
punct(believe-2, .-24)

prep(say-6, In-1)
dep(In-1, addition-2)
punct(say-6, ,-3)
amod(banks-5, local-4)
nsubj(say-6, banks-5)
root(ROOT-0, say-6)
det(contract-9, the-7)
amod(contract-9, new-8)
nsubj(important-11, contract-9)
cop(important-11, is-10)
ccomp(say-6, important-11)
prep(important-11, in-12)
pcomp(in-12, helping-13)
dep(offset-15, them-14)
ccomp(helping-13, offset-15)
poss(exposure-19, their-16)
nn(exposure-19, Hong-17)
nn(exposure-19, Kong-dollar-18)
dobj(offset-15, exposure-19)
punct(say-6, .-20)

det(contract-2, The-1)
nsubjpass(based-5, contract-2)
aux(based-5, will-3)
auxpass(based-5, be-4)
root(ROOT-0, based-5)
prep(based-5, on-6)
det(rate-13, the-7)
amod(rate-13, three-month-8)
nn(rate-13, Hong-9)
nn(rate-13, Kong-10)
nn(rate-13, interbank-11)
amod(rate-13, offered-12)
pobj(on-6, rate-13)
punct(rate-13, ,-14)
cc(rate-13, or-15)
conj(rate-13, Hibor-16)
punct(based-5, .-17)

dep(copy-6, It-1)
cop(copy-6, is-2)
advmod(copy-6, almost-3)
det(copy-6, a-4)
nn(copy-6, carbon-5)
root(ROOT-0, copy-6)
prep(copy-6, of-7)
det(Exchange-11, the-8)
nn(Exchange-11, Chicago-9)
nn(Exchange-11, Mercantile-10)
poss(contract-14, Exchange-11)
possessive(Exchange-11, 's-12)
nn(contract-14, Eurodollar-13)
pobj(of-7, contract-14)
punct(contract-14, ,-15)
dep(based-18, which-16)
auxpass(based-18, is-17)
dep(contract-14, based-18)
prep(based-18, on-19)
det(rate-23, the-20)
amod(rate-23, three-month-21)
nn(rate-23, Eurodollar-22)
pobj(on-19, rate-23)
punct(rate-23, ,-24)
det(rate-26, the-25)
appos(rate-23, rate-26)
vmod(rate-26, paid-27)
prep(paid-27, on-28)
nn(deposits-30, U.S.-dollar-29)
pobj(on-28, deposits-30)
prep(paid-27, in-31)
nn(banks-33, London-32)
pobj(in-31, banks-33)
punct(copy-6, .-34)

mark(successful-6, If-1)
det(contract-3, the-2)
nsubj(successful-6, contract-3)
cop(successful-6, is-4)
advmod(successful-6, as-5)
advcl(do-13, successful-6)
mark(expect-9, as-7)
dep(expect-9, some-8)
dep(successful-6, expect-9)
punct(do-13, ,-10)
dep(do-13, it-11)
aux(do-13, may-12)
root(ROOT-0, do-13)
advmod(do-13, much-14)
aux(restore-16, to-15)
xcomp(do-13, restore-16)
dobj(restore-16, confidence-17)
prep(confidence-17, in-18)
pobj(in-18, futures-19)
amod(futures-19, trading-20)
prep(futures-19, in-21)
nn(Kong-23, Hong-22)
pobj(in-21, Kong-23)
punct(do-13, .-24)

punct(important-6, ``-1)
det(contract-3, The-2)
nsubj(important-6, contract-3)
cop(important-6, is-4)
advmod(important-6, definitely-5)
dep(says-12, important-6)
prep(important-6, to-7)
det(exchange-9, the-8)
pobj(to-7, exchange-9)
punct(important-6, ,-10)
punct(important-6, ''-11)
root(ROOT-0, says-12)
nn(Gilmore-14, Robert-13)
nsubj(says-12, Gilmore-14)
punct(Gilmore-14, ,-15)
nn(director-17, executive-16)
appos(Gilmore-14, director-17)
prep(director-17, of-18)
det(Commission-23, the-19)
nn(Commission-23, Securities-20)
cc(Securities-20, and-21)
conj(Securities-20, Futures-22)
pobj(of-18, Commission-23)
punct(says-12, .-24)

num(years-2, Two-1)
npadvmod(ago-3, years-2)
advmod(envy-10, ago-3)
punct(envy-10, ,-4)
det(exchange-7, the-5)
nn(exchange-7, futures-6)
nsubj(envy-10, exchange-7)
cop(envy-10, was-8)
det(envy-10, the-9)
root(ROOT-0, envy-10)
prep(envy-10, of-11)
amod(centers-15, other-12)
amod(centers-15, would-be-13)
nn(centers-15, futures-14)
pobj(of-11, centers-15)
punct(envy-10, .-16)

prep(grown-18, After-1)
advmod(months-4, only-2)
num(months-4, 17-3)
pobj(After-1, months-4)
punct(grown-18, ,-5)
poss(contract-8, its-6)
amod(contract-8, main-7)
nsubj(grown-18, contract-8)
punct(contract-8, ,-9)
prep(contract-8, based-10)
pcomp(based-10, on-11)
det(index-15, the-12)
nn(index-15, Hang-13)
nn(index-15, Seng-14)
pobj(on-11, index-15)
punct(contract-8, ,-16)
aux(grown-18, had-17)
root(ROOT-0, grown-18)
aux(contract-24, to-19)
cop(contract-24, be-20)
det(contract-24, the-21)
amod(contract-24, second-largest-22)
nn(contract-24, stock-index-futures-23)
xcomp(grown-18, contract-24)
prep(contract-24, in-25)
det(world-27, the-26)
pobj(in-25, world-27)
punct(grown-18, .-28)

punct(agreement-7, -LCB--1)
det(contract-4, A-2)
nn(contract-4, futures-3)
nsubj(agreement-7, contract-4)
cop(agreement-7, is-5)
det(agreement-7, an-6)
root(ROOT-0, agreement-7)
aux(buy-9, to-8)
vmod(agreement-7, buy-9)
cc(buy-9, or-10)
conj(buy-9, sell-11)
det(commodity-13, a-12)
dobj(buy-9, commodity-13)
cc(commodity-13, or-14)
amod(instrument-16, financial-15)
conj(commodity-13, instrument-16)
prep(buy-9, at-17)
det(price-20, a-18)
amod(price-20, set-19)
pobj(at-17, price-20)
prep(buy-9, on-21)
det(date-24, a-22)
amod(date-24, specified-23)
pobj(on-21, date-24)
punct(agreement-7, .-25)

prep(given-13, In-1)
det(case-3, the-2)
pobj(In-1, case-3)
prep(case-3, of-4)
nn(futures-8, stock-index-5)
cc(stock-index-5, and-6)
conj(stock-index-5, interest-rate-7)
pobj(of-4, futures-8)
punct(given-13, ,-9)
det(instruments-11, the-10)
nsubjpass(given-13, instruments-11)
auxpass(given-13, are-12)
root(ROOT-0, given-13)
det(value-17, an-14)
amod(value-17, underlying-15)
nn(value-17, cash-16)
dobj(given-13, value-17)
cc(given-13, and-18)
auxpass(settled-20, are-19)
conj(given-13, settled-20)
prep(settled-20, in-21)
dep(in-21, cash-22)
punct(given-13, .-23)
punct(given-13, -RCB--24)

cc(verged-13, But-1)
prep(verged-13, in-2)
det(week-4, the-3)
pobj(in-2, week-4)
prep(week-4, following-5)
det(crash-9, the-6)
num(crash-9, 1987-7)
nn(crash-9, stock-8)
pobj(following-5, crash-9)
punct(verged-13, ,-10)
det(exchange-12, the-11)
nsubj(verged-13, exchange-12)
root(ROOT-0, verged-13)
prep(verged-13, on-14)
dep(on-14, collapse-15)
punct(verged-13, ,-16)
cc(verged-13, and-17)
det(markets-22, the-18)
nn(markets-22, stock-19)
cc(stock-19, and-20)
conj(stock-19, futures-21)
nsubjpass(closed-27, markets-22)
prep(markets-22, in-23)
nn(Kong-25, Hong-24)
pobj(in-23, Kong-25)
auxpass(closed-27, were-26)
conj(verged-13, closed-27)
prep(closed-27, for-28)
num(days-30, four-29)
pobj(for-28, days-30)
punct(verged-13, .-31)

advmod(bailout-4, Only-1)
det(bailout-4, a-2)
amod(bailout-4, government-sponsored-3)
nsubj(kept-5, bailout-4)
root(ROOT-0, kept-5)
det(crisis-7, the-6)
dobj(kept-5, crisis-7)
prep(kept-5, from-8)
pcomp(from-8, swallowing-9)
det(exchange-11, the-10)
dobj(swallowing-9, exchange-11)
punct(kept-5, .-12)

csubj(remains-7, Trading-1)
prep(Trading-1, in-2)
nn(futures-6, Hang-3)
nn(futures-6, Seng-4)
nn(futures-6, index-5)
pobj(in-2, futures-6)
root(ROOT-0, remains-7)
acomp(remains-7, crippled-8)
prep(crippled-8, by-9)
det(experience-11, the-10)
pobj(by-9, experience-11)
punct(remains-7, .-12)

nsubj(totaled-8, Volume-1)
prep(Volume-1, for-2)
det(month-5, the-3)
amod(month-5, entire-4)
pobj(for-2, month-5)
prep(month-5, of-6)
dep(of-6, September-7)
root(ROOT-0, totaled-8)
quantmod(21,687-10, only-9)
num(contracts-11, 21,687-10)
dobj(totaled-8, contracts-11)
punct(totaled-8, ,-12)
prep(totaled-8, compared-13)
pcomp(compared-13, with-14)
det(average-17, a-15)
amod(average-17, daily-16)
pobj(with-14, average-17)
prep(average-17, of-18)
dep(of-18, 27,000-19)
prep(average-17, in-20)
det(month-22, the-21)
pobj(in-20, month-22)
prep(month-22, before-23)
det(crash-26, the-24)
num(crash-26, 1987-25)
pobj(before-23, crash-26)
punct(totaled-8, .-27)

prep(shown-18, Despite-1)
det(trading-4, the-2)
amod(trading-4, thin-3)
pobj(Despite-1, trading-4)
punct(Despite-1, ,-5)
cc(Despite-1, and-6)
conj(Despite-1, after-7)
num(years-10, two-8)
amod(years-10, painful-9)
pobj(after-7, years-10)
prep(years-10, of-11)
dep(of-11, restructuring-12)
punct(shown-18, ,-13)
det(market-16, the-14)
nn(market-16, futures-15)
nsubj(shown-18, market-16)
aux(shown-18, has-17)
root(ROOT-0, shown-18)
dep(shown-18, itself-19)
aux(be-21, to-20)
xcomp(shown-18, be-21)
dep(be-21, resilient-22)
prep(be-21, in-23)
num(tests-26, two-24)
amod(tests-26, recent-25)
pobj(in-23, tests-26)
punct(shown-18, .-27)

mark(struggled-4, While-1)
amod(markets-3, Asian-2)
nsubj(struggled-4, markets-3)
advcl(heavy-29, struggled-4)
aux(cope-6, to-5)
xcomp(struggled-4, cope-6)
prep(cope-6, with-7)
det(uncertainty-9, the-8)
pobj(with-7, uncertainty-9)
vmod(uncertainty-9, caused-10)
prep(caused-10, by-11)
det(plunge-15, the-12)
nn(plunge-15, Oct.-13)
num(plunge-15, 13-14)
pobj(by-11, plunge-15)
prep(plunge-15, in-16)
nn(prices-20, New-17)
nn(prices-20, York-18)
nn(prices-20, stock-19)
pobj(in-16, prices-20)
punct(heavy-29, ,-21)
nn(trading-23, futures-22)
nsubj(heavy-29, trading-23)
prep(trading-23, in-24)
nn(Kong-26, Hong-25)
pobj(in-24, Kong-26)
cop(heavy-29, was-27)
advmod(heavy-29, relatively-28)
root(ROOT-0, heavy-29)
cc(heavy-29, and-30)
conj(heavy-29, went-31)
advmod(went-31, smoothly-32)
punct(heavy-29, .-33)

dep(case-5, That-1)
cop(case-5, was-2)
advmod(case-5, also-3)
det(case-5, the-4)
root(ROOT-0, case-5)
prep(case-5, in-6)
det(days-8, the-7)
pobj(in-6, days-8)
prep(days-8, following-9)
det(massacre-13, the-10)
dep(4-12, June-11)
amod(massacre-13, 4-12)
pobj(following-9, massacre-13)
prep(massacre-13, in-14)
dep(in-14, Beijing-15)
punct(massacre-13, ,-16)
dep(caused-18, which-17)
dep(massacre-13, caused-18)
det(drop-21, a-19)
amod(drop-21, sharp-20)
dobj(caused-18, drop-21)
prep(drop-21, in-22)
nn(prices-26, Hong-23)
nn(prices-26, Kong-24)
nn(prices-26, stock-25)
pobj(in-22, prices-26)
punct(case-5, .-27)

punct(was-3, ``-1)
dep(was-3, There-2)
dep(says-10, was-3)
neg(problem-5, no-4)
dep(was-3, problem-5)
advmod(problem-5, at-6)
pobj(at-6, all-7)
punct(was-3, ,-8)
punct(was-3, ''-9)
root(ROOT-0, says-10)
nn(Ford-12, Douglas-11)
nsubj(says-10, Ford-12)
punct(Ford-12, ,-13)
amod(officer-16, chief-14)
nn(officer-16, executive-15)
appos(Ford-12, officer-16)
prep(officer-16, of-17)
det(exchange-20, the-18)
nn(exchange-20, futures-19)
pobj(of-17, exchange-20)
punct(says-10, .-21)

advmod(important-2, Most-1)
dep(is-8, important-2)
prep(important-2, to-3)
det(contract-5, the-4)
poss(success-7, contract-5)
possessive(contract-5, 's-6)
pobj(to-3, success-7)
root(ROOT-0, is-8)
det(commitment-10, the-9)
nsubj(is-8, commitment-10)
prep(commitment-10, of-11)
nn(Kong-13, Hong-12)
poss(institutions-17, Kong-13)
possessive(Kong-13, 's-14)
amod(institutions-17, big-15)
amod(institutions-17, financial-16)
pobj(of-11, institutions-17)
punct(institutions-17, ,-18)
advmod(institutions-17, especially-19)
det(leaders-22, the-20)
num(leaders-22, two-21)
dep(institutions-17, leaders-22)
punct(leaders-22, ,-23)
nn(Corp.-28, Hongkong-24)
cc(Hongkong-24, &-25)
conj(Hongkong-24, Shanghai-26)
nn(Corp.-28, Banking-27)
appos(leaders-22, Corp.-28)
cc(Corp.-28, and-29)
det(subsidiary-32, the-30)
amod(subsidiary-32, local-31)
conj(Corp.-28, subsidiary-32)
prep(subsidiary-32, of-33)
poss(PLC-39, Britain-34)
possessive(Britain-34, 's-35)
nn(PLC-39, Standard-36)
nn(PLC-39, Chartered-37)
nn(PLC-39, Bank-38)
pobj(of-33, PLC-39)
punct(is-8, .-40)

det(banks-4, The-1)
num(banks-4, two-2)
amod(banks-4, big-3)
nsubj(instrumental-6, banks-4)
cop(instrumental-6, were-5)
root(ROOT-0, instrumental-6)
prep(instrumental-6, in-7)
pcomp(in-7, designing-8)
det(contract-11, the-9)
amod(contract-11, new-10)
dobj(designing-8, contract-11)
punct(instrumental-6, .-12)

punct(be-17, ``-1)
mark(are-6, If-2)
det(banks-5, those-3)
num(banks-5, two-4)
nsubj(are-6, banks-5)
advcl(be-17, are-6)
advmod(are-6, there-7)
punct(be-17, ,-8)
advmod(balance-11, then-9)
det(balance-11, the-10)
nsubj(be-17, balance-11)
prep(balance-11, of-12)
det(institutions-15, the-13)
nn(institutions-15, banking-14)
pobj(of-12, institutions-15)
aux(be-17, will-16)
dep(says-21, be-17)
advmod(be-17, there-18)
punct(be-17, ,-19)
punct(be-17, ''-20)
root(ROOT-0, says-21)
nn(Gilmore-23, Mr.-22)
nsubj(says-21, Gilmore-23)
punct(Gilmore-23, ,-24)
det(Securities-26, the-25)
appos(Gilmore-23, Securities-26)
cc(Securities-26, and-27)
nn(official-30, Futures-28)
nn(official-30, Commission-29)
conj(Securities-26, official-30)
punct(says-21, .-31)

nn(banks-2, Colony-1)
nsubj(have-3, banks-2)
root(ROOT-0, have-3)
det(stake-6, a-4)
amod(stake-6, major-5)
dobj(have-3, stake-6)
prep(stake-6, in-7)
advmod(move-11, how-8)
nn(rates-10, interest-9)
nsubj(move-11, rates-10)
pcomp(in-7, move-11)
mwe(of-13, because-12)
prep(have-3, of-13)
poss(exposure-18, their-14)
amod(exposure-18, enormous-15)
nn(exposure-18, Hong-16)
nn(exposure-18, Kong-dollar-17)
pobj(of-13, exposure-18)
punct(have-3, .-19)

advmod(pegged-6, Even-1)
mark(pegged-6, though-2)
det(currency-4, the-3)
nsubjpass(pegged-6, currency-4)
auxpass(pegged-6, is-5)
advcl(move-34, pegged-6)
prep(pegged-6, to-7)
det(dollar-10, the-8)
nn(dollar-10, U.S.-9)
pobj(to-7, dollar-10)
punct(pegged-6, ,-11)
prep(pegged-6, with-12)
det(rate-16, a-13)
amod(rate-16, fixed-14)
nn(rate-16, exchange-15)
pobj(with-12, rate-16)
prep(rate-16, of-17)
pobj(of-17, HK$-18)
num(HK$-18, 7.8-19)
prep(HK$-18, to-20)
det(currency-23, the-21)
amod(currency-23, American-22)
pobj(to-20, currency-23)
punct(pegged-6, ,-24)
det(U.S.-26, the-25)
nsubj(move-34, U.S.-26)
cc(U.S.-26, and-27)
nn(economies-30, Hong-28)
nn(economies-30, Kong-29)
conj(U.S.-26, economies-30)
aux(move-34, do-31)
neg(move-34, n't-32)
advmod(move-34, always-33)
root(ROOT-0, move-34)
prep(move-34, in-35)
amod(step-37, lock-36)
pobj(in-35, step-37)
punct(move-34, ,-38)
xcomp(move-34, making-39)
dep(predict-43, it-40)
dep(predict-43, difficult-41)
aux(predict-43, to-42)
dep(making-39, predict-43)
advmod(go-51, where-44)
nn(rates-46, interest-45)
nsubj(go-51, rates-46)
prep(rates-46, in-47)
det(colony-49, the-48)
pobj(in-47, colony-49)
aux(go-51, will-50)
ccomp(predict-43, go-51)
punct(move-34, .-52)

prep(%-27, In-1)
advmod(1988-3, early-2)
pobj(In-1, 1988-3)
punct(1988-3, ,-4)
advmod(was-10, when-5)
det(rate-9, the-6)
amod(rate-9, three-month-7)
nn(rate-9, Eurodollar-8)
nsubj(was-10, rate-9)
dep(1988-3, was-10)
prep(was-10, between-11)
num(%-13, 7-12)
pobj(between-11, %-13)
cc(%-13, and-14)
num(%-16, 8-15)
conj(%-13, %-16)
punct(1988-3, ,-17)
det(rate-21, the-18)
amod(rate-21, three-month-19)
nn(rate-21, Hibor-20)
nsubj(%-27, rate-21)
cop(%-27, was-22)
advmod(as-25, as-23)
advmod(as-25, low-24)
quantmod(1-26, as-25)
dep(%-27, 1-26)
root(ROOT-0, %-27)
punct(%-27, .-28)

advmod(months-4, Just-1)
det(months-4, a-2)
amod(months-4, few-3)
npadvmod(ago-5, months-4)
advmod(%-14, ago-5)
punct(%-14, ,-6)
det(rate-10, the-7)
amod(rate-10, three-month-8)
nn(rate-10, Eurodollar-9)
nsubj(%-14, rate-10)
cop(%-14, was-11)
quantmod(9.5-13, around-12)
num(%-14, 9.5-13)
root(ROOT-0, %-14)
punct(%-14, ,-15)
mark(hit-19, while-16)
amod(Hibor-18, three-month-17)
nsubj(hit-19, Hibor-18)
advcl(%-14, hit-19)
dobj(hit-19, highs-20)
prep(highs-20, above-21)
num(%-23, 11-22)
pobj(above-21, %-23)
punct(%-14, .-24)

det(contract-3, The-1)
nn(contract-3, Hibor-2)
nsubj(solves-5, contract-3)
punct(solves-5, ``-4)
dep(says-21, solves-5)
advmod(bit-8, quite-6)
det(bit-8, a-7)
dobj(solves-5, bit-8)
prep(bit-8, of-9)
det(problem-11, the-10)
pobj(of-9, problem-11)
prep(problem-11, of-12)
nn(risk-14, interest-rate-13)
pobj(of-12, risk-14)
prep(risk-14, in-15)
det(market-18, the-16)
nn(market-18, interbank-17)
pobj(in-15, market-18)
punct(solves-5, ,-19)
punct(solves-5, ''-20)
root(ROOT-0, says-21)
nn(Cheng-23, Eric-22)
nsubj(says-21, Cheng-23)
punct(Cheng-23, ,-24)
det(director-26, a-25)
appos(Cheng-23, director-26)
prep(director-26, of-27)
nn(Ltd.-34, James-28)
nn(Ltd.-34, Capel-29)
punct(Ltd.-34, -LRB--30)
nn(Ltd.-34, Far-31)
nn(Ltd.-34, East-32)
punct(Ltd.-34, -RRB--33)
pobj(of-27, Ltd.-34)
punct(Ltd.-34, ,-35)
det(arm-39, the-36)
nn(arm-39, Hong-37)
nn(arm-39, Kong-38)
appos(Ltd.-34, arm-39)
prep(arm-39, of-40)
det(firm-44, the-41)
amod(firm-44, British-42)
nn(firm-44, brokerage-43)
pobj(of-40, firm-44)
punct(says-21, .-45)

prep(likely-12, Despite-1)
det(support-4, the-2)
amod(support-4, initial-3)
pobj(Despite-1, support-4)
vmod(support-4, expected-5)
punct(likely-12, ,-6)
nsubj(likely-12, trading-7)
prep(trading-7, in-8)
det(contract-10, the-9)
pobj(in-8, contract-10)
cop(likely-12, is-11)
root(ROOT-0, likely-12)
aux(start-14, to-13)
xcomp(likely-12, start-14)
advmod(start-14, slowly-15)
punct(likely-12, .-16)

det(wounds-2, The-1)
nsubj(healed-10, wounds-2)
prep(wounds-2, from-3)
det(crash-6, the-4)
num(crash-6, 1987-5)
pobj(from-3, crash-6)
dep(healed-10, have-7)
neg(healed-10, n't-8)
advmod(healed-10, yet-9)
root(ROOT-0, healed-10)
punct(healed-10, ,-11)
cc(healed-10, and-12)
neg(claims-15, not-13)
det(claims-15, all-14)
nsubjpass(settled-34, claims-15)
prep(claims-15, against-16)
det(clearinghouse-19, the-17)
nn(clearinghouse-19, exchange-18)
pobj(against-16, clearinghouse-19)
punct(by-21, ---20)
prep(claims-15, by-21)
pobj(by-21, those-22)
dep(bet-24, who-23)
dep(those-22, bet-24)
det(index-28, the-25)
nn(index-28, Hang-26)
nn(index-28, Seng-27)
nsubj(would-29, index-28)
ccomp(bet-24, would-29)
dep(would-29, fall-30)
punct(by-21, ---31)
aux(settled-34, have-32)
auxpass(settled-34, been-33)
conj(healed-10, settled-34)
punct(healed-10, .-35)

nsubj(remain-9, Companies-1)
cc(Companies-1, and-2)
amod(institutions-4, financial-3)
conj(Companies-1, institutions-4)
amod(Companies-1, familiar-5)
prep(familiar-5, with-6)
nn(Kong-8, Hong-7)
pobj(with-6, Kong-8)
root(ROOT-0, remain-9)
acomp(remain-9, wary-10)
prep(wary-10, of-11)
pcomp(of-11, trading-12)
prep(trading-12, in-13)
poss(market-16, its-14)
nn(market-16, futures-15)
pobj(in-13, market-16)
punct(remain-9, .-17)

cc(cautions-4, And-1)
nn(Gilmore-3, Mr.-2)
nsubj(cautions-4, Gilmore-3)
root(ROOT-0, cautions-4)
mark(limits-9, that-5)
dep(limits-9, there-6)
aux(limits-9, may-7)
cop(limits-9, be-8)
ccomp(cautions-4, limits-9)
prep(limits-9, on-10)
advmod(much-12, how-11)
advmod(grow-16, much-12)
det(contract-14, the-13)
