nsubjpass(expected-7, Confidence-1)
nn(deficit-3, August-2)
nsubjpass(topped-14, deficit-3)
cc(deficit-3, and-4)
det(gap-9, the-5)
number(billion-8, #-6)
number(billion-8, 2.2-7)
num(gap-9, billion-8)
conj(deficit-3, gap-9)
vmod(gap-9, registered-10)
prep(registered-10, in-11)
dep(in-11, July-12)
auxpass(topped-14, are-13)
root(ROOT-0, topped-14)
advmod(by-16, only-15)
prep(topped-14, by-16)
det(deficit-21, the-17)
number(billion-20, #-18)
number(billion-20, 2.3-19)
num(deficit-21, billion-20)
pobj(by-16, deficit-21)
prep(deficit-21, of-22)
pobj(of-22, October-23)
num(October-23, 1988-24)
punct(topped-14, .-25)

nn(Joshi-2, Sanjay-1)
nsubj(said-12, Joshi-2)
punct(Joshi-2, ,-3)
amod(economist-5, European-4)
appos(Joshi-2, economist-5)
prep(economist-5, at-6)
nn(Brothers-8, Baring-7)
pobj(at-6, Brothers-8)
cc(Brothers-8, &-9)
conj(Brothers-8, Co.-10)
punct(Joshi-2, ,-11)
root(ROOT-0, said-12)
dep(is-14, there-13)
ccomp(said-12, is-14)
neg(sign-16, no-15)
dep(is-14, sign-16)
mark(transforming-23, that-17)
poss(industry-21, Britain-18)
possessive(Britain-18, 's-19)
amod(industry-21, manufacturing-20)
nsubj(transforming-23, industry-21)
aux(transforming-23, is-22)
ccomp(sign-16, transforming-23)
dep(transforming-23, itself-24)
aux(boost-26, to-25)
xcomp(transforming-23, boost-26)
dep(boost-26, exports-27)
punct(said-12, .-28)

prep(remains-7, At-1)
det(time-4, the-2)
amod(time-4, same-3)
pobj(At-1, time-4)
punct(remains-7, ,-5)
dep(remains-7, he-6)
root(ROOT-0, remains-7)
advmod(pessimistic-9, fairly-8)
acomp(remains-7, pessimistic-9)
prep(pessimistic-9, about-10)
det(outlook-12, the-11)
pobj(about-10, outlook-12)
prep(outlook-12, for-13)
dep(for-13, imports-14)
punct(remains-7, ,-15)
prep(remains-7, given-16)
amod(consumer-19, continued-17)
amod(consumer-19, high-18)
pobj(given-16, consumer-19)
cc(consumer-19, and-20)
nn(inflows-23, capital-21)
nn(inflows-23, goods-22)
conj(consumer-19, inflows-23)
punct(remains-7, .-24)

dep(reckons-2, He-1)
root(ROOT-0, reckons-2)
det(deficit-6, the-3)
amod(deficit-6, current-4)
nn(deficit-6, account-5)
nsubj(narrow-8, deficit-6)
aux(narrow-8, will-7)
ccomp(reckons-2, narrow-8)
prep(narrow-8, to-9)
quantmod(billion-13, only-10)
number(billion-13, #-11)
number(billion-13, 1.8-12)
pobj(to-9, billion-13)
prep(narrow-8, in-14)
dep(in-14, September-15)
punct(reckons-2, .-16)

advmod(said-5, However-1)
punct(said-5, ,-2)
nn(Dillow-4, Mr.-3)
nsubj(said-5, Dillow-4)
root(ROOT-0, said-5)
dep(believes-7, he-6)
ccomp(said-5, believes-7)
mark(lead-18, that-8)
det(reduction-10, a-9)
nsubj(lead-18, reduction-10)
prep(reduction-10, in-11)
amod(material-13, raw-12)
pobj(in-11, material-13)
amod(material-13, stockbuilding-14)
prep(reduction-10, by-15)
dep(by-15, industry-16)
aux(lead-18, could-17)
ccomp(believes-7, lead-18)
prep(lead-18, to-19)
det(drop-22, a-20)
amod(drop-22, sharp-21)
pobj(to-19, drop-22)
prep(drop-22, in-23)
dep(in-23, imports-24)
punct(said-5, .-25)

prep(narrow-18, Combined-1)
pcomp(Combined-1, with-2)
advmod(rebound-6, at-3)
pobj(at-3, least-4)
det(rebound-6, some-5)
pobj(with-2, rebound-6)
prep(rebound-6, in-7)
dep(in-7, exports-8)
prep(rebound-6, after-9)
poss(decline-13, August-10)
possessive(August-10, 's-11)
amod(decline-13, unexpected-12)
pobj(after-9, decline-13)
punct(narrow-18, ,-14)
det(deficit-16, the-15)
nsubj(narrow-18, deficit-16)
aux(narrow-18, could-17)
root(ROOT-0, narrow-18)
prep(narrow-18, to-19)
quantmod(billion-25, as-20)
quantmod(billion-25, little-21)
quantmod(billion-25, as-22)
number(billion-25, #-23)
number(billion-25, 1.3-24)
pobj(to-19, billion-25)
punct(narrow-18, .-26)

nn(Briscoe-2, Mr.-1)
nsubj(warns-15, Briscoe-2)
punct(Briscoe-2, ,-3)
dep(forecasts-6, who-4)
advmod(forecasts-6, also-5)
dep(Briscoe-2, forecasts-6)
det(gap-13, a-7)
number(billion-10, #-8)
number(billion-10, 1.3-9)
num(gap-13, billion-10)
amod(gap-13, current-11)
nn(gap-13, account-12)
dobj(forecasts-6, gap-13)
punct(Briscoe-2, ,-14)
root(ROOT-0, warns-15)
mark(advance-31, that-16)
advmod(are-22, even-17)
mark(are-22, if-18)
det(figures-21, the-19)
nn(figures-21, trade-20)
nsubj(are-22, figures-21)
advcl(advance-31, are-22)
dep(are-22, bullish-23)
prep(are-22, for-24)
dep(for-24, sterling-25)
punct(advance-31, ,-26)
det(currency-28, the-27)
nsubj(advance-31, currency-28)
aux(advance-31, wo-29)
neg(advance-31, n't-30)
ccomp(warns-15, advance-31)
advmod(advance-31, much-32)
mark(want-36, because-33)
dep(want-36, investors-34)
aux(want-36, will-35)
advcl(advance-31, want-36)
aux(see-38, to-37)
xcomp(want-36, see-38)
amod(evidence-40, further-39)
dobj(see-38, evidence-40)
prep(evidence-40, of-41)
det(turnaround-43, the-42)
pobj(of-41, turnaround-43)
prep(see-38, before-44)
pcomp(before-44, adjusting-45)
dep(adjusting-45, positions-46)
punct(warns-15, .-47)

advmod(want-10, Nevertheless-1)
punct(noted-4, ,-2)
dep(noted-4, he-3)
parataxis(want-10, noted-4)
punct(noted-4, ,-5)
punct(want-10, ``-6)
neg(one-8, No-7)
nsubj(want-10, one-8)
aux(want-10, will-9)
root(ROOT-0, want-10)
aux(go-12, to-11)
xcomp(want-10, go-12)
prep(go-12, into-13)
det(figures-16, the-14)
nn(figures-16, trade-15)
pobj(into-13, figures-16)
prep(go-12, without-17)
det(position-20, a-18)
amod(position-20, flat-19)
pobj(without-17, position-20)
punct(position-20, ''-21)
prep(position-20, in-22)
det(pound-24, the-23)
pobj(in-22, pound-24)
punct(want-10, .-25)

advmod(remains-8, Meanwhile-1)
punct(remains-8, ,-2)
amod(evidence-4, overall-3)
nsubj(remains-8, evidence-4)
prep(evidence-4, on-5)
det(economy-7, the-6)
pobj(on-5, economy-7)
root(ROOT-0, remains-8)
advmod(clouded-10, fairly-9)
acomp(remains-8, clouded-10)
punct(remains-8, .-11)

prep(warned-9, In-1)
poss(speech-5, his-2)
nn(speech-5, Mansion-3)
nn(speech-5, House-4)
pobj(In-1, speech-5)
punct(warned-9, ,-6)
nn(Lawson-8, Mr.-7)
nsubj(warned-9, Lawson-8)
root(ROOT-0, warned-9)
mark(expected-16, that-10)
det(slowdown-13, a-11)
amod(slowdown-13, further-12)
nsubjpass(expected-16, slowdown-13)
aux(expected-16, can-14)
auxpass(expected-16, be-15)
ccomp(warned-9, expected-16)
mark(takes-30, as-17)
det(impact-19, the-18)
nsubj(takes-30, impact-19)
prep(impact-19, of-20)
det(rise-23, the-21)
amod(rise-23, last-22)
pobj(of-20, rise-23)
prep(rise-23, in-24)
nn(rates-26, interest-25)
pobj(in-24, rates-26)
advmod(month-29, earlier-27)
det(month-29, this-28)
dep(rise-23, month-29)
advcl(expected-16, takes-30)
dep(takes-30, effect-31)
punct(warned-9, .-32)

nn(rates-3, U.K.-1)
nn(rates-3, base-2)
nsubj(are-4, rates-3)
root(ROOT-0, are-4)
prep(are-4, at-5)
poss(level-8, their-6)
amod(level-8, highest-7)
pobj(at-5, level-8)
prep(level-8, in-9)
num(years-11, eight-10)
pobj(in-9, years-11)
punct(are-4, .-12)

cc(suggest-9, But-1)
nn(data-4, consumer-2)
nn(data-4, expenditure-3)
nsubj(suggest-9, data-4)
vmod(data-4, released-5)
dep(released-5, Friday-6)
aux(suggest-9, do-7)
neg(suggest-9, n't-8)
root(ROOT-0, suggest-9)
mark(slowing-15, that-10)
det(economy-13, the-11)
nn(economy-13, U.K.-12)
nsubj(slowing-15, economy-13)
aux(slowing-15, is-14)
ccomp(suggest-9, slowing-15)
advmod(quickly-17, that-16)
advmod(slowing-15, quickly-17)
punct(suggest-9, .-18)

det(figures-2, The-1)
nsubj(show-3, figures-2)
root(ROOT-0, show-3)
mark(rose-6, that-4)
dep(rose-6, spending-5)
ccomp(show-3, rose-6)
num(%-8, 0.1-7)
dobj(rose-6, %-8)
prep(rose-6, in-9)
det(quarter-12, the-10)
amod(quarter-12, third-11)
pobj(in-9, quarter-12)
prep(rose-6, from-13)
det(quarter-16, the-14)
amod(quarter-16, second-15)
pobj(from-13, quarter-16)
cc(rose-6, and-17)
conj(rose-6, was-18)
advmod(was-18, up-19)
num(%-21, 3.8-20)
pobj(up-19, %-21)
prep(was-18, from-22)
det(year-24, a-23)
npadvmod(ago-25, year-24)
pcomp(from-22, ago-25)
punct(show-3, .-26)

dep(compares-2, This-1)
root(ROOT-0, compares-2)
prep(compares-2, with-3)
det(rise-7, a-4)
number(%-6, 1.6-5)
amod(rise-7, %-6)
pobj(with-3, rise-7)
prep(rise-7, in-8)
det(second-10, the-9)
pobj(in-8, second-10)
prep(rise-7, from-11)
det(quarter-14, the-12)
amod(quarter-14, first-13)
pobj(from-11, quarter-14)
cc(rise-7, and-15)
det(increase-19, a-16)
number(%-18, 5.4-17)
amod(increase-19, %-18)
conj(rise-7, increase-19)
prep(increase-19, from-20)
det(quarter-23, the-21)
amod(quarter-23, second-22)
pobj(from-20, quarter-23)
prep(quarter-23, of-24)
dep(of-24, 1988-25)
punct(compares-2, .-26)

nn(Dillow-2, Mr.-1)
nsubj(said-3, Dillow-2)
root(ROOT-0, said-3)
det(data-5, the-4)
nsubj(show-6, data-5)
ccomp(said-3, show-6)
det(economy-8, the-7)
nsubj(strong-13, economy-8)
punct(strong-13, ``-9)
cop(strong-13, is-10)
advmod(strong-13, still-11)
advmod(strong-13, quite-12)
ccomp(show-6, strong-13)
punct(show-6, ,-14)
punct(show-6, ''-15)
cc(show-6, but-16)
nsubj(reduce-31, suggestions-17)
mark(went-23, that-18)
nsubj(went-23, much-19)
prep(much-19, of-20)
det(spending-22, the-21)
pobj(of-20, spending-22)
ccomp(suggestions-17, went-23)
prep(went-23, on-24)
pobj(on-24, services-25)
advmod(than-27, rather-26)
prep(services-25, than-27)
nn(goods-29, consumer-28)
pobj(than-27, goods-29)
aux(reduce-31, should-30)
conj(show-6, reduce-31)
dobj(reduce-31, fears-32)
prep(fears-32, of-33)
amod(rises-36, more-34)
nn(rises-36, import-35)
pobj(of-33, rises-36)
punct(said-3, .-37)

advmod(made-6, Certainly-1)
punct(made-6, ,-2)
det(chancellor-4, the-3)
nsubj(made-6, chancellor-4)
aux(made-6, has-5)
root(ROOT-0, made-6)
dep(prepared-12, it-7)
dep(prepared-12, clear-8)
mark(prepared-12, that-9)
dep(prepared-12, he-10)
auxpass(prepared-12, is-11)
dep(made-6, prepared-12)
aux(increase-14, to-13)
xcomp(prepared-12, increase-14)
nn(rates-16, interest-15)
dobj(increase-14, rates-16)
advmod(increase-14, again-17)
advcl(increase-14, if-18)
dep(if-18, necessary-19)
aux(ensure-22, to-20)
dep(ensure-22, both-21)
vmod(increase-14, ensure-22)
mark(take-28, that-23)
det(slowdown-26, a-24)
amod(slowdown-26, substantial-25)
nsubj(take-28, slowdown-26)
aux(take-28, does-27)
ccomp(ensure-22, take-28)
dep(take-28, place-29)
cc(take-28, and-30)
mark(decline-35, that-31)
dep(decline-35, sterling-32)
aux(decline-35, does-33)
neg(decline-35, n't-34)
conj(take-28, decline-35)
advmod(decline-35, further-36)
punct(made-6, .-37)

dep(reminded-4, Thursday-1)
punct(reminded-4, ,-2)
dep(reminded-4, he-3)
root(ROOT-0, reminded-4)
poss(audience-6, his-5)
dobj(reminded-4, audience-6)
mark(allow-13, that-7)
det(government-9, the-8)
nsubj(allow-13, government-9)
punct(allow-13, ``-10)
aux(allow-13, can-11)
neg(allow-13, not-12)
ccomp(reminded-4, allow-13)
det(rigor-16, the-14)
amod(rigor-16, necessary-15)
dobj(allow-13, rigor-16)
prep(rigor-16, of-17)
amod(policy-19, monetary-18)
pobj(of-17, policy-19)
aux(undermined-22, to-20)
auxpass(undermined-22, be-21)
xcomp(allow-13, undermined-22)
prep(undermined-22, by-23)
nn(weakness-26, exchange-24)
nn(weakness-26, rate-25)
pobj(by-23, weakness-26)
punct(reminded-4, .-27)
punct(reminded-4, ''-28)

dep(agree-2, Analysts-1)
root(ROOT-0, agree-2)
dep(is-4, there-3)
ccomp(agree-2, is-4)
dep(is-4, little-5)
dep(little-5, holding-6)
dep(firm-8, sterling-7)
dep(holding-6, firm-8)
prep(is-4, at-9)
det(moment-11, the-10)
pobj(at-9, moment-11)
acomp(is-4, other-12)
prep(other-12, than-13)
nn(Lawson-15, Mr.-14)
poss(promise-17, Lawson-15)
possessive(Lawson-15, 's-16)
pobj(than-13, promise-17)
mark(pushed-22, that-18)
dep(pushed-22, rates-19)
aux(pushed-22, will-20)
auxpass(pushed-22, be-21)
ccomp(promise-17, pushed-22)
dep(pushed-22, higher-23)
advcl(pushed-22, if-24)
dep(if-24, necessary-25)
punct(agree-2, .-26)

cc(make-16, And-1)
punct(warn-4, ,-2)
dep(warn-4, they-3)
parataxis(make-16, warn-4)
punct(warn-4, ,-5)
det(drop-8, any-6)
amod(drop-8, further-7)
nsubj(make-16, drop-8)
prep(drop-8, in-9)
det(government-11, the-10)
poss(popularity-13, government-11)
possessive(government-11, 's-12)
pobj(in-9, popularity-13)
aux(make-16, could-14)
advmod(make-16, swiftly-15)
root(ROOT-0, make-16)
det(promise-18, this-17)
nsubj(sound-19, promise-18)
ccomp(make-16, sound-19)
dep(sound-19, hollow-20)
punct(make-16, .-21)

dep(showing-4, Sterling-1)
aux(showing-4, was-2)
advmod(showing-4, already-3)
root(ROOT-0, showing-4)
det(signs-6, some-5)
dobj(showing-4, signs-6)
prep(signs-6, of-7)
det(lack-9, a-8)
pobj(of-7, lack-9)
prep(lack-9, of-10)
pobj(of-10, confidence-11)
prep(confidence-11, in-12)
nn(Lawson-14, Mr.-13)
poss(promise-16, Lawson-14)
possessive(Lawson-14, 's-15)
pobj(in-12, promise-16)
dep(showing-4, Friday-17)
punct(showing-4, .-18)

prep(declined-5, In-1)
amod(trading-3, European-2)
pobj(In-1, trading-3)
dep(declined-5, it-4)
root(ROOT-0, declined-5)
prep(declined-5, to-6)
pobj(to-6, $-7)
num($-7, 1.5890-8)
cc($-7, and-9)
num(marks-11, 2.9495-10)
conj($-7, marks-11)
prep(declined-5, from-12)
pobj(from-12, $-13)
num($-13, 1.5940-14)
cc($-13, and-15)
num(marks-17, 2.9429-16)
conj($-13, marks-17)
amod(Thursday-19, late-18)
tmod(declined-5, Thursday-19)
punct(declined-5, .-20)

dep(suggested-2, Economists-1)
root(ROOT-0, suggested-2)
mark(forced-17, that-3)
mark(falls-7, if-4)
det(pound-6, the-5)
nsubj(falls-7, pound-6)
advcl(forced-17, falls-7)
advmod(below-9, much-8)
prep(falls-7, below-9)
num(marks-11, 2.90-10)
pobj(below-9, marks-11)
punct(forced-17, ,-12)
det(government-14, the-13)
nsubjpass(forced-17, government-14)
aux(forced-17, will-15)
auxpass(forced-17, be-16)
ccomp(suggested-2, forced-17)
aux(increase-19, to-18)
xcomp(forced-17, increase-19)
dep(increase-19, rates-20)
prep(increase-19, to-21)
num(%-23, 16-22)
pobj(to-21, %-23)
punct(increase-19, ,-24)
dep(halt-27, both-25)
aux(halt-27, to-26)
ccomp(increase-19, halt-27)
det(decline-30, any-28)
amod(decline-30, further-29)
dobj(halt-27, decline-30)
cc(halt-27, and-31)
conj(halt-27, ensure-32)
mark(remains-39, that-33)
det(balance-35, the-34)
nsubj(remains-39, balance-35)
prep(balance-35, of-36)
amod(policy-38, monetary-37)
pobj(of-36, policy-38)
ccomp(ensure-32, remains-39)
dep(remains-39, unchanged-40)
punct(suggested-2, .-41)

poss(Activity-4, Friday-1)
possessive(Friday-1, 's-2)
nn(Activity-4, Market-3)
root(ROOT-0, Activity-4)

det(dollar-2, The-1)
nsubj(posted-3, dollar-2)
root(ROOT-0, posted-3)
dep(posted-3, gains-4)
prep(posted-3, in-5)
amod(trading-7, quiet-6)
pobj(in-5, trading-7)
mark(concerns-9, as-8)
advcl(posted-3, concerns-9)
prep(concerns-9, about-10)
dep(about-10, equities-11)
dep(concerns-9, abated-12)
punct(posted-3, .-13)

amod(dealers-3, Foreign-1)
nn(dealers-3, exchange-2)
nsubj(said-4, dealers-3)
root(ROOT-0, said-4)
mark(begun-10, that-5)
det(market-8, the-6)
nn(market-8, currency-7)
nsubj(begun-10, market-8)
aux(begun-10, has-9)
ccomp(said-4, begun-10)
aux(distance-12, to-11)
xcomp(begun-10, distance-12)
dep(distance-12, itself-13)
prep(distance-12, from-14)
det(exchange-18, the-15)
amod(exchange-18, volatile-16)
nn(exchange-18, stock-17)
pobj(from-14, exchange-18)
punct(exchange-18, ,-19)
dep(preoccupied-22, which-20)
aux(preoccupied-22, has-21)
dep(exchange-18, preoccupied-22)
det(market-24, the-23)
dobj(preoccupied-22, market-24)
prep(preoccupied-22, since-25)
pobj(since-25, Oct.-26)
num(Oct.-26, 13-27)
punct(Oct.-26, ,-28)
advmod(plunged-35, when-29)
det(Average-34, the-30)
nn(Average-34, Dow-31)
nn(Average-34, Jones-32)
nn(Average-34, Industrial-33)
nsubj(plunged-35, Average-34)
dep(Oct.-26, plunged-35)
advmod(than-37, more-36)
quantmod(190-38, than-37)
num(points-39, 190-38)
dobj(plunged-35, points-39)
punct(said-4, .-40)

nn(analysts-2, Currency-1)
nsubj(predict-3, analysts-2)
root(ROOT-0, predict-3)
mark(shift-14, that-4)
prep(shift-14, in-5)
det(week-8, the-6)
amod(week-8, coming-7)
pobj(in-5, week-8)
det(market-12, the-9)
amod(market-12, foreign-10)
nn(market-12, exchange-11)
nsubj(shift-14, market-12)
aux(shift-14, will-13)
ccomp(predict-3, shift-14)
poss(focus-16, its-15)
dobj(shift-14, focus-16)
advmod(shift-14, back-17)
prep(back-17, to-18)
amod(fundamentals-20, economic-19)
pobj(to-18, fundamentals-20)
punct(shift-14, ,-21)
vmod(shift-14, keeping-22)
det(eye-25, a-23)
amod(eye-25, close-24)
dobj(keeping-22, eye-25)
dep(eye-25, out-26)
prep(keeping-22, for-27)
det(signs-29, any-28)
pobj(for-27, signs-29)
prep(signs-29, of-30)
pobj(of-30, monetary-31)
amod(monetary-31, easing-32)
prep(monetary-31, by-33)
nn(Reserve-36, U.S.-34)
nn(Reserve-36, Federal-35)
pobj(by-33, Reserve-36)
punct(predict-3, .-37)

advmod(quoted-12, Late-1)
prep(Late-1, in-2)
det(day-7, the-3)
nn(day-7, New-4)
nn(day-7, York-5)
nn(day-7, trading-6)
pobj(in-2, day-7)
punct(quoted-12, ,-8)
det(dollar-10, the-9)
nsubjpass(quoted-12, dollar-10)
auxpass(quoted-12, was-11)
root(ROOT-0, quoted-12)
prep(quoted-12, at-13)
num(marks-15, 1.8578-14)
pobj(at-13, marks-15)
punct(marks-15, ,-16)
advmod(marks-15, up-17)
prep(up-17, from-18)
num(marks-20, 1.8470-19)
pobj(from-18, marks-20)
amod(Thursday-22, late-21)
dep(marks-20, Thursday-22)
prep(marks-20, in-23)
nn(York-25, New-24)
pobj(in-23, York-25)
punct(quoted-12, .-26)

det(currency-3, The-1)
nn(currency-3, U.S.-2)
nsubj(changing-6, currency-3)
aux(changing-6, was-4)
advmod(changing-6, also-5)
root(ROOT-0, changing-6)
dep(changing-6, hands-7)
prep(changing-6, at-8)
num(yen-10, 142.43-9)
pobj(at-8, yen-10)
punct(yen-10, ,-11)
advmod(yen-10, up-12)
prep(up-12, from-13)
num(yen-15, 141.70-14)
pobj(from-13, yen-15)
prep(yen-15, in-16)
nn(York-18, New-17)
pobj(in-16, York-18)
amod(Thursday-20, late-19)
dep(yen-15, Thursday-20)
punct(changing-6, .-21)

prep(opened-9, In-1)
dep(In-1, Tokyo-2)
prep(opened-9, on-3)
dep(on-3, Monday-4)
punct(opened-9, ,-5)
det(currency-8, the-6)
nn(currency-8, U.S.-7)
nsubj(opened-9, currency-8)
root(ROOT-0, opened-9)
prep(opened-9, for-10)
dep(for-10, trading-11)
prep(opened-9, at-12)
num(yen-14, 141.95-13)
pobj(at-12, yen-14)
punct(yen-14, ,-15)
advmod(yen-14, up-16)
prep(up-16, from-17)
poss(close-21, Friday-18)
possessive(Friday-18, 's-19)
nn(close-21, Tokyo-20)
pobj(from-17, close-21)
prep(close-21, of-22)
num(yen-24, 141.35-23)
pobj(of-22, yen-24)
punct(opened-9, .-25)

prep(settled-13, On-1)
det(Exchange-4, the-2)
nn(Exchange-4, Commodity-3)
pobj(On-1, Exchange-4)
prep(settled-13, in-5)
nn(York-7, New-6)
pobj(in-5, York-7)
punct(settled-13, ,-8)
nsubj(settled-13, gold-9)
prep(gold-9, for-10)
amod(delivery-12, current-11)
pobj(for-10, delivery-12)
root(ROOT-0, settled-13)
prep(settled-13, at-14)
pobj(at-14, $-15)
