dep(want-3, Consumers-1)
xcomp(racing-16, exploit-18)
det(possibilities-20, the-19)
dobj(exploit-18, possibilities-20)
punct(taken-5, .-21)

advmod(grow-4, Eventually-1)
dep(grow-4, viewers-2)
aux(grow-4, may-3)
root(ROOT-0, grow-4)
acomp(grow-4, bored-5)
prep(bored-5, with-6)
det(technology-8, the-7)
pobj(with-6, technology-8)
cc(grow-4, and-9)
conj(grow-4, resent-10)
det(cost-12, the-11)
dobj(resent-10, cost-12)
punct(grow-4, .-13)

cc(figuring-6, But-1)
advmod(now-3, right-2)
advmod(figuring-6, now-3)
dep(figuring-6, programmers-4)
aux(figuring-6, are-5)
root(ROOT-0, figuring-6)
mark(put-19, that-7)
nsubj(put-19, viewers-8)
dep(busy-11, who-9)
cop(busy-11, are-10)
ccomp(viewers-8, busy-11)
dep(busy-11, dialing-12)
dep(dialing-12, up-13)
det(range-15, a-14)
dobj(dialing-12, range-15)
prep(range-15, of-16)
dep(of-16, services-17)
aux(put-19, may-18)
ccomp(figuring-6, put-19)
dep(put-19, down-20)
poss(zappers-24, their-21)
amod(zappers-24, remote-22)
nn(zappers-24, control-23)
dobj(put-19, zappers-24)
cc(put-19, and-25)
dep(tuned-27, stay-26)
conj(put-19, tuned-27)
punct(figuring-6, .-28)

punct(says-20, ``-1)
dep(spending-5, We-2)
aux(spending-5, 've-3)
aux(spending-5, been-4)
ccomp(says-20, spending-5)
det(lot-7, a-6)
dobj(spending-5, lot-7)
prep(lot-7, of-8)
dep(of-8, time-9)
prep(spending-5, in-10)
nn(Angeles-12, Los-11)
pobj(in-10, Angeles-12)
vmod(spending-5, talking-13)
prep(talking-13, to-14)
nn(people-17, TV-15)
nn(people-17, production-16)
pobj(to-14, people-17)
punct(says-20, ,-18)
punct(says-20, ''-19)
root(ROOT-0, says-20)
nn(Parks-22, Mike-21)
nsubj(says-20, Parks-22)
punct(Parks-22, ,-23)
appos(Parks-22, president-24)
prep(president-24, of-25)
nn(Interactive-27, Call-26)
pobj(of-25, Interactive-27)
punct(Interactive-27, ,-28)
dep(supplied-30, which-29)
dep(Interactive-27, supplied-30)
dobj(supplied-30, technology-31)
prep(technology-31, for-32)
preconj(Sports-35, both-33)
nn(Sports-35, ABC-34)
pobj(for-32, Sports-35)
cc(Sports-35, and-36)
poss(minutes-40, NBC-37)
possessive(NBC-37, 's-38)
nn(minutes-40, consumer-39)
conj(Sports-35, minutes-40)
punct(says-20, .-41)

punct(looking-14, ``-1)
prep(looking-14, With-2)
det(competitiveness-4, the-3)
pobj(With-2, competitiveness-4)
prep(competitiveness-4, of-5)
det(market-8, the-6)
nn(market-8, television-7)
pobj(of-5, market-8)
det(days-10, these-9)
nsubj(looking-14, days-10)
punct(looking-14, ,-11)
dep(looking-14, everyone-12)
aux(looking-14, is-13)
root(ROOT-0, looking-14)
prep(looking-14, for-15)
det(way-17, a-16)
pobj(for-15, way-17)
aux(get-19, to-18)
vmod(way-17, get-19)
dep(excited-22, viewers-20)
advmod(excited-22, more-21)
acomp(get-19, excited-22)
punct(looking-14, .-23)
punct(looking-14, ''-24)

nsubj(Interactive-14, One-1)
prep(One-1, of-2)
det(leaders-4, the-3)
pobj(of-2, leaders-4)
prep(leaders-4, behind-5)
det(use-8, the-6)
amod(use-8, expanded-7)
pobj(behind-5, use-8)
prep(use-8, of-9)
num(numbers-11, 900-10)
pobj(of-9, numbers-11)
cop(Interactive-14, is-12)
nn(Interactive-14, Call-13)
root(ROOT-0, Interactive-14)
punct(Interactive-14, ,-15)
det(venture-18, a-16)
amod(venture-18, joint-17)
appos(Interactive-14, venture-18)
prep(venture-18, of-19)
pobj(of-19, giants-20)
nn(Co.-23, American-21)
nn(Co.-23, Express-22)
dep(giants-20, Co.-23)
cc(Co.-23, and-24)
nn(Telephone-26, American-25)
conj(Co.-23, Telephone-26)
cc(Telephone-26, &-27)
nn(Co-29, Telegraph-28)
conj(Telephone-26, Co-29)
punct(Interactive-14, .-30)

vmod(weds-7, Formed-1)
prep(Formed-1, in-2)
dep(in-2, August-3)
punct(weds-7, ,-4)
det(venture-6, the-5)
nsubj(weds-7, venture-6)
root(ROOT-0, weds-7)
poss(service-13, AT&T-8)
possessive(AT&T-8, 's-9)
advmod(expanded-11, newly-10)
amod(service-13, expanded-11)
num(service-13, 900-12)
dobj(weds-7, service-13)
prep(weds-7, with-14)
num(computers-17, 200-15)
amod(computers-17, voice-activated-16)
pobj(with-14, computers-17)
prep(computers-17, in-18)
nn(Express-20, American-19)
poss(center-27, Express-20)
possessive(Express-20, 's-21)
dep(center-27, Omaha-22)
punct(Omaha-22, ,-23)
dep(Omaha-22, Neb.-24)
punct(Omaha-22, ,-25)
nn(center-27, service-26)
pobj(in-18, center-27)
punct(weds-7, .-28)

amod(carriers-3, Other-1)
nn(carriers-3, long-distance-2)
nsubj(begun-6, carriers-3)
aux(begun-6, have-4)
advmod(begun-6, also-5)
root(ROOT-0, begun-6)
ccomp(begun-6, marketing-7)
amod(service-10, enhanced-8)
num(service-10, 900-9)
dobj(marketing-7, service-10)
punct(begun-6, ,-11)
cc(begun-6, and-12)
amod(consultants-14, special-13)
nsubj(springing-16, consultants-14)
aux(springing-16, are-15)
conj(begun-6, springing-16)
dep(springing-16, up-17)
aux(exploit-19, to-18)
xcomp(springing-16, exploit-19)
det(tool-22, the-20)
amod(tool-22, new-21)
dobj(exploit-19, tool-22)
punct(begun-6, .-23)

nn(Entertainment-2, Blair-1)
nsubj(formed-20, Entertainment-2)
punct(Entertainment-2, ,-3)
det(firm-7, a-4)
nn(firm-7, New-5)
nn(firm-7, York-6)
appos(Entertainment-2, firm-7)
dep(advises-9, that-8)
dep(firm-7, advises-9)
nn(stations-11, TV-10)
dobj(advises-9, stations-11)
cc(advises-9, and-12)
conj(advises-9, sells-13)
dep(sells-13, ads-14)
prep(sells-13, for-15)
dep(for-15, them-16)
punct(Entertainment-2, ,-17)
aux(formed-20, has-18)
advmod(formed-20, just-19)
root(ROOT-0, formed-20)
det(subsidiary-22, a-21)
dobj(formed-20, subsidiary-22)
punct(subsidiary-22, ---23)
num(Blair-25, 900-24)
dep(subsidiary-22, Blair-25)
punct(subsidiary-22, ---26)
aux(apply-28, to-27)
vmod(subsidiary-22, apply-28)
det(technology-30, the-29)
dobj(apply-28, technology-30)
prep(apply-28, to-31)
dep(to-31, television-32)
punct(formed-20, .-33)

det(use-2, The-1)
nsubj(expanding-9, use-2)
prep(use-2, of-3)
num(numbers-6, 900-4)
nn(numbers-6, toll-5)
pobj(of-3, numbers-6)
aux(expanding-9, has-7)
aux(expanding-9, been-8)
root(ROOT-0, expanding-9)
advmod(expanding-9, rapidly-10)
prep(expanding-9, in-11)
amod(years-13, recent-12)
pobj(in-11, years-13)
punct(expanding-9, .-14)

prep(earned-23, For-1)
det(while-3, a-2)
pobj(For-1, while-3)
punct(earned-23, ,-4)
amod(lines-7, high-cost-5)
nn(lines-7, pornography-6)
nsubj(earned-23, lines-7)
cc(lines-7, and-8)
conj(lines-7, services-9)
dep(tempt-11, that-10)
ccomp(services-9, tempt-11)
dep(dial-14, children-12)
aux(dial-14, to-13)
xcomp(tempt-11, dial-14)
punct(and-16, -LRB--15)
dep(dial-14, and-16)
dep(and-16, redial-17)
punct(and-16, -RRB--18)
nn(information-22, movie-19)
cc(movie-19, or-20)
conj(movie-19, music-21)
dobj(dial-14, information-22)
root(ROOT-0, earned-23)
det(service-25, the-24)
iobj(earned-23, service-25)
det(image-29, a-26)
advmod(sleazy-28, somewhat-27)
amod(image-29, sleazy-28)
dobj(earned-23, image-29)
punct(earned-23, ,-30)
cc(earned-23, but-31)
amod(restrictions-34, new-32)
amod(restrictions-34, legal-33)
nsubjpass(aimed-36, restrictions-34)
auxpass(aimed-36, are-35)
conj(earned-23, aimed-36)
prep(aimed-36, at-37)
pcomp(at-37, trimming-38)
dep(trimming-38, excesses-39)
punct(earned-23, .-40)

det(cost-2, The-1)
nsubjpass(set-8, cost-2)
prep(cost-2, of-3)
det(call-6, a-4)
num(call-6, 900-5)
pobj(of-3, call-6)
auxpass(set-8, is-7)
root(ROOT-0, set-8)
prep(set-8, by-9)
det(originator-11, the-10)
pobj(by-9, originator-11)
punct(Sports-14, ---12)
nn(Sports-14, ABC-13)
dep(originator-11, Sports-14)
punct(Sports-14, ,-15)
prep(Sports-14, for-16)
dep(for-16, example-17)
punct(Sports-14, ---18)
prep(set-8, with-19)
det(cheapest-21, the-20)
pobj(with-19, cheapest-21)
dep(cheapest-21, starting-22)
prep(starting-22, at-23)
num(cents-25, 75-24)
pobj(at-23, cents-25)
punct(set-8, .-26)

dep(included-3, Billing-1)
auxpass(included-3, is-2)
root(ROOT-0, included-3)
prep(included-3, in-4)
det(caller-6, a-5)
poss(bill-10, caller-6)
possessive(caller-6, 's-7)
amod(bill-10, regular-8)
nn(bill-10, phone-9)
pobj(in-4, bill-10)
punct(included-3, .-11)

prep(extract-13, From-1)
det(fee-3, the-2)
pobj(From-1, fee-3)
punct(extract-13, ,-4)
det(company-8, the-5)
amod(company-8, local-6)
nn(company-8, phone-7)
nsubj(extract-13, company-8)
cc(company-8, and-9)
det(carrier-12, the-10)
nn(carrier-12, long-distance-11)
conj(company-8, carrier-12)
root(ROOT-0, extract-13)
poss(costs-15, their-14)
dobj(extract-13, costs-15)
aux(carry-17, to-16)
vmod(costs-15, carry-17)
det(call-19, the-18)
dobj(carry-17, call-19)
punct(extract-13, ,-20)
vmod(extract-13, passing-21)
det(rest-23, the-22)
dobj(passing-21, rest-23)
prep(rest-23, of-24)
det(money-26, the-25)
pobj(of-24, money-26)
prep(passing-21, to-27)
det(originator-29, the-28)
pobj(to-27, originator-29)
punct(originator-29, ,-30)
dep(cover-33, which-31)
aux(cover-33, must-32)
dep(originator-29, cover-33)
dobj(cover-33, advertising-34)
cc(advertising-34, and-35)
amod(costs-37, other-36)
conj(advertising-34, costs-37)
punct(extract-13, .-38)

prep(become-8, In-1)
amod(months-3, recent-2)
pobj(In-1, months-3)
punct(become-8, ,-4)
det(technology-6, the-5)
nsubj(become-8, technology-6)
aux(become-8, has-7)
root(ROOT-0, become-8)
advmod(flexible-10, more-9)
acomp(become-8, flexible-10)
cc(flexible-10, and-11)
conj(flexible-10, able-12)
aux(handle-14, to-13)
xcomp(able-12, handle-14)
advmod(more-16, much-15)
amod(volume-17, more-16)
dobj(handle-14, volume-17)
punct(become-8, .-18)

dep(listen-9, Before-1)
punct(listen-9, ,-2)
nsubj(listen-9, callers-3)
prep(callers-3, of-4)
num(numbers-6, 900-5)
pobj(of-4, numbers-6)
aux(listen-9, would-7)
advmod(listen-9, just-8)
root(ROOT-0, listen-9)
cc(listen-9, and-10)
neg(talk-12, not-11)
conj(listen-9, talk-12)
punct(listen-9, ,-13)
cc(listen-9, or-14)
dep(vote-17, they-15)
aux(vote-17, 'd-16)
conj(listen-9, vote-17)
punct(yes-19, ``-18)
discourse(vote-17, yes-19)
punct(yes-19, ''-20)
cc(yes-19, or-21)
punct(no-23, ``-22)
discourse(yes-19, no-23)
punct(no-23, ''-24)
prep(vote-17, by-25)
pcomp(by-25, calling-26)
dobj(calling-26, one-27)
prep(one-27, of-28)
num(numbers-30, two-29)
pobj(of-28, numbers-30)
punct(listen-9, .-31)

punct(call-7, -LRB--1)
nsubj(call-7, People-2)
prep(People-2, in-3)
det(business-6, the-4)
nn(business-6, phone-5)
pobj(in-3, business-6)
root(ROOT-0, call-7)
det(technology-9, this-8)
dep(click-12, technology-9)
punct(click-12, ``-10)
num(click-12, 900-11)
dep(call-7, click-12)
punct(call-7, .-13)
punct(call-7, ''-14)
punct(call-7, -RRB--15)

advmod(led-5, Now-1)
punct(led-5, ,-2)
dep(led-5, callers-3)
auxpass(led-5, are-4)
root(ROOT-0, led-5)
prep(led-5, through-6)
amod(menus-8, complex-7)
pobj(through-6, menus-8)
prep(menus-8, of-9)
dep(of-9, choices-10)
aux(retrieve-12, to-11)
xcomp(led-5, retrieve-12)
dobj(retrieve-12, information-13)
dep(want-15, they-14)
ccomp(information-13, want-15)
punct(led-5, ,-16)
cc(led-5, and-17)
det(hardware-19, the-18)
nsubj(process-21, hardware-19)
aux(process-21, can-20)
conj(led-5, process-21)
num(calls-23, 10,000-22)
dobj(process-21, calls-23)
prep(process-21, in-24)
num(seconds-26, 90-25)
pobj(in-24, seconds-26)
punct(led-5, .-27)

prep(used-10, Up-1)
pcomp(Up-1, to-2)
dep(to-2, now-3)
punct(used-10, ,-4)
num(numbers-6, 900-5)
nsubjpass(used-10, numbers-6)
aux(used-10, have-7)
advmod(used-10, mainly-8)
auxpass(used-10, been-9)
root(ROOT-0, used-10)
prep(used-10, on-11)
amod(stations-14, local-12)
nn(stations-14, TV-13)
pobj(on-11, stations-14)
cc(stations-14, and-15)
nn(channels-17, cable-16)
conj(stations-14, channels-17)
punct(used-10, .-18)

dep(used-2, MTV-1)
root(ROOT-0, used-2)
dep(used-2, one-3)
aux(give-5, to-4)
xcomp(used-2, give-5)
dep(give-5, away-6)
det(house-8, the-7)
dobj(give-5, house-8)
mark(grew-15, that-9)
nn(Jovi-14, rock-10)
nn(Jovi-14, star-11)
nn(Jovi-14, Jon-12)
nn(Jovi-14, Bon-13)
nsubj(grew-15, Jovi-14)
rcmod(house-8, grew-15)
dep(grew-15, up-16)
prep(grew-15, in-17)
punct(used-2, .-18)

prep(invited-13, For-1)
amod(years-3, several-2)
pobj(For-1, years-3)
punct(invited-13, ,-4)
nn(System-7, Turner-5)
nn(System-7, Broadcasting-6)
poss(Network-11, System-7)
possessive(System-7, 's-8)
nn(Network-11, Cable-9)
nn(Network-11, News-10)
nsubj(invited-13, Network-11)
aux(invited-13, has-12)
root(ROOT-0, invited-13)
dep(respond-16, viewers-14)
aux(respond-16, to-15)
xcomp(invited-13, respond-16)
advmod(respond-16, nightly-17)
prep(respond-16, to-18)
amod(issues-20, topical-19)
pobj(to-18, issues-20)
punct(intervene-27, -LRB--21)
punct(intervene-27, ``-22)
dep(intervene-27, Should-23)
det(military-26, the-24)
nn(military-26, U.S.-25)
nsubj(intervene-27, military-26)
dep(issues-20, intervene-27)
prep(intervene-27, in-28)
dep(in-28, Panama-29)
punct(intervene-27, ?-30)
punct(intervene-27, ''-31)
punct(intervene-27, -RRB--32)
punct(invited-13, ,-33)
cc(invited-13, but-34)
advmod(controversies-38, even-35)
det(controversies-38, the-36)
amod(controversies-38, hottest-37)
nsubj(log-41, controversies-38)
prep(controversies-38, on-39)
dep(on-39, CNN-40)
conj(invited-13, log-41)
advmod(about-43, only-42)
quantmod(10,000-44, about-43)
num(calls-45, 10,000-44)
dobj(log-41, calls-45)
punct(invited-13, .-46)

det(uses-3, The-1)
amod(uses-3, newest-2)
nsubj(demonstrate-8, uses-3)
prep(uses-3, of-4)
det(technology-7, the-5)
amod(technology-7, 900-interactive-6)
pobj(of-4, technology-7)
root(ROOT-0, demonstrate-8)
det(variety-11, the-9)
amod(variety-11, growing-10)
dobj(demonstrate-8, variety-11)
prep(variety-11, of-12)
dep(of-12, applications-13)
punct(demonstrate-8, .-14)

nn(Inc.-3, Capital-1)
nn(Inc.-3, Cities/ABC-2)
nsubjpass(expected-17, Inc.-3)
punct(Inc.-3, ,-4)
nn(Inc.-6, CBS-5)
conj(Inc.-3, Inc.-6)
cc(Inc.-3, and-7)
nn(Co.-10, General-8)
nn(Co.-10, Electric-9)
poss(unit-15, Co.-10)
possessive(Co.-10, 's-11)
nn(unit-15, National-12)
nn(unit-15, Broadcasting-13)
nn(unit-15, Co.-14)
conj(Inc.-3, unit-15)
auxpass(expected-17, are-16)
root(ROOT-0, expected-17)
aux(announce-19, to-18)
xcomp(expected-17, announce-19)
advmod(announce-19, soon-20)
det(campaign-23, a-21)
amod(campaign-23, joint-22)
dobj(announce-19, campaign-23)
aux(raise-25, to-24)
vmod(campaign-23, raise-25)
dobj(raise-25, awareness-26)
prep(awareness-26, about-27)
dep(about-27, hunger-28)
punct(expected-17, .-29)

det(subject-2, The-1)
nsubjpass(written-5, subject-2)
aux(written-5, will-3)
auxpass(written-5, be-4)
root(ROOT-0, written-5)
prep(written-5, into-6)
det(plots-8, the-7)
pobj(into-6, plots-8)
prep(plots-8, of-9)
amod(shows-11, prime-time-10)
pobj(of-9, shows-11)
punct(written-5, ,-12)
cc(written-5, and-13)
dep(given-17, viewers-14)
aux(given-17, will-15)
auxpass(given-17, be-16)
conj(written-5, given-17)
det(number-20, a-18)
num(number-20, 900-19)
dobj(given-17, number-20)
aux(call-22, to-21)
vmod(number-20, call-22)
punct(written-5, .-23)

dep(sent-4, Callers-1)
aux(sent-4, will-2)
auxpass(sent-4, be-3)
root(ROOT-0, sent-4)
amod(booklets-6, educational-5)
dobj(sent-4, booklets-6)
punct(sent-4, ,-7)
cc(sent-4, and-8)
det(call-10, the-9)
poss(cost-13, call-10)
possessive(call-10, 's-11)
amod(cost-13, modest-12)
nsubj(method-18, cost-13)
aux(method-18, will-14)
cop(method-18, be-15)
det(method-18, an-16)
amod(method-18, immediate-17)
conj(sent-4, method-18)
prep(method-18, of-19)
pcomp(of-19, raising-20)
dep(raising-20, money-21)
punct(sent-4, .-22)

amod(applications-3, Other-1)
nn(applications-3, network-2)
nsubj(have-4, applications-3)
root(ROOT-0, have-4)
advmod(different-6, very-5)
amod(goals-7, different-6)
dobj(have-4, goals-7)
punct(have-4, .-8)

nn(Sports-2, ABC-1)
nsubj(looking-4, Sports-2)
aux(looking-4, was-3)
root(ROOT-0, looking-4)
prep(looking-4, for-5)
pobj(for-5, ways-6)
aux(lift-8, to-7)
vmod(ways-6, lift-8)
amod(ratings-11, deflated-9)
nn(ratings-11, halftime-10)
dobj(lift-8, ratings-11)
prep(ratings-11, for-12)
punct(Football-16, ``-13)
nn(Football-16, Monday-14)
nn(Football-16, Night-15)
pobj(for-12, Football-16)
punct(looking-4, .-17)
punct(looking-4, ''-18)

nn(Sanger-2, Kurt-1)
nsubj(says-10, Sanger-2)
punct(Sanger-2, ,-3)
nn(Sports-5, ABC-4)
poss(director-8, Sports-5)
possessive(Sports-5, 's-6)
nn(director-8, marketing-7)
appos(Sanger-2, director-8)
punct(Sanger-2, ,-9)
root(ROOT-0, says-10)
mark(call-20, that-11)
advmod(call-20, now-12)
punct(thousands-16, ``-13)
dep(thousands-16, tens-14)
quantmod(thousands-16, of-15)
nsubj(call-20, thousands-16)
punct(thousands-16, ''-17)
prep(thousands-16, of-18)
dep(of-18, fans-19)
ccomp(says-10, call-20)
poss(number-23, its-21)
num(number-23, 900-22)
dobj(call-20, number-23)
det(week-25, each-24)
tmod(call-20, week-25)
aux(vote-27, to-26)
vmod(call-20, vote-27)
prep(vote-27, for-28)
det(sack-35, the-29)
amod(sack-35, best-30)
nn(return-32, punt-31)
conj(sack-35, return-32)
punct(sack-35, ,-33)
nn(sack-35, quarterback-34)
pobj(for-28, sack-35)
punct(sack-35, ,-36)
conj(sack-35, etc-37)
punct(says-10, .-38)

nsubj(goes-5, Profit-1)
prep(Profit-1, from-2)
det(calls-4, the-3)
pobj(from-2, calls-4)
root(ROOT-0, goes-5)
prep(goes-5, to-6)
dep(to-6, charity-7)
punct(goes-5, ,-8)
cc(goes-5, but-9)
nn(Sports-11, ABC-10)
nsubj(uses-13, Sports-11)
advmod(uses-13, also-12)
conj(goes-5, uses-13)
det(calls-15, the-14)
dobj(uses-13, calls-15)
prep(uses-13, as-16)
det(tool-19, a-17)
nn(tool-19, sales-18)
pobj(as-16, tool-19)
punct(goes-5, :-20)
prep(offers-29, After-21)
pcomp(After-21, thanking-22)
dep(thanking-22, callers-23)
prep(thanking-22, for-24)
dep(for-24, voting-25)
punct(offers-29, ,-26)
nn(Gifford-28, Frank-27)
nsubj(offers-29, Gifford-28)
parataxis(goes-5, offers-29)
det(videotape-32, a-30)
nn(videotape-32, football-31)
dobj(offers-29, videotape-32)
prep(offers-29, for-33)
pobj(for-33, $-34)
num($-34, 19.95-35)
punct(offers-29, ,-36)
cc(offers-29, and-37)
num(%-39, 5-38)
nsubj(stay-42, %-39)
prep(%-39, of-40)
dep(of-40, callers-41)
conj(offers-29, stay-42)
prep(stay-42, on-43)
det(line-45, the-44)
pobj(on-43, line-45)
aux(order-47, to-46)
xcomp(stay-42, order-47)
dep(order-47, it-48)
punct(goes-5, .-49)

dep(sold-4, Jackets-1)
aux(sold-4, may-2)
auxpass(sold-4, be-3)
root(ROOT-0, sold-4)
advmod(sold-4, next-5)
punct(sold-4, .-6)

advmod(began-6, Meanwhile-1)
punct(began-6, ,-2)
nn(Sports-4, NBC-3)
nsubj(began-6, Sports-4)
advmod(began-6, recently-5)
root(ROOT-0, began-6)
punct(Plus-9, ``-7)
nn(Plus-9, Scores-8)
dobj(began-6, Plus-9)
punct(Plus-9, ,-10)
punct(Plus-9, ''-11)
det(line-17, a-12)
amod(line-17, year-round-13)
punct(line-17, ,-14)
amod(line-17, 24-hour-15)
num(line-17, 900-16)
dep(Plus-9, line-17)
vmod(line-17, providing-18)
det(array-21, a-19)
amod(array-21, complex-20)
dobj(providing-18, array-21)
prep(array-21, of-22)
nn(analysis-25, scores-23)
punct(analysis-25, ,-24)
pobj(of-22, analysis-25)
cc(analysis-25, and-26)
nn(news-28, fan-27)
conj(analysis-25, news-28)
punct(began-6, .-29)

det(spokesman-2, A-1)
nsubj(said-3, spokesman-2)
root(ROOT-0, said-3)
poss(purpose-5, its-4)
nsubj(is-6, purpose-5)
ccomp(said-3, is-6)
punct(is-6, ``-7)
aux(bolster-9, to-8)
xcomp(is-6, bolster-9)
det(impression-11, the-10)
dobj(bolster-9, impression-11)
mark(is-15, that-12)
nn(Sports-14, NBC-13)
nsubj(is-15, Sports-14)
ccomp(impression-11, is-15)
advmod(is-15, always-16)
advmod(is-15, there-17)
prep(there-17, for-18)
dep(for-18, people-19)
punct(said-3, .-20)
punct(said-3, ''-21)

poss(minutes-7, NBC-1)
possessive(NBC-1, 's-2)
punct(minutes-7, ``-3)
amod(minutes-7, On-Line-4)
punct(minutes-7, ''-5)
nn(minutes-7, consumer-6)
nsubj(increased-9, minutes-7)
aux(increased-9, have-8)
root(ROOT-0, increased-9)
nn(spending-11, advertiser-10)
dobj(increased-9, spending-11)
prep(increased-9, during-12)
det(day-14, the-13)
pobj(during-12, day-14)
punct(day-14, ,-15)
det(network-17, the-16)
poss(period-20, network-17)
possessive(network-17, 's-18)
amod(period-20, weakest-19)
appos(day-14, period-20)
punct(increased-9, .-21)

det(weekday-2, Each-1)
nsubj(matches-3, weekday-2)
root(ROOT-0, matches-3)
det(sponsor-5, a-4)
dobj(matches-3, sponsor-5)
cc(sponsor-5, and-6)
det(topic-8, a-7)
conj(sponsor-5, topic-8)
punct(matches-3, :-9)
prep(sponsors-18, On-10)
dep(On-10, Mondays-11)
punct(sponsors-18, ,-12)
nn(N.V.-14, Unilever-13)
poss(Bros.-17, N.V.-14)
possessive(N.V.-14, 's-15)
nn(Bros.-17, Lever-16)
nsubj(sponsors-18, Bros.-17)
parataxis(matches-3, sponsors-18)
dobj(sponsors-18, tips-19)
prep(tips-19, on-20)
pobj(on-20, diet-21)
cc(diet-21, and-22)
conj(diet-21, exercise-23)
punct(tips-19, ,-24)
vmod(tips-19, followed-25)
prep(followed-25, by-26)
det(commercial-31, a-27)
amod(commercial-31, 30-second-28)
nn(commercial-31, Lever-29)
nn(commercial-31, Bros.-30)
pobj(by-26, commercial-31)
punct(matches-3, .-32)

dep(call-3, Viewers-1)
aux(call-3, can-2)
root(ROOT-0, call-3)
det(number-6, a-4)
num(number-6, 900-5)
dobj(call-3, number-6)
prep(call-3, for-7)
amod(advice-9, additional-8)
pobj(for-7, advice-9)
punct(advice-9, ,-10)
dep(tailored-14, which-11)
aux(tailored-14, will-12)
auxpass(tailored-14, be-13)
dep(advice-9, tailored-14)
prep(tailored-14, to-15)
poss(needs-17, their-16)
pobj(to-15, needs-17)
prep(tailored-14, based-18)
pcomp(based-18, on-19)
det(numbers-21, the-20)
pobj(on-19, numbers-21)
dep(punch-23, they-22)
rcmod(numbers-21, punch-23)
punct(Press-26, -LRB--24)
punct(Press-26, ``-25)
dep(call-3, Press-26)
dep(Press-26, one-27)
mark('re-30, if-28)
dep('re-30, you-29)
advcl(Press-26, 're-30)
dep('re-30, pregnant-31)
punct(Press-26, ,-32)
punct(Press-26, ''-33)
dep(Press-26, etc-34)
punct(Press-26, .-35)
punct(Press-26, -RRB--36)
punct(call-3, .-37)

mark(stays-4, If-1)
det(caller-3, the-2)
nsubj(stays-4, caller-3)
advcl(mailed-24, stays-4)
prep(stays-4, on-5)
det(line-7, the-6)
pobj(on-5, line-7)
cc(stays-4, and-8)
