nummod(put, 3)
conj(confusions, apprehensions)
case(Americans, of)
nmod(apprehensions, Americans)
case(time, in)
det(time, a)
amod(time, troubled)
obl(capitalize, time)
punct(likely, . )
csubj(city, Falling)
advmod(Falling, somewhere)
case(category, in)
det(category, a)
obl(Falling, category)
case(theory, between)
nmod:poss(theory, Einstein)
case(Einstein, 's)
nmod(category, theory)
cc(fleas, and)
compound(fleas, sand)
conj(theory, fleas)
punct(difficult, --)
amod(fleas, difficult)
mark(see, to)
xcomp(difficult, see)
cc(there, but)
advmod(there, undeniably)
advmod(see, there)
punct(city, ,)
advmod(there, nevertheless)
punct(city, --)
cop(city, is)
det(city, the)
amod(city, tropical)
amod(city, green)
punct(city, ``)
root(ROOT, city)
punct(city, '')
case(Islandia, of)
nmod(city, Islandia)
punct(city, ,)
det(string, a)
appos(city, string)
case(islands, of)
amod(islands, offshore)
nmod(string, islands)
nsubj(has, that)
acl:relcl(string, has)
advmod(residents, almost)
det(residents, no)
obj(has, residents)
punct(access, ,)
amod(access, limited)
conj(residents, access)
cc(future, and)
det(future, an)
amod(future, unlimited)
conj(residents, future)
punct(city, .)
det(latter, The)
nsubj(what, latter)
cop(what, is)
root(ROOT, what)
acl:relcl(what, concerns)
obj(concerns, us)
det(us, all)
punct(what, .)
det(land, Whatever)
obj(see, land)
nsubj(see, you)
aux(see, can)
acl:relcl(what, see)
advmod(see, here)
punct(see, ,)
case(end, from)
det(end, the)
compound(tip, North)
compound(end, tip)
obl(see, end)
case(Key, of)
compound(Key, Elliott)
nmod(end, Key)
acl(Key, looking)
advmod(looking, southward)
punct(belongs, ,)
parataxis(what, belongs)
case(someone, to)
obl(belongs, someone)
punct(someone, --)
appos(someone, people)
nsubj(have, who)
acl:relcl(people, have)
obj(have, title)
case(land, to)
det(land, the)
obl(have, land)
punct(belongs, .)
cc(belongs, And)
obj(see, what)
nsubj(see, you)
aux(see, ca)
advmod(see, n't)
advcl(belongs, see)
punct(belongs, ,)
det(land, the)
nsubj(belongs, land)
case(water, underneath)
det(water, the)
nmod(land, water)
punct(belongs, ,)
root(ROOT, belongs)
case(someone, to)
obl(belongs, someone)
punct(belongs, ,)
advmod(belongs, too)
punct(belongs, .)
det(public, The)
root(ROOT, public)
punct(public, .)
det(problem, The)
amod(problem, only)
amod(problem, real)
nsubj(is, problem)
root(ROOT, is)
mark(devise, to)
ccomp(is, devise)
det(plan, a)
obj(devise, plan)
mark(develop, whereby)
det(owners, the)
nsubj(develop, owners)
case(land, of)
det(land, the)
amod(water, above)
punct(water, -)
compound(land, water)
nmod(owners, land)
aux(develop, can)
advcl(devise, develop)
nmod:poss(property, their)
obj(develop, property)
case(public, without)
det(public, the)
obl(develop, public)
advcl(develop, losing)
nmod:poss(land, its)
amod(land, underwater)
obj(losing, land)
cc(right, and)
det(right, the)
conj(land, right)
case(development, to)
nmod:poss(development, its)
nmod(right, development)
case(use, for)
amod(use, public)
nmod(development, use)
cc(enjoyment, and)
conj(use, enjoyment)
punct(is, .)
case(history, In)
det(history, the)
advmod(brief, fairly)
amod(history, brief)
cc(hectic, but)
conj(brief, hectic)
obl(wound, history)
case(Florida, of)
nmod(history, Florida)
punct(wound, ,)
det(developers, the)
nsubj(wound, developers)
case(land, of)
compound(land, waterfront)
nmod(developers, land)
aux(wound, have)
advmod(often, too)
advmod(wound, often)
root(ROOT, wound)
compound:prt(wound, up)
case(land, with)
cc:preconj(land, both)
nmod:poss(land, their)
obl(wound, land)
cc(ours, and)
conj(land, ours)
punct(wound, .)
case(instance, In)
det(instance, this)
obl(made, instance)
punct(made, ,)
advmod(made, happily)
punct(made, ,)
nsubj:pass(made, insistence)
aux(made, is)
aux:pass(made, being)
root(ROOT, made)
mark(protected, that)
nmod:poss(share, our)
nsubj:pass(protected, share)
aux:pass(protected, is)
ccomp(made, protected)
punct(made, .)
cc(say, And)
mark(concrete, until)
det(protection, this)
nsubj(concrete, protection)
cop(concrete, is)
case(least, at)
obl(as, least)
advmod(concrete, as)
advcl(agree, concrete)
mark(say, as)
punct(say, ,)
parataxis(concrete, say)
punct(agree, ,)
det(row, the)
nsubj(agree, row)
case(hotels, of)
nmod(row, hotels)
nsubj(bars, that)
acl:relcl(row, bars)
obj(bars, us)
case(sands, from)
nmod:poss(sands, our)
amod(sands, own)
obl(bars, sands)
case(Beach, at)
compound(Beach, Miami)
nmod(sands, Beach)
punct(agree, ,)
nsubj(agree, those)
nsubj(represent, who)
acl:relcl(those, represent)
obj(represent, us)
det(us, all)
aux(agree, should)
root(ROOT, agree)
case(nothing, to)
obl(agree, nothing)
punct(agree, .)
amod(doors, Closed)
nsubj(dismaying, doors)
case(hall, in)
compound(hall, city)
nmod(doors, hall)
det(reaction, The)
nsubj(dismaying, reaction)
case(members, of)
amod(members, certain)
compound(Council, City)
compound(members, Council)
nmod(reaction, members)
case(laws, to)
nmod:poss(laws, California)
case(California, 's)
amod(laws, newest)
amod(laws, anti-secrecy)
nmod(members, laws)
cop(dismaying, was)
advmod(dismaying, as)
root(ROOT, dismaying)
mark(disappointing, as)
nsubj(disappointing, it)
cop(disappointing, was)
advcl(dismaying, disappointing)
punct(dismaying, .)
nsubj(assumed, We)
aux(assumed, had)
root(ROOT, assumed)
mark(had, that)
case(least, at)
nmod(this, least)
det(body, this)
amod(body, local)
amod(body, legislative)
nsubj(had, body)
ccomp(assumed, had)
obj(had, nothing)
mark(hide, to)
acl(nothing, hide)
punct(had, ,)
cc(had, and)
punct(had, ,)
advmod(had, therefore)
punct(had, ,)
conj(had, had)
det(objections, no)
obj(had, objections)
mark(making, to)
acl(objections, making)
det(deliberations, the)
obj(making, deliberations)
case(committees, of)
nmod:poss(committees, its)
nmod(deliberations, committees)
cc(commissions, and)
det(commissions, the)
compound(commissions, city)
conj(committees, commissions)
amod(commissions, available)
case(public, to)
det(public, the)
obl(available, public)
punct(assumed, .)
case(preamble, In)
det(preamble, the)
obl(declares, preamble)
case(statutes, to)
det(statutes, the)
amod(meeting, open)
punct(meeting, -)
compound(statutes, meeting)
nmod(preamble, statutes)
punct(statutes, ,)
advmod(known, collectively)
acl(statutes, known)
case(Act, as)
det(Act, the)
compound(Act, Brown)
obl(known, Act)
punct(declares, ,)
det(Legislature, the)
nsubj(declares, Legislature)
root(ROOT, declares)
mark(exist, that)
punct(exist, ``)
det(commissions, the)
amod(commissions, public)
nsubj(exist, commissions)
punct(boards, ,)
conj(commissions, boards)
cc(councils, and)
conj(commissions, councils)
cc(agencies, and)
amod(agencies, other)
amod(agencies, public)
conj(commissions, agencies)
case(state, in)
det(state, this)
nmod(agencies, state)
ccomp(declares, exist)
mark(aid, to)
xcomp(exist, aid)
case(conduct, in)
det(conduct, the)
obl(aid, conduct)
case(business, of)
det(people, the)
nmod:poss(business, people)
case(people, 's)
nmod(conduct, business)
punct(declares, .)
nsubj(intent, It)
cop(intent, is)
det(intent, the)
root(ROOT, intent)
case(law, of)
det(law, the)
nmod(intent, law)
mark(taken, that)
nmod:poss(actions, their)
nsubj:pass(taken, actions)
aux:pass(taken, be)
csubj(intent, taken)
advmod(taken, openly)
cc(conducted, and)
mark(conducted, that)
nmod:poss(deliberations, their)
nsubj:pass(conducted, deliberations)
aux:pass(conducted, be)
conj(taken, conducted)
advmod(conducted, openly)
punct(intent, .)
punct(intent, ``)
det(people, The)
nsubj(yield, people)
case(state, of)
det(state, this)
nmod(people, state)
aux(yield, do)
advmod(yield, not)
root(ROOT, yield)
nmod:poss(sovereignty, their)
obj(yield, sovereignty)
case(agencies, to)
det(agencies, the)
obl(yield, agencies)
nsubj(serve, that)
acl:relcl(agencies, serve)
obj(serve, them)
punct(yield, .)
det(people, The)
nsubj(give, people)
punct(give, ,)
mark(delegating, in)
advcl(give, delegating)
obj(delegating, authority)
punct(give, ,)
aux(give, do)
advmod(give, not)
root(ROOT, give)
nmod:poss(servants, their)
amod(servants, public)
iobj(give, servants)
det(right, the)
obj(give, right)
mark(decide, to)
acl(right, decide)
nsubj(good, what)
cop(good, is)
ccomp(decide, good)
mark(know, for)
det(people, the)
nsubj(know, people)
mark(know, to)
ccomp(good, know)
cc(good, and)
nsubj(good, what)
cop(good, is)
advmod(good, not)
conj(know, good)
mark(know, for)
nsubj(know, them)
mark(know, to)
advcl(good, know)
punct(give, .)
det(implementation, The)
amod(implementation, full)
nsubj(taken, implementation)
case(words, of)
det(words, these)
amod(words, noble)
nmod(implementation, words)
punct(taken, ,)
advmod(taken, however)
punct(taken, ,)
aux(taken, has)
root(ROOT, taken)
det(efforts, the)
obj(taken, efforts)
case(sessions, of)
nummod(sessions, five)
nmod(efforts, sessions)
case(Legislature, of)
det(Legislature, the)
nmod(sessions, Legislature)
punct(taken, .)
case(1953, Since)
obl(led, 1953)
nsubj(led, California)
aux(led, has)
root(ROOT, led)
det(nation, the)
obj(led, nation)
mark(enacting, in)
advcl(led, enacting)
obj(enacting, guarantees)
mark(conducted, that)
amod(business, public)
nsubj:pass(conducted, business)
aux(conducted, shall)
aux:pass(conducted, be)
advmod(conducted, publicly)
acl(guarantees, conducted)
punct(plug, ,)
cc(not, but)
advmod(conducted, not)
mark(conducted, until)
det(year, this)
obl:tmod(plug, year)
aux(plug, did)
det(lawmakers, the)
nsubj(plug, lawmakers)
case(Sacramento, in)
nmod(lawmakers, Sacramento)
advcl(conducted, plug)
det(loopholes, the)
amod(loopholes, remaining)
obj(plug, loopholes)
case(Act, in)
det(Act, the)
compound(Act, Brown)
nmod(loopholes, Act)
punct(loopholes, .)
case(service, Despite)
det(service, the)
compound(service, lip)
nmod(loopholes, service)
acl(service, paid)
case(governments, by)
amod(governments, local)
obl(paid, governments)
punct(subverted, ,)
det(statutes, the)
amod(statutes, anti-secrecy)
nsubj:pass(subverted, statutes)
aux(subverted, have)
aux:pass(subverted, been)
advmod(subverted, continuously)
acl:relcl(service, subverted)
case(reservations, by)
obl(subverted, reservations)
cc(rationalizations, and)
conj(reservations, rationalizations)
punct(subverted, .)
mark(fails, When)
nsubj(fails, all)
amod(all, else)
advcl(argued, fails)
punct(argued, ,)
nsubj:pass(argued, it)
aux:pass(argued, is)
conj(subverted, argued)
mark(slow, that)
amod(sessions, open)
nsubj(slow, sessions)
ccomp(argued, slow)
compound:prt(slow, down)
amod(operations, governmental)
obj(slow, operations)
punct(led, .)
nsubj(submit, We)
root(ROOT, submit)
mark(effect, that)
nsubj(effect, this)
cop(effect, is)
det(effect, a)
advmod(desirable, most)
amod(effect, desirable)
ccomp(submit, effect)
case(law, of)
det(law, the)
nmod(effect, law)
punct(law, --)
cc(one, and)
conj(law, one)
case(aims, of)
nmod:poss(aims, its)
amod(aims, principal)
nmod(one, aims)
punct(submit, .)
case(scrutiny, Without)
amod(scrutiny, public)
obl(conducted, scrutiny)
det(deliberations, the)
nsubj:pass(conducted, deliberations)
case(agencies, of)
amod(agencies, public)
nmod(deliberations, agencies)
aux(conducted, would)
advmod(doubt, no)
nsubj:pass(conducted, doubt)
aux:pass(conducted, be)
root(ROOT, conducted)
advmod(speedily, more)
advmod(conducted, speedily)
punct(conducted, .)
cc(sure, But)
det(citizens, the)
nsubj(sure, citizens)
aux(sure, would)
punct(sure, ,)
advmod(sure, of)
fixed(of, course)
punct(sure, ,)
advmod(sure, never)
cop(sure, be)
root(ROOT, sure)
mark(correct, that)
det(decisions, the)
nsubj(correct, decisions)
nsubj(resulted, that)
acl:relcl(decisions, resulted)
cop(correct, were)
advmod(correct, as)
ccomp(sure, correct)
mark(expeditious, as)
nsubj(expeditious, they)
cop(expeditious, were)
advcl(correct, expeditious)
punct(sure, .)
root(ROOT, Help)
mark(needed, when)
advcl(Help, needed)
mark(achieves, If)
det(Republic, the)
compound(Republic, Dominican)
nsubj(achieves, Republic)
advcl(needed, achieves)
amod(government, free)
punct(government, ,)
amod(government, democratic)
obj(achieves, government)
punct(Help, ,)
nsubj(part, it)
aux(part, will)
cop(part, be)
case(part, due)
fixed(due, in)
amod(part, large)
parataxis(Help, part)
case(show, to)
det(show, the)
compound(show, U.S.)
nmod(part, show)
case(force, of)
nmod(show, force)
nsubj(enabled, that)
acl:relcl(show, enabled)
obj(enabled, President)
flat(President, Balaguer)
mark(prevent, to)
xcomp(enabled, prevent)
det(restoration, a)
amod(restoration, threatened)
obj(prevent, restoration)
case(dictatorship, of)
compound(dictatorship, Trujillo)
nmod(restoration, dictatorship)
punct(Help, .)
advmod(calm, Outwardly)
punct(calm, ,)
nsubj(calm, Ciudad)
nsubj(calm, Trujillo)
cop(calm, is)
root(ROOT, calm)
punct(calm, .)
nsubj(remains, None)
case(family, of)
det(family, the)
compound(family, Trujillo)
nmod(None, family)
root(ROOT, remains)
punct(remains, .)
nsubj(control, Mr.)
flat(Mr., Balaguer)
cop(control, is)
case(control, in)
ccomp(remains, control)
punct(have, ,)
cc(have, and)
compound(leaders, opposition)
nsubj(have, leaders)
conj(remains, have)
det(excuse, no)
amod(excuse, further)
obj(have, excuse)
mark(suspect, to)
acl(excuse, suspect)
nmod:poss(offer, his)
obj(suspect, offer)
case(government, of)
det(government, a)
compound(government, coalition)
nmod(offer, government)
advmod(suspect, preliminary)
case(elections, to)
amod(elections, free)
obl(suspect, elections)
case(spring, in)
det(spring, the)
obl(suspect, spring)
punct(remains, .)
root(ROOT, Had)
compound(warships, U.S.)
obj(Had, warships)
advmod(appeared, not)
xcomp(Had, appeared)
case(coast, off)
det(coast, the)
amod(coast, Dominican)
obl(appeared, coast)
punct(is, ,)
expl(is, there)
parataxis(Had, is)
det(possibility, every)
nsubj(is, possibility)
mark(wracked, that)
det(country, the)
nsubj:pass(wracked, country)
aux(wracked, would)
advmod(wracked, now)
aux:pass(wracked, be)
acl(possibility, wracked)
case(war, by)
amod(war, civil)
obl(wracked, war)
punct(Had, .)
advmod(returned, Ultimately)
cc:preconj(returned, either)
det(Trujillos, the)
nsubj:pass(returned, Trujillos)
aux(returned, would)
aux(returned, have)
aux:pass(returned, been)
root(ROOT, returned)
case(power, to)
obl(returned, power)
cc(produced, or)
det(conflict, the)
nsubj(produced, conflict)
aux(produced, would)
aux(produced, have)
conj(returned, produced)
obj(produced, conditions)
amod(conditions, favorable)
case(takeover, to)
det(takeover, a)
obl(favorable, takeover)
case(elements, by)
amod(elements, Dominican)
nmod(takeover, elements)
amod(elements, responsive)
case(Castro, to)
obl(responsive, Castro)
case(Cuba, in)
obl(responsive, Cuba)
punct(Organization, .)
case(Organization, Within)
det(Organization, the)
obl(be, Organization)
case(States, of)
compound(States, American)
nmod(Organization, States)
punct(be, ,)
expl(be, there)
aux(be, may)
parataxis(returned, be)
det(criticism, some)
nsubj(be, criticism)
case(intervention, of)
det(intervention, this)
amod(intervention, unilateral)
amod(intervention, American)
nmod(criticism, intervention)
nsubj(risk, which)
cop(risk, was)
advmod(risk, not)
case(risk, without)
acl:relcl(intervention, risk)
advmod(risk, obviously)
punct(be, .)
cc(was, But)
expl(was, there)
root(ROOT, was)
det(complaint, no)
nsubj(was, complaint)
case(crowds, from)
det(crowds, the)
amod(crowds, Dominican)
nmod(complaint, crowds)
nsubj(lined, which)
acl:relcl(crowds, lined)
compound(Trujillo, Ciudad)
nmod:poss(shouting, Trujillo)
case(Trujillo, 's)
compound(shouting, waterfront)
obj(lined, shouting)
punct(was, ,)
punct(was, ``)
compound(Yankees, Vive)
root(ROOT, Yankees)
punct(Yankees, '')
punct(Yankees, !)
punct(Yankees, !)
advmod(hailed, More)
punct(hailed, ,)
det(action, the)
compound(action, U.S.)
nsubj:pass(hailed, action)
aux:pass(hailed, was)
root(ROOT, hailed)
case(leader, by)
det(leader, a)
amod(leader, principal)
compound(leader, opposition)
obl(hailed, leader)
punct(leader, ,)
appos(leader, Dr.)
flat(Dr., Juan)
flat(Dr., Bosch)
punct(hailed, ,)
mark(saved, as)
aux(saved, having)
advcl(hailed, saved)
punct(lives, ``)
amod(lives, many)
obj(saved, lives)
cc(troubles, and)
amod(troubles, many)
conj(lives, troubles)
case(future, in)
det(future, the)
amod(future, near)
nmod(troubles, future)
punct(troubles, '')
punct(means, .)
nmod:poss(troubles, Mr.)
flat(Mr., Balaguer)
case(Mr., 's)
nsubj(means, troubles)
cop(means, are)
case(means, by)
det(means, no)
conj(hailed, means)
advmod(means, over)
punct(hailed, .)
nsubj(need, He)
aux(need, will)
root(ROOT, need)
det(help, the)
obj(need, help)
case(members, of)
det(members, all)
compound(members, OAS)
nmod(help, members)
mark(eradicate, to)
acl(help, eradicate)
punct(eradicate, ,)
advmod(eradicate, finally)
punct(forces, ,)
det(forces, the)
conj(help, forces)
case(authoritarianism, of)
nmod(forces, authoritarianism)
punct(pro-Trujillo, ,)
conj(authoritarianism, pro-Trujillo)
cc(pro-Castro, and)
conj(authoritarianism, pro-Castro)
amod(authoritarianism, alike)
punct(need, .)
mark(cooperating, In)
advcl(move, cooperating)
case(objective, toward)
det(objective, that)
obl(cooperating, objective)
punct(move, ,)
nsubj(move, OAS)
aux(move, might)
root(ROOT, move)
case(speed, with)
det(speed, the)
obl(move, speed)
cc(effectiveness, and)
conj(speed, effectiveness)
acl(speed, demonstrated)
case(States, by)
det(States, the)
compound(States, United)
obl(demonstrated, States)
punct(move, .)
parataxis(move, Matter)
mark(survival, of)
acl(Matter, survival)
obj(survival, those)
acl(those, watching)
det(rivalry, the)
amod(rivalry, growing)
obj(watching, rivalry)
case(unions, between)
compound(unions, craft)
nmod(rivalry, unions)
cc(unions, and)
amod(unions, industrial)
conj(unions, unions)
aux(recognize, may)
acl:relcl(rivalry, recognize)
det:predet(pressures, all)
det(pressures, the)
obj(recognize, pressures)
nsubj(led, that)
acl:relcl(pressures, led)
case(labor, to)
det(labor, the)
amod(labor, big)
obl(led, labor)
acl(labor, split)
case(1935, in)
obl(split, 1935)
punct(led, .)
advmod(matter, Now)
punct(matter, ,)
case(then, as)
obl(matter, then)
punct(matter, ,)
nsubj(matter, it)
cop(matter, is)
det(matter, a)
parataxis(led, matter)
case(jobs, of)
nmod(matter, jobs)
punct(move, .)
compound(unions, Craft)
nsubj(seek, unions)
root(ROOT, seek)
obj(seek, work)
mark(claim, that)
amod(unions, industrial)
nsubj(claim, unions)
acl(work, claim)
punct(claim, ,)
case(maintenance, such)
fixed(such, as)
compound(maintenance, factory)
obl(claim, maintenance)
punct(seek, .)
det(issue, The)
nsubj(potent, issue)
cop(potent, was)
advmod(potent, sufficiently)
root(ROOT, potent)
case(1935, in)
obl(potent, 1935)
mark(spark, to)
advcl(potent, spark)
obj(spark, secession)
case(Federation, from)
det(Federation, the)
compound(Federation, American)
obl(spark, Federation)
case(Labor, of)
nmod(Federation, Labor)
case(members, of)
nmod:poss(members, its)
amod(union, industrial)
compound(members, union)
nmod(Federation, members)
punct(potent, .)
det(breach, That)
nsubj:pass(healed, breach)
aux:pass(healed, was)
root(ROOT, healed)
nummod(years, 20)
obl:npmod(later, years)
advmod(healed, later)
case(merger, by)
obl(healed, merger)
case(Federation, of)
det(Federation, the)
compound(Federation, American)
nmod(merger, Federation)
case(Labor, of)
nmod(Federation, Labor)
cc(Congress, and)
det(Congress, the)
conj(Federation, Congress)
case(Organizations, of)
compound(Organizations, Industrial)
nmod(Congress, Organizations)
punct(healed, .)
cc(what, Or)
nsubj(what, that)
cop(what, 's)
root(ROOT, what)
nsubj(looked, it)
acl:relcl(what, looked)
obl(looked, like)
case(time, at)
det(time, the)
obl(looked, time)
punct(what, .)
cc(renewed, But)
nsubj(renewed, automation)
cc(complexity, and)
det(complexity, the)
amod(complexity, increasing)
conj(automation, complexity)
case(factories, of)
nmod(complexity, factories)
aux(renewed, has)
root(ROOT, renewed)
det(competition, the)
obj(renewed, competition)
case(jobs, for)
nmod(competition, jobs)
punct(renewed, .)
nsubj(renewed, Walter)
flat(Walter, Reuther)
punct(Walter, ,)
appos(Walter, leader)
case(faction, of)
det(faction, the)
amod(union, industrial)
compound(faction, union)
nmod(leader, faction)
case(CIO, of)
det(CIO, the)
compound(CIO, AFL)
punct(CIO, -)
nmod(faction, CIO)
punct(says, ,)
parataxis(renewed, says)
det(years, another)
nummod(years, two)
nsubj(disastrous, years)
case(squabbling, of)
det(squabbling, this)
nmod(years, squabbling)
aux(disastrous, will)
cop(disastrous, be)
ccomp(says, disastrous)
case(labor, for)
det(labor, all)
amod(labor, American)
obl(disastrous, labor)
punct(disastrous, .)
mark(disastrous, Whether)
nsubj(disastrous, it)
aux(disastrous, could)
cop(disastrous, be)
advmod(disastrous, as)
parataxis(disastrous, disastrous)
case(labor, for)
amod(labor, American)
obl(disastrous, labor)
mark(say, as)
punct(say, ,)
advcl(disastrous, say)
punct(Jimmy, ,)
obj(say, Jimmy)
flat(Jimmy, Hoffa)
case(Teamsters, of)
det(Teamsters, the)
nmod(Jimmy, Teamsters)
punct(matter, ,)
cop(matter, is)
det(matter, a)
ccomp(say, matter)
case(conjecture, of)
nmod(matter, conjecture)
punct(renewed, .)
cc(win, But)
det(disputes, the)
amod(disputes, jurisdictional)
nsubj(win, disputes)
det(result, that)
nmod(disputes, result)
case(rivalry, from)
det(rivalry, the)
compound(industrial, craft)
punct(industrial, -)
amod(rivalry, industrial)
nmod(result, rivalry)
aux(win, do)
advmod(win, not)
root(ROOT, win)
obj(win, friends)
case(labor, for)
obl(win, labor)
punct(win, .)
advcl(have, Engaged)
mark(battle, as)
nsubj(battle, it)
cop(battle, is)
case(battle, in)
det(battle, a)
advcl(Engaged, battle)
case(trade, for)
compound(trade, world)
nmod(battle, trade)
case(condition, as)
det(condition, a)
obl(battle, condition)
case(survival, of)
amod(survival, national)
nmod(condition, survival)
punct(have, ,)
det(country, this)
nsubj(have, country)
aux(have, can)
root(ROOT, have)
amod(patience, little)
obj(have, patience)
case(feuds, with)
nmod:poss(feuds, labor)
case(labor, 's)
compound(feuds, family)
nmod(patience, feuds)
punct(have, .)
det(concept, The)
nsubj(outmoded, concept)
case(labor, of)
nmod(concept, labor)
case(class, as)
det(class, a)
amod(class, special)
nmod(concept, class)
cop(outmoded, is)
root(ROOT, outmoded)
punct(learn, ,)
cc(learn, and)
case(task, in)
det(task, the)
obl(learn, task)
acl(task, confronting)
obj(confronting, America)
case(bastion, as)
obl(confronting, bastion)
case(world, of)
det(world, the)
amod(world, free)
nmod(bastion, world)
punct(learn, ,)
nsubj(learn, labor)
aux(learn, must)
parataxis(outmoded, learn)
mark(put, to)
xcomp(learn, put)
det(interest, the)
amod(interest, national)
obj(put, interest)
advmod(put, first)
mark(itself, if)
nsubj(itself, it)
cop(itself, is)
advcl(put, itself)
mark(survive, to)
advcl(itself, survive)
punct(Deterrent, .)
conj(Army, Deterrent)
det(Army, the)
nsubj(question, Army)
punct(Navy, ,)
conj(Army, Navy)
cc(Force, and)
compound(Force, Air)
conj(Army, Force)
punct(question, ,)
case(others, among)
obl(question, others)
punct(question, ,)
aux(question, may)
parataxis(outmoded, question)
nmod:poss(claim, Secretary)
flat(Secretary, Freeman)
case(Secretary, 's)
obj(question, claim)
mark(deterrent, that)
det(estate, the)
amod(estate, high)
nsubj(deterrent, estate)
case(agriculture, of)
compound(States, United)
compound(agriculture, States)
nmod(estate, agriculture)
cop(deterrent, is)
det(deterrent, the)
punct(deterrent, ``)
amod(deterrent, strongest)
acl(claim, deterrent)
punct(deterrent, '')
case(spread, to)
det(spread, the)
obl(deterrent, spread)
case(communism, of)
nmod(spread, communism)
punct(outmoded, .)
cc(insists, But)
det(secretary, the)
nsubj(insists, secretary)
root(ROOT, insists)
mark(source, that)
det(success, the)
nsubj(source, success)
case(farmer, of)
det(farmer, the)
amod(farmer, American)
nmod(success, farmer)
cop(source, is)
det(source, the)
punct(source, ``)
amod(source, greatest)
amod(source, single)
ccomp(insists, source)
case(strength, of)
nmod(source, strength)
punct(source, '')
case(struggle, in)
det(struggle, the)
nmod(source, struggle)
mark(insure, to)
acl(struggle, insure)
obj(insure, freedom)
case(world, around)
det(world, the)
nmod(freedom, world)
punct(said, .)
nsubj(said, Mr.)
flat(Mr., Freeman)
parataxis(insists, said)
mark(awed, that)
case(many, in)
obl(awed, many)
case(countries, of)
det(countries, the)
nmod(many, countries)
nsubj(visited, he)
acl:relcl(countries, visited)
case(trip, on)
det(trip, a)
amod(trip, recent)
compound(trip, world)
compound(trip, trade)
obl(visited, trip)
nsubj:pass(awed, people)
aux:pass(awed, were)
advmod(awed, more)
ccomp(said, awed)
case(capacity, by)
nmod:poss(capacity, America)
case(America, 's)
obl(awed, capacity)
mark(produce, to)
acl(capacity, produce)
compound(surpluses, food)
obj(produce, surpluses)
case(production, than)
