nn(Transcript-2, Debate-1)
cc(moderate-3, but-15)
det(questions-17, the-16)
nsubjpass(chosen-25, questions-17)
cc(questions-17, and-18)
det(areas-20, the-19)
conj(questions-17, areas-20)
aux(covered-23, to-21)
auxpass(covered-23, be-22)
vmod(areas-20, covered-23)
auxpass(chosen-25, were-24)
conj(moderate-3, chosen-25)
prep(chosen-25, by-26)
pobj(by-26, me-27)
punct(moderate-3, .-28)

nsubj(told-4, I-1)
aux(told-4, have-2)
neg(told-4, not-3)
root(ROOT-0, told-4)
det(candidates-6, the-5)
dobj(told-4, candidates-6)
cc(candidates-6, or-7)
conj(candidates-6, anyone-8)
advmod(anyone-8, else-9)
dobj(are-12, what-10)
nsubj(are-12, they-11)
ccomp(told-4, are-12)
punct(told-4, .-13)

aux(refresh-2, To-1)
advcl(ask-11, refresh-2)
poss(memory-4, your-3)
dobj(refresh-2, memory-4)
prep(refresh-2, on-5)
det(rules-7, the-6)
pobj(on-5, rules-7)
punct(ask-11, ,-8)
nsubj(ask-11, I-9)
aux(ask-11, will-10)
root(ROOT-0, ask-11)
det(question-13, a-12)
dobj(ask-11, question-13)
punct(ask-11, .-14)

det(candidate-2, The-1)
nsubjpass(allowed-4, candidate-2)
auxpass(allowed-4, is-3)
root(ROOT-0, allowed-4)
num(minutes-6, two-5)
dobj(allowed-4, minutes-6)
aux(answer-8, to-7)
xcomp(allowed-4, answer-8)
punct(allowed-4, .-9)

poss(opponent-2, His-1)
nsubj(has-4, opponent-2)
advmod(has-4, then-3)
root(ROOT-0, has-4)
det(minute-6, a-5)
dobj(has-4, minute-6)
cc(minute-6, and-7)
det(half-9, a-8)
conj(minute-6, half-9)
aux(offer-11, to-10)
vmod(minute-6, offer-11)
det(rebuttal-13, a-12)
dobj(offer-11, rebuttal-13)
punct(has-4, .-14)

prep(extend-7, At-1)
poss(discretion-3, my-2)
pobj(At-1, discretion-3)
punct(extend-7, ,-4)
nsubj(extend-7, I-5)
aux(extend-7, can-6)
root(ROOT-0, extend-7)
det(discussion-9, the-8)
dobj(extend-7, discussion-9)
prep(extend-7, by-10)
pcomp(by-10, offering-11)
det(candidate-13, each-12)
iobj(offering-11, candidate-13)
det(seconds-17, an-14)
amod(seconds-17, additional-15)
num(seconds-17, 30-16)
dobj(offering-11, seconds-17)
punct(extend-7, .-18)

det(light-3, A-1)
amod(light-3, green-2)
nsubj(come-5, light-3)
aux(come-5, will-4)
root(ROOT-0, come-5)
prt(come-5, on-6)
aux(signal-8, to-7)
xcomp(come-5, signal-8)
det(candidate-10, the-9)
nsubj(has-11, candidate-10)
ccomp(signal-8, has-11)
num(seconds-13, 30-12)
nsubj(left-14, seconds-13)
ccomp(has-11, left-14)
punct(come-5, .-15)

det(light-3, A-1)
amod(light-3, yellow-2)
nsubj(signals-4, light-3)
root(ROOT-0, signals-4)
num(seconds-6, 15-5)
dobj(signals-4, seconds-6)
vmod(seconds-6, left-7)
punct(signals-4, .-8)

det(light-3, A-1)
amod(light-3, red-2)
nsubj(means-4, light-3)
root(ROOT-0, means-4)
num(seconds-6, five-5)
dobj(means-4, seconds-6)
vmod(seconds-6, left-7)
punct(means-4, .-8)

expl(is-2, There-1)
root(ROOT-0, is-2)
advmod(is-2, also-3)
det(buzzer-5, a-4)
nsubj(is-2, buzzer-5)
punct(needed-10, ,-6)
mark(needed-10, if-7)
nsubjpass(needed-10, it-8)
auxpass(needed-10, is-9)
dep(buzzer-5, needed-10)
punct(is-2, .-11)

det(candidates-2, The-1)
nsubj(question-5, candidates-2)
aux(question-5, may-3)
neg(question-5, not-4)
root(ROOT-0, question-5)
det(other-7, each-6)
dobj(question-5, other-7)
advmod(question-5, directly-8)
punct(question-5, .-9)

expl(are-2, There-1)
root(ROOT-0, are-2)
neg(statements-5, no-3)
amod(statements-5, opening-4)
nsubj(are-2, statements-5)
punct(are-2, ,-6)
cc(are-2, but-7)
expl(minute-13, there-8)
aux(minute-13, will-9)
cop(minute-13, be-10)
num(minute-13, two-11)
punct(minute-13, --12)
conj(are-2, minute-13)
vmod(minute-13, closing-14)
dobj(closing-14, statements-15)
punct(are-2, .-16)

expl(is-2, There-1)
root(ROOT-0, is-2)
det(audience-4, an-3)
nsubj(is-2, audience-4)
advmod(is-2, here-5)
tmod(is-2, tonight-6)
punct(is-2, ,-7)
cc(is-2, but-8)
nsubj(agreed-11, they-9)
aux(agreed-11, have-10)
conj(is-2, agreed-11)
aux(remain-13, to-12)
xcomp(agreed-11, remain-13)
acomp(remain-13, silent-14)
punct(remain-13, ,-15)
dep(for-17, except-16)
prep(remain-13, for-17)
advmod(now-19, right-18)
pcomp(for-17, now-19)
punct(now-19, ,-20)
advmod(join-23, when-21)
nsubj(join-23, they-22)
advcl(now-19, join-23)
dobj(join-23, me-24)
prep(join-23, in-25)
pcomp(in-25, welcoming-26)
nn(Bush-29, President-27)
nn(Bush-29, George-28)
dobj(welcoming-26, Bush-29)
cc(Bush-29, and-30)
nn(Kerry-33, Senator-31)
nn(Kerry-33, John-32)
conj(Bush-29, Kerry-33)
punct(is-2, .-34)

nsubj(welcome-3, Gentlemen-1)
punct(welcome-3, ,-2)
root(ROOT-0, welcome-3)
prep(welcome-3, to-4)
pobj(to-4, you-5)
det(you-5, both-6)
punct(welcome-3, .-7)

prep(goes-8, By-1)
nn(toss-3, coin-2)
pobj(By-1, toss-3)
punct(goes-8, ,-4)
det(question-7, the-5)
amod(question-7, first-6)
nsubj(goes-8, question-7)
root(ROOT-0, goes-8)
prep(goes-8, to-9)
nn(Kerry-11, Senator-10)
pobj(to-9, Kerry-11)
punct(goes-8, .-12)

nsubj(want-4, Senator-1)
punct(want-4, ,-2)
nsubj(want-4, I-3)
root(ROOT-0, want-4)
aux(set-6, to-5)
xcomp(want-4, set-6)
det(stage-8, the-7)
dobj(set-6, stage-8)
prep(stage-8, for-9)
det(discussion-11, this-10)
pobj(for-9, discussion-11)
prep(set-6, by-12)
pcomp(by-12, asking-13)
det(question-15, the-14)
dobj(asking-13, question-15)
dobj(think-18, that-16)
nsubj(think-18, I-17)
rcmod(question-15, think-18)
ccomp(think-18, hangs-19)
prep(hangs-19, over-20)
num(politics-24, all-21)
quantmod(all-21, of-22)
poss(politics-24, our-23)
pobj(over-20, politics-24)
tmod(hangs-19, today-25)
cc(hangs-19, and-26)
conj(hangs-19, is-27)
advmod(is-27, probably-28)
prep(is-27, on-29)
det(minds-31, the-30)
pobj(on-29, minds-31)
prep(minds-31, of-32)
amod(people-34, many-33)
pobj(of-32, people-34)
vmod(people-34, watching-35)
det(debate-37, this-36)
dobj(watching-35, debate-37)
tmod(watching-35, tonight-38)
punct(want-4, .-39)

cc(is-3, And-1)
nsubj(is-3, that-2)
root(ROOT-0, is-3)
punct(is-3, ,-4)
aux(live-11, will-5)
poss(children-7, our-6)
nsubj(live-11, children-7)
cc(children-7, and-8)
conj(children-7, grandchildren-9)
advmod(live-11, ever-10)
dep(is-3, live-11)
prep(live-11, in-12)
det(world-14, a-13)
pobj(in-12, world-14)
advmod(safe-16, as-15)
amod(world-14, safe-16)
cc(safe-16, and-17)
conj(safe-16, secure-18)
prep(safe-16, as-19)
det(world-21, the-20)
pobj(as-19, world-21)
prep(grew-25, in-22)
pobj(in-22, which-23)
nsubj(grew-25, we-24)
rcmod(world-21, grew-25)
prt(grew-25, up-26)
punct(is-3, ?-27)

discourse(thank-9, Well-1)
punct(thank-9, ,-2)
advmod(thank-9, first-3)
prep(first-3, of-4)
pobj(of-4, all-5)
punct(thank-9, ,-6)
nsubj(thank-9, Bob-7)
punct(thank-9, ,-8)
root(ROOT-0, thank-9)
dobj(thank-9, you-10)
prep(thank-9, for-11)
pcomp(for-11, moderating-12)
tmod(moderating-12, tonight-13)
punct(thank-9, .-14)

root(ROOT-0, Thank-1)
dobj(Thank-1, you-2)
punct(Thank-1, ,-3)
nn(State-5, Arizona-4)
dobj(Thank-1, State-5)
punct(Thank-1, ,-6)
prep(Thank-1, for-7)
pcomp(for-7, welcoming-8)
dobj(welcoming-8, us-9)
punct(Thank-1, .-10)

cc(thank-2, And-1)
root(ROOT-0, thank-2)
dobj(thank-2, you-3)
prep(thank-2, to-4)
det(Commission-7, the-5)
amod(Commission-7, Presidential-6)
pobj(to-4, Commission-7)
prep(thank-2, for-8)
pcomp(for-8, undertaking-9)
det(task-12, this-10)
amod(task-12, enormous-11)
dobj(undertaking-9, task-12)
punct(thank-2, .-13)

nsubj(proud-3, We-1)
cop(proud-3, 're-2)
root(ROOT-0, proud-3)
aux(be-5, to-4)
xcomp(proud-3, be-5)
advmod(be-5, here-6)
punct(proud-3, .-7)

nn(President-2, Mr.-1)
nsubj(glad-6, President-2)
punct(glad-6, ,-3)
nsubj(glad-6, I-4)
cop(glad-6, 'm-5)
root(ROOT-0, glad-6)
aux(be-8, to-7)
xcomp(glad-6, be-8)
advmod(be-8, here-9)
prep(be-8, with-10)
pobj(with-10, you-11)
advmod(be-8, again-12)
aux(share-14, to-13)
xcomp(be-8, share-14)
dobj(share-14, similarities-15)
cc(similarities-15, and-16)
conj(similarities-15, differences-17)
prep(share-14, with-18)
det(people-21, the-19)
amod(people-21, American-20)
pobj(with-18, people-21)
punct(glad-6, .-22)

aux(safe-5, Will-1)
nsubj(safe-5, we-2)
advmod(safe-5, ever-3)
cop(safe-5, be-4)
root(ROOT-0, safe-5)
cc(safe-5, and-6)
conj(safe-5, secure-7)
advmod(safe-5, again-8)
punct(safe-5, ?-9)

root(ROOT-0, Yes-1)
punct(Yes-1, .-2)

nsubj(be-4, We-1)
advmod(be-4, absolutely-2)
aux(be-4, must-3)
root(ROOT-0, be-4)
punct(be-4, .-5)

nsubj(goal-4, That-1)
cop(goal-4, 's-2)
det(goal-4, the-3)
root(ROOT-0, goal-4)
punct(goal-4, .-5)

discourse(component-12, Now-1)
punct(component-12, ,-2)
advmod(achieve-6, how-3)
aux(achieve-6, do-4)
nsubj(achieve-6, we-5)
dep(component-12, achieve-6)
dobj(achieve-6, it-7)
cop(component-12, is-8)
det(component-12, the-9)
advmod(critical-11, most-10)
amod(component-12, critical-11)
root(ROOT-0, component-12)
prep(component-12, of-13)
pobj(of-13, it-14)
punct(component-12, .-15)

nsubj(believe-2, I-1)
root(ROOT-0, believe-2)
mark(rushed-9, that-3)
det(president-5, this-4)
nsubj(rushed-9, president-5)
punct(rushed-9, ,-6)
advmod(rushed-9, regrettably-7)
punct(rushed-9, ,-8)
ccomp(believe-2, rushed-9)
dobj(rushed-9, us-10)
prep(rushed-9, into-11)
det(war-13, a-12)
pobj(into-11, war-13)
punct(rushed-9, ,-14)
dep(rushed-9, made-15)
dobj(made-15, decisions-16)
prep(decisions-16, about-17)
amod(policy-19, foreign-18)
pobj(about-17, policy-19)
punct(rushed-9, ,-20)
dep(rushed-9, pushed-21)
dobj(pushed-21, alliances-22)
advmod(pushed-21, away-23)
punct(believe-2, .-24)

cc(bearing-10, And-1)
punct(bearing-10, ,-2)
prep(bearing-10, as-3)
det(result-5, a-4)
pobj(as-3, result-5)
punct(bearing-10, ,-6)
nsubj(bearing-10, America-7)
aux(bearing-10, is-8)
advmod(bearing-10, now-9)
root(ROOT-0, bearing-10)
det(burden-13, this-11)
amod(burden-13, extraordinary-12)
dobj(bearing-10, burden-13)
advmod(safe-19, where-14)
nsubj(safe-19, we-15)
cop(safe-19, are-16)
neg(safe-19, not-17)
advmod(safe-19, as-18)
rcmod(burden-13, safe-19)
mark(ought-22, as-20)
nsubj(ought-22, we-21)
dep(safe-19, ought-22)
aux(be-24, to-23)
xcomp(ought-22, be-24)
punct(bearing-10, .-25)

det(measurement-2, The-1)
nsubj(is-3, measurement-2)
root(ROOT-0, is-3)
neg(is-3, not-4)
punct(is-3, :-5)
cop(safer-8, Are-6)
nsubj(safer-8, we-7)
parataxis(is-3, safer-8)
punct(is-3, ?-9)

det(measurement-2, The-1)
nsubj(is-3, measurement-2)
root(ROOT-0, is-3)
punct(is-3, :-4)
cop(safe-8, Are-5)
nsubj(safe-8, we-6)
advmod(safe-8, as-7)
parataxis(is-3, safe-8)
mark(ought-11, as-9)
nsubj(ought-11, we-10)
dep(safe-8, ought-11)
aux(be-13, to-12)
xcomp(ought-11, be-13)
punct(is-3, ?-14)

cc(are-3, And-1)
expl(are-3, there-2)
root(ROOT-0, are-3)
quantmod(host-5, a-4)
num(options-7, host-5)
quantmod(host-5, of-6)
nsubj(are-3, options-7)
dobj(had-11, that-8)
det(president-10, this-9)
nsubj(had-11, president-10)
rcmod(options-7, had-11)
dep(had-11, available-12)
prep(available-12, to-13)
pobj(to-13, him-14)
punct(options-7, ,-15)
prep(options-7, like-16)
pcomp(like-16, making-17)
dep(making-17, sure-18)
mark(inspected-28, that-19)
prep(inspected-28, at-20)
predet(ports-23, all-21)
poss(ports-23, our-22)
pobj(at-20, ports-23)
prep(inspected-28, in-24)
pobj(in-24, America-25)
nsubjpass(inspected-28, containers-26)
auxpass(inspected-28, are-27)
dep(sure-18, inspected-28)
punct(are-3, .-29)

quantmod(95-2, Only-1)
num(percent-3, 95-2)
nsubj(come-10, percent-3)
prep(percent-3, of-4)
pobj(of-4, them-5)
punct(percent-9, --6)
punct(percent-9, --7)
num(percent-9, 95-8)
dep(them-5, percent-9)
root(ROOT-0, come-10)
prt(come-10, in-11)
npadvmod(uninspected-13, today-12)
acomp(come-10, uninspected-13)
punct(come-10, .-14)

nsubj(good-4, That-1)
cop(good-4, 's-2)
neg(good-4, not-3)
root(ROOT-0, good-4)
advmod(good-4, enough-5)
punct(good-4, .-6)

dep(X-rayed-13, People-1)
nsubj(fly-3, who-2)
rcmod(People-1, fly-3)
prep(fly-3, on-4)
pobj(on-4, airplanes-5)
tmod(fly-3, today-6)
punct(X-rayed-13, ,-7)
det(hold-10, the-8)
nn(hold-10, cargo-9)
nsubjpass(X-rayed-13, hold-10)
auxpass(X-rayed-13, is-11)
neg(X-rayed-13, not-12)
root(ROOT-0, X-rayed-13)
punct(X-rayed-13, ,-14)
cc(X-rayed-13, but-15)
det(baggage-17, the-16)
nsubj(is-18, baggage-17)
conj(X-rayed-13, is-18)
punct(X-rayed-13, .-19)

nsubj(good-4, That-1)
cop(good-4, 's-2)
neg(good-4, not-3)
root(ROOT-0, good-4)
advmod(good-4, enough-5)
punct(good-4, .-6)

nsubj(have-4, Firehouses-1)
aux(have-4, do-2)
neg(have-4, n't-3)
root(ROOT-0, have-4)
amod(firefighters-6, enough-5)
dobj(have-4, firefighters-6)
prep(have-4, in-7)
pobj(in-7, them-8)
punct(have-4, .-9)

nn(officers-2, Police-1)
nsubjpass(cut-5, officers-2)
aux(cut-5, are-3)
auxpass(cut-5, being-4)
root(ROOT-0, cut-5)
prep(cut-5, from-6)
det(streets-8, the-7)
pobj(from-6, streets-8)
prep(streets-8, of-9)
pobj(of-9, America-10)
mark(decided-14, because-11)
det(president-13, the-12)
nsubj(decided-14, president-13)
advcl(cut-5, decided-14)
aux(cut-16, to-15)
xcomp(decided-14, cut-16)
det(program-19, the-17)
nn(program-19, COPS-18)
dobj(cut-16, program-19)
punct(cut-5, .-20)

cc(do-4, So-1)
nsubj(do-4, we-2)
aux(do-4, can-3)
root(ROOT-0, do-4)
det(job-7, a-5)
amod(job-7, better-6)
dobj(do-4, job-7)
prep(job-7, of-8)
nn(security-10, homeland-9)
pobj(of-8, security-10)
punct(do-4, .-11)

nsubj(do-3, I-1)
aux(do-3, can-2)
root(ROOT-0, do-3)
det(job-6, a-4)
amod(job-6, better-5)
dobj(do-3, job-6)
prep(job-6, of-7)
pcomp(of-7, waging-8)
det(war-14, a-9)
amod(war-14, smarter-10)
punct(war-14, ,-11)
dep(effective-13, more-12)
amod(war-14, effective-13)
dobj(waging-8, war-14)
prep(war-14, on-15)
pobj(on-15, terror-16)
cc(do-3, and-17)
conj(do-3, guarantee-18)
mark(go-22, that-19)
nsubj(go-22, we-20)
aux(go-22, will-21)
ccomp(guarantee-18, go-22)
prep(go-22, after-23)
det(terrorists-25, the-24)
pobj(after-23, terrorists-25)
punct(do-3, .-26)

nsubj(hunt-3, I-1)
aux(hunt-3, will-2)
root(ROOT-0, hunt-3)
dobj(hunt-3, them-4)
prt(hunt-3, down-5)
punct(hunt-3, ,-6)
cc(hunt-3, and-7)
nsubj(kill-10, we-8)
aux(kill-10, 'll-9)
conj(hunt-3, kill-10)
dobj(kill-10, them-11)
punct(hunt-3, ,-12)
nsubj(capture-15, we-13)
aux(capture-15, 'll-14)
conj(hunt-3, capture-15)
dobj(capture-15, them-16)
punct(hunt-3, .-17)

nsubj(do-3, We-1)
aux(do-3, 'll-2)
root(ROOT-0, do-3)
nsubj(necessary-6, whatever-4)
cop(necessary-6, is-5)
ccomp(do-3, necessary-6)
aux(safe-9, to-7)
cop(safe-9, be-8)
xcomp(do-3, safe-9)
punct(do-3, .-10)

cc(pledge-3, But-1)
nsubj(pledge-3, I-2)
root(ROOT-0, pledge-3)
dobj(pledge-3, this-4)
prep(pledge-3, to-5)
pobj(to-5, you-6)
punct(pledge-3, ,-7)
dobj(pledge-3, America-8)
punct(pledge-3, :-9)
nsubj(do-12, I-10)
aux(do-12, will-11)
parataxis(pledge-3, do-12)
dobj(do-12, it-13)
prep(do-12, in-14)
det(way-16, the-15)
pobj(in-14, way-16)
dobj(did-28, that-17)
nn(Roosevelt-19, Franklin-18)
nsubj(did-28, Roosevelt-19)
cc(Roosevelt-19, and-20)
nn(Reagan-22, Ronald-21)
conj(Roosevelt-19, Reagan-22)
cc(Roosevelt-19, and-23)
nn(Kennedy-25, John-24)
conj(Roosevelt-19, Kennedy-25)
cc(Roosevelt-19, and-26)
conj(Roosevelt-19, others-27)
rcmod(way-16, did-28)
punct(way-16, ,-29)
advmod(build-32, where-30)
nsubj(build-32, we-31)
dep(way-16, build-32)
det(alliances-35, the-33)
amod(alliances-35, strongest-34)
dobj(build-32, alliances-35)
punct(build-32, ,-36)
advmod(joins-40, where-37)
det(world-39, the-38)
nsubj(joins-40, world-39)
conj(build-32, joins-40)
advmod(joins-40, together-41)
punct(build-32, ,-42)
advmod(have-45, where-43)
nsubj(have-45, we-44)
conj(build-32, have-45)
det(intelligence-48, the-46)
amod(intelligence-48, best-47)
dobj(have-45, intelligence-48)
cc(build-32, and-49)
advmod(able-53, where-50)
nsubj(able-53, we-51)
cop(able-53, are-52)
conj(build-32, able-53)
punct(able-53, ,-54)
advmod(able-53, ultimately-55)
punct(able-53, ,-56)
aux(safe-60, to-57)
cop(safe-60, be-58)
advmod(safe-60, more-59)
xcomp(able-53, safe-60)
cc(safe-60, and-61)
conj(safe-60, secure-62)
punct(pledge-3, .-63)

nn(President-2, Mr.-1)
nsubj(have-5, President-2)
punct(you-4, ,-3)
nsubj(have-5, you-4)
root(ROOT-0, have-5)
num(seconds-7, 90-6)
dobj(have-5, seconds-7)
punct(have-5, .-8)

root(ROOT-0, Thank-1)
dobj(Thank-1, you-2)
advmod(much-4, very-3)
advmod(Thank-1, much-4)
punct(Thank-1, .-5)

nsubj(want-2, I-1)
root(ROOT-0, want-2)
aux(thank-4, to-3)
xcomp(want-2, thank-4)
nn(State-6, Arizona-5)
dobj(thank-4, State-6)
advmod(well-8, as-7)
advmod(thank-4, well-8)
punct(want-2, .-9)

discourse(safe-6, Yes-1)
punct(we-3, ,-2)
nsubj(safe-6, we-3)
aux(safe-6, can-4)
cop(safe-6, be-5)
root(ROOT-0, safe-6)
cc(safe-6, and-7)
conj(safe-6, secure-8)
punct(stay-12, ,-9)
mark(stay-12, if-10)
nsubj(stay-12, we-11)
advcl(safe-6, stay-12)
prep(stay-12, on-13)
det(offense-15, the-14)
pobj(on-13, offense-15)
prep(offense-15, against-16)
det(terrorists-18, the-17)
pobj(against-16, terrorists-18)
cc(stay-12, and-19)
mark(spread-22, if-20)
nsubj(spread-22, we-21)
conj(stay-12, spread-22)
dobj(spread-22, freedom-23)
cc(freedom-23, and-24)
conj(freedom-23, liberty-25)
prep(spread-22, around-26)
det(world-28, the-27)
pobj(around-26, world-28)
punct(safe-6, .-29)

nsubj(got-3, I-1)
aux(got-3, have-2)
root(ROOT-0, got-3)
det(strategy-6, a-4)
amod(strategy-6, comprehensive-5)
dobj(got-3, strategy-6)
dep(strategy-6, to-7)
neg(only-9, not-8)
dep(to-7, only-9)
conj(to-7, chase-10)
prt(chase-10, down-11)
det(Qaida-14, the-12)
nn(Qaida-14, Al-13)
dobj(chase-10, Qaida-14)
punct(chase-10, ,-15)
advmod(exists-18, wherever-16)
nsubj(exists-18, it-17)
advcl(chase-10, exists-18)
punct(to-7, --19)
punct(to-7, --20)
cc(making-24, and-21)
nsubj(making-24, we-22)
aux(making-24, 're-23)
parataxis(to-7, making-24)
dobj(making-24, progress-25)
punct(making-24, ;-26)
number(quarters-29, three-27)
punct(quarters-29, --28)
num(leaders-33, quarters-29)
quantmod(quarters-29, of-30)
nn(Qaida-32, Al-31)
nn(leaders-33, Qaida-32)
nsubjpass(brought-36, leaders-33)
aux(brought-36, have-34)
auxpass(brought-36, been-35)
parataxis(making-24, brought-36)
prep(brought-36, to-37)
pobj(to-37, justice-38)
punct(to-7, --39)
punct(to-7, --40)
cc(to-7, but-41)
aux(make-43, to-42)
conj(to-7, make-43)
dep(make-43, sure-44)
mark(held-51, that-45)
nsubjpass(held-51, countries-46)
nsubj(harbor-48, that-47)
rcmod(countries-46, harbor-48)
dobj(harbor-48, terrorists-49)
auxpass(held-51, are-50)
dep(sure-44, held-51)
aux(account-53, to-52)
xcomp(held-51, account-53)
punct(got-3, .-54)

prep(had-18, As-1)
det(result-3, a-2)
pobj(As-1, result-3)
prep(result-3, of-4)
pcomp(of-4, securing-5)
dobj(securing-5, ourselves-6)
cc(securing-5, and-7)
conj(securing-5, ridding-8)
det(Taliban-10, the-9)
dobj(ridding-8, Taliban-10)
dep(of-12, out-11)
prep(ridding-8, of-12)
pobj(of-12, Afghanistan-13)
punct(had-18, ,-14)
det(people-17, the-15)
amod(people-17, Afghan-16)
nsubj(had-18, people-17)
root(ROOT-0, had-18)
dobj(had-18, elections-19)
det(weekend-21, this-20)
tmod(had-18, weekend-21)
punct(had-18, .-22)

cc(woman-12, And-1)
det(voter-4, the-2)
amod(voter-4, first-3)
nsubj(woman-12, voter-4)
cop(woman-12, was-5)
det(woman-12, a-6)
num(old-11, 19-7)
punct(old-11, --8)
nn(old-11, year-9)
punct(old-11, --10)
nn(woman-12, old-11)
root(ROOT-0, woman-12)
punct(woman-12, .-13)

root(ROOT-0, Think-1)
prep(Think-1, about-2)
pobj(about-2, that-3)
punct(Think-1, .-4)

nsubj(is-2, Freedom-1)
root(ROOT-0, is-2)
prep(is-2, on-3)
det(march-5, the-4)
pobj(on-3, march-5)
punct(is-2, .-6)

nsubj(held-2, We-1)
root(ROOT-0, held-2)
aux(account-4, to-3)
xcomp(held-2, account-4)
det(regime-7, a-5)
nn(regime-7, terrorist-6)
dobj(held-2, regime-7)
prep(held-2, in-8)
nn(Hussein-10, Saddam-9)
pobj(in-8, Hussein-10)
punct(held-2, .-11)

prep(plan-19, In-1)
amod(words-3, other-2)
