amod(Pants-2, Red-1)
det(prayer-18, the-16)
amod(prayer-18, fervent-17)
dobj(utters-15, prayer-18)
mark(Make-22, that-19)
nsubj(Make-22, Othello-20)
aux(Make-22, might-21)
ccomp(prayer-18, Make-22)
poss(pants-26, love-23)
possessive(love-23, 's-24)
amod(pants-26, quick-25)
dobj(Make-22, pants-26)
prep(Make-22, in-27)
poss(arms-30, Desdemona-28)
possessive(Desdemona-28, 's-29)
pobj(in-27, arms-30)
punct(utters-15, .-31)

det(variation-2, A-1)
nsubj(occurs-6, variation-2)
prep(variation-2, on-3)
det(theme-5, this-4)
pobj(on-3, theme-5)
root(ROOT-0, occurs-6)
prep(occurs-6, in-7)
nn(Céspedes-10, Alba-8)
nn(Céspedes-10, de-9)
poss(Secret-13, Céspedes-10)
possessive(Céspedes-10, '-11)
det(Secret-13, The-12)
pobj(in-7, Secret-13)
punct(Secret-13, -LRB--14)
vmod(Secret-13, translated-15)
prep(translated-15, from-16)
det(Italian-18, the-17)
pobj(from-16, Italian-18)
prep(translated-15, by-19)
nn(Quigly-21, Isabel-20)
pobj(by-19, Quigly-21)
punct(Secret-13, :-22)
dep(Secret-13, Simon-23)
cc(Simon-23, and-24)
conj(Simon-23, Schuster-25)
punct(Simon-23, ,-26)
nn(York-28, New-27)
appos(Simon-23, York-28)
punct(Simon-23, ,-29)
tmod(Simon-23, 1958-30)
punct(Simon-23, ,-31)
appos(Simon-23, page-32)
num(page-32, 114-33)
punct(Secret-13, -RRB--34)
advmod(confides-37, where-35)
nsubj(confides-37, she-36)
advcl(occurs-6, confides-37)
mark(had-42, that-38)
punct(had-42, “-39)
nsubj(had-42, I-40)
advmod(had-42, still-41)
ccomp(confides-37, had-42)
det(afternoon-45, a-43)
amod(afternoon-45, whole-44)
dobj(had-42, afternoon-45)
prep(had-42, before-46)
pobj(before-46, me-47)
aux(spend-49, to-48)
xcomp(had-42, spend-49)
punct(had-42, ,-50)
cc(had-42, and-51)
nsubj(used-53, I-52)
conj(had-42, used-53)
dobj(used-53, it-54)
aux(tidy-56, to-55)
vmod(used-53, tidy-56)
prt(tidy-56, up-57)
poss(drawers-59, my-58)
dobj(tidy-56, drawers-59)
punct(occurs-6, ....-60)
punct(occurs-6, ”-61)

nsubj(wonder-4, One-1)
aux(wonder-4, may-2)
advmod(wonder-4, well-3)
root(ROOT-0, wonder-4)
dobj(had-8, what-5)
nn(Stowe-7, Miss-6)
nsubj(had-8, Stowe-7)
ccomp(wonder-4, had-8)
prep(had-8, in-9)
pobj(in-9, mind-10)
advmod(narrates-24, when-11)
punct(narrates-24, ,-12)
prep(narrates-24, in-13)
nn(Tom-15, Uncle-14)
poss(Cabin-17, Tom-15)
possessive(Tom-15, 's-16)
pobj(in-13, Cabin-17)
punct(Cabin-17, -LRB--18)
dep(Cabin-17, Chapter-19)
num(Chapter-19, 5-20)
punct(Cabin-17, -RRB--21)
punct(narrates-24, ,-22)
nsubj(narrates-24, she-23)
advcl(had-8, narrates-24)
advmod(stood-29, how-25)
punct(stood-29, “-26)
nn(Shelby-28, Mrs.-27)
nsubj(stood-29, Shelby-28)
ccomp(narrates-24, stood-29)
mark(stricken-32, like-30)
nsubj(stricken-32, one-31)
advcl(stood-29, stricken-32)
punct(wonder-4, .-33)

advmod(rested-9, Finally-1)
punct(rested-9, ,-2)
vmod(rested-9, turning-3)
prep(turning-3, to-4)
poss(toilet-6, her-5)
pobj(to-4, toilet-6)
punct(rested-9, ,-7)
nsubj(rested-9, she-8)
root(ROOT-0, rested-9)
poss(face-11, her-10)
dobj(rested-9, face-11)
prep(rested-9, in-12)
poss(hands-14, her-13)
pobj(in-12, hands-14)
punct(rested-9, ,-15)
cc(rested-9, and-16)
conj(rested-9, gave-17)
det(sort-19, a-18)
dobj(gave-17, sort-19)
prep(sort-19, of-20)
pobj(of-20, groan-21)
punct(rested-9, .-22)
punct(rested-9, ”-23)

prep(adds-9, In-1)
det(vein-4, this-2)
amod(vein-4, same-3)
pobj(In-1, vein-4)
punct(adds-9, ,-5)
det(Milton-8, the-6)
amod(Milton-8, mirthless-7)
nsubj(adds-9, Milton-8)
root(ROOT-0, adds-9)
poss(bit-11, his-10)
dobj(adds-9, bit-11)
prep(adds-9, to-12)
det(hilarity-15, the-13)
amod(hilarity-15, general-14)
pobj(to-12, hilarity-15)
prep(hilarity-15, of-16)
pobj(of-16, nations-17)
advmod(penned-35, when-18)
punct(penned-35, ,-19)
prep(penned-35, in-20)
pcomp(in-20, describing-21)
nn(Etna-23, Mount-22)
dobj(describing-21, Etna-23)
prep(describing-21, in-24)
pobj(in-24, Book-25)
num(Book-25, I-26)
prep(Book-25, of-27)
pobj(of-27, Paradise-28)
vmod(Paradise-28, Lost-29)
punct(Book-25, -LRB--30)
dep(Book-25, lines-31)
num(lines-31, 236-7-32)
punct(Book-25, -RRB--33)
nsubj(penned-35, he-34)
advcl(adds-9, penned-35)
cc(leave-37, And-36)
ccomp(penned-35, leave-37)
det(bottom-40, a-38)
amod(bottom-40, singed-39)
dobj(leave-37, bottom-40)
advmod(involved-42, all-41)
amod(bottom-40, involved-42)
prep(involved-42, With-43)
pobj(With-43, stench-44)
cc(stench-44, and-45)
conj(stench-44, smoke-46)
punct(adds-9, :-47)
punct(adds-9, ...-48)

cc(confides-30, And-1)
prep(confides-30, in-2)
pobj(in-2, Chapter-3)
num(Chapter-3, VI-4)
prep(Chapter-3, of-5)
nn(Fair-7, Vanity-6)
pobj(of-5, Fair-7)
punct(confides-30, ,-8)
advmod(sought-15, when-9)
nsubj(sought-15, Blenkinsop-10)
punct(Blenkinsop-10, ,-11)
det(housekeeper-13, the-12)
appos(Blenkinsop-10, housekeeper-13)
punct(sought-15, ,-14)
advcl(confides-30, sought-15)
aux(console-17, to-16)
xcomp(sought-15, console-17)
dobj(console-17, Amelia-18)
prep(console-17, for-19)
nn(Sedley-21, Joe-20)
poss(jilting-23, Sedley-21)
possessive(Sedley-21, 's-22)
pobj(for-19, jilting-23)
prep(jilting-23, of-24)
poss(Rebecca-27, her-25)
amod(Rebecca-27, dear-26)
pobj(of-24, Rebecca-27)
punct(confides-30, ,-28)
nsubj(confides-30, Thackeray-29)
root(ROOT-0, confides-30)
punct(confides-30, -LRB--31)
advmod(confides-30, indelicately-32)
punct(indelicately-32, ?-33)
punct(confides-30, -RRB--34)
mark(wept-37, that-35)
nsubj(wept-37, Amelia-36)
ccomp(confides-30, wept-37)
advmod(wept-37, confidentially-38)
prep(wept-37, on-39)
det(housekeeper-41, the-40)
poss(shoulder-43, housekeeper-41)
possessive(housekeeper-41, 's-42)
pobj(on-39, shoulder-43)
punct(wept-37, “-44)
cc(wept-37, and-45)
conj(wept-37, relieved-46)
iobj(relieved-46, herself-47)
det(deal-50, a-48)
amod(deal-50, good-49)
dobj(relieved-46, deal-50)
punct(confides-30, .-51)
punct(confides-30, ”-52)

nsubj(emanate-3, Chuckles-1)
advmod(emanate-3, often-2)
root(ROOT-0, emanate-3)
prep(emanate-3, from-4)
det(employment-7, the-5)
amod(employment-7, British-6)
pobj(from-4, employment-7)
prep(employment-7, of-8)
det(term-10, a-9)
pobj(of-8, term-10)
prep(employment-7, in-11)
det(sense-13, a-12)
pobj(in-11, sense-13)
prep(sense-13, at-14)
pobj(at-14, variance-15)
prep(variance-15, with-16)
amod(usage-18, American-17)
pobj(with-16, usage-18)
punct(emanate-3, .-19)

expl(is-2, There-1)
root(ROOT-0, is-2)
det(example-5, that-3)
amod(example-5, oft-quoted-4)
nsubj(is-2, example-5)
punct(example-5, ,-6)
prep(example-5, near-7)
det(opening-9, the-8)
pobj(near-7, opening-9)
prep(opening-9, of-10)
pobj(of-10, Trial-11)
prep(Trial-11, by-12)
pobj(by-12, Jury-13)
punct(example-5, ,-14)
advmod(asks-17, where-15)
nsubj(asks-17, Defendant-16)
rcmod(example-5, asks-17)
punct(asks-17, ,-18)
punct(asks-17, “-19)
cop(Court-23, Is-20)
nsubj(Court-23, this-21)
det(Court-23, the-22)
dep(asks-17, Court-23)
prep(Court-23, of-24)
det(Exchequer-26, the-25)
pobj(of-24, Exchequer-26)
punct(is-2, ?-27)
punct(is-2, ”-28)

cc(commands-13, and-1)
aux(assured-4, having-2)
auxpass(assured-4, been-3)
vmod(commands-13, assured-4)
mark(was-7, that-5)
nsubj(was-7, it-6)
ccomp(assured-4, was-7)
punct(commands-13, ,-8)
nsubj(commands-13, Defendant-9)
punct(commands-13, -LRB--10)
advmod(commands-13, aside-11)
punct(commands-13, -RRB--12)
root(ROOT-0, commands-13)
dobj(commands-13, himself-14)
aux(firm-18, to-15)
punct(firm-18, “-16)
cop(firm-18, Be-17)
vmod(commands-13, firm-18)
punct(firm-18, ,-19)
cop(firm-21, be-20)
dep(firm-18, firm-21)
punct(firm-18, ,-22)
amod(pecker-24, my-23)
dobj(firm-18, pecker-24)
punct(commands-13, .-25)
punct(commands-13, ”-26)

det(British-2, The-1)
nsubj(giggle-9, British-2)
punct(giggle-9, ,-3)
prep(giggle-9, of-4)
pobj(of-4, course-5)
punct(giggle-9, ,-6)
aux(giggle-9, do-7)
neg(giggle-9, not-8)
root(ROOT-0, giggle-9)
prep(giggle-9, at-10)
det(bit-12, this-11)
pobj(at-10, bit-12)
prep(bit-12, of-13)
amod(dialogue-15, Gilbertian-14)
pobj(of-13, dialogue-15)
punct(giggle-9, ,-16)
mark(means-21, since-17)
prep(means-21, to-18)
pobj(to-18, them-19)
nsubj(means-21, pecker-20)
advcl(giggle-9, means-21)
punct(means-21, `-22)
dobj(means-21, courage-23)
punct(means-21, ,-24)
punct(means-21, '-25)
prep(means-21, as-26)
pcomp(as-26, in-27)
det(phrase-29, the-28)
pobj(in-27, phrase-29)
punct(phrase-29, “-30)
aux(keep-32, to-31)
vmod(phrase-29, keep-32)
poss(pecker-34, your-33)
dobj(keep-32, pecker-34)
prt(keep-32, up-35)
punct(giggle-9, .-36)
punct(giggle-9, ”-37)

nsubj(are-12, Two-1)
prep(Two-1, of-2)
det(examples-6, the-3)
advmod(common-5, more-4)
amod(examples-6, common-5)
pobj(of-2, examples-6)
prep(examples-6, of-7)
amod(divergence-9, British-American-8)
pobj(of-7, divergence-9)
prep(divergence-9, of-10)
pobj(of-10, usage-11)
root(ROOT-0, are-12)
dep(are-12, screw-13)
cc(screw-13, and-14)
conj(screw-13, knock-15)
prt(knock-15, up-16)
punct(are-12, .-17)

prep(acrobat-18, In-1)
nn(Fair-3, Vanity-2)
pobj(In-1, Fair-3)
punct(Fair-3, -LRB--4)
dep(Fair-3, Chapter-5)
num(Chapter-5, 39-6)
punct(Fair-3, -RRB--7)
punct(acrobat-18, ,-8)
det(Pitt-12, the-9)
amod(Pitt-12, niggardly-10)
nn(Pitt-12, Sir-11)
nsubj(acrobat-18, Pitt-12)
cop(acrobat-18, was-13)
neg(acrobat-18, not-14)
advmod(acrobat-18, nearly-15)
det(acrobat-18, the-16)
amod(acrobat-18, aerial-17)
root(ROOT-0, acrobat-18)
poss(sophomore-21, your-19)
amod(sophomore-21, American-20)
nsubj(fancy-23, sophomore-21)
aux(fancy-23, might-22)
rcmod(acrobat-18, fancy-23)
dobj(fancy-23, him-24)
aux(be-26, to-25)
xcomp(fancy-23, be-26)
advmod(screwed-30, when-27)
nsubj(screwed-30, he-28)
punct(screwed-30, “-29)
advcl(acrobat-18, screwed-30)
poss(tenants-32, his-31)
dobj(screwed-30, tenants-32)
prep(screwed-30, by-33)
pobj(by-33, letter-34)
punct(acrobat-18, .-35)
punct(acrobat-18, ”-36)

nsubj(making-4, He-1)
aux(making-4, was-2)
advmod(making-4, simply-3)
root(ROOT-0, making-4)
amod(exactions-6, extortionate-5)
dobj(making-4, exactions-6)
prep(making-4, upon-7)
poss(lessees-10, his-8)
amod(lessees-10, wretched-9)
pobj(upon-7, lessees-10)
punct(making-4, .-11)

advmod(speaking-41, Similarly-1)
punct(speaking-41, ,-2)
advmod(reminds-14, when-3)
prep(reminds-14, in-4)
pobj(in-4, Chapter-5)
num(Chapter-5, XXXIV-6)
prep(Chapter-5, of-7)
det(novel-10, the-8)
amod(novel-10, same-9)
pobj(of-7, novel-10)
punct(reminds-14, ,-11)
nn(Bute-13, Mrs.-12)
nsubj(reminds-14, Bute-13)
advcl(speaking-41, reminds-14)
poss(husband-16, her-15)
dobj(reminds-14, husband-16)
mark(screwed-23, that-17)
punct(screwed-23, “-18)
nsubjpass(screwed-23, You-19)
aux(screwed-23, 'd-20)
aux(screwed-23, have-21)
auxpass(screwed-23, been-22)
ccomp(reminds-14, screwed-23)
prep(screwed-23, in-24)
pobj(in-24, goal-25)
punct(screwed-23, ,-26)
dobj(screwed-23, Bute-27)
punct(screwed-23, ,-28)
mark(kept-33, if-29)
nsubj(kept-33, I-30)
aux(kept-33, had-31)
neg(kept-33, not-32)
advcl(screwed-23, kept-33)
poss(money-35, your-34)
dobj(kept-33, money-35)
punct(speaking-41, ,-36)
punct(speaking-41, ”-37)
nsubj(speaking-41, she-38)
aux(speaking-41, was-39)
neg(speaking-41, not-40)
root(ROOT-0, speaking-41)
prep(speaking-41, of-42)
pobj(of-42, pleasures-43)
vmod(pleasures-43, deferred-44)
punct(speaking-41, .-45)

prep(warns-16, In-1)
amod(House-3, Bleak-2)
pobj(In-1, House-3)
punct(House-3, -LRB--4)
dep(House-3, Chapter-5)
num(Chapter-5, XXVII-6)
punct(House-3, -RRB--7)
nn(Smallweed-9, Grandfather-8)
nsubj(warns-16, Smallweed-9)
punct(warns-16, ,-10)
vmod(warns-16, referring-11)
prep(referring-11, to-12)
nn(George-14, Mr.-13)
pobj(to-12, George-14)
punct(warns-16, ,-15)
root(ROOT-0, warns-16)
nn(Tulkinghorn-18, Mr.-17)
dobj(warns-16, Tulkinghorn-18)
mark(have-22, that-19)
punct(have-22, “-20)
nsubj(have-22, I-21)
ccomp(warns-16, have-22)
dobj(have-22, him-23)
advmod(have-22, periodically-24)
prep(have-22, in-25)
det(vice-27, a-26)
pobj(in-25, vice-27)
punct(warns-16, .-28)

nsubj(twist-3, I-1)
aux(twist-3, 'll-2)
root(ROOT-0, twist-3)
dobj(twist-3, him-4)
punct(twist-3, ,-5)
dobj(twist-3, sir-6)
punct(twist-3, .-7)

nsubj(screw-3, I-1)
aux(screw-3, 'll-2)
root(ROOT-0, screw-3)
dobj(screw-3, him-4)
punct(screw-3, ,-5)
dobj(screw-3, sir-6)
punct(screw-3, .-7)
punct(screw-3, ”-8)

prep(urges-14, In-1)
poss(Light-5, Kipling-2)
possessive(Kipling-2, 's-3)
det(Light-5, The-4)
pobj(In-1, Light-5)
nsubj(Failed-7, That-6)
dep(Light-5, Failed-7)
punct(Light-5, -LRB--8)
dep(Light-5, Chapter-9)
num(Chapter-9, XIII-10)
punct(Light-5, -RRB--11)
punct(urges-14, ,-12)
nsubj(urges-14, Torpenhow-13)
root(ROOT-0, urges-14)
dobj(urges-14, Dick-15)
aux(attend-17, to-16)
xcomp(urges-14, attend-17)
det(party-19, a-18)
dobj(attend-17, party-19)
det(night-21, that-20)
tmod(attend-17, night-21)
punct(urges-14, ,-22)
punct(is-34, “-23)
nsubjpass(screwed-28, We-24)
aux(screwed-28, shall-25)
auxpass(screwed-28, be-26)
advmod(screwed-28, half-27)
ccomp(is-34, screwed-28)
prep(screwed-28, before-29)
det(morning-31, the-30)
pobj(before-29, morning-31)
punct(is-34, ,-32)
punct(is-34, ”-33)
dep(urges-14, is-34)
poss(pitch-38, his-35)
amod(pitch-38, dismal-36)
nn(pitch-38, sales-37)
nsubj(is-34, pitch-38)
prep(pitch-38, to-39)
pobj(to-39, Dick-40)
punct(urges-14, .-41)

prep(reports-9, In-1)
pobj(In-1, Chapter-2)
num(Chapter-2, VI-3)
prep(Chapter-2, of-4)
nn(Fair-6, Vanity-5)
pobj(of-4, Fair-6)
punct(reports-9, ,-7)
nsubj(reports-9, Thackeray-8)
root(ROOT-0, reports-9)
prep(reports-9, on-10)
nn(Sedley-12, Joe-11)
poss(avowal-15, Sedley-12)
possessive(Sedley-12, 's-13)
amod(avowal-15, drunken-14)
pobj(on-10, avowal-15)
aux(wed-17, to-16)
vmod(avowal-15, wed-17)
nn(Sharp-19, Becky-18)
dobj(wed-17, Sharp-19)
det(morning-22, the-20)
amod(morning-22, next-21)
tmod(wed-17, morning-22)
punct(wed-17, ,-23)
advmod(had-27, even-24)
mark(had-27, if-25)
nsubj(had-27, he-26)
advcl(wed-17, had-27)
aux(knock-30, to-28)
punct(knock-30, “-29)
xcomp(had-27, knock-30)
prt(knock-30, up-31)
det(Archbishop-33, the-32)
dobj(knock-30, Archbishop-33)
prep(Archbishop-33, of-34)
pobj(of-34, Canterbury-35)
prep(knock-30, at-36)
pobj(at-36, Lambeth-37)
punct(had-27, ,-38)
punct(had-27, ”-39)
prep(had-27, in-40)
pobj(in-40, order-41)
aux(have-43, to-42)
vmod(order-41, have-43)
dobj(have-43, him-44)
prep(have-43, in-45)
pobj(in-45, readiness-46)
aux(perform-48, to-47)
vmod(readiness-46, perform-48)
det(ceremony-50, the-49)
dobj(perform-48, ceremony-50)
punct(reports-9, .-51)

prep(learn-10, In-1)
amod(Expectations-3, Great-2)
pobj(In-1, Expectations-3)
punct(Expectations-3, -LRB--4)
dep(Expectations-3, Chapter-5)
num(Chapter-5, VI-6)
punct(Expectations-3, -RRB--7)
punct(learn-10, ,-8)
nsubj(learn-10, we-9)
root(ROOT-0, learn-10)
dep(learn-10, how-11)
punct(how-11, “-12)
punct(how-11, ...-13)
nn(Whopsle-15, Mr.-14)
nsubj(was-21, Whopsle-15)
punct(was-21, ,-16)
auxpass(knocked-18, being-17)
vmod(was-21, knocked-18)
prt(knocked-18, up-19)
punct(was-21, ,-20)
dep(how-11, was-21)
prep(was-21, in-22)
predet(temper-27, such-23)
det(temper-27, a-24)
advmod(bad-26, very-25)
amod(temper-27, bad-26)
pobj(in-22, temper-27)
punct(learn-10, .-28)
punct(learn-10, ”-29)

cc(blame-4, And-1)
nsubj(blame-4, who-2)
aux(blame-4, could-3)
root(ROOT-0, blame-4)
dobj(blame-4, him-5)
punct(blame-4, ?-6)

predet(snigger-4, Many-1)
det(snigger-4, a-2)
amod(snigger-4, raucous-3)
nsubjpass(sniggered-7, snigger-4)
aux(sniggered-7, has-5)
auxpass(sniggered-7, been-6)
root(ROOT-0, sniggered-7)
prep(sniggered-7, from-8)
det(use-11, the-9)
amod(use-11, pure-minded-10)
pobj(from-8, use-11)
prep(use-11, of-12)
det(word-14, a-13)
pobj(of-12, word-14)
nsubj(suggests-16, that-15)
rcmod(word-14, suggests-16)
amod(parts-18, unmentionable-17)
dobj(suggests-16, parts-18)
prep(parts-18, of-19)
det(body-22, the-20)
amod(body-22, human-21)
pobj(of-19, body-22)
punct(sniggered-7, .-23)

nsubj(take-4, It-1)
aux(take-4, does-2)
neg(take-4, not-3)
root(ROOT-0, take-4)
det(mind-7, a-5)
amod(mind-7, too-wicked-6)
dobj(take-4, mind-7)
aux(read-9, to-8)
vmod(take-4, read-9)
prep(read-9, into-10)
amod(terms-12, such-11)
pobj(into-10, terms-12)
dobj(read-9, meanings-13)
prep(meanings-13, of-14)
det(nature-17, a-15)
amod(nature-17, lewd-16)
pobj(of-14, nature-17)
punct(take-4, .-18)

nsubj(blame-7, Who-1)
aux(blame-7, can-2)
punct(blame-7, ,-3)
prep(blame-7, for-4)
pobj(for-4, instance-5)
punct(blame-7, ,-6)
root(ROOT-0, blame-7)
det(youth-9, a-8)
dobj(blame-7, youth-9)
prep(youth-9, with-10)
advmod(disposition-15, but-11)
det(disposition-15, a-12)
advmod(evil-14, mildly-13)
amod(disposition-15, evil-14)
pobj(with-10, disposition-15)
prep(blame-7, from-16)
pcomp(from-16, guffawing-17)
advmod(reads-20, when-18)
nsubj(reads-20, he-19)
advcl(guffawing-17, reads-20)
prep(reads-20, in-21)
poss(Epicurean-26, Pater-22)
possessive(Pater-22, 's-23)
dep(Epicurean-26, Marius-24)
det(Epicurean-26, The-25)
pobj(in-21, Epicurean-26)
punct(Epicurean-26, -LRB--27)
