nn(Congressman-2, Ohio-1)
advcl(lifted-6, certify-11)
mark(eliminated-15, that-12)
nsubj(eliminated-15, Iraq-13)
aux(eliminated-15, has-14)
ccomp(certify-11, eliminated-15)
poss(weapons-17, its-16)
dobj(eliminated-15, weapons-17)
prep(weapons-17, of-18)
amod(destruction-20, mass-19)
pobj(of-18, destruction-20)
cc(weapons-17, and-21)
det(means-23, the-22)
conj(weapons-17, means-23)
aux(produce-25, to-24)
vmod(means-23, produce-25)
dobj(produce-25, them-26)
punct(lifted-6, .-27)

nsubj(says-2, Iraq-1)
root(ROOT-0, says-2)
nsubj(done-5, it-3)
aux(done-5, has-4)
ccomp(says-2, done-5)
advmod(done-5, so-6)
cc(done-5, and-7)
aux(barred-9, has-8)
conj(done-5, barred-9)
dobj(barred-9, inspectors-10)
prep(barred-9, since-11)
amod(1998-13, late-12)
pobj(since-11, 1998-13)
punct(says-2, .-14)

dep(one-3, At-1)
pobj(At-1, least-2)
num(congressman-5, one-3)
amod(congressman-5, other-4)
nsubj(visited-7, congressman-5)
aux(visited-7, has-6)
root(ROOT-0, visited-7)
dobj(visited-7, Iraq-8)
punct(visited-7, .-9)

nn(Secretary-2, Energy-1)
nn(Richardson-4, Secretary-2)
nn(Richardson-4, Bill-3)
nsubj(went-5, Richardson-4)
root(ROOT-0, went-5)
prep(went-5, to-6)
pobj(to-6, Baghdad-7)
prep(went-5, in-8)
pobj(in-8, 1995-9)
mark(representative-12, while-10)
det(representative-12, a-11)
advcl(went-5, representative-12)
prep(representative-12, for-13)
nn(Mexico-15, New-14)
pobj(for-13, Mexico-15)
punct(went-5, .-16)

