det(History-3, A-1)
dobj(included-13, signs-15)
prep(signs-15, of-16)
amod(civilization-18, early-17)
pobj(of-16, civilization-18)
punct(thrived-8, .-19)

nsubj(appeared-6, Signs-1)
prep(Signs-1, of-2)
advmod(more-4, even-3)
amod(advancement-5, more-4)
pobj(of-2, advancement-5)
root(ROOT-0, appeared-6)
advmod(through-8, halfway-7)
prep(appeared-6, through-8)
det(millennium-11, the-9)
amod(millennium-11, first-10)
pobj(through-8, millennium-11)
dep(millennium-11, a.d.-12)
punct(millennium-11, ,-13)
advmod(inhabited-18, when-14)
det(Indians-17, the-15)
nn(Indians-17, Anasazi-16)
nsubj(inhabited-18, Indians-17)
rcmod(millennium-11, inhabited-18)
det(valley-20, the-19)
dobj(inhabited-18, valley-20)
punct(appeared-6, .-21)

advmod(more-2, Far-1)
advmod(progressive-3, more-2)
ccomp(utilized-10, progressive-3)
prep(progressive-3, than-4)
det(Archaics-6, the-5)
pobj(than-4, Archaics-6)
punct(utilized-10, ,-7)
det(Anasazi-9, the-8)
nsubj(utilized-10, Anasazi-9)
root(ROOT-0, utilized-10)
amod(techniques-14, such-11)
amod(techniques-14, formal-12)
amod(techniques-14, agricultural-13)
dobj(utilized-10, techniques-14)
prep(utilized-10, as-15)
pobj(as-15, irrigation-16)
aux(assist-18, to-17)
vmod(utilized-10, assist-18)
poss(harvest-20, their-19)
dobj(assist-18, harvest-20)
punct(utilized-10, .-21)

nsubj(permitted-2, This-1)
root(ROOT-0, permitted-2)
det(Anasazi-4, the-3)
dobj(permitted-2, Anasazi-4)
aux(achieve-6, to-5)
vmod(permitted-2, achieve-6)
det(benchmark-8, a-7)
dobj(achieve-6, benchmark-8)
prep(benchmark-8, of-9)
amod(society-11, advanced-10)
pobj(of-9, society-11)
punct(benchmark-8, ?-12)
det(ability-14, the-13)
appos(benchmark-8, ability-14)
aux(live-16, to-15)
vmod(ability-14, live-16)
prep(live-16, in-17)
amod(shelters-19, permanent-18)
pobj(in-17, shelters-19)
dep(round-22, year-20)
punct(round-22, --21)
advmod(live-16, round-22)
prep(live-16, without-23)
pobj(without-23, need-24)
aux(follow-26, to-25)
vmod(need-24, follow-26)
dobj(follow-26, wildlife-27)
punct(permitted-2, .-28)

advmod(vanished-5, Mysteriously-1)
punct(vanished-5, ,-2)
det(Anasazi-4, the-3)
nsubj(vanished-5, Anasazi-4)
root(ROOT-0, vanished-5)
prep(vanished-5, from-6)
det(valley-8, the-7)
pobj(from-6, valley-8)
prep(vanished-5, around-9)
nn(1150-11, a.d.-10)
pobj(around-9, 1150-11)
punct(vanished-5, ,-12)
xcomp(vanished-5, leaving-13)
dobj(leaving-13, it-14)
aux(repopulated-17, to-15)
auxpass(repopulated-17, be-16)
vmod(leaving-13, repopulated-17)
prep(repopulated-17, by-18)
det(Paiutes-21, the-19)
nn(Paiutes-21, Southern-20)
pobj(by-18, Paiutes-21)
punct(Paiutes-21, ,-22)
det(tribe-27, another-23)
nn(gatherer-26, hunter-24)
punct(gatherer-26, --25)
nn(tribe-27, gatherer-26)
appos(Paiutes-21, tribe-27)
punct(vanished-5, .-28)

ccomp(destined-14, Unable-1)
aux(replicate-3, to-2)
xcomp(Unable-1, replicate-3)
det(techniques-6, the-4)
amod(techniques-6, agricultural-5)
dobj(replicate-3, techniques-6)
prep(techniques-6, of-7)
det(Anasazi-9, the-8)
pobj(of-7, Anasazi-9)
punct(destined-14, ,-10)
det(Paiutes-12, the-11)
nsubjpass(destined-14, Paiutes-12)
auxpass(destined-14, were-13)
root(ROOT-0, destined-14)
prep(destined-14, to-15)
det(lifestyle-18, a-16)
amod(lifestyle-18, semi-nomadic-17)
pobj(to-15, lifestyle-18)
mark(arrived-22, until-19)
amod(settlers-21, European-20)
nsubj(arrived-22, settlers-21)
advcl(destined-14, arrived-22)
punct(arrived-22, ,-23)
xcomp(arrived-22, changing-24)
det(nature-26, the-25)
dobj(changing-24, nature-26)
prep(nature-26, of-27)
pobj(of-27, existence-28)
prep(existence-28, in-29)
det(valley-31, the-30)
pobj(in-29, valley-31)
advmod(changing-24, forever-32)
punct(destined-14, .-33)

root(ROOT-0, From-1)
pobj(From-1, Mailmen-2)
prep(Mailmen-2, to-3)
pobj(to-3, Mormons-4)

prep(unexplored-14, In-1)
det(century-5, the-2)
amod(century-5, early-3)
amod(century-5, nineteenth-4)
pobj(In-1, century-5)
punct(America-7, ,-6)
poss(territories-10, America-7)
possessive(America-7, RSQUOs-8)
amod(territories-10, western-9)
nsubj(unexplored-14, territories-10)
cop(unexplored-14, were-11)
advmod(unexplored-14, still-12)
advmod(unexplored-14, largely-13)
root(ROOT-0, unexplored-14)
punct(unexplored-14, .-15)

nsubj(was-2, It-1)
root(ROOT-0, was-2)
neg(was-2, not-3)
prep(was-2, until-4)
pobj(until-4, 1829-5)
mark(found-14, that-6)
nn(Rivera-8, Rafael-7)
nsubj(found-14, Rivera-8)
punct(Rivera-8, ,-9)
det(scout-12, a-10)
amod(scout-12, Mexican-11)
appos(Rivera-8, scout-12)
punct(found-14, ,-13)
ccomp(was-2, found-14)
det(valley-19, a-15)
dep(fed-18, spring-16)
punct(fed-18, --17)
amod(valley-19, fed-18)
dobj(found-14, valley-19)
cc(found-14, and-20)
conj(found-14, dubbed-21)
dobj(dubbed-21, it-22)
nn(Vegas-24, Las-23)
xcomp(dubbed-21, Vegas-24)
punct(Vegas-24, ?-25)
det(name-28, a-26)
nn(name-28, Spanish-27)
appos(Vegas-24, name-28)
nsubj(leaves-30, that-29)
rcmod(name-28, leaves-30)
amod(visitors-33, many-31)
amod(visitors-33, modern-32)
dobj(leaves-30, visitors-33)
xcomp(leaves-30, wondering-34)
advmod(where-36, exactly-35)
advmod(lay-42, where-36)
dep(lay-42, "-37)
det(meadows-39, the-38)
nsubj(lay-42, meadows-39)
dep(lay-42, "-40)
advmod(lay-42, really-41)
ccomp(wondering-34, lay-42)
punct(was-2, .-43)

prep(used-8, For-1)
num(years-3, fifteen-2)
pobj(For-1, years-3)
punct(used-8, ,-4)
nn(Vegas-6, Las-5)
nsubjpass(used-8, Vegas-6)
auxpass(used-8, was-7)
root(ROOT-0, used-8)
prep(used-8, as-9)
det(station-15, a-10)
nn(Trail-12, Spanish-11)
nn(station-15, Trail-12)
nn(station-15, way-13)
punct(station-15, --14)
pobj(as-9, station-15)
punct(used-8, .-16)

prep(parked-9, In-1)
pobj(In-1, 1844-2)
punct(parked-9, ,-3)
amod(explorer-5, American-4)
nsubj(parked-9, explorer-5)
nn(Fremont-8, John-6)
nn(Fremont-8, C.-7)
dep(explorer-5, Fremont-8)
root(ROOT-0, parked-9)
poss(horses-11, his-10)
dobj(parked-9, horses-11)
prep(parked-9, at-12)
nn(Springs-14, Big-13)
pobj(at-12, Springs-14)
punct(parked-9, ,-15)
cc(parked-9, and-16)
poss(report-18, his-17)
nsubj(resulted-22, report-18)
prep(report-18, to-19)
det(government-21, the-20)
pobj(to-19, government-21)
conj(parked-9, resulted-22)
prep(resulted-22, in-23)
det(route-26, a-24)
nn(route-26, mail-25)
pobj(in-23, route-26)
vmod(route-26, leading-27)
prep(leading-27, past-28)
det(spot-30, the-29)
pobj(past-28, spot-30)
prep(leading-27, on-31)
poss(way-33, its-32)
pobj(on-31, way-33)
prep(way-33, to-34)
pobj(to-34, California-35)
punct(parked-9, .-36)

nsubj(put-2, This-1)
root(ROOT-0, put-2)
nn(Vegas-4, Las-3)
dobj(put-2, Vegas-4)
prep(put-2, on-5)
det(map-7, the-6)
pobj(on-5, map-7)
cc(put-2, and-8)
cop(one-10, was-9)
conj(put-2, one-10)
prep(one-10, of-11)
det(points-15, the-12)
amod(points-15, crucial-13)
nn(points-15, turning-14)
pobj(of-11, points-15)
prep(points-15, of-16)
poss(history-18, its-17)
pobj(of-16, history-18)
punct(put-2, .-19)

prep(responded-8, In-1)
pobj(In-1, 1855-2)
punct(responded-8, ,-3)
nn(leader-5, Mormon-4)
nsubj(responded-8, leader-5)
nn(Young-7, Brigham-6)
dep(leader-5, Young-7)
root(ROOT-0, responded-8)
prep(responded-8, to-9)
amod(reports-11, promising-10)
pobj(to-9, reports-11)
prep(reports-11, of-12)
nn(Vegas-14, Las-13)
pobj(of-12, Vegas-14)
prep(responded-8, by-15)
pcomp(by-15, sending-16)
num(settlers-19, 30-17)
nn(settlers-19, missionary-18)
dobj(sending-16, settlers-19)
prep(sending-16, to-20)
det(valley-22, the-21)
pobj(to-20, valley-22)
punct(responded-8, ;-23)
nsubj(built-26, they-24)
advmod(built-26, eventually-25)
parataxis(responded-8, built-26)
det(fort-28, a-27)
dobj(built-26, fort-28)
dep(far-30, not-29)
advmod(built-26, far-30)
prep(far-30, from-31)
poss(Downtown-34, today-32)
possessive(today-32, RSQUOs-33)
pobj(from-31, Downtown-34)
punct(responded-8, .-35)

vmod(became-15, Surrounded-1)
prep(Surrounded-1, by-2)
num(farmland-5, acres-3)
quantmod(acres-3, of-4)
pobj(by-2, farmland-5)
vmod(farmland-5, hewn-6)
prep(hewn-6, from-7)
det(desert-10, the-8)
amod(desert-10, hard-9)
pobj(from-7, desert-10)
punct(became-15, ,-11)
det(fort-14, the-12)
nn(fort-14, adobe-13)
nsubj(became-15, fort-14)
root(ROOT-0, became-15)
det(point-18, a-16)
amod(point-18, focal-17)
xcomp(became-15, point-18)
prep(point-18, for-19)
det(development-21, the-20)
pobj(for-19, development-21)
prep(development-21, of-22)
nn(Vegas-24, Las-23)
pobj(of-22, Vegas-24)
prep(became-15, for-25)
det(years-29, the-26)
amod(years-29, next-27)
num(years-29, fifty-28)
pobj(for-25, years-29)
punct(became-15, .-30)

det(missionaries-2, The-1)
nsubj(struggled-3, missionaries-2)
root(ROOT-0, struggled-3)
advmod(struggled-3, valiantly-4)
prep(struggled-3, against-5)
det(dictates-7, the-6)
pobj(against-5, dictates-7)
prep(dictates-7, of-8)
det(desert-10, the-9)
pobj(of-8, desert-10)
punct(struggled-3, ,-11)
xcomp(struggled-3, trying-12)
advmod(trying-12, simultaneously-13)
aux(survive-15, to-14)
xcomp(trying-12, survive-15)
det(harshness-17, the-16)
dobj(survive-15, harshness-17)
prep(harshness-17, of-18)
poss(circumstances-20, their-19)
pobj(of-18, circumstances-20)
cc(survive-15, and-21)
conj(survive-15, spread-22)
det(faith-25, the-23)
amod(faith-25, Mormon-24)
dobj(spread-22, faith-25)
punct(struggled-3, .-26)

amod(pressures-2, Additional-1)
nsubj(pushed-6, pressures-2)
prep(pressures-2, from-3)
amod(miners-5, arriving-4)
pobj(from-3, miners-5)
root(ROOT-0, pushed-6)
det(missionaries-8, the-7)
poss(plight-10, missionaries-8)
possessive(missionaries-8, ?-9)
dobj(pushed-6, plight-10)
prep(pushed-6, beyond-11)
pobj(beyond-11, recovery-12)
punct(pushed-6, .-13)

poss(supplies-2, Their-1)
dep(scarce-3, supplies-2)
ccomp(abandoned-15, scarce-3)
punct(scarce-3, ,-4)
poss(harvest-6, their-5)
dep(meager-7, harvest-6)
ccomp(scarce-3, meager-7)
punct(scarce-3, ,-8)
cc(scarce-3, and-9)
poss(spirit-11, their-10)
dep(broken-12, spirit-11)
conj(scarce-3, broken-12)
punct(abandoned-15, ,-13)
nsubj(abandoned-15, they-14)
root(ROOT-0, abandoned-15)
det(fort-17, the-16)
dobj(abandoned-15, fort-17)
prep(abandoned-15, in-18)
pobj(in-18, 1858-19)
punct(abandoned-15, .-20)

prep(was-23, Despite-1)
det(fact-3, the-2)
pobj(Despite-1, fact-3)
mark(rich-9, that-4)
det(land-7, the-5)
amod(land-7, local-6)
nsubj(rich-9, land-7)
cop(rich-9, was-8)
dep(fact-3, rich-9)
prep(rich-9, in-10)
pobj(in-10, silver-11)
punct(was-23, ,-12)
prep(was-23, by-13)
pobj(by-13, 1865-14)
quantmod(of-16, most-15)
num(traffic-19, of-16)
det(traffic-19, the-17)
nn(traffic-19, mining-18)
nsubj(was-23, traffic-19)
prep(traffic-19, through-20)
nn(Vegas-22, Las-21)
pobj(through-20, Vegas-22)
root(ROOT-0, was-23)
prep(was-23, of-24)
pobj(of-24, prospectors-25)
vmod(prospectors-25, headed-26)
prep(headed-26, to-27)
pobj(to-27, California-28)
cc(California-28, or-29)
nn(Nevada-31, Northern-30)
conj(California-28, Nevada-31)
prep(prospectors-25, in-32)
pobj(in-32, search-33)
prep(search-33, of-34)
pobj(of-34, gold-35)
punct(was-23, .-36)

num(opportunist-2, One-1)
nsubj(Gass-8, opportunist-2)
nsubj(stayed-4, who-3)
rcmod(opportunist-2, stayed-4)
cop(Gass-8, was-5)
nn(Gass-8, Octavius-6)
nn(Gass-8, Decatur-7)
root(ROOT-0, Gass-8)
punct(Gass-8, .-9)

vmod(redirected-18, Bestowed-1)
prep(Bestowed-1, with-2)
num(spirit-8, plenty-3)
quantmod(plenty-3, of-4)
det(spirit-8, the-5)
amod(spirit-8, invaluable-6)
nn(spirit-8, pioneer-7)
pobj(with-2, spirit-8)
nsubj(characterizes-10, that-9)
rcmod(spirit-8, characterizes-10)
nn(Vegas-12, Las-11)
dobj(characterizes-10, Vegas-12)
prep(characterizes-10, to-13)
det(day-15, this-14)
pobj(to-13, day-15)
punct(redirected-18, ,-16)
nsubj(redirected-18, Gass-17)
root(ROOT-0, redirected-18)
poss(life-20, his-19)
dobj(redirected-18, life-20)
prep(redirected-18, by-21)
pcomp(by-21, picking-22)
prt(picking-22, up-23)
advmod(left-27, where-24)
det(Mormons-26, the-25)
nsubj(left-27, Mormons-26)
advcl(picking-22, left-27)
prt(left-27, off-28)
punct(left-27, ?-29)
advmod(least-31, at-30)
advmod(came-34, least-31)
advmod(came-34, when-32)
nsubj(came-34, it-33)
advcl(left-27, came-34)
prep(came-34, to-35)
pobj(to-35, ranching-36)
cc(ranching-36, and-37)
conj(ranching-36, farming-38)
punct(redirected-18, .-39)

nsubj(took-2, Gass-1)
root(ROOT-0, took-2)
prt(took-2, over-3)
det(fort-7, the-4)
amod(fort-7, abandoned-5)
amod(fort-7, Mormon-6)
dobj(took-2, fort-7)
cc(fort-7, and-8)
num(acres-10, 640-9)
conj(fort-7, acres-10)
num(hectares-12, 260-11)
dep(acres-10, hectares-12)
vmod(acres-10, surrounding-13)
dobj(surrounding-13, it-14)
punct(took-2, ,-15)
vmod(took-2, dubbing-16)
dobj(dubbing-16, it-17)
det(Ranch-21, the-18)
nn(Vegas-20, Las-19)
nn(Ranch-21, Vegas-20)
dep(dubbing-16, Ranch-21)
punct(took-2, .-22)

nsubj(expanded-2, He-1)
root(ROOT-0, expanded-2)
det(ranch-4, the-3)
dobj(expanded-2, ranch-4)
cc(expanded-2, and-5)
conj(expanded-2, irrigated-6)
det(land-8, the-7)
dobj(irrigated-6, land-8)
mark(support-13, so-9)
mark(support-13, that-10)
nsubj(support-13, it-11)
aux(support-13, would-12)
advcl(irrigated-6, support-13)
dobj(support-13, crops-14)
cc(crops-14, and-15)
conj(crops-14, cattle-16)
punct(expanded-2, .-17)

poss(determination-2, His-1)
nsubj(had-3, determination-2)
root(ROOT-0, had-3)
amod(results-5, other-4)
dobj(had-3, results-5)
advmod(well-7, as-6)
advmod(had-3, well-7)
punct(had-3, :-8)
nsubjpass(named-11, Gass-9)
auxpass(named-11, was-10)
parataxis(had-3, named-11)
det(justice-13, a-12)
xcomp(named-11, justice-13)
prep(justice-13, of-14)
det(peace-16, the-15)
pobj(of-14, peace-16)
cc(justice-13, and-17)
det(legislator-20, a-18)
amod(legislator-20, territorial-19)
conj(justice-13, legislator-20)
punct(had-3, .-21)

prep(lived-11, Despite-1)
poss(ambition-3, his-2)
pobj(Despite-1, ambition-3)
punct(Gass-5, ,-4)
poss(success-7, Gass-5)
possessive(Gass-5, ?-6)
nsubj(lived-11, success-7)
cop(lived-11, was-8)
amod(lived-11, short-9)
punct(lived-11, --10)
root(ROOT-0, lived-11)
punct(lived-11, .-12)

prep(defaulted-7, In-1)
det(1870s-4, the-2)
amod(1870s-4, late-3)
pobj(In-1, 1870s-4)
punct(defaulted-7, ,-5)
nsubj(defaulted-7, he-6)
root(ROOT-0, defaulted-7)
prep(defaulted-7, on-8)
det(loan-10, a-9)
pobj(on-8, loan-10)
prep(loan-10, from-11)
pobj(from-11, rancher-12)
nn(Stewart-14, Archibald-13)
dep(rancher-12, Stewart-14)
punct(defaulted-7, ,-15)
advmod(took-18, so-16)
nsubj(took-18, Stewart-17)
parataxis(defaulted-7, took-18)
det(Ranch-22, the-19)
nn(Vegas-21, Las-20)
nn(Ranch-22, Vegas-21)
dobj(took-18, Ranch-22)
prep(took-18, for-23)
poss(own-25, his-24)
pobj(for-23, own-25)
punct(defaulted-7, .-26)

ccomp(slain-10, True-1)
prep(True-1, to-2)
amod(West-5, wild-3)
punct(West-5, --4)
nn(stereotypes-6, West-5)
pobj(to-2, stereotypes-6)
punct(slain-10, ,-7)
nsubjpass(slain-10, Stewart-8)
auxpass(slain-10, was-9)
root(ROOT-0, slain-10)
prep(slain-10, by-11)
det(farmer-14, a-12)
amod(farmer-14, neighboring-13)
pobj(by-11, farmer-14)
punct(slain-10, ,-15)
xcomp(slain-10, leaving-16)
poss(wife-21, his-17)
amod(willed-20, strong-18)
punct(willed-20, --19)
amod(wife-21, willed-20)
dobj(leaving-16, wife-21)
punct(wife-21, ,-22)
appos(wife-21, Helen-23)
punct(leaving-16, ,-24)
aux(assume-26, to-25)
vmod(leaving-16, assume-26)
det(duties-28, the-27)
dobj(assume-26, duties-28)
prep(duties-28, of-29)
det(ranch-31, the-30)
pobj(of-29, ranch-31)
punct(slain-10, .-32)

prep(expanded-6, Through-1)
pobj(Through-1, 1905-2)
punct(expanded-6, ,-3)
nn(Stewart-5, Helen-4)
nsubj(expanded-6, Stewart-5)
root(ROOT-0, expanded-6)
det(ranch-8, the-7)
dobj(expanded-6, ranch-8)
prep(expanded-6, to-9)
num(acres-11, 2000-10)
pobj(to-9, acres-11)
num(hectares-13, 810-12)
dep(acres-11, hectares-13)
punct(expanded-6, ,-14)
vmod(expanded-6, making-15)
advmod(bit-18, quite-16)
det(bit-18, a-17)
dobj(making-15, bit-18)
prep(bit-18, of-19)
pobj(of-19, money-20)
prep(making-15, in-21)
det(process-23, the-22)
pobj(in-21, process-23)
punct(expanded-6, .-24)

nsubj(happened-2, What-1)
csubj(mark-5, happened-2)
advmod(happened-2, next-3)
aux(mark-5, would-4)
root(ROOT-0, mark-5)
det(end-7, the-6)
dobj(mark-5, end-7)
prep(end-7, of-8)
det(Ranch-13, the-9)
amod(Ranch-13, successful-10)
nn(Vegas-12, Las-11)
nn(Ranch-13, Vegas-12)
pobj(of-8, Ranch-13)
cc(end-7, and-14)
det(beginning-16, the-15)
conj(end-7, beginning-16)
prep(beginning-16, of-17)
det(era-19, the-18)
pobj(of-17, era-19)
prep(era-19, of-20)
det(subdivision-22, the-21)
pobj(of-20, subdivision-22)
vmod(subdivision-22, seen-23)
prep(seen-23, across-24)
quantmod(all-26, almost-25)
num(America-29, all-26)
quantmod(all-26, of-27)
nn(America-29, Western-28)
pobj(across-24, America-29)
prep(seen-23, to-30)
det(day-32, this-31)
pobj(to-30, day-32)
punct(mark-5, .-33)

det(railroad-2, The-1)
nsubj(coming-4, railroad-2)
aux(coming-4, was-3)
root(ROOT-0, coming-4)
punct(coming-4, ,-5)
cc(coming-4, and-6)
advmod(arrived-9, when-7)
nsubj(arrived-9, it-8)
advcl(same-17, arrived-9)
punct(same-17, ,-10)
nn(Vegas-12, Las-11)
nsubj(same-17, Vegas-12)
aux(same-17, would-13)
neg(same-17, never-14)
cop(same-17, be-15)
det(same-17, the-16)
conj(coming-4, same-17)
advmod(same-17, again-18)
punct(coming-4, .-19)

root(ROOT-0, Of-1)
pobj(Of-1, Tracks-2)
cc(Tracks-2, and-3)
conj(Tracks-2, Tracts-4)

prep(were-14, At-1)
det(turn-3, the-2)
pobj(At-1, turn-3)
prep(turn-3, of-4)
det(century-7, the-5)
amod(century-7, 19th-6)
pobj(of-4, century-7)
nn(Angeles-9, Los-8)
nsubj(were-14, Angeles-9)
cc(Angeles-9, and-10)
nn(Lake-12, Salt-11)
nn(City-13, Lake-12)
conj(Angeles-9, City-13)
root(ROOT-0, were-14)
prep(were-14, among-15)
det(metropolises-18, the-16)
amod(metropolises-18, burgeoning-17)
pobj(among-15, metropolises-18)
prep(metropolises-18, of-19)
det(West-23, the-20)
amod(West-23, new-21)
amod(West-23, American-22)
pobj(of-19, West-23)
punct(were-14, .-24)

mark(remained-5, Though-1)
det(cities-4, the-2)
num(cities-4, two-3)
nsubj(remained-5, cities-4)
advcl(about-12, remained-5)
acomp(remained-5, unlinked-6)
prep(unlinked-6, by-7)
pobj(by-7, rail-8)
punct(about-12, ,-9)
nsubj(about-12, this-10)
cop(about-12, was-11)
root(ROOT-0, about-12)
aux(change-14, to-13)
xcomp(about-12, change-14)
advmod(change-14, quickly-15)
punct(about-12, .-16)

advmod(did-3, When-1)
nsubj(did-3, it-2)
advcl(change-22, did-3)
punct(change-22, ,-4)
det(Valley-8, the-5)
nn(Vegas-7, Las-6)
nn(Valley-8, Vegas-7)
nsubj(change-22, Valley-8)
nsubj(had-13, which-9)
prep(had-13, at-10)
det(time-12, the-11)
pobj(at-10, time-12)
rcmod(Valley-8, had-13)
det(population-16, a-14)
amod(population-16, non-native-15)
dobj(had-13, population-16)
prep(population-16, of-17)
advmod(than-19, less-18)
quantmod(30-20, than-19)
pobj(of-17, 30-20)
aux(change-22, would-21)
root(ROOT-0, change-22)
advmod(well-24, as-23)
advmod(change-22, well-24)
punct(change-22, .-25)

prep(arrived-17, In-1)
pobj(In-1, 1903-2)
punct(arrived-17, ,-3)
nsubj(arrived-17, officials-4)
prep(officials-4, of-5)
det(Railroad-16, the-6)
