advmod(right-2, all-1)
prep(room-9, in-10)
det(system-12, the-11)
pobj(in-10, system-12)
nsubj(know-14, you-13)
dep(in-10, know-14)
prep(in-10, in-15)
det(jails-17, the-16)
pobj(in-15, jails-17)
prep(room-9, for-18)
pobj(for-18, them-19)
punct(say-4, /-20)

cc('s-5, or-1)
nsubj(know-3, you-2)
dep('s-5, know-3)
nsubj('s-5, it-4)
root(ROOT-0, 's-5)
advmod('s-5, just-6)
mark(seems-9, that-7)
nsubj(seems-9, it-8)
ccomp('s-5, seems-9)
prep(seems-9, like-10)
det(sentences-13, the-11)
amod(sentences-13, automatic-12)
dep(has-18, sentences-13)
dep(has-18, if-14)
mark(has-18, if-15)
det(judge-17, a-16)
nsubj(has-18, judge-17)
pcomp(like-10, has-18)
dobj(has-18, leeway-19)
prep(leeway-19, on-20)
dobj(sentence-28, what-21)
nsubj(going-24, he-22)
aux(going-24, 's-23)
pobj(on-20, going-24)
aux(sentence-28, to-25)
nsubj(know-27, you-26)
parataxis(sentence-28, know-27)
xcomp(going-24, sentence-28)
dobj(sentence-28, someone-29)
prep(sentence-28, for-30)
dep(going-24, between-31)
nsubj(know-33, you-32)
dep(between-31, know-33)
num(months-35, two-34)
dep(between-31, months-35)
cc(months-35, and-36)
conj(months-35, uh-37)
num(years-39, fifty-38)
dep(months-35, years-39)
cc('s-5, and-40)
nsubj(know-42, you-41)
conj('s-5, know-42)
nsubj(whim-46, what-43)
cop(whim-46, 's-44)
poss(whim-46, his-45)
dep(decide-48, whim-46)
aux(decide-48, to-47)
ccomp(know-42, decide-48)
nsubj(months-53, it-49)
aux(months-53, should-50)
cop(months-53, be-51)
num(months-53, two-52)
ccomp(decide-48, months-53)
punct('s-5, /-54)

nsubj(true-3, this-1)
cop(true-3, is-2)
root(ROOT-0, true-3)
punct(true-3, /-4)

cc(and-4, and-1)
cc(and-4, and-2)
cc(and-4, and-3)
root(ROOT-0, and-4)
cc(and-4, and-5)
det(way-7, the-6)
dep(and-4, way-7)
det(law-9, the-8)
nsubj(reads-10, law-9)
rcmod(way-7, reads-10)
discourse(and-4, uh-11)
mark(sentence-14, if-12)
nsubj(sentence-14, they-13)
advcl(available-31, sentence-14)
dobj(sentence-14, you-15)
prep(sentence-14, to-16)
punct(to-16, ---17)
nsubj(know-19, you-18)
dep(crazy-22, know-19)
nsubj(crazy-22, it-20)
cop(crazy-22, 's-21)
dep(to-16, crazy-22)
punct(crazy-22, /-23)
punct(to-16, ---24)
pobj(to-16, life-25)
prep(life-25, in-26)
pobj(in-26, prison-27)
advmod(available-31, then-28)
nsubj(available-31, he-29)
cop(available-31, 's-30)
dep(and-4, available-31)
prep(available-31, for-32)
pobj(for-32, parole-33)
mark('s-36, if-34)
nsubj('s-36, it-35)
dep(eligible-48, 's-36)
mark(life-40, if-37)
nsubj(life-40, it-38)
cop(life-40, 's-39)
advcl(eligible-48, life-40)
cc(life-40, and-41)
det(day-43, a-42)
conj(life-40, day-43)
advmod(eligible-48, then-44)
nsubj(eligible-48, he-45)
cop(eligible-48, 's-46)
neg(eligible-48, not-47)
parataxis(available-31, eligible-48)
prep(eligible-48, for-49)
pobj(for-49, parole-50)
punct(and-4, /-51)

root(ROOT-0, so-1)
dep(so-1, what-2)
punct(so-1, /-3)

nsubj(know-2, you-1)
parataxis(let-3, know-2)
root(ROOT-0, let-3)
nsubj(quit-5, 's-4)
ccomp(let-3, quit-5)
xcomp(quit-5, BSing-6)
prep(BSing-6, with-7)
det(system-9, the-8)
pobj(with-7, system-9)
punct(let-3, /-10)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

discourse(end-11, well-1)
advmod(life-6, even-2)
mark(life-6, if-3)
nsubj(life-6, it-4)
cop(life-6, 's-5)
advcl(end-11, life-6)
mark(say-9, like-7)
nsubj(say-9, you-8)
advcl(end-11, say-9)
nsubj(end-11, we-10)
root(ROOT-0, end-11)
prt(end-11, up-12)
xcomp(end-11, spending-13)
number(thousand-15, sixty-14)
num(dollars-16, thousand-15)
dobj(spending-13, dollars-16)
det(year-18, a-17)
npadvmod(dollars-16, year-18)
aux(keep-20, to-19)
vmod(spending-13, keep-20)
det(joker-24, some-21)
nsubj(know-23, you-22)
dep(joker-24, know-23)
dobj(keep-20, joker-24)
advmod(there-26, in-25)
advmod(keep-20, there-26)
prep(keep-20, for-27)
pobj(for-27, life-28)
punct(end-11, /-29)

nsubj(spend-3, we-1)
aux(spend-3, could-2)
root(ROOT-0, spend-3)
det(money-5, that-4)
dobj(spend-3, money-5)
nsubj(know-7, you-6)
parataxis(spend-3, know-7)
prep(spend-3, for-8)
amod(children-10, starving-9)
pobj(for-8, children-10)
nsubj(starving-13, that-11)
aux(starving-13, are-12)
rcmod(children-10, starving-13)
cc(spend-3, or-14)
number(million-16, twelve-15)
num(things-18, million-16)
amod(things-18, other-17)
nsubj(useful-22, things-18)
aux(useful-22, would-19)
cop(useful-22, be-20)
advmod(useful-22, more-21)
conj(spend-3, useful-22)
prep(useful-22, than-23)
pobj(than-23, that-24)
punct(spend-3, /-25)

root(ROOT-0, exactly-1)
punct(exactly-1, /-2)

cc(it-19, so-1)
prep(it-19, to-2)
pobj(to-2, me-3)
mark(has-6, if-4)
nsubj(has-6, somebody-5)
advcl(it-19, has-6)
dobj(has-6, life-7)
nsubj(know-9, you-8)
parataxis(has-6, know-9)
prep(has-6, beyond-10)
det(doubt-13, a-11)
amod(doubt-13, reasonable-12)
pobj(beyond-10, doubt-13)
nsubj(should-15, they-14)
dep(it-19, should-15)
nsubj(it-19, that-16)
aux(it-19, should-17)
cop(it-19, be-18)
root(ROOT-0, it-19)
nsubj(know-21, you-20)
parataxis(it-19, know-21)
advmod(for-23, particularly-22)
prep(it-19, for-23)
pobj(for-23, some-24)
prep(some-24, of-25)
det(really-27, these-26)
pobj(of-25, really-27)
punct(it-19, /--28)

det(life-2, a-1)
root(ROOT-0, life-2)
prep(life-2, for-3)
det(life-5, a-4)
pobj(for-3, life-5)
punct(life-2, /-6)

nsubj(mean-2, i-1)
parataxis(are-4, mean-2)
expl(are-4, there-3)
root(ROOT-0, are-4)
advmod(many-6, so-5)
amod(murders-11, many-6)
advmod(murders-11, just-7)
amod(murders-11, major-8)
amod(murders-11, major-9)
amod(murders-11, serial-10)
nsubj(are-4, murders-11)
punct(are-4, /-12)

cc('s-3, and-1)
nsubj('s-3, it-2)
root(ROOT-0, 's-3)
neg('s-3, not-4)
advmod(like-6, just-5)
prep('s-3, like-6)
num(instance-8, one-7)
pobj(like-6, instance-8)
cc(instance-8, or-9)
conj(instance-8, something-10)
punct('s-3, /-11)

nsubj(horrifying-5, it-1)
cop(horrifying-5, 's-2)
advmod(horrifying-5, just-3)
discourse(horrifying-5, uh-4)
root(ROOT-0, horrifying-5)
dep(horrifying-5, some-6)
prep(some-6, of-7)
det(murders-9, the-8)
pobj(of-7, murders-9)
nsubj(go-11, that-10)
rcmod(murders-9, go-11)
prt(go-11, on-12)
punct(horrifying-5, /-13)

det(case-5, the-1)
amod(case-5, old-2)
nn(Manson-4, Charles-3)
nn(case-5, Manson-4)
root(ROOT-0, case-5)
punct(case-5, /-6)

nsubj(mean-2, i-1)
parataxis(allowed-37, mean-2)
det(guy-4, the-3)
nsubjpass(allowed-37, guy-4)
cop(really-6, is-5)
dep(allowed-37, really-6)
punct(allowed-37, ---7)
discourse(the-11, yeah-8)
punct(yeah-8, /-9)
cc(the-11, and-10)
parataxis(allowed-37, the-11)
punct(the-11, /--12)
discourse(the-11, yeah-13)
punct(yeah-13, /-14)
expl('s-16, there-15)
dep(the-11, 's-16)
advmod('s-16, just-17)
punct('s-16, /--18)
tmod(hear-21, everyday-19)
nsubj(hear-21, you-20)
dep(the-11, hear-21)
prep(hear-21, on-22)
det(news-24, the-23)
dep(on-22, news-24)
prep(hear-21, of-25)
det(one-27, another-26)
pobj(of-25, one-27)
prep(one-27, like-28)
pobj(like-28, that-29)
dep(that-29, um-30)
punct(hear-21, /--31)
punct(allowed-37, ---32)
advmod(allowed-37, just-33)
aux(allowed-37, should-34)
neg(allowed-37, n't-35)
auxpass(allowed-37, be-36)
root(ROOT-0, allowed-37)
dep(live-42, to-38)
aux(live-42, to-39)
dep(live-42, even-40)
advmod(live-42, even-41)
xcomp(allowed-37, live-42)
punct(allowed-37, /-43)

discourse(about-2, uh-1)
prep(has-20, about-2)
det(issue-4, the-3)
pobj(about-2, issue-4)
prep(issue-4, about-5)
pobj(about-5, sentencing-6)
prep(sentencing-6, by-7)
det(judge-9, the-8)
pobj(by-7, judge-9)
punct(has-20, ---10)
dep(has-20, yeah-11)
punct(yeah-11, /-12)
discourse(yeah-11, um-hum-13)
punct(um-hum-13, /-14)
punct(has-20, ---15)
dep(has-20, the-16)
det(judge-18, the-17)
nsubj(has-20, judge-18)
advmod(has-20, presently-19)
root(ROOT-0, has-20)
det(opportunity-22, an-21)
dobj(has-20, opportunity-22)
aux(intervene-24, to-23)
vmod(opportunity-22, intervene-24)
discourse(intervene-24, uh-25)
advmod('s-28, when-26)
expl('s-28, there-27)
dep(intervene-24, 's-28)
discourse(intervene-24, uh-29)
npadvmod(intervene-24, my-30)
amod(my-30, understanding-31)
advmod('s-34, when-32)
expl('s-34, there-33)
advcl(intervene-24, 's-34)
discourse('s-34, uh-35)
det(verdict-37, a-36)
nsubj('s-34, verdict-37)
cc('s-34, and-38)
conj('s-34, it-39)
punct(has-20, /--40)

prep('s-4, for-1)
pobj(for-1, example-2)
expl('s-4, there-3)
root(ROOT-0, 's-4)
det(jury-7, a-5)
amod(jury-7, hung-6)
nsubj('s-4, jury-7)
advmod('s-4, here-8)
prep(here-8, in-9)
nn(Worth-11, Fort-10)
pobj(in-9, Worth-11)
punct('s-4, /-12)

num(day-2, two-1)
npadvmod(in-3, day-2)
dep(four-6, in-3)
num(four-6, eight-4)
dep(four-6, to-5)
root(ROOT-0, four-6)
punct(four-6, /-7)

cc(got-6, and-1)
discourse(got-6, bam-2)
dep(bam-2, bam-3)
det(guy-5, the-4)
nsubj(got-6, guy-5)
root(ROOT-0, got-6)
prt(got-6, off-7)
punct(got-6, /-8)

discourse(veterinarian-9, uh-1)
nsubj(was-3, he-2)
dep(veterinarian-9, was-3)
discourse(veterinarian-9, uh-4)
dep(veterinarian-9, he-5)
nsubj(veterinarian-9, he-6)
cop(veterinarian-9, was-7)
det(veterinarian-9, a-8)
root(ROOT-0, veterinarian-9)
cc(veterinarian-9, and-10)
conj(veterinarian-9, killed-11)
dobj(killed-11, two-12)
det(father-14, a-13)
dep(two-12, father-14)
cc(father-14, and-15)
det(son-17, a-16)
conj(father-14, son-17)
punct(veterinarian-9, /-18)

root(ROOT-0, okay-1)
punct(okay-1, /-2)

root(ROOT-0, right-1)
punct(right-1, /-2)

discourse(heard-3, yeah-1)
nsubj(heard-3, i-2)
root(ROOT-0, heard-3)
prep(heard-3, about-4)
pobj(about-4, that-5)
prep(heard-3, on-6)
det(news-8, the-7)
pobj(on-6, news-8)
punct(heard-3, /-9)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

discourse(gets-4, um-1)
dep(of-3, kind-2)
advmod(gets-4, of-3)
root(ROOT-0, gets-4)
prt(gets-4, back-5)
prep(gets-4, to-6)
det(request-9, the-7)
amod(request-9, second-8)
pobj(to-6, request-9)
nsubjpass(asked-13, we-10)
aux(asked-13, 've-11)
auxpass(asked-13, been-12)
rcmod(request-9, asked-13)
aux(look-15, to-14)
xcomp(asked-13, look-15)
prep(look-15, at-16)
punct(gets-4, /-17)

aux(requiring-5, is-1)
amod(cases-4, most-2)
amod(cases-4, criminal-3)
nsubj(requiring-5, cases-4)
root(ROOT-0, requiring-5)
det(verdict-8, an-6)
amod(verdict-8, ananimous-7)
dobj(requiring-5, verdict-8)
punct(requiring-5, /-9)

dep(say-8, the-1)
det(situation-3, a-2)
nsubj(say-8, situation-3)
prep(situation-3, like-4)
pobj(like-4, that-5)
nsubj(say-8, i-6)
aux(say-8, 'd-7)
root(ROOT-0, say-8)
discourse(let-10, no-9)
ccomp(say-8, let-10)
nsubj(go-13, 's-11)
advmod(go-13, just-12)
ccomp(let-10, go-13)
prep(go-13, like-14)
det(vote-17, a-15)
amod(vote-17, regular-16)
pobj(like-14, vote-17)
punct(say-8, /-18)

num(four-3, eight-1)
dep(four-3, to-2)
nsubj(tells-4, four-3)
root(ROOT-0, tells-4)
dobj(tells-4, me-5)
mark('s-11, that-6)
expl(were-8, there-7)
dep('s-11, were-8)
nsubj(were-8, eight-9)
expl('s-11, there-10)
ccomp(tells-4, 's-11)
det(percentage-15, a-12)
dep(percentage-15, percentage-13)
amod(percentage-15, certain-14)
nsubj('s-11, percentage-15)
prep(percentage-15, of-16)
det(people-18, the-17)
pobj(of-16, people-18)
advmod(people-18, there-19)
mark(said-32, with-20)
num(percent-22, sixty-21)
dep(said-32, percent-22)
prep(percent-22, of-23)
det(people-25, the-24)
pobj(of-23, people-25)
discourse(said-32, uh-26)
num(percent-28, seventy-27)
nsubj(said-32, percent-28)
prep(percent-28, of-29)
det(people-31, the-30)
pobj(of-29, people-31)
advcl('s-11, said-32)
discourse(said-32, hey-33)
punct(tells-4, /--34)

root(ROOT-0, right-1)
punct(right-1, /-2)

root(ROOT-0, rather-1)
mark(have-3, than-2)
advcl(rather-1, have-3)
aux(retrial-5, to-4)
xcomp(have-3, retrial-5)
det(thing-9, the-6)
amod(thing-9, whole-7)
amod(thing-9, whole-8)
dobj(retrial-5, thing-9)
cc(retrial-5, and-10)
conj(retrial-5, spend-11)
predet(money-14, all-12)
det(money-14, the-13)
dobj(spend-11, money-14)
mark(go-20, for-15)
nsubj(go-20, people-16)
aux(go-20, to-17)
nsubj(know-19, you-18)
parataxis(go-20, know-19)
advcl(spend-11, go-20)
advmod(go-20, back-21)
prep(back-21, to-22)
pobj(to-22, court-23)
cc(lawyers-27, and-24)
predet(lawyers-27, all-25)
det(lawyers-27, the-26)
dep(go-20, lawyers-27)
punct(rather-1, /-28)

cc(winds-6, and-1)
parataxis(winds-6, i-2)
dep(i-2, mean-3)
nsubj(winds-6, it-4)
advmod(winds-6, just-5)
root(ROOT-0, winds-6)
prt(winds-6, up-7)
xcomp(winds-6, costing-8)
det(taxpayers-10, the-9)
dobj(costing-8, taxpayers-10)
det(fortune-12, a-11)
dep(costing-8, fortune-12)
nsubj(know-14, you-13)
parataxis(costing-8, know-14)
det(fortune-16, a-15)
dobj(costing-8, fortune-16)
aux(keep-18, to-17)
xcomp(winds-6, keep-18)
xcomp(keep-18, doing-19)
dobj(doing-19, that-20)
punct(winds-6, /-21)

det(guy-2, the-1)
nsubj(guilty-4, guy-2)
cop(guilty-4, 's-3)
root(ROOT-0, guilty-4)
punct(guilty-4, /-5)

root(ROOT-0, exactly-1)
punct(exactly-1, /-2)

cc(have-17, and-1)
det(victims-3, the-2)
nsubj(have-17, victims-3)
nsubj(know-5, you-4)
dep(victims-3, know-5)
det(family-7, the-6)
dep(victims-3, family-7)
prep(family-7, of-8)
det(people-10, these-9)
pobj(of-8, people-10)
nsubjpass(murdered-14, that-11)
aux(murdered-14, have-12)
auxpass(murdered-14, been-13)
rcmod(people-10, murdered-14)
nsubj(have-17, they-15)
advmod(have-17, just-16)
root(ROOT-0, have-17)
aux(have-19, to-18)
xcomp(have-17, have-19)
nsubj(dragged-21, it-20)
ccomp(have-19, dragged-21)
prt(dragged-21, on-22)
prep(dragged-21, for-23)
pobj(for-23, years-24)
cc(years-24, and-25)
conj(years-24, years-26)
mark(get-30, before-27)
nsubj(get-30, they-28)
advmod(get-30, ever-29)
advcl(dragged-21, get-30)
det(resolution-32, any-31)
dobj(get-30, resolution-32)
punct(have-17, /-33)

root(ROOT-0, exactly-1)
punct(exactly-1, /-2)

mark(day-6, because-1)
nsubj(day-6, it-2)
cop(day-6, 's-3)
neg(day-6, not-4)
amod(day-6, next-5)
root(ROOT-0, day-6)
nsubj(have-8, they-7)
rcmod(day-6, have-8)
det(start-10, the-9)
dep(have-8, start-10)
det(trial-12, the-11)
dobj(have-8, trial-12)
nsubj(number-16, which-13)
cop(number-16, is-14)
nn(number-16, X-15)
rcmod(trial-12, number-16)
prep(number-16, of-17)
pobj(of-17, months-18)
cc(number-16, and-19)
advmod(prolongs-21, just-20)
conj(number-16, prolongs-21)
det(situation-23, the-22)
dobj(prolongs-21, situation-23)
det(much-25, that-24)
npadvmod(more-26, much-25)
advmod(prolongs-21, more-26)
punct(day-6, /-27)

root(ROOT-0, right-1)
punct(right-1, /-2)

root(ROOT-0, yeah-1)
dep(yeah-1, yeah-2)
punct(yeah-1, /-3)

nsubj(think-2, i-1)
root(ROOT-0, think-2)
dep(go-16, that-3)
mark(go-16, that-4)
mark('s-7, if-5)
nsubj('s-7, it-6)
dep(go-16, 's-7)
mark(decision-14, if-8)
nsubj(decision-14, it-9)
cop(decision-14, 's-10)
neg(decision-14, not-11)
det(decision-14, a-12)
amod(decision-14, split-13)
dep(go-16, decision-14)
discourse(go-16, uh-15)
dep(think-2, go-16)
prep(go-16, with-17)
det(number-20, the-18)
amod(number-20, highest-19)
pobj(with-17, number-20)
cc(go-16, and-21)
conj(go-16, let-22)
nsubj(get-25, 's-23)
advmod(get-25, just-24)
ccomp(let-22, get-25)
prt(get-25, on-26)
prep(get-25, with-27)
det(program-29, the-28)
pobj(with-27, program-29)
punct(think-2, /-30)

root(ROOT-0, yeah-1)
dep(yeah-1, yeah-2)
punct(yeah-1, /-3)

discourse(have-13, uh-1)
cc(have-13, but-2)
advmod(far-4, as-3)
advmod(have-13, far-4)
prep(far-4, as-5)
det(sentencing-7, the-6)
pobj(as-5, sentencing-7)
prep(sentencing-7, by-8)
det(judge-10, the-9)
pobj(by-8, judge-10)
conj(have-13, i-11)
aux(have-13, would-12)
root(ROOT-0, have-13)
aux(vote-15, to-14)
xcomp(have-13, vote-15)
prep(vote-15, against-16)
pobj(against-16, that-17)
mark('s-20, since-18)
expl('s-20, there-19)
advcl(have-13, 's-20)
det(jury-22, a-21)
nsubj('s-20, jury-22)
mark(is-31, because-23)
nsubj('s-25, that-24)
csubj(is-31, 's-25)
pobj(for-30, what-26)
det(juries-28, the-27)
nsubj(are-29, juries-28)
ccomp('s-25, are-29)
prep(are-29, for-30)
advcl(have-13, is-31)
aux(make-33, to-32)
xcomp(is-31, make-33)
det(decision-35, the-34)
dobj(make-33, decision-35)
punct(have-13, /-36)

dep(what-2, um-1)
root(ROOT-0, what-2)
cop(what-2, are-3)
poss(feelings-5, your-4)
nsubj(what-2, feelings-5)
punct(what-2, /-6)

root(ROOT-0, yeah-1)
dep(yeah-1, yeah-2)
punct(yeah-1, /-3)

discourse(saw-5, well-1)
mark(i-3, if-2)
dep(saw-5, i-3)
nsubj(saw-5, i-4)
root(ROOT-0, saw-5)
prep(saw-5, on-6)
pobj(on-6, one-7)
prep(one-7, of-8)
det(shows-11, the-9)
nn(shows-11, talk-10)
pobj(of-8, shows-11)
det(judge-14, this-12)
nn(judge-14, woman-13)
dobj(saw-5, judge-14)
nsubj(believe-16, i-15)
dep(judge-14, believe-16)
prep(judge-14, from-17)
pobj(from-17, Florida-18)
punct(saw-5, /-19)

cc(has-4, and-1)
nsubj(has-4, she-2)
advmod(has-4, just-3)
root(ROOT-0, has-4)
advmod(penalties-8, just-5)
advmod(stiff-7, really-6)
amod(penalties-8, stiff-7)
dobj(has-4, penalties-8)
punct(has-4, /-9)

cc(saw-3, and-1)
nsubj(saw-3, i-2)
root(ROOT-0, saw-3)
mark(have-35, that-4)
dep(have-35, in-5)
prep(have-35, in-6)
det(hands-8, the-7)
pobj(in-6, hands-8)
prep(hands-8, of-9)
det(judge-11, a-10)
pobj(of-9, judge-11)
nsubj(conscientious-15, that-12)
advmod(conscientious-15, really-13)
cop(conscientious-15, was-14)
rcmod(judge-11, conscientious-15)
cc(conscientious-15, and-16)
advmod(conscientious-15, really-17)
nsubj(know-19, you-18)
parataxis(conscientious-15, know-19)
conj(conscientious-15, took-20)
det(pains-22, the-21)
dobj(took-20, pains-22)
