amod(Joke-2, Offbeat-1)
root(ROOT-0, TESTED-12)
prep(TESTED-12, ON-13)
pobj(ON-13, ANIMALS-14)
punct(TESTED-12, .-15)

dep(ALLOW-18, 6.-1)
dep(ALLOW-18, In-2)
det(guide-5, a-3)
nn(guide-5, US-4)
pobj(In-2, guide-5)
prep(guide-5, to-6)
pcomp(to-6, setting-7)
prt(setting-7, up-8)
det(computer-11, a-9)
amod(computer-11, new-10)
dobj(setting-7, computer-11)
punct(ALLOW-18, --12)
aux(AVOID-14, TO-13)
parataxis(ALLOW-18, AVOID-14)
nsubj(FORMING-16, CONDENSATION-15)
dep(AVOID-14, FORMING-16)
punct(ALLOW-18, ,-17)
root(ROOT-0, ALLOW-18)
det(BOXES-20, THE-19)
dobj(ALLOW-18, BOXES-20)
aux(WARM-22, TO-21)
xcomp(ALLOW-18, WARM-22)
prt(WARM-22, UP-23)
prep(WARM-22, TO-24)
nn(TEMPERATURE-26, ROOM-25)
pobj(TO-24, TEMPERATURE-26)
mark(OPENING-28, EFORE-27)
advcl(WARM-22, OPENING-28)
punct(ALLOW-18, .-29)

root(ROOT-0, Sensible-1)
punct(Sensible-1, ,-2)
cc(Sensible-1, but-3)
det(instruction-5, the-4)
nsubj(was-6, instruction-5)
conj(Sensible-1, was-6)
prep(was-6, INSIDE-7)
det(box-9, the-8)
pobj(INSIDE-7, box-9)
punct(Sensible-1, .-10)

dep(LIE-11, 7.-1)
dep(LIE-11, On-2)
det(product-5, a-3)
amod(product-5, Japanese-4)
pobj(On-2, product-5)
vmod(product-5, used-6)
aux(relieve-8, to-7)
xcomp(used-6, relieve-8)
amod(haemorrhoids-10, painful-9)
dobj(relieve-8, haemorrhoids-10)
root(ROOT-0, LIE-11)
prt(LIE-11, DOWN-12)
prep(LIE-11, ON-13)
pobj(ON-13, BED-14)
cc(LIE-11, AND-15)
conj(LIE-11, INSERT-16)
dobj(INSERT-16, POSCOOL-17)
advmod(INSERT-16, SLOWLY-18)
prep(INSERT-16, UP-19)
pcomp(UP-19, TO-20)
det(PORTION-23, THE-21)
amod(PORTION-23, PROJECTED-22)
pobj(TO-20, PORTION-23)
prep(INSERT-16, LIKE-24)
det(GUARD-28, A-25)
nn(GUARD-28, SWORD-26)
punct(GUARD-28, --27)
pobj(LIKE-24, GUARD-28)
prep(INSERT-16, INTO-29)
nn(DUCT-31, ANAL-30)
pobj(INTO-29, DUCT-31)
punct(LIE-11, .-32)

