amod(Friends-2, Dear-1)
det(season-8, the-6)
nn(season-8, holiday-7)
pobj(beyond-5, season-8)
punct(go-4, .-9)

nsubj(help-3, It-1)
aux(help-3, can-2)
root(ROOT-0, help-3)
ccomp(help-3, purchase-4)
dobj(purchase-4, clothing-5)
punct(clothing-5, ,-6)
nn(supplies-8, school-7)
conj(clothing-5, supplies-8)
punct(clothing-5, ,-9)
conj(clothing-5, books-10)
cc(clothing-5, and-11)
amod(tools-13, educational-12)
conj(clothing-5, tools-13)
prep(purchase-4, throughout-14)
det(year-16, the-15)
pobj(throughout-14, year-16)
punct(help-3, .-17)

discourse(take-2, Please-1)
root(ROOT-0, take-2)
det(minutes-5, a-3)
amod(minutes-5, few-4)
dobj(take-2, minutes-5)
aux(mail-7, to-6)
vmod(take-2, mail-7)
det(donation-9, a-8)
dobj(mail-7, donation-9)
prep(mail-7, to-10)
nn(run-12, Pleasant-11)
pobj(to-10, run-12)
punct(take-2, .-13)

root(ROOT-0, Let-1)
poss(families-3, our-2)
nsubj(know-6, families-3)
cc(families-3, and-4)
conj(families-3, children-5)
ccomp(Let-1, know-6)
mark(want-9, that-7)
nsubj(want-9, you-8)
ccomp(know-6, want-9)
dobj(want-9, them-10)
aux(have-12, to-11)
xcomp(want-9, have-12)
det(kinds-15, the-13)
amod(kinds-15, same-14)
dobj(have-12, kinds-15)
prep(kinds-15, of-16)
pobj(of-16, memories-17)
prep(memories-17, of-18)
det(holidays-20, the-19)
pobj(of-18, holidays-20)
nsubj(have-23, you-21)
aux(have-23, will-22)
rcmod(kinds-15, have-23)
punct(Let-1, .-24)

nsubj(wish-2, We-1)
root(ROOT-0, wish-2)
iobj(wish-2, you-3)
cc(you-3, and-4)
poss(family-6, your-5)
conj(you-3, family-6)
det(year-9, a-7)
amod(year-9, new-8)
dobj(wish-2, year-9)
amod(year-9, full-10)
prep(full-10, of-11)
pobj(of-11, joy-12)
cc(joy-12, and-13)
conj(joy-12, love-14)
punct(wish-2, .-15)

dep(Roth-4, Sincerely-1)
punct(Roth-4, ,-2)
nn(Roth-4, Mary-3)
root(ROOT-0, Roth-4)
nn(Director-6, Executive-5)
dep(Roth-4, Director-6)

