nn(Question-4, Subject-1)
nsubj(was-2, I-1)
root(ROOT-0, was-2)
prep(was-2, on-3)
det(floor-6, the-4)
amod(floor-6, trading-5)
pobj(on-3, floor-6)
xcomp(was-2, working-7)
prep(working-7, with-8)
nn(Delainey-10, Dave-9)
poss(group-12, Delainey-10)
possessive(Delainey-10, 's-11)
pobj(with-8, group-12)
advmod(was-15, when-13)
nsubj(was-15, he-14)
advcl(was-2, was-15)
prep(was-15, in-16)
pobj(in-16, ENA-17)
cc(was-2, and-18)
advmod(and-18, also-19)
cop(Coordinator-25, was-20)
det(Coordinator-25, the-21)
nn(Secretary-23, Exec-22)
dep(Coordinator-25, Secretary-23)
dep(Coordinator-25, $$-24)
conj(was-2, Coordinator-25)
prep(Coordinator-25, with-26)
det(group-29, the-27)
nn(group-29, MWB-28)
pobj(with-26, group-29)
prep(Coordinator-25, in-30)
nn(Warsoff-32, George-31)
poss(group-34, Warsoff-32)
possessive(Warsoff-32, 's-33)
pobj(in-30, group-34)
punct(was-2, .-35)

nsubj(appreciate-3, I-1)
aux(appreciate-3, would-2)
root(ROOT-0, appreciate-3)
dobj(appreciate-3, it-4)
advmod(much-6, very-5)
advmod(appreciate-3, much-6)
mark(able-10, if-7)
nsubj(able-10, you-8)
cop(able-10, were-9)
advcl(appreciate-3, able-10)
aux(assist-12, to-11)
xcomp(able-10, assist-12)
dep(assist-12, $$-13)
dep(assist-12, guide-14)
dobj(guide-14, me-15)
punct(appreciate-3, .-16)

dep(Teri-3, Sincerely-1)
punct(Teri-3, ,-2)
root(ROOT-0, Teri-3)

nn(Connor-Smith-2, Teri-1)
root(ROOT-0, Connor-Smith-2)
amod(Coordinator-4, Admin-3)
dep(Connor-Smith-2, Coordinator-4)
nn(Corp-9, Enron-5)
nn(Corp-9, Metals-6)
cc(Metals-6, &-7)
conj(Metals-6, Commodities-8)
dep(Connor-Smith-2, Corp-9)
dep(Connor-Smith-2, tsmith3@enron.com-10)
dep(Connor-Smith-2, -LRB-212-RRB-715-5601-11)

