amod(Customer-2, Dear-1)
nsubj(take-5, we-2)
aux(take-5, can-3)
neg(take-5, not-4)
root(ROOT-0, take-5)
det(risk-7, the-6)
dobj(take-5, risk-7)
aux(accepted-10, to-8)
aux(accepted-10, have-9)
vmod(take-5, accepted-10)
amod(payment-12, such-11)
dobj(accepted-10, payment-12)
prep(take-5, in-13)
pobj(in-13, case-14)
prep(case-14, of-15)
det(demurrage-18, any-16)
amod(demurrage-18, possible-17)
pobj(of-15, demurrage-18)
punct(take-5, .-19)

advmod(note-2, Kindly-1)
root(ROOT-0, note-2)
mark(leave-8, that-3)
poss(colleague-5, your-4)
nsubj(leave-8, colleague-5)
aux(leave-8, did-6)
neg(leave-8, not-7)
ccomp(note-2, leave-8)
dobj(leave-8, us-9)
prep(leave-8, with-10)
det(information-13, any-11)
amod(information-13, further-12)
pobj(with-10, information-13)
punct(note-2, .-14)

nsubj(hope-2, We-1)
root(ROOT-0, hope-2)
mark(send-5, that-3)
nsubj(send-5, you-4)
ccomp(hope-2, send-5)
poss(response-7, your-6)
dobj(send-5, response-7)
prep(send-5, to-8)
pobj(to-8, us-9)
advmod(soon-11, as-10)
advmod(send-5, soon-11)
prep(soon-11, as-12)
pobj(as-12, possible-13)
mark(refer-31, because-14)
mark(fail-17, if-15)
nsubj(fail-17, you-16)
advcl(refer-31, fail-17)
aux(respond-19, to-18)
xcomp(fail-17, respond-19)
prep(fail-17, until-20)
det(date-23, the-21)
nn(date-23, expiry-22)
pobj(until-20, date-23)
prep(date-23, of-24)
det(package-27, the-25)
amod(package-27, foremost-26)
pobj(of-24, package-27)
punct(refer-31, ,-28)
nsubj(refer-31, we-29)
aux(refer-31, may-30)
advcl(send-5, refer-31)
det(package-33, the-32)
dobj(refer-31, package-33)
prep(refer-31, to-34)
det(Commission-38, the-35)
nn(Africa-37, West-36)
nn(Commission-38, Africa-37)
pobj(to-34, Commission-38)
prep(Commission-38, for-39)
pobj(for-39, Welfare-40)
mark(have-46, as-41)
det(package-43, the-42)
nsubj(have-46, package-43)
dep(have-46, those-44)
neg(have-46, not-45)
advcl(refer-31, have-46)
det(address-49, a-47)
nn(address-49, return-48)
dobj(have-46, address-49)
punct(hope-2, ..-50)

nsubjpass(required-3, You-1)
auxpass(required-3, are-2)
root(ROOT-0, required-3)
aux(contact-5, to-4)
xcomp(required-3, contact-5)
det(department-8, the-6)
nn(department-8, delivery-7)
dobj(contact-5, department-8)
nn(Post-11, FedEx-9)
nn(Post-11, Delivery-10)
dep(department-8, Post-11)
prep(contact-5, with-12)
det(details-14, the-13)
pobj(with-12, details-14)
vmod(details-14, given-15)
advmod(given-15, below-16)
punct(required-3, :-17)
nn(Post-20, FedEx-18)
nn(Post-20, Delivery-19)
dep(required-3, Post-20)
dep(required-3, Contact-21)
nn(Delivery-23, FedEx-22)
dobj(Contact-21, Delivery-23)
dep(hillsandrew02@w.cn-26, Email-24)
punct(hillsandrew02@w.cn-26, :-25)
dep(Delivery-23, hillsandrew02@w.cn-26)
nn(Andrew-29, Dr-27)
nn(Andrew-29, Hills-28)
dep(Delivery-23, Andrew-29)
punct(Andrew-29, .-30)
amod(Director-32, Managing-31)
appos(Andrew-29, Director-32)

advmod(complete-2, Kindly-1)
root(ROOT-0, complete-2)
det(form-5, the-3)
advmod(form-5, below-4)
dobj(complete-2, form-5)
cc(complete-2, and-6)
conj(complete-2, send-7)
dobj(send-7, it-8)
prep(send-7, to-9)
det(address-12, the-10)
nn(address-12, email-11)
pobj(to-9, address-12)
vmod(address-12, given-13)
advmod(given-13, above-14)
punct(complete-2, .-15)

nsubj(mandatory-3, This-1)
cop(mandatory-3, is-2)
root(ROOT-0, mandatory-3)
aux(reconfirm-5, to-4)
xcomp(mandatory-3, reconfirm-5)
poss(address-8, your-6)
nn(address-8, Postal-7)
dobj(reconfirm-5, address-8)
cc(address-8, and-9)
nn(numbers-11, telephone-10)
conj(address-8, numbers-11)
punct(mandatory-3, .-12)

amod(NAMES-2, FULL-1)
root(ROOT-0, NAMES-2)
punct(NAMES-2, :-3)
dep(NAMES-2, TELEPHONE-4)
punct(NAMES-2, :-5)
amod(ADDRESS-7, POSTAL-6)
dep(NAMES-2, ADDRESS-7)
punct(NAMES-2, :-8)
dep(NAMES-2, CITY-9)
punct(NAMES-2, :-10)
dep(NAMES-2, STATE-11)
punct(NAMES-2, :-12)
dep(NAMES-2, COUNTRY-13)
punct(NAMES-2, :-14)

advmod(complete-2, Kindly-1)
root(ROOT-0, complete-2)
det(form-5, the-3)
advmod(form-5, above-4)
dobj(complete-2, form-5)
cc(complete-2, and-6)
conj(complete-2, submit-7)
dobj(submit-7, it-8)
prep(submit-7, to-9)
det(management-12, the-10)
nn(management-12, delivery-11)
pobj(to-9, management-12)
prep(submit-7, on-13)
punct(on-13, :-14)
pobj(on-13, hillsandrew02@w.cn-15)

advmod(soon-2, As-1)
advmod(give-13, soon-2)
mark(received-7, as-3)
poss(details-5, your-4)
nsubjpass(received-7, details-5)
auxpass(received-7, are-6)
advcl(soon-2, received-7)
punct(give-13, ,-8)
poss(team-11, our-9)
nn(team-11, delivery-10)
nsubj(give-13, team-11)
aux(give-13, will-12)
root(ROOT-0, give-13)
iobj(give-13, you-14)
det(procedure-18, the-15)
amod(procedure-18, neccessary-16)
nn(procedure-18, payment-17)
dobj(give-13, procedure-18)
mark(effect-23, so-19)
mark(effect-23, that-20)
nsubj(effect-23, you-21)
aux(effect-23, can-22)
advcl(give-13, effect-23)
det(payment-25, the-24)
dobj(effect-23, payment-25)
prep(effect-23, for-26)
det(Fees-30, the-27)
nn(Fees-30, Security-28)
amod(Security-28, Keeping-29)
pobj(for-26, Fees-30)
punct(give-13, .-31)

advmod(soon-2, As-1)
root(ROOT-0, soon-2)
mark(confirm-5, as-3)
nsubj(confirm-5, they-4)
advcl(soon-2, confirm-5)
poss(receipt-8, your-6)
nn(receipt-8, payment-7)
dobj(confirm-5, receipt-8)
prep(receipt-8, of-9)
nn(Dollars-13, $-10)
num($-10, 95-11)
nn(Dollars-13, US-12)
pobj(of-9, Dollars-13)
punct(soon-2, .-14)

nsubj(hesitate-4, They-1)
aux(hesitate-4, will-2)
neg(hesitate-4, not-3)
root(ROOT-0, hesitate-4)
aux(dispatch-6, to-5)
xcomp(hesitate-4, dispatch-6)
poss(package-8, your-7)
dobj(dispatch-6, package-8)
advmod(well-10, as-9)
cc(package-8, well-10)
mwe(well-10, as-11)
det(letter-14, the-12)
amod(letter-14, attached-13)
conj(package-8, letter-14)
prep(dispatch-6, to-15)
poss(residence-17, your-16)
pobj(to-15, residence-17)
punct(dispatch-6, .-18)
nsubj(takes-21, which-19)
advmod(takes-21, usually-20)
dep(dispatch-6, takes-21)
num(hours-23, 24-22)
dobj(takes-21, hours-23)
cop(service-29, being-24)
det(service-29, an-25)
goeswith(service-29, over-26)
amod(service-29, night-27)
nn(service-29, delivery-28)
xcomp(takes-21, service-29)
punct(hesitate-4, .-30)

root(ROOT-0, Note-1)
punct(Note-1, :-2)
mark(instructed-7, that-3)
nsubjpass(instructed-7, we-4)
auxpass(instructed-7, were-5)
neg(instructed-7, not-6)
ccomp(Note-1, instructed-7)
aux(email-9, to-8)
xcomp(instructed-7, email-9)
dobj(email-9, you-10)
punct(Note-1, ,-11)
cc(Note-1, but-12)
mwe(to-14, due-13)
prep(had-22, to-14)
det(priority-17, the-15)
amod(priority-17, high-16)
pobj(to-14, priority-17)
prep(priority-17, of-18)
poss(package-20, your-19)
pobj(of-18, package-20)
nsubj(had-22, we-21)
conj(Note-1, had-22)
aux(inform-24, to-23)
xcomp(had-22, inform-24)
dobj(inform-24, you-25)
mark(leave-31, as-26)
poss(sender-28, your-27)
nsubj(leave-31, sender-28)
aux(leave-31, did-29)
neg(leave-31, not-30)
advcl(had-22, leave-31)
dobj(leave-31, us-32)
prep(leave-31, with-33)
poss(number-36, his-34)
nn(number-36, phone-35)
pobj(with-33, number-36)
mark(stated-39, because-37)
nsubj(stated-39, he-38)
advcl(leave-31, stated-39)
mark(arrived-43, that-40)
nsubj(arrived-43, he-41)
advmod(arrived-43, just-42)
ccomp(stated-39, arrived-43)
dobj(arrived-43, Nigeria-44)
cc(arrived-43, and-45)
nsubj(gotten-49, he-46)
aux(gotten-49, has-47)
neg(gotten-49, not-48)
conj(arrived-43, gotten-49)
det(phone-51, a-50)
dobj(gotten-49, phone-51)
advmod(gotten-49, yet-52)
punct(Note-1, .-53)

nsubj(sealed-3, We-1)
advmod(sealed-3, personally-2)
root(ROOT-0, sealed-3)
poss(Draft-6, your-4)
nn(Draft-6, Bank-5)
dobj(sealed-3, Draft-6)
cc(sealed-3, and-7)
nsubj(found-9, we-8)
conj(sealed-3, found-9)
poss(contact-12, your-10)
nn(contact-12, email-11)
dobj(found-9, contact-12)
prep(found-9, in-13)
det(letter-16, the-14)
amod(letter-16, attached-15)
pobj(in-13, letter-16)
prep(found-9, as-17)
det(recipient-19, the-18)
pobj(as-17, recipient-19)
prep(recipient-19, of-20)
det(package-23, the-21)
amod(package-23, foremost-22)
pobj(of-20, package-23)
punct(sealed-3, .-24)

root(ROOT-0, Ensure-1)
aux(contact-3, to-2)
xcomp(Ensure-1, contact-3)
det(department-6, the-4)
nn(department-6, delivery-5)
dobj(contact-3, department-6)
prep(contact-3, with-7)
det(address-10, the-8)
nn(address-10, email-9)
pobj(with-7, address-10)
vmod(address-10, given-11)
advmod(given-11, above-12)
cc(Ensure-1, and-13)
conj(Ensure-1, ensure-14)
aux(fill-16, to-15)
xcomp(ensure-14, fill-16)
det(form-19, the-17)
advmod(form-19, above-18)
dobj(fill-16, form-19)
advmod(well-21, as-20)
advmod(fill-16, well-21)
aux(enable-23, to-22)
xcomp(ensure-14, enable-23)
det(reconfirmation-26, a-24)
amod(reconfirmation-26, successful-25)
dobj(enable-23, reconfirmation-26)
punct(Ensure-1, .-27)

root(ROOT-0, Yours-1)
dep(Yours-1, Faithfully-2)
punct(Yours-1, ,-3)
nn(Wellington-6, Mr-4)
nn(Wellington-6, James-5)
dep(Yours-1, Wellington-6)
punct(Yours-1, .-7)

nn(Management-4, FedEx-1)
nn(Management-4, Online-2)
nn(Management-4, Team-3)
root(ROOT-0, Management-4)
punct(Management-4, .-5)

