nsubj(know-4, We-1)
pobj(of-17, Peru-18)
cc(Barco-12, and-19)
nn(Zamora-23, President-20)
nn(Zamora-23, Jaime-21)
nn(Zamora-23, Paz-22)
conj(Barco-12, Zamora-23)
prep(Zamora-23, of-24)
pobj(of-24, Bolivia-25)
aux(discuss-27, to-26)
xcomp(meet-6, discuss-27)
det(problem-30, the-28)
nn(problem-30, drug-29)
dobj(discuss-27, problem-30)
punct(agreed-4, .-31)

nsubj(idea-7, It-1)
aux(idea-7, might-2)
neg(idea-7, not-3)
cop(idea-7, be-4)
det(idea-7, a-5)
amod(idea-7, bad-6)
root(ROOT-0, idea-7)
aux(do-9, to-8)
vmod(idea-7, do-9)
dobj(do-9, that-10)
advmod(do-9, sooner-11)
punct(sooner-11, ,-12)
cc(sooner-11, rather-13)
mwe(rather-13, than-14)
conj(sooner-11, later-15)
punct(idea-7, .-16)

prep(need-8, After-1)
det(fiasco-4, the-2)
nn(fiasco-4, Panama-3)
pobj(After-1, fiasco-4)
punct(need-8, ,-5)
nsubj(need-8, they-6)
aux(need-8, will-7)
root(ROOT-0, need-8)
det(reassurance-10, some-9)
dobj(need-8, reassurance-10)
punct(need-8, .-11)

advmod(is-6, Certainly-1)
punct(is-6, ,-2)
det(press-5, the-3)
amod(press-5, Colombian-4)
nsubj(is-6, press-5)
root(ROOT-0, is-6)
advmod(in-8, much-7)
prep(is-6, in-8)
pobj(in-8, need-9)
prep(need-9, of-10)
pobj(of-10, that-11)
punct(is-6, .-12)

