advmod(Go-3, Where-1)
root(ROOT-0, ran-11)
prep(ran-11, along-12)
det(waterfront-14, the-13)
pobj(along-12, waterfront-14)
punct(ran-11, ,-15)
cc(ran-11, but-16)
nn(reclamation-18, land-17)
nsubj(placed-20, reclamation-18)
aux(placed-20, has-19)
conj(ran-11, placed-20)
dobj(placed-20, them-21)
advmod(inland-23, far-22)
acomp(placed-20, inland-23)
punct(ran-11, .-24)

prep(make-8, From-1)
det(Tower-6, the-2)
nn(Tower-6, Bank-3)
prep(Bank-3, of-4)
pobj(of-4, China-5)
pobj(From-1, Tower-6)
punct(make-8, ,-7)
root(ROOT-0, make-8)
det(detour-11, a-9)
amod(detour-11, short-10)
dobj(make-8, detour-11)
prep(detour-11, up-12)
nn(Road-14, Garden-13)
pobj(up-12, Road-14)
cc(make-8, and-15)
conj(make-8, turn-16)
prep(turn-16, into-17)
nn(Path-19, Battery-18)
pobj(into-17, Path-19)
aux(reach-21, to-20)
xcomp(turn-16, reach-21)
det(landmark-23, the-22)
dobj(reach-21, landmark-23)
nn(John-25, St.-24)
poss(Cathedral-27, John-25)
possessive(John-25, RSQUOs-26)
dep(landmark-23, Cathedral-27)
punct(make-8, .-28)

vmod(church-16, Built-1)
nn(1849-4, 1847-2)
dep(1849-4, ?-3)
tmod(Built-1, 1849-4)
punct(church-16, ,-5)
det(foundation-10, this-6)
advmod(deserted-8, usually-7)
amod(foundation-10, deserted-8)
amod(foundation-10, Anglican-9)
nsubj(church-16, foundation-10)
cop(church-16, is-11)
nn(Kong-13, Hong-12)
poss(church-16, Kong-13)
possessive(Kong-13, RSQUOs-14)
amod(church-16, oldest-15)
root(ROOT-0, church-16)
punct(church-16, .-17)

prep(turned-9, During-1)
nn(War-3, World-2)
nn(II-4, War-3)
pobj(During-1, II-4)
punct(turned-9, ,-5)
det(church-7, the-6)
nsubjpass(turned-9, church-7)
auxpass(turned-9, was-8)
root(ROOT-0, turned-9)
prep(turned-9, into-10)
det(club-12, a-11)
pobj(into-10, club-12)
prep(club-12, for-13)
amod(officers-15, Japanese-14)
pobj(for-13, officers-15)
punct(turned-9, ;-16)
nsubjpass(restored-19, it-17)
auxpass(restored-19, was-18)
parataxis(turned-9, restored-19)
prep(restored-19, after-20)
det(war-22, the-21)
pobj(after-20, war-22)
punct(turned-9, .-23)

root(ROOT-0, Note-1)
det(windows-5, the-2)
amod(glass-4, stained-3)
nn(windows-5, glass-4)
dobj(Note-1, windows-5)
prep(windows-5, in-6)
det(Chapel-9, the-7)
nn(Chapel-9, Quiet-8)
pobj(in-6, Chapel-9)
punct(windows-5, ,-10)
vmod(windows-5, designed-11)
prep(designed-11, by-12)
nn(Edward-14, Joseph-13)
nn(Nuttgens-15, Edward-14)
pobj(by-12, Nuttgens-15)
prep(designed-11, in-16)
det(1950s-19, the-17)
amod(1950s-19, late-18)
pobj(in-16, 1950s-19)
punct(Note-1, .-20)

prep(is-4, Behind-1)
det(church-3, the-2)
pobj(Behind-1, church-3)
root(ROOT-0, is-4)
det(Building-9, the-5)
nn(Building-9, 1917-6)
nn(Mission-8, French-7)
nn(Building-9, Mission-8)
nsubj(is-4, Building-9)
punct(Building-9, ,-10)
advmod(used-12, now-11)
vmod(Building-9, used-12)
prep(used-12, as-13)
det(Court-15, the-14)
pobj(as-13, Court-15)
prep(Court-15, of-16)
nn(Appeal-18, Final-17)
pobj(of-16, Appeal-18)
punct(is-4, .-19)

prep(leads-10, Across-1)
pcomp(Across-1, from-2)
det(tower-6, the-3)
nn(tower-6, I.M.-4)
nn(tower-6, Pei-5)
pobj(from-2, tower-6)
det(path-9, a-7)
amod(path-9, winding-8)
nsubj(leads-10, path-9)
root(ROOT-0, leads-10)
prep(leads-10, up-11)
pcomp(up-11, to-12)
nn(Kong-14, Hong-13)
nn(Park-15, Kong-14)
pobj(to-12, Park-15)
punct(leads-10, .-16)

det(park-2, The-1)
poss(gardens-10, park-2)
possessive(park-2, RSQUOs-3)
number(hectares-5, 10.5-4)
num(gardens-10, hectares-5)
num(acres-7, 25-6)
dep(hectares-5, acres-7)
quantmod(hectares-5, of-8)
amod(gardens-10, landscaped-9)
nsubj(contains-13, gardens-10)
cc(gardens-10, and-11)
conj(gardens-10, lakes-12)
root(ROOT-0, contains-13)
det(greenhouse-16, a-14)
amod(greenhouse-16, large-15)
dobj(contains-13, greenhouse-16)
nsubj(holds-18, that-17)
rcmod(greenhouse-16, holds-18)
amod(species-20, many-19)
dobj(holds-18, species-20)
prep(species-20, of-21)
pobj(of-21, plants-22)
punct(species-20, ,-23)
cc(species-20, and-24)
det(aviary-26, an-25)
conj(species-20, aviary-26)
prep(aviary-26, of-27)
amod(birds-29, exotic-28)
pobj(of-27, birds-29)
punct(contains-13, .-30)

prep(is-4, In-1)
det(park-3, the-2)
pobj(In-1, park-3)
root(ROOT-0, is-4)
det(Museum-8, the-5)
nn(House-7, Flagstaff-6)
nn(Museum-8, House-7)
nsubj(is-4, Museum-8)
prep(Museum-8, of-9)
nn(Ware-11, Tea-10)
pobj(of-9, Ware-11)
dep(is-4, see-12)
dobj(see-12, page-13)
num(page-13, 54-14)
punct(is-4, .-15)

nsubj(RSQUOs-2, It-1)
root(ROOT-0, RSQUOs-2)
prep(RSQUOs-2, in-3)
nn(Kong-5, Hong-4)
poss(building-9, Kong-5)
possessive(Kong-5, RSQUOs-6)
amod(building-9, oldest-7)
amod(building-9, colonial-8)
pobj(in-3, building-9)
punct(RSQUOs-2, ,-10)
prep(RSQUOs-2, with-11)
pobj(with-11, exhibits-12)
vmod(exhibits-12, describing-13)
det(history-15, the-14)
dobj(describing-13, history-15)
prep(history-15, of-16)
pobj(of-16, tea-17)
prep(history-15, from-18)
det(period-22, the-19)
amod(States-21, Warring-20)
nn(period-22, States-21)
pobj(from-18, period-22)
number(221-25, 475-23)
dep(221-25, ?-24)
num(b.c.-26, 221-25)
dep(period-22, b.c.-26)
prep(from-18, to-27)
det(present-29, the-28)
pobj(to-27, present-29)
punct(RSQUOs-2, .-30)

mark(leave-3, If-1)
nsubj(leave-3, you-2)
advcl(find-15, leave-3)
det(park-5, the-4)
dobj(leave-3, park-5)
cc(leave-3, and-6)
conj(leave-3, walk-7)
prep(walk-7, up-8)
nn(Tree-10, Cotton-9)
nn(Drive-11, Tree-10)
pobj(up-8, Drive-11)
punct(find-15, ,-12)
nsubj(find-15, you-13)
aux(find-15, will-14)
root(ROOT-0, find-15)
det(terminal-19, the-16)
nn(Tram-18, Peak-17)
nn(terminal-19, Tram-18)
dobj(find-15, terminal-19)
punct(find-15, .-20)

root(ROOT-0, To-1)
det(Summit-3, the-2)
pobj(To-1, Summit-3)

prep(been-15, For-1)
mwe(than-3, more-2)
quantmod(a-4, than-3)
num(century-5, a-4)
pobj(For-1, century-5)
punct(been-15, ,-6)
det(way-10, the-7)
advmod(exhilarating-9, most-8)
amod(way-10, exhilarating-9)
nsubj(been-15, way-10)
prep(way-10, up-11)
nn(Peak-13, Victoria-12)
pobj(up-11, Peak-13)
aux(been-15, has-14)
root(ROOT-0, been-15)
prep(been-15, by-16)
pobj(by-16, funicular-17)
punct(been-15, .-18)

det(Tram-3, The-1)
nn(Tram-3, Peak-2)
nsubj(starts-4, Tram-3)
root(ROOT-0, starts-4)
poss(climb-7, its-5)
amod(climb-7, scenic-6)
dobj(starts-4, climb-7)
advmod(across-9, just-8)
prep(from-16, across-9)
det(street-11, the-10)
pobj(across-9, street-11)
cc(across-9, and-12)
conj(across-9, around-13)
det(corner-15, the-14)
pobj(around-13, corner-15)
prep(starts-4, from-16)
det(Consulate-19, the-17)
amod(Consulate-19, American-18)
pobj(from-16, Consulate-19)
prep(starts-4, in-20)
nn(Road-22, Garden-21)
pobj(in-20, Road-22)
cc(starts-4, and-23)
conj(starts-4, makes-24)
poss(way-26, its-25)
dobj(makes-24, way-26)
punct(makes-24, ,-27)
dep(makes-24, sometimes-28)
prep(sometimes-28, at-29)
det(incline-33, a-30)
advmod(steep-32, startlingly-31)
amod(incline-33, steep-32)
pobj(at-29, incline-33)
punct(makes-24, ,-34)
prep(makes-24, to-35)
det(summit-37, the-36)
pobj(to-35, summit-37)
prep(summit-37, at-38)
num(m-40, 398-39)
pobj(at-38, m-40)
num(ft-42, 1,305-41)
dep(m-40, ft-42)
punct(starts-4, .-43)

det(way-6, The-1)
nn(way-6, right-2)
punct(way-6, --3)
amod(way-6, of-4)
punct(way-6, --5)
nsubj(travels-7, way-6)
root(ROOT-0, travels-7)
prep(travels-7, past-8)
amod(blocks-11, fancy-9)
nn(blocks-11, apartment-10)
pobj(past-8, blocks-11)
punct(blocks-11, ,-12)
nn(stands-14, bamboo-13)
conj(blocks-11, stands-14)
punct(blocks-11, ,-15)
cc(blocks-11, and-16)
nn(flowers-18, jungle-17)
conj(blocks-11, flowers-18)
punct(travels-7, .-19)

nsubj(crane-2, Passengers-1)
root(ROOT-0, crane-2)
poss(necks-4, their-3)
dobj(crane-2, necks-4)
prep(crane-2, for-5)
amod(glimpses-7, dizzying-6)
pobj(for-5, glimpses-7)
prep(glimpses-7, of-8)
det(harbor-10, the-9)
pobj(of-8, harbor-10)
punct(crane-2, .-11)

det(Peak-2, The-1)
nsubj(place-8, Peak-2)
cop(place-8, is-3)
advmod(place-8, still-4)
det(place-8, the-5)
advmod(fashionable-7, most-6)
amod(place-8, fashionable-7)
root(ROOT-0, place-8)
aux(live-10, to-9)
vmod(place-8, live-10)
prep(place-8, in-11)
nn(Kong-13, Hong-12)
pobj(in-11, Kong-13)
punct(place-8, ,-14)
cc(place-8, but-15)
amod(estate-17, real-16)
nn(prices-18, estate-17)
nsubj(astronomical-21, prices-18)
advmod(astronomical-21, here-19)
cop(astronomical-21, are-20)
conj(place-8, astronomical-21)
punct(place-8, ;-22)
nsubj(run-24, rents-23)
conj(place-8, run-24)
quantmod(HK$-26, around-25)
npadvmod(run-24, HK$-26)
num(HK$-26, 50,000-27)
det(month-29, a-28)
dep(HK$-26, month-29)
punct(place-8, .-30)

det(Tram-3, The-1)
nn(Tram-3, Peak-2)
nsubjpass(built-11, Tram-3)
punct(Tram-3, ,-4)
advmod(powered-8, originally-5)
dep(powered-8, steam-6)
punct(powered-8, --7)
rcmod(Tram-3, powered-8)
punct(built-11, ,-9)
auxpass(built-11, was-10)
root(ROOT-0, built-11)
aux(speed-13, to-12)
xcomp(built-11, speed-13)
det(taipans-16, the-14)
amod(taipans-16, wealthy-15)
dobj(speed-13, taipans-16)
prep(speed-13, to-17)
poss(retreats-20, their-18)
amod(retreats-20, mountainside-19)
pobj(to-17, retreats-20)
punct(built-11, .-21)

mark(built-5, Before-1)
det(tram-3, the-2)
nsubjpass(built-5, tram-3)
auxpass(built-5, was-4)
advcl(way-14, built-5)
punct(way-14, ,-6)
nn(chairs-8, sedan-7)
nsubj(way-14, chairs-8)
cc(chairs-8, and-9)
conj(chairs-8, rickshaws-10)
cop(way-14, were-11)
det(way-14, the-12)
amod(way-14, only-13)
root(ROOT-0, way-14)
aux(get-16, to-15)
