nsubj(break, he)
case(switch, for)
det(switch, the)
obl(fumble, switch)
punct(fumble, :)
nsubj(flourish, evil)
parataxis(stretch, flourish)
case(dark, in)
det(dark, the)
obl(flourish, dark)
punct(stretch, .)
det(room, the)
nsubj:pass(bath, room)
aux:pass(bath, be)
root(ROOT, bath)
case(light, in)
obl(bath, light)
case(instant, at)
det(instant, the)
obl(bath, instant)
nmod:poss(shot, Muller)
case(Muller, 's)
amod(shot, second)
nsubj(come, shot)
acl:relcl(instant, come)
punct(bath, . )
nsubj(throw, Muller)
punct(throw, ,)
advmod(expose, nakedly)
acl(Muller, expose)
case(window, at)
det(window, the)
amod(window, bright)
obl(expose, window)
case(deer, like)
det(deer, a)
nmod(window, deer)
acl(deer, pin)
case(headlight, in)
det(car, a)
nmod:poss(headlight, car)
case(car, 's)
obl(pin, headlight)
punct(throw, ,)
root(ROOT, throw)
compound:prt(throw, down)
det(rifle, the)
obj(throw, rifle)
cc(turn, and)
conj(throw, turn)
mark(jump, to)
xcomp(turn, jump)
case(table, from)
det(table, the)
obl(jump, table)
punct(throw, ;)
punct(wear, ;)
nmod:poss(face, he)
nsubj(wear, face)
parataxis(throw, wear)
det(look, a)
obj(wear, look)
case(outrage, of)
nmod(look, outrage)
punct(throw, . )
det(shot, a)
nsubj(catch, shot)
root(ROOT, catch)
obj(catch, he)
cc(straighten, and)
conj(catch, straighten)
obj(straighten, he)
compound:prt(straighten, up)
mark(scream, in)
advcl(straighten, scream)
obj(scream, pain)
punct(catch, ;)
punct(catch, ;)
det(volley, a)
amod(volley, follow)
parataxis(catch, volley)
case(shot, of)
nmod(volley, shot)
amod(glass, shattered)
nmod(volley, glass)
punct(rip, ,)
conj(volley, rip)
det(ceiling, the)
obj(rip, ceiling)
punct(send, ,)
cc(send, and)
conj(rip, send)
obj(send, he)
xcomp(send, lurch)
advmod(lurch, heavily)
case(table, from)
det(table, the)
obl(lurch, table)
punct(catch, .)
nsubj(dead, he)
cop(dead, be)
root(ROOT, dead)
mark(make, before)
nmod:poss(body, he)
nsubj(make, body)
advcl(dead, make)
obj(make, contact)
case(floor, with)
det(floor, the)
nmod(contact, floor)
punct(dead, .)
nsubj(stumble, Hoag)
root(ROOT, stumble)
advmod(stumble, back)
case(hall, into)
det(hall, the)
obl(stumble, hall)
punct(lean, ,)
conj(stumble, lean)
case(wall, against)
det(wall, the)
obl(lean, wall)
punct(start, ,)
cc(start, and)
conj(stumble, start)
mark(retch, to)
xcomp(start, retch)
punct(stumble, .)
mark(send, after)
nsubj(send, captain)
flat(captain, Docherty)
advcl(able, send)
obj(send, Arleigh)
flat(Arleigh, Griffith)
case(Hoag, for)
obl(send, Hoag)
nsubj(able, he)
cop(able, be)
root(ROOT, able)
mark(complete, to)
xcomp(able, complete)
nmod:poss(inspection, he)
amod(inspection, detailed)
obj(complete, inspection)
case(floor, of)
det(floor, the)
amod(floor, third)
nmod(inspection, floor)
cc(receive, and)
mark(receive, to)
conj(complete, receive)
det(report, a)
obj(receive, report)
case(man, from)
nmod:poss(man, he)
nmod(report, man)
acl(report, cover)
det(floor, the)
obj(cover, floor)
advmod(cover, above)
mark(return, before)
nsubj(return, Griffith)
advcl(cover, return)
punct(buoy, ,)
advcl(return, buoy)
compound:prt(buoy, up)
case(stop, by)
det(stop, a)
amod(stop, brief)
obl(buoy, stop)
case(glass, for)
det(glass, another)
nmod(stop, glass)
case(champagne, of)
nmod(glass, champagne)
punct(able, .)
det(safe, the)
nsubj(stand, safe)
case(Station, at)
compound(District, Ingleside)
compound(Station, District)
obl(safe, Station)
root(ROOT, stand)
advmod(stand, next)
case(machine, to)
det(machine, the)
compound(machine, gum)
obl(stand, machine)
case(passageway, in)
det(passageway, a)
amod(passageway, narrow)
obl(stand, passageway)
nsubj(lead, that)
acl:relcl(passageway, lead)
case(office, to)
nmod:poss(office, captain)
flat(captain, Harris)
case(captain, 's)
obl(lead, office)
punct(left, ()
case(left, to)
det(left, the)
nmod(office, left)
punct(left, ))
punct(office, ,)
det(lieutenant, the)
nmod:poss(office, lieutenant)
case(lieutenant, 's)
appos(office, office)
punct(farther, ()
advmod(office, farther)
advmod(farther, along)
cc(left, and)
case(left, to)
det(left, the)
conj(along, left)
punct(left, ))
cc(closet, and)
det(janitor, the)
nmod:poss(closet, janitor)
case(janitor, 's)
compound(closet, supply)
conj(office, closet)
punct(ahead, ()
advmod(ahead, straight)
advmod(closet, ahead)
punct(ahead, ))
punct(stand, .)
det(safe, the)
nsubj(repository, safe)
cop(repository, be)
det(repository, a)
root(ROOT, repository)
case(battery, for)
nummod(battery, three)
amod(battery, dead)
compound(battery, flashlight)
nmod(repository, battery)
punct(battery, ,)
det(card, a)
nummod(card, hundred)
cc(fifty, and)
conj(hundred, fifty)
amod(card, unuse)
amod(card, leave)
punct(hand, -)
compound(card, hand)
compound(card, fingerprint)
conj(battery, card)
punct(card, ,)
det(stack, a)
appos(card, stack)
case(ticket, of)
amod(policeman, unsold)
nmod:poss(ticket, policeman)
case(policeman, 's)
compound(ticket, Ball)
nmod(stack, ticket)
case(year, from)
amod(year, last)
nmod(ticket, year)
punct(cent, ,)
cc(cent, and)
compound(seven, thirty)
punct(seven, -)
nummod(cent, seven)
nsubj(set, cent)
case(coin, in)
nmod(cent, coin)
cc(stamp, and)
conj(coin, stamp)
punct(set, .)
nsubj(set, Gun)
conj(repository, set)
det(captain, the)
nmod:poss(fifth, captain)
case(captain, 's)
obj(set, fifth)
case(Hiram, of)
nmod(fifth, Hiram)
flat(Hiram, Walker)
case(safe, inside)
det(safe, the)
obl(report, safe)
mark(report, before)
nsubj(report, he)
advcl(set, report)
case(Lt., to)
obl(report, Lt.)
flat(Lt., Killpath)
punct(report, ,)
mark(know, though)
nsubj(know, he)
advcl(report, know)
mark(prevent, that)
nmod:poss(ulcer, Killpath)
case(Killpath, 's)
nsubj(prevent, ulcer)
ccomp(know, prevent)
obj(prevent, he)
mark(make, from)
advcl(prevent, make)
det(incursion, any)
amod(incursion, untoward)
obj(make, incursion)
case(gift, on)
nmod:poss(gift, herman)
flat(herman, Wolff)
case(herman, 's)
nmod(incursion, gift)
punct(repository, .)
nsubj(matter, it)
cop(matter, be)
advmod(matter, more)
det(matter, a)
root(ROOT, matter)
case(tact, of)
nmod(matter, tact)
punct(none, ,)
cc(none, and)
advmod(none, also)
nsubj(none, it)
cop(none, be)
conj(matter, none)
case(business, of)
nmod:poss(business, Killpath)
case(Killpath, 's)
amod(business, goddam)
nmod(none, business)
punct(matter, .)
nsubj(walk, he)
root(ROOT, walk)
advmod(walk, up)
case(office, to)
det(lieutenant, the)
nmod:poss(office, lieutenant)
case(lieutenant, 's)
obl(walk, office)
punct(lean, ,)
conj(walk, lean)
advmod(lean, wearily)
case(rack, against)
det(rack, the)
compound(rack, gun)
obl(lean, rack)
nsubj(house, that)
acl:relcl(rack, house)
nummod(rifle, four)
obj(house, rifle)
cc(gun, and)
det(gun, a)
compound(gun, gas)
conj(rifle, gun)
nsubj(remember, nobody)
acl:relcl(gun, remember)
aux(use, have)
xcomp(remember, use)
cc(gun, and)
det(gun, a)
compound(gun, submachine)
conj(use, gun)
nsubj:pass(try, that)
aux:pass(try, be)
advmod(try, occasionally)
acl:relcl(gun, try)
compound:prt(try, out)
case(Range, on)
det(Range, the)
compound(Range, Academy)
obl(try, Range)
punct(walk, .)
nsubj(stare, he)
root(ROOT, stare)
case(clerk, at)
det(clerk, the)
obl(stare, clerk)
nsubj(sit, who)
acl:relcl(clerk, sit)
case(envelope, at)
det(envelope, a)
amod(envelope, scarred)
cc(ancient, and)
conj(scarred, ancient)
amod(envelope, fum)
punct(oak, -)
compound(envelope, oak)
compound(envelope, desk)
compound(envelope, stuff)
obl(sit, envelope)
punct(stare, .)
punct(stare, ``)
root(ROOT, where)
cop(where, be)
det(Lieut, the)
nsubj(where, Lieut)
punct(Lieut, '')
punct(where, ?)
punct(where, ?)
det(clerk, the)
nsubj(wag, clerk)
root(ROOT, wag)
nmod:poss(head, he)
obj(wag, head)
case(office, toward)
det(captain, the)
nmod:poss(office, captain)
case(captain, 's)
obl(wag, office)
punct(wag, .)
nsubj(go, Gun)
parataxis(wag, go)
case(door, to)
det(door, the)
compound(door, connect)
obl(go, door)
punct(door, ,)
nsubj(open, which)
cop(open, be)
acl:relcl(door, open)
punct(stand, ,)
cc(stand, and)
conj(open, stand)
case(attention, at)
obl(stand, attention)
mark(finish, while)
nsubj(finish, orville)
flat(orville, torrence)
flat(orville, Killpath)
punct(orville, ,)
case(uniform, in)
amod(uniform, full)
obl(stand, uniform)
punct(finish, ,)
advcl(stand, finish)
xcomp(finish, comb)
nmod:poss(hair, he)
obj(comb, hair)
punct(wag, .)
det(lieutenant, the)
nmod:poss(hair, lieutenant)
case(lieutenant, 's)
amod(hair, sparse)
amod(hair, brown)
nsubj:pass(pomade, hair)
aux:pass(pomade, be)
advmod(pomade, heavily)
root(ROOT, pomade)
punct(stick, ,)
cc(stick, and)
mark(rake, as)
nsubj(rake, Killpath)
advcl(stick, rake)
det(comb, the)
obj(rake, comb)
case(it, through)
obl(rake, it)
punct(stick, ,)
nsubj(stick, it)
conj(pomade, stick)
advmod(stick, together)
case(thatch, in)
obl(stick, thatch)
mark(look, so)
fixed(so, that)
nsubj(look, it)
advcl(stick, look)
case(rib, like)
compound(rib, umbrella)
obl(look, rib)
acl(rib, cling)
case(skull, to)
nmod:poss(skull, he)
amod(skull, pink)
obl(cling, skull)
punct(pomade, .)
det(lieutenant, the)
nsubj(eye, lieutenant)
root(ROOT, eye)
nmod:poss(reflection, Gun)
case(Gun, 's)
obj(eye, reflection)
case(mirror, in)
det(mirror, the)
obl(eye, mirror)
case(washbowl, over)
det(washbowl, the)
obl(eye, washbowl)
cc(glance, and)
advmod(glance, then)
conj(eye, glance)
advmod(glance, back)
case(face, at)
nmod:poss(face, he)
amod(face, own)
obl(glance, face)
punct(glance, ,)
advcl(glance, move)
det(comb, the)
obj(move, comb)
advmod(move, methodically)
case(head, around)
nmod:poss(head, he)
obl(move, head)
punct(eye, .)
root(ROOT, leave)
obj(leave, I)
advmod(leave, alone)
punct(leave, ,)
nsubj(think, Gun)
parataxis(leave, think)
punct(think, .)
parataxis(leave, fight)
case(Sam, with)
obl(fight, Sam)
flat(Sam, Schaeffer)
punct(fight, ,)
conj(fight, fight)
case(Bureau, with)
det(Bureau, the)
amod(Bureau, whole)
amod(Bureau, dam)
obl(fight, Bureau)
punct(leave, .)
cc(leave, but)
root(ROOT, leave)
obj(leave, I)
advmod(leave, alone)
punct(leave, .)
mark(look, because)
nsubj(look, I)
aux(look, be)
root(ROOT, look)
case(son, for)
det(son, the)
obl(look, son)
case(bitch, of)
det(bitch, a)
nmod(son, bitch)
nsubj(kill, that)
acl:relcl(bitch, kill)
det(man, that)
amod(man, old)
obj(kill, man)
punct(go, ,)
cc(go, and)
nsubj(go, I)
aux(go, be)
conj(look, go)
mark(get, to)
xcomp(go, get)
obj(get, he)
punct(go, .)
mark(leave, if)
nsubj(leave, you)
advmod(leave, just)
advcl(peer, leave)
obj(leave, I)
case(hell, to)
obl(leave, hell)
advmod(leave, alone)
punct(peer, ,)
nsubj(peer, Lieutenant)
punct(peer, .)
nsubj(peer, Killpath)
root(ROOT, peer)
case(lid, through)
advmod(close, half)
punct(close, -)
amod(lid, close)
obl(peer, lid)
case(reflection, at)
nmod:poss(reflection, he)
nmod(lid, reflection)
punct(thrust, ,)
conj(peer, thrust)
compound:prt(thrust, up)
nmod:poss(chin, he)
obj(thrust, chin)
case(gesture, in)
det(gesture, a)
obl(thrust, gesture)
case(satisfaction, of)
nmod(gesture, satisfaction)
cc(face, and)
advmod(face, about)
punct(face, -)
conj(satisfaction, face)
punct(peer, . )
nsubj(wait, Gun)
root(ROOT, wait)
case(Killpath, for)
obl(wait, Killpath)
mark(sit, to)
advcl(wait, sit)
advmod(sit, down)
case(desk, behind)
det(desk, the)
obl(sit, desk)
case(window, near)
det(window, the)
obl(sit, window)
punct(wait, .)
nsubj(sit, he)
root(ROOT, sit)
amod(back, stiff)
punct(back, -)
xcomp(sit, back)
case(chair, in)
det(chair, a)
obl(back, chair)
nsubj(swivel, that)
aux(swivel, do)
advmod(swivel, not)
acl:relcl(chair, swivel)
punct(sit, ,)
mark(obvious, though)
expl(obvious, it)
cop(obvious, be)
advcl(sit, obvious)
mark(Gun, to)
obl(obvious, Gun)
mark(feel, that)
nsubj(feel, Killpath)
ccomp(obvious, feel)
nmod:poss(position, he)
obj(feel, position)
mark(act, as)
csubj(merit, act)
obj(act, captain)
advmod(merit, plainly)
advcl(feel, merit)
det(chair, a)
compound(chair, swivel)
obj(merit, chair)
punct(sit, .)
det(desk, the)
nsubj(repair, desk)
case(he, before)
nmod(desk, he)
cop(repair, be)
case(repair, in)
det(repair, no)
amod(repair, better)
root(ROOT, repair)
case(rest, than)
det(rest, the)
nmod(repair, rest)
case(furniture, of)
det(furniture, the)
nmod(rest, furniture)
acl(furniture, crowded)
case(room, into)
det(room, the)
obl(crowded, room)
punct(repair, ,)
case(cabinet, include)
compound(file, wooden)
compound(cabinet, file)
nmod(repair, cabinet)
case(some, with)
nmod(cabinet, some)
case(pull, of)
nmod:poss(pull, they)
nmod(some, pull)
acl(pull, yank)
compound:prt(yank, off)
cc(wardrobe, and)
det(wardrobe, a)
conj(some, wardrobe)
acl(wardrobe, stain)
case(seepage, with)
det(seepage, the)
compound(seepage, roof)
obl(stain, seepage)
case(season, of)
amod(season, countless)
nmod(seepage, season)
punct(repair, .)
nsubj(pull, Killpath)
root(ROOT, pull)
nummod(leg, one)
amod(leg, thin)
obj(pull, leg)
compound:prt(pull, up)
punct(pull, ,)
advcl(pull, clamp)
nmod:poss(arm, he)
obj(clamp, arm)
case(shinbone, around)
det(shinbone, the)
obl(clamp, shinbone)
mark(press, to)
advcl(clamp, press)
nmod:poss(knee, he)
obj(press, knee)
case(gut, into)
det(gut, a)
advmod(scrawny, incredibly)
amod(gut, scrawny)
obl(press, gut)
punct(pull, .)
nsubj(posture, it)
cop(posture, be)
det(posture, the)
root(ROOT, posture)
obj(come, which)
det(man, the)
nsubj(come, man)
aux(come, have)
acl:relcl(posture, come)
mark(recognize, to)
xcomp(come, recognize)
case(that, as)
obl(recognize, that)
case(Killpath, of)
nmod(that, Killpath)
advcl(recognize, defy)
nmod:poss(ulcer, he)
obj(defy, ulcer)
punct(posture, .)
nsubj(put, he)
root(ROOT, put)
nmod:poss(chin, he)
obj(put, chin)
case(kneecap, on)
nmod:poss(kneecap, he)
obl(put, kneecap)
punct(put, ,)
advcl(put, stretch)
nmod:poss(neck, he)
obj(stretch, neck)
case(that, like)
obl(stretch, that)
case(turkey, of)
det(turkey, a)
nmod(that, turkey)
case(block, on)
det(block, a)
compound(block, chop)
nmod(turkey, block)
punct(stare, ,)
cc(stare, and)
conj(put, stare)
advmod(stare, wordlessly)
case(sergeant, at)
nmod:poss(sergeant, he)
obl(stare, sergeant)
punct(wait, .)
nsubj(wait, Gun)
advcl(stare, wait)
punct(put, .)
det(bell, the)
nummod(bell, 7:45)
nsubj(ring, bell)
root(ROOT, ring)
cc(hear, and)
nsubj(hear, he)
aux(hear, could)
conj(ring, hear)
det(bang, the)
amod(bang, outside)
compound(bang, door)
obj(hear, bang)
acl(bang, shut)
punct(hear, ,)
advcl(hear, close)
case(watch, in)
det(watch, the)
amod(watch, assemble)
compound(watch, day)
obl(close, watch)
punct(ring, .)
advmod(intone, finally)
punct(intone, ,)
nsubj(intone, orville)
root(ROOT, intone)
case(nose, through)
nmod:poss(nose, he)
compound(nose, hawk)
obl(intone, nose)
punct(intone, ,)
punct(intone, ``)
nsubj(have, we)
aux(have, can)
advmod(have, not)
root(ROOT, have)
obj(have, people)
acl(people, run)
case(time, in)
det(time, any)
obl(run, time)
nsubj(Sergeant, they)
discourse(Sergeant, please)
punct(Sergeant, ,)
parataxis(have, Sergeant)
punct(have, '')
punct(have, .)
punct(have, ``)
discourse(sir, no)
punct(sir, ,)
root(ROOT, sir)
punct(sir, '')
punct(sir, .)
punct(sir, ``)
root(ROOT, running)
advmod(running, in)
punct(running, ,)
conj(running, run)
compound:prt(run, out)
punct(running, .)
aux(have, can)
advmod(have, not)
root(ROOT, have)
obj(have, it)
punct(have, .)
parataxis(have, make)
case(confusion, for)
obl(make, confusion)
cc(congestion, and)
conj(confusion, congestion)
punct(make, '')
punct(have, .)
nsubj(rock, he)
parataxis(have, rock)
advmod(rock, back)
case(chair, in)
det(chair, the)
obl(rock, chair)
punct(knee, ,)
conj(chair, knee)
acl(knee, lock)
case(stomach, against)
obl(lock, stomach)
punct(fix, ,)
nmod:poss(eye, he)
compound(eye, beady)
nsubj(fix, eye)
conj(rock, fix)
case(Matson, on)
obl(fix, Matson)
punct(have, .)
nsubj(silent, he)
cop(silent, be)
root(ROOT, silent)
advmod(silent, again)
punct(silent, ,)
advmod(listen, possibly)
advcl(silent, listen)
case(sound, to)
det(sound, the)
obl(listen, sound)
case(squadroom, in)
det(squadroom, the)
nmod(sound, squadroom)
punct(silent, .)
nsubj:pass(call, Roll)
aux(call, be)
aux:pass(call, be)
root(ROOT, call)
punct(call, .)
nsubj(clear, Gun)
parataxis(call, clear)
nmod:poss(throat, he)
obj(clear, throat)
punct(call, .)
nsubj(say, Killpath)
root(ROOT, say)
punct(say, ,)
punct(say, ``)
nsubj:pass(expect, you)
aux:pass(expect, be)
root(ROOT, expect)
mark(report, to)
xcomp(expect, report)
case(office, to)
nmod:poss(office, my)
obl(report, office)
nummod(minute, twenty)
obl:npmod(ago, minute)
advmod(report, ago)
punct(expect, ,)
vocative(get, Sergeant)
punct(expect, .)
nsubj(get, that)
aux(get, be)
advmod(get, not)
parataxis(expect, get)
det:predet(juice, all)
det(juice, the)
obj(get, juice)
case(orange, out)
case(orange, of)
det(orange, the)
obl(get, orange)
punct(get, ,)
advmod(be, now)
parataxis(get, be)
nsubj(be, it)
punct(be, '')
punct(expect, ?)
punct(expect, ?)
punct(expect, ``)
discourse(smile, no)
punct(smile, ,)
vocative(smile, sir)
punct(sir, '')
punct(smile, .)
advmod(smile, then)
nsubj(smile, Killpath)
root(ROOT, smile)
punct(smile, .)
nsubj(know, Gun)
ccomp(smile, know)
mark(give, that)
nsubj(give, nothing)
cc(ace, but)
conj(nothing, ace)
advmod(nothing, back)
case(back, to)
obl(back, back)
aux(give, would)
ccomp(know, give)
det(lieutenant, the)
iobj(give, lieutenant)
det(ulcer, a)
obj(give, ulcer)
cc(smile, and)
det(smile, a)
conj(ulcer, smile)
case(time, at)
det(time, the)
amod(time, same)
nmod(smile, time)
punct(smile, .)
det(commander, the)
compound(watch, day)
punct(watch, -)
compound(commander, watch)
compound(commander, platoon)
nsubj(call, commander)
punct(commander, ,)
appos(commander, Lt.)
flat(Lt., Rinker)
punct(call, ,)
aux(call, be)
root(ROOT, call)
compound:prt(call, out)
det(assignment, the)
compound(assignment, beat)
obj(call, assignment)
punct(make, ,)
cc(make, but)
nsubj(make, Matson)
aux(make, could)
advmod(make, not)
conj(call, make)
det(name, the)
obj(make, name)
xcomp(make, mean)
obj(mean, anything)
punct(call, .)
punct(call, ``)
nsubj(call, I)
root(ROOT, call)
det(station, the)
obj(call, station)
case(three, at)
obl(call, three)
det(morning, this)
obl:tmod(call, morning)
punct(call, '')
punct(call, ,)
nmod:poss(voice, Killpath)
case(Killpath, 's)
amod(voice, nasal)
nsubj(pronounce, voice)
parataxis(call, pronounce)
punct(call, .)
punct(call, ``)
aux(have, do)
nsubj(have, you)
root(ROOT, have)
det(idea, any)
obj(have, idea)
nsubj(charge, who)
aux(charge, might)
aux(charge, have)
cop(charge, be)
case(charge, in)
acl:relcl(idea, charge)
case(time, at)
det(time, the)
obl(charge, time)
punct(have, '')
punct(have, ?)
punct(have, ?)
punct(have, ``)
root(ROOT, Sergeant)
flat(Sergeant, Vaughn)
punct(Sergeant, ,)
list(Sergeant, sir)
punct(Sergeant, '')
punct(Sergeant, .)
punct(Sergeant, ``)
advmod(gue, now)
punct(gue, ,)
advmod(gue, now)
punct(gue, ,)
nsubj(gue, you)
aux(gue, be)
advmod(gue, just)
root(ROOT, gue)
punct(gue, ,)
obj(gue, Sergeant)
punct(gue, '')
punct(gue, .)
nsubj(smile, he)
parataxis(gue, smile)
advmod(smile, thinly)
punct(smile, ,)
advcl(smile, savoring)
nmod:poss(joke, he)
obj(savoring, joke)
punct(gue, .)
punct(gue, ``)
root(ROOT, what)
mark(say, if)
nsubj(say, I)
acl:relcl(what, say)
nsubj(here, nobody)
cop(here, be)
ccomp(say, here)
cc(couple, but)
det(couple, a)
conj(here, couple)
case(patrolmen, of)
nmod(couple, patrolmen)
punct(here, '')
punct(what, ?)
punct(what, ?)
punct(what, ``)
root(ROOT, Sir)
punct(Sir, ,)
nsubj(know, Vaughn)
root(ROOT, know)
xcomp(know, better)
mark(leave, than)
mark(leave, to)
advcl(better, leave)
det(station, the)
obj(leave, station)
case(relief, without)
det(relief, a)
obl(leave, relief)
punct(know, .)
nsubj(have, he)
aux(have, must)
root(ROOT, have)
punct(have, '')
punct(have, --)
punct(have, ``)
nsubj(let, he)
root(ROOT, let)
det(patrolman, a)
obj(let, patrolman)
xcomp(let, take)
compound:prt(take, over)
det(duty, the)
obj(take, duty)
case(keeper, of)
det(keeper, the)
compound(keeper, station)
nmod(duty, keeper)
punct(let, .)
advmod(regulation, now)
nsubj(regulation, that)
cop(regulation, be)
advmod(regulation, not)
root(ROOT, regulation)
punct(regulation, ,)
cop(regulation, be)
nsubj(regulation, it)
punct(regulation, '')
punct(regulation, ?)
punct(regulation, ?)
punct(regulation, ``)
discourse(sir, no)
punct(sir, ,)
root(ROOT, sir)
punct(sir, '')
punct(sir, .)
punct(sir, ``)
cc(know, but)
nsubj(know, you)
aux(know, do)
advmod(know, not)
root(ROOT, know)
det(thing, a)
obj(know, thing)
case(it, about)
nmod(thing, it)
punct(know, ,)
parataxis(know, do)
parataxis(know, you)
punct(know, '')
punct(know, ?)
punct(know, ?)
nsubj(lean, Killpath)
root(ROOT, lean)
advmod(lean, forward)
punct(lean, ;)
punct(lean, ;)
nmod:poss(foot, he)
nsubj(slip, foot)
parataxis(lean, slip)
compound:prt(slip, off)
det(chair, the)
obj(slip, chair)
cc(put, and)
nsubj(put, he)
conj(slip, put)
obj(put, it)
advmod(put, back)
advmod(put, again)
punct(put, ,)
advcl(put, frow)
advmod(frow, now)
punct(lean, .)
punct(lean, ``)
nsubj(take, that)
aux(take, be)
advmod(take, not)
ccomp(tell, take)
nmod:poss(command, one)
case(one, 's)
obj(take, command)
case(attitude, with)
det(attitude, a)
amod(attitude, responsible)
obl(take, attitude)
punct(attitude, ,)
appos(attitude, Matson)
punct(take, '')
punct(tell, .)
nsubj(tell, Gun)
root(ROOT, tell)
obj(tell, himself)
mark(fool, that)
det(bastard, the)
amod(bastard, old)
nsubj(fool, bastard)
cop(fool, be)
det(fool, a)
ccomp(tell, fool)
punct(tell, .)
cc(consolation, but)
nsubj(consolation, stupidity)
cop(consolation, be)
det(consolation, no)
root(ROOT, consolation)
mark(have, when)
nsubj(have, it)
advcl(consolation, have)
obj(have, rank)
punct(consolation, .)
punct(consolation, ``)
nsubj(out, I)
cop(out, be)
root(ROOT, out)
case(district, in)
det(district, the)
obl(out, district)
punct(district, ,)
appos(district, sir)
punct(district, '')
punct(out, .)
punct(out, ``)
root(ROOT, oh)
punct(oh, ,)
discourse(oh, yes)
punct(oh, .)
advmod(hear, so)
nsubj(hear, I)
aux(hear, have)
root(ROOT, hear)
punct(hear, '')
punct(hear, .)
nsubj(stretch, he)
ccomp(hear, stretch)
det(hand, a)
amod(hand, pale)
obj(stretch, hand)
case(papers, out)
case(papers, to)
det(papers, the)
amod(papers, scatter)
obl(stretch, papers)
case(desk, on)
nmod:poss(desk, he)
nmod(papers, desk)
punct(stretch, .)
punct(stretch, ``)
nsubj(point, I)
aux(point, might)
root(ROOT, point)
compound:prt(point, out)
mark(limit, that)
nmod:poss(inability, you)
nsubj(limit, inability)
mark(report, to)
acl(inability, report)
case(office, to)
nmod:poss(office, my)
obl(report, office)
det(morning, this)
obl:tmod(report, morning)
mark(instruct, when)
nsubj:pass(instruct, you)
aux:pass(instruct, be)
advcl(limit, instruct)
mark(do, to)
xcomp(instruct, do)
advmod(limit, so)
aux(limit, have)
advmod(limit, not)
discourse(limit, ah)
ccomp(point, limit)
nmod:poss(knowledge, my)
obj(limit, knowledge)
case(activity, of)
nmod:poss(activity, you)
nmod(knowledge, activity)
mark(hope, as)
nsubj(hope, you)
aux(hope, may)
aux(hope, have)
advcl(take, hope)
punct(hope, '')
punct(take, .)
nsubj(take, he)
parataxis(point, take)
compound:prt(take, up)
det(sheet, a)
amod(sheet, white)
obj(take, sheet)
case(paper, of)
nmod(sheet, paper)
punct(dark, ,)
amod(sheet, dark)
case(data, with)
amod(space, single)
punct(space, -)
